Fiber_Type,Category,Representation,Peak_Wavenumber_cm-1,Intensity
Acrylic,Synthetic,Transmittance,2242,94.24
Acrylic,Synthetic,Transmittance,1727,94.36
Acrylic,Synthetic,Transmittance,1451,93.66
Acrylic,Synthetic,Transmittance,1213,95.03
Cotton,Natural,Transmittance,3332,89.26
Cotton,Natural,Transmittance,2901,94.32
Cotton,Natural,Transmittance,2162,95.31
Cotton,Natural,Transmittance,1615,94.4
Cotton,Natural,Transmittance,1315,89.99
Cotton,Natural,Transmittance,1160,88.11
Cotton,Natural,Transmittance,1104,80.43
Cotton,Natural,Transmittance,1030,72.01
Cotton,Natural,Absorbance,1030,0.143
Jute,Natural,Transmittance,3328,91.64
Jute,Natural,Transmittance,2919,95.23
Jute,Natural,Transmittance,2162,96.5
Jute,Natural,Transmittance,1595,94.73
Jute,Natural,Transmittance,1318,91.7
Jute,Natural,Transmittance,1234,90.94
Jute,Natural,Transmittance,1029,72.42
Jute,Natural,Absorbance,1029,0.14
Linen,Natural,Transmittance,3334,87.28
Linen,Natural,Transmittance,2917,75.32
Linen,Natural,Transmittance,2849,78.65
Linen,Natural,Transmittance,1463,88.13
Linen,Natural,Transmittance,1315,87.92
Linen,Natural,Transmittance,1159,85.74
Linen,Natural,Transmittance,1104,77.44
Linen,Natural,Transmittance,1029,66.59
Linen,Natural,Absorbance,2917,0.123
Linen,Natural,Absorbance,2849,0.104
Linen,Natural,Absorbance,1029,0.177
Modacrylic,Synthetic,Transmittance,2242,96.44
Modacrylic,Synthetic,Transmittance,1439,95.85
Modacrylic,Synthetic,Transmittance,613,91.92
Nylon,Synthetic,Transmittance,3296,88.63
Nylon,Synthetic,Transmittance,2925,86.64
Nylon,Synthetic,Transmittance,2854,89.54
Nylon,Synthetic,Transmittance,1634,74.03
Nylon,Synthetic,Transmittance,1535,75.13
Nylon,Synthetic,Transmittance,1463,86.07
Nylon,Synthetic,Transmittance,1263,87.32
Nylon,Synthetic,Transmittance,686,84.27
Nylon,Synthetic,Absorbance,2925,0.062
Nylon,Synthetic,Absorbance,1634,0.131
Nylon,Synthetic,Absorbance,1535,0.124
Polyester,Synthetic,Transmittance,1713,63.41
Polyester,Synthetic,Transmittance,1408,86.87
Polyester,Synthetic,Transmittance,1339,86.84
Polyester,Synthetic,Transmittance,1244,63.42
Polyester,Synthetic,Transmittance,1096,64.44
Polyester,Synthetic,Transmittance,1017,73.22
Polyester,Synthetic,Transmittance,872,77.62
Polyester,Synthetic,Transmittance,724,58.95
Polyester,Synthetic,Absorbance,1713,0.198
Polyester,Synthetic,Absorbance,1244,0.198
Polyester,Synthetic,Absorbance,1096,0.191
Polyester,Synthetic,Absorbance,1017,0.135
Polyester,Synthetic,Absorbance,872,0.11
Polyester,Synthetic,Absorbance,724,0.23
Rayon,Synthetic,Transmittance,3331,90.37
Rayon,Synthetic,Transmittance,2891,94.05
Rayon,Synthetic,Transmittance,2162,95.72
Rayon,Synthetic,Transmittance,1366,91.89
Rayon,Synthetic,Transmittance,1018,71.54
Rayon,Synthetic,Transmittance,894,86.14
Rayon,Synthetic,Absorbance,1018,0.145
Silk,Natural,Transmittance,3277,90.57
Silk,Natural,Transmittance,2161,96.75
Silk,Natural,Transmittance,1622,79.35
Silk,Natural,Transmittance,1513,78.36
Silk,Natural,Transmittance,1444,84.83
Silk,Natural,Transmittance,1227,85.43
Silk,Natural,Transmittance,1055,89.27
Silk,Natural,Absorbance,1622,0.1
Silk,Natural,Absorbance,1513,0.106
Wool,Natural,Transmittance,3280,86.5
Wool,Natural,Transmittance,2918,83.06
Wool,Natural,Transmittance,2850,87.25
Wool,Natural,Transmittance,2161,94.71
Wool,Natural,Transmittance,1632,69.99
Wool,Natural,Transmittance,1517,72.92
Wool,Natural,Transmittance,1463,79.85
Wool,Natural,Transmittance,1235,80.03
Wool,Natural,Absorbance,2918,0.081
Wool,Natural,Absorbance,1632,0.155
Wool,Natural,Absorbance,1517,0.137
