Created as New Dataset,Forensic, 3
cm-1,%T
4000.00,98.17
3999.00,98.19
3998.00,98.21
3997.00,98.23
3996.00,98.25
3995.00,98.25
3994.00,98.25
3993.00,98.25
3992.00,98.25
3991.00,98.24
3990.00,98.23
3989.00,98.21
3988.00,98.19
3987.00,98.17
3986.00,98.16
3985.00,98.15
3984.00,98.15
3983.00,98.15
3982.00,98.16
3981.00,98.17
3980.00,98.17
3979.00,98.18
3978.00,98.18
3977.00,98.17
3976.00,98.17
3975.00,98.17
3974.00,98.17
3973.00,98.18
3972.00,98.19
3971.00,98.20
3970.00,98.20
3969.00,98.20
3968.00,98.19
3967.00,98.17
3966.00,98.16
3965.00,98.14
3964.00,98.14
3963.00,98.15
3962.00,98.16
3961.00,98.17
3960.00,98.18
3959.00,98.18
3958.00,98.19
3957.00,98.20
3956.00,98.21
3955.00,98.23
3954.00,98.24
3953.00,98.23
3952.00,98.21
3951.00,98.20
3950.00,98.20
3949.00,98.21
3948.00,98.22
3947.00,98.23
3946.00,98.22
3945.00,98.21
3944.00,98.19
3943.00,98.18
3942.00,98.17
3941.00,98.17
3940.00,98.17
3939.00,98.16
3938.00,98.15
3937.00,98.15
3936.00,98.15
3935.00,98.15
3934.00,98.15
3933.00,98.15
3932.00,98.15
3931.00,98.15
3930.00,98.16
3929.00,98.16
3928.00,98.16
3927.00,98.15
3926.00,98.14
3925.00,98.15
3924.00,98.17
3923.00,98.20
3922.00,98.21
3921.00,98.21
3920.00,98.19
3919.00,98.17
3918.00,98.15
3917.00,98.14
3916.00,98.14
3915.00,98.12
3914.00,98.11
3913.00,98.09
3912.00,98.08
3911.00,98.09
3910.00,98.11
3909.00,98.13
3908.00,98.15
3907.00,98.15
3906.00,98.15
3905.00,98.16
3904.00,98.19
3903.00,98.24
3902.00,98.27
3901.00,98.26
3900.00,98.22
3899.00,98.18
3898.00,98.15
3897.00,98.15
3896.00,98.16
3895.00,98.17
3894.00,98.18
3893.00,98.18
3892.00,98.17
3891.00,98.18
3890.00,98.20
3889.00,98.21
3888.00,98.20
3887.00,98.17
3886.00,98.15
3885.00,98.14
3884.00,98.15
3883.00,98.15
3882.00,98.14
3881.00,98.13
3880.00,98.14
3879.00,98.15
3878.00,98.15
3877.00,98.13
3876.00,98.10
3875.00,98.09
3874.00,98.10
3873.00,98.12
3872.00,98.13
3871.00,98.11
3870.00,98.09
3869.00,98.10
3868.00,98.12
3867.00,98.13
3866.00,98.13
3865.00,98.14
3864.00,98.15
3863.00,98.15
3862.00,98.14
3861.00,98.12
3860.00,98.11
3859.00,98.10
3858.00,98.08
3857.00,98.07
3856.00,98.07
3855.00,98.07
3854.00,98.08
3853.00,98.10
3852.00,98.11
3851.00,98.09
3850.00,98.04
3849.00,97.99
3848.00,97.97
3847.00,97.97
3846.00,97.98
3845.00,98.01
3844.00,98.03
3843.00,98.04
3842.00,98.05
3841.00,98.05
3840.00,98.05
3839.00,98.04
3838.00,98.03
3837.00,98.01
3836.00,98.00
3835.00,98.00
3834.00,98.00
3833.00,98.01
3832.00,98.01
3831.00,98.02
3830.00,98.03
3829.00,98.04
3828.00,98.05
3827.00,98.05
3826.00,98.06
3825.00,98.06
3824.00,98.04
3823.00,97.99
3822.00,97.95
3821.00,97.95
3820.00,97.98
3819.00,98.00
3818.00,98.00
3817.00,97.98
3816.00,97.96
3815.00,97.95
3814.00,97.95
3813.00,97.93
3812.00,97.94
3811.00,97.97
3810.00,98.02
3809.00,98.05
3808.00,98.05
3807.00,98.01
3806.00,97.98
3805.00,97.97
3804.00,97.96
3803.00,97.94
3802.00,97.92
3801.00,97.91
3800.00,97.91
3799.00,97.91
3798.00,97.91
3797.00,97.93
3796.00,97.97
3795.00,98.01
3794.00,98.04
3793.00,98.04
3792.00,98.04
3791.00,98.04
3790.00,98.04
3789.00,98.05
3788.00,98.05
3787.00,98.03
3786.00,98.01
3785.00,97.99
3784.00,97.99
3783.00,98.00
3782.00,98.02
3781.00,98.03
3780.00,98.02
3779.00,98.02
3778.00,98.01
3777.00,98.01
3776.00,97.99
3775.00,97.98
3774.00,97.96
