Created as New Dataset,Forensic,5
cm-1,%T
4000.00,100.33
3999.00,100.32
3998.00,100.32
3997.00,100.31
3996.00,100.31
3995.00,100.31
3994.00,100.31
3993.00,100.31
3992.00,100.30
3991.00,100.28
3990.00,100.25
3989.00,100.23
3988.00,100.22
3987.00,100.22
3986.00,100.24
3985.00,100.26
3984.00,100.27
3983.00,100.27
3982.00,100.27
3981.00,100.27
3980.00,100.27
3979.00,100.28
3978.00,100.29
3977.00,100.29
3976.00,100.30
3975.00,100.30
3974.00,100.30
3973.00,100.28
3972.00,100.28
3971.00,100.28
3970.00,100.30
3969.00,100.31
3968.00,100.31
3967.00,100.30
3966.00,100.29
3965.00,100.29
3964.00,100.29
3963.00,100.30
3962.00,100.31
3961.00,100.31
3960.00,100.31
3959.00,100.31
3958.00,100.32
3957.00,100.33
3956.00,100.34
3955.00,100.34
3954.00,100.34
3953.00,100.33
3952.00,100.31
3951.00,100.30
3950.00,100.29
3949.00,100.28
3948.00,100.28
3947.00,100.29
3946.00,100.30
3945.00,100.31
3944.00,100.30
3943.00,100.28
3942.00,100.26
3941.00,100.24
3940.00,100.23
3939.00,100.22
3938.00,100.22
3937.00,100.22
3936.00,100.23
3935.00,100.25
3934.00,100.27
3933.00,100.27
3932.00,100.26
3931.00,100.24
3930.00,100.23
3929.00,100.23
3928.00,100.24
3927.00,100.25
3926.00,100.26
3925.00,100.25
3924.00,100.24
3923.00,100.23
3922.00,100.24
3921.00,100.25
3920.00,100.26
3919.00,100.27
3918.00,100.27
3917.00,100.28
3916.00,100.29
3915.00,100.31
3914.00,100.32
3913.00,100.33
3912.00,100.33
3911.00,100.31
3910.00,100.29
3909.00,100.28
3908.00,100.29
3907.00,100.31
3906.00,100.34
3905.00,100.35
3904.00,100.36
3903.00,100.35
3902.00,100.34
3901.00,100.32
3900.00,100.30
3899.00,100.29
3898.00,100.30
3897.00,100.31
3896.00,100.31
3895.00,100.30
3894.00,100.29
3893.00,100.28
3892.00,100.27
3891.00,100.26
3890.00,100.26
3889.00,100.26
3888.00,100.26
3887.00,100.27
3886.00,100.27
3885.00,100.29
3884.00,100.30
3883.00,100.30
3882.00,100.29
3881.00,100.28
3880.00,100.28
3879.00,100.29
3878.00,100.31
3877.00,100.32
3876.00,100.32
3875.00,100.31
3874.00,100.31
3873.00,100.33
3872.00,100.34
3871.00,100.34
3870.00,100.33
3869.00,100.32
3868.00,100.33
3867.00,100.33
3866.00,100.32
3865.00,100.31
3864.00,100.30
3863.00,100.29
3862.00,100.28
3861.00,100.26
3860.00,100.25
3859.00,100.24
3858.00,100.25
3857.00,100.28
3856.00,100.34
3855.00,100.40
3854.00,100.43
3853.00,100.41
3852.00,100.39
3851.00,100.37
3850.00,100.33
3849.00,100.28
3848.00,100.25
3847.00,100.23
3846.00,100.23
3845.00,100.23
3844.00,100.24
3843.00,100.24
3842.00,100.25
3841.00,100.27
3840.00,100.29
3839.00,100.31
3838.00,100.32
3837.00,100.32
3836.00,100.32
3835.00,100.31
3834.00,100.30
3833.00,100.30
3832.00,100.29
3831.00,100.28
3830.00,100.28
