Created as New Dataset,Natural, 7.3.
cm-1,%T
4000.00,98.43
3999.00,98.43
3998.00,98.43
3997.00,98.43
3996.00,98.42
3995.00,98.41
3994.00,98.38
3993.00,98.36
3992.00,98.36
3991.00,98.38
3990.00,98.40
3989.00,98.42
3988.00,98.42
3987.00,98.41
3986.00,98.39
3985.00,98.39
3984.00,98.38
3983.00,98.37
3982.00,98.36
3981.00,98.35
3980.00,98.33
3979.00,98.32
3978.00,98.32
3977.00,98.32
3976.00,98.33
3975.00,98.35
3974.00,98.38
3973.00,98.41
3972.00,98.42
3971.00,98.42
3970.00,98.39
3969.00,98.36
3968.00,98.33
3967.00,98.31
3966.00,98.30
3965.00,98.30
3964.00,98.32
3963.00,98.35
3962.00,98.39
3961.00,98.41
3960.00,98.42
3959.00,98.41
3958.00,98.40
3957.00,98.40
3956.00,98.40
3955.00,98.40
3954.00,98.42
3953.00,98.42
3952.00,98.41
3951.00,98.40
3950.00,98.39
3949.00,98.39
3948.00,98.40
3947.00,98.40
3946.00,98.39
3945.00,98.37
3944.00,98.35
3943.00,98.34
3942.00,98.35
3941.00,98.37
3940.00,98.39
3939.00,98.41
3938.00,98.42
3937.00,98.42
3936.00,98.41
3935.00,98.39
3934.00,98.37
3933.00,98.36
3932.00,98.36
3931.00,98.37
3930.00,98.38
3929.00,98.37
3928.00,98.35
3927.00,98.34
3926.00,98.34
3925.00,98.35
3924.00,98.36
3923.00,98.37
3922.00,98.36
3921.00,98.35
3920.00,98.33
3919.00,98.32
3918.00,98.31
3917.00,98.33
3916.00,98.36
3915.00,98.39
3914.00,98.40
3913.00,98.40
3912.00,98.38
3911.00,98.37
3910.00,98.35
3909.00,98.34
3908.00,98.33
3907.00,98.32
3906.00,98.32
3905.00,98.35
3904.00,98.38
3903.00,98.41
3902.00,98.42
3901.00,98.42
3900.00,98.41
3899.00,98.41
3898.00,98.42
3897.00,98.43
3896.00,98.43
3895.00,98.41
3894.00,98.39
3893.00,98.38
3892.00,98.38
3891.00,98.38
3890.00,98.40
3889.00,98.40
3888.00,98.39
3887.00,98.37
3886.00,98.36
3885.00,98.36
3884.00,98.36
3883.00,98.37
3882.00,98.36
3881.00,98.36
3880.00,98.37
3879.00,98.39
3878.00,98.40
3877.00,98.39
3876.00,98.37
3875.00,98.35
3874.00,98.36
3873.00,98.37
3872.00,98.37
3871.00,98.36
3870.00,98.36
3869.00,98.37
3868.00,98.38
3867.00,98.38
3866.00,98.36
3865.00,98.35
3864.00,98.35
3863.00,98.37
3862.00,98.39
3861.00,98.40
3860.00,98.39
3859.00,98.38
3858.00,98.38
3857.00,98.38
3856.00,98.40
3855.00,98.42
3854.00,98.42
3853.00,98.43
3852.00,98.44
3851.00,98.43
3850.00,98.39
3849.00,98.35
3848.00,98.33
3847.00,98.33
3846.00,98.34
3845.00,98.35
3844.00,98.36
3843.00,98.37
3842.00,98.39
3841.00,98.40
3840.00,98.40
3839.00,98.38
3838.00,98.34
3837.00,98.31
3836.00,98.28
3835.00,98.27
3834.00,98.27
3833.00,98.28
3832.00,98.29
3831.00,98.30
3830.00,98.31
3829.00,98.31
3828.00,98.30
3827.00,98.30
3826.00,98.31
3825.00,98.32
3824.00,98.33
3823.00,98.33
3822.00,98.33
3821.00,98.33
3820.00,98.34
3819.00,98.35
3818.00,98.33
3817.00,98.31
3816.00,98.29
3815.00,98.30
3814.00,98.32
3813.00,98.32
3812.00,98.31
3811.00,98.30
3810.00,98.30
3809.00,98.31
3808.00,98.32
3807.00,98.33
3806.00,98.33
3805.00,98.33
3804.00,98.30
3803.00,98.26
3802.00,98.22
3801.00,98.20
3800.00,98.21
3799.00,98.22
3798.00,98.22
3797.00,98.21
3796.00,98.21
3795.00,98.23
3794.00,98.26
3793.00,98.28
3792.00,98.29
3791.00,98.30
3790.00,98.30
3789.00,98.29
3788.00,98.27
3787.00,98.25
3786.00,98.23
3785.00,98.22
3784.00,98.23
3783.00,98.24
3782.00,98.26
3781.00,98.27
3780.00,98.27
3779.00,98.26
3778.00,98.25
3777.00,98.24
3776.00,98.23
3775.00,98.22
3774.00,98.22
3773.00,98.23
3772.00,98.25
3771.00,98.26
3770.00,98.28
3769.00,98.27
3768.00,98.26
3767.00,98.24
3766.00,98.22
3765.00,98.21
3764.00,98.21
3763.00,98.20
3762.00,98.19
3761.00,98.17
3760.00,98.17
3759.00,98.18
3758.00,98.19
3757.00,98.19
3756.00,98.20
3755.00,98.20
3754.00,98.20
3753.00,98.19
3752.00,98.17
3751.00,98.17
3750.00,98.17
3749.00,98.19
3748.00,98.21
3747.00,98.23
3746.00,98.23
3745.00,98.22
3744.00,98.22
3743.00,98.24
3742.00,98.25
3741.00,98.22
3740.00,98.19
3739.00,98.18
3738.00,98.19
3737.00,98.18
3736.00,98.16
3735.00,98.14
3734.00,98.13
3733.00,98.12
3732.00,98.12
3731.00,98.12
3730.00,98.11
3729.00,98.10
3728.00,98.09
3727.00,98.09
3726.00,98.10
3725.00,98.11
3724.00,98.11
3723.00,98.10
3722.00,98.08
3721.00,98.07
3720.00,98.09
3719.00,98.10
3718.00,98.10
3717.00,98.09
3716.00,98.07
3715.00,98.06
3714.00,98.05
3713.00,98.03
3712.00,98.01
3711.00,97.99
3710.00,97.96
3709.00,97.93
3708.00,97.92
3707.00,97.93
3706.00,97.94
3705.00,97.94
3704.00,97.94
3703.00,97.94
3702.00,97.95
3701.00,97.98
3700.00,98.02
3699.00,98.04
3698.00,98.03
3697.00,98.02
3696.00,98.00
3695.00,97.98
3694.00,97.98
3693.00,97.98
3692.00,98.00
3691.00,98.00
3690.00,97.98
3689.00,97.93
3688.00,97.89
3687.00,97.88
3686.00,97.87
3685.00,97.86
3684.00,97.84
3683.00,97.82
3682.00,97.81
3681.00,97.81
3680.00,97.82
3679.00,97.84
3678.00,97.86
3677.00,97.85
3676.00,97.82
3675.00,97.78
3674.00,97.76
3673.00,97.75
3672.00,97.74
3671.00,97.73
3670.00,97.71
3669.00,97.71
3668.00,97.71
3667.00,97.71
3666.00,97.70
3665.00,97.69
3664.00,97.67
3663.00,97.65
3662.00,97.62
3661.00,97.60
3660.00,97.59
3659.00,97.57
3658.00,97.54
3657.00,97.50
3656.00,97.47
