Created as New Dataset,Natural, 7.4. 
cm-1,%T
4000.00,99.19
3999.00,99.18
3998.00,99.16
3997.00,99.15
3996.00,99.13
3995.00,99.10
3994.00,99.07
3993.00,99.05
3992.00,99.05
3991.00,99.07
3990.00,99.10
3989.00,99.12
3988.00,99.11
3987.00,99.10
3986.00,99.08
3985.00,99.07
3984.00,99.07
3983.00,99.08
3982.00,99.08
3981.00,99.07
3980.00,99.06
3979.00,99.06
3978.00,99.05
3977.00,99.04
3976.00,99.04
3975.00,99.04
3974.00,99.05
3973.00,99.06
3972.00,99.06
3971.00,99.05
3970.00,99.03
3969.00,99.01
3968.00,98.98
3967.00,98.97
3966.00,98.98
3965.00,99.00
3964.00,99.03
3963.00,99.06
3962.00,99.08
3961.00,99.09
3960.00,99.09
3959.00,99.09
3958.00,99.10
3957.00,99.11
3956.00,99.11
3955.00,99.12
3954.00,99.11
3953.00,99.10
3952.00,99.08
3951.00,99.06
3950.00,99.04
3949.00,99.04
3948.00,99.04
3947.00,99.05
3946.00,99.04
3945.00,99.03
3944.00,99.02
3943.00,99.02
3942.00,99.03
3941.00,99.04
3940.00,99.05
3939.00,99.06
3938.00,99.06
3937.00,99.06
3936.00,99.05
3935.00,99.04
3934.00,99.02
3933.00,99.00
3932.00,99.00
3931.00,99.01
3930.00,99.03
3929.00,99.03
3928.00,99.02
3927.00,99.01
3926.00,99.00
3925.00,99.02
3924.00,99.04
3923.00,99.05
3922.00,99.06
3921.00,99.05
3920.00,99.03
3919.00,99.00
3918.00,99.00
3917.00,99.01
3916.00,99.04
3915.00,99.07
3914.00,99.09
3913.00,99.09
3912.00,99.09
3911.00,99.08
3910.00,99.08
3909.00,99.08
3908.00,99.07
3907.00,99.05
3906.00,99.04
3905.00,99.04
3904.00,99.06
3903.00,99.08
3902.00,99.09
3901.00,99.09
3900.00,99.08
3899.00,99.08
3898.00,99.09
3897.00,99.11
3896.00,99.11
3895.00,99.11
3894.00,99.11
3893.00,99.10
