Created as New Dataset,Forensic, 49
cm-1,%T
4000.00,88.81
3999.00,88.79
3998.00,88.77
3997.00,88.76
3996.00,88.76
3995.00,88.76
3994.00,88.77
3993.00,88.79
3992.00,88.81
3991.00,88.83
3990.00,88.83
3989.00,88.81
3988.00,88.79
3987.00,88.78
3986.00,88.77
3985.00,88.77
3984.00,88.78
3983.00,88.79
3982.00,88.79
3981.00,88.79
3980.00,88.79
3979.00,88.79
3978.00,88.79
3977.00,88.81
3976.00,88.82
3975.00,88.82
3974.00,88.82
3973.00,88.81
3972.00,88.80
3971.00,88.80
3970.00,88.80
3969.00,88.81
3968.00,88.83
3967.00,88.84
3966.00,88.85
3965.00,88.84
3964.00,88.83
3963.00,88.83
3962.00,88.83
3961.00,88.83
3960.00,88.83
3959.00,88.83
3958.00,88.83
3957.00,88.83
3956.00,88.83
3955.00,88.83
3954.00,88.82
3953.00,88.82
3952.00,88.82
3951.00,88.83
3950.00,88.84
3949.00,88.84
3948.00,88.85
3947.00,88.84
3946.00,88.82
3945.00,88.80
3944.00,88.78
3943.00,88.76
3942.00,88.77
3941.00,88.78
3940.00,88.80
3939.00,88.81
3938.00,88.82
3937.00,88.81
3936.00,88.80
3935.00,88.79
3934.00,88.78
3933.00,88.77
3932.00,88.78
3931.00,88.78
3930.00,88.77
3929.00,88.76
3928.00,88.75
3927.00,88.75
3926.00,88.76
3925.00,88.77
3924.00,88.77
3923.00,88.76
3922.00,88.74
3921.00,88.73
3920.00,88.72
3919.00,88.72
3918.00,88.72
3917.00,88.72
3916.00,88.72
3915.00,88.72
3914.00,88.73
3913.00,88.76
3912.00,88.78
3911.00,88.81
3910.00,88.82
3909.00,88.81
3908.00,88.79
3907.00,88.75
3906.00,88.71
3905.00,88.68
3904.00,88.69
3903.00,88.71
3902.00,88.73
3901.00,88.74
3900.00,88.76
3899.00,88.77
3898.00,88.78
3897.00,88.78
3896.00,88.78
3895.00,88.78
3894.00,88.78
3893.00,88.78
3892.00,88.78
3891.00,88.78
3890.00,88.79
3889.00,88.80
3888.00,88.81
3887.00,88.81
3886.00,88.82
3885.00,88.82
3884.00,88.82
3883.00,88.81
3882.00,88.81
3881.00,88.82
3880.00,88.83
3879.00,88.84
3878.00,88.84
3877.00,88.81
3876.00,88.79
3875.00,88.78
3874.00,88.78
3873.00,88.78
3872.00,88.76
3871.00,88.73
3870.00,88.72
3869.00,88.73
3868.00,88.75
3867.00,88.78
3866.00,88.80
3865.00,88.81
3864.00,88.81
3863.00,88.80
3862.00,88.78
3861.00,88.76
3860.00,88.76
3859.00,88.78
3858.00,88.82
3857.00,88.86
3856.00,88.88
3855.00,88.88
3854.00,88.87
3853.00,88.86
3852.00,88.85
3851.00,88.84
3850.00,88.82
3849.00,88.83
3848.00,88.84
3847.00,88.86
3846.00,88.86
3845.00,88.87
3844.00,88.87
3843.00,88.87
3842.00,88.87
3841.00,88.87
3840.00,88.86
3839.00,88.85
3838.00,88.85
3837.00,88.84
3836.00,88.83
3835.00,88.83
3834.00,88.82
3833.00,88.82
3832.00,88.81
3831.00,88.80
3830.00,88.78
3829.00,88.77
3828.00,88.77
3827.00,88.77
3826.00,88.78
3825.00,88.77
3824.00,88.76
3823.00,88.74
3822.00,88.75
3821.00,88.76
3820.00,88.77
3819.00,88.77
3818.00,88.76
3817.00,88.77
3816.00,88.80
3815.00,88.81
3814.00,88.80
3813.00,88.77
3812.00,88.74
3811.00,88.72
3810.00,88.71
3809.00,88.73
3808.00,88.75
3807.00,88.78
3806.00,88.80
3805.00,88.80
3804.00,88.78
3803.00,88.76
3802.00,88.75
3801.00,88.77
3800.00,88.78
3799.00,88.78
3798.00,88.77
3797.00,88.77
3796.00,88.76
3795.00,88.74
3794.00,88.72
3793.00,88.69
3792.00,88.68
3791.00,88.69
3790.00,88.72
3789.00,88.73
3788.00,88.73
3787.00,88.72
3786.00,88.71
3785.00,88.70
3784.00,88.71
3783.00,88.70
3782.00,88.69
3781.00,88.69
3780.00,88.69
3779.00,88.71
3778.00,88.73
3777.00,88.73
3776.00,88.72
3775.00,88.71
3774.00,88.70
3773.00,88.69
3772.00,88.67
3771.00,88.66
3770.00,88.65
3769.00,88.65
3768.00,88.64
3767.00,88.62
3766.00,88.60
3765.00,88.59
3764.00,88.59
3763.00,88.59
3762.00,88.59
3761.00,88.59
3760.00,88.60
3759.00,88.61
3758.00,88.60
3757.00,88.59
3756.00,88.59
