Created as New Dataset,Natural, 7.1.
cm-1,%T
4000.00,100.02
3999.00,100.02
3998.00,100.02
3997.00,100.03
3996.00,100.03
3995.00,100.03
3994.00,100.02
3993.00,100.02
3992.00,100.01
3991.00,100.00
3990.00,99.97
3989.00,99.95
3988.00,99.94
3987.00,99.93
3986.00,99.93
3985.00,99.94
3984.00,99.96
3983.00,99.98
3982.00,99.99
3981.00,100.00
3980.00,99.99
3979.00,99.97
3978.00,99.96
3977.00,99.96
3976.00,99.97
3975.00,99.99
3974.00,100.01
3973.00,100.01
3972.00,100.00
3971.00,99.99
3970.00,99.99
3969.00,99.99
3968.00,100.00
3967.00,100.00
3966.00,100.00
3965.00,100.00
3964.00,99.98
3963.00,99.97
3962.00,99.96
3961.00,99.96
3960.00,99.98
3959.00,99.99
3958.00,100.01
3957.00,100.03
3956.00,100.05
3955.00,100.05
3954.00,100.04
3953.00,100.03
3952.00,100.01
3951.00,100.00
3950.00,100.00
3949.00,100.02
3948.00,100.03
3947.00,100.05
3946.00,100.06
3945.00,100.07
3944.00,100.09
3943.00,100.10
3942.00,100.11
3941.00,100.12
3940.00,100.11
3939.00,100.10
3938.00,100.08
3937.00,100.06
3936.00,100.05
3935.00,100.05
3934.00,100.06
3933.00,100.07
3932.00,100.07
3931.00,100.07
3930.00,100.07
3929.00,100.09
3928.00,100.09
3927.00,100.09
3926.00,100.08
3925.00,100.07
3924.00,100.07
3923.00,100.08
3922.00,100.09
3921.00,100.09
3920.00,100.09
3919.00,100.08
3918.00,100.09
3917.00,100.10
3916.00,100.13
3915.00,100.14
3914.00,100.14
3913.00,100.10
3912.00,100.06
3911.00,100.02
3910.00,100.00
3909.00,100.00
3908.00,100.02
3907.00,100.05
3906.00,100.10
3905.00,100.15
3904.00,100.21
3903.00,100.26
3902.00,100.29
3901.00,100.29
3900.00,100.26
3899.00,100.23
3898.00,100.20
3897.00,100.18
3896.00,100.17
3895.00,100.17
3894.00,100.17
3893.00,100.16
3892.00,100.13
3891.00,100.11
3890.00,100.11
3889.00,100.12
3888.00,100.12
3887.00,100.12
3886.00,100.13
3885.00,100.14
3884.00,100.16
3883.00,100.17
3882.00,100.17
3881.00,100.15
3880.00,100.13
3879.00,100.13
3878.00,100.13
3877.00,100.14
3876.00,100.15
3875.00,100.14
3874.00,100.12
3873.00,100.11
3872.00,100.11
3871.00,100.13
3870.00,100.16
3869.00,100.18
3868.00,100.19
3867.00,100.20
3866.00,100.22
3865.00,100.25
3864.00,100.25
3863.00,100.23
3862.00,100.19
3861.00,100.16
3860.00,100.13
3859.00,100.11
3858.00,100.11
3857.00,100.16
3856.00,100.24
3855.00,100.32
3854.00,100.36
3853.00,100.36
3852.00,100.38
3851.00,100.40
3850.00,100.38
3849.00,100.33
3848.00,100.27
3847.00,100.21
3846.00,100.18
3845.00,100.18
3844.00,100.19
3843.00,100.20
3842.00,100.21
3841.00,100.22
3840.00,100.23
3839.00,100.25
3838.00,100.25
3837.00,100.25
3836.00,100.23
3835.00,100.21
3834.00,100.19
3833.00,100.17
3832.00,100.16
3831.00,100.15
3830.00,100.14
3829.00,100.14
3828.00,100.14
3827.00,100.14
3826.00,100.13
3825.00,100.12
3824.00,100.13
3823.00,100.13
3822.00,100.11
3821.00,100.08
3820.00,100.06
3819.00,100.07
3818.00,100.09
3817.00,100.12
3816.00,100.14
3815.00,100.13
3814.00,100.10
3813.00,100.06
3812.00,100.03
3811.00,100.01
3810.00,100.00
3809.00,99.99
3808.00,100.00
3807.00,100.02
3806.00,100.05
3805.00,100.08
3804.00,100.11
3803.00,100.12
3802.00,100.10
3801.00,100.07
3800.00,100.06
3799.00,100.05
3798.00,100.06
3797.00,100.07
3796.00,100.07
3795.00,100.05
3794.00,100.02
3793.00,100.00
3792.00,99.98
3791.00,99.95
3790.00,99.92
3789.00,99.91
3788.00,99.92
3787.00,99.93
3786.00,99.95
3785.00,99.96
3784.00,99.96
3783.00,99.97
3782.00,99.97
3781.00,99.97
3780.00,99.97
3779.00,99.96
3778.00,99.95
3777.00,99.94
3776.00,99.93
3775.00,99.93
3774.00,99.94
3773.00,99.95
