Created as New Dataset,Natural, 14.3
cm-1,%T
4000.00,97.92
3999.00,97.92
3998.00,97.92
3997.00,97.91
3996.00,97.89
3995.00,97.88
3994.00,97.88
3993.00,97.89
3992.00,97.89
3991.00,97.89
3990.00,97.87
3989.00,97.85
3988.00,97.83
3987.00,97.82
3986.00,97.81
3985.00,97.82
3984.00,97.83
3983.00,97.85
3982.00,97.86
3981.00,97.87
3980.00,97.86
3979.00,97.85
3978.00,97.85
3977.00,97.85
3976.00,97.87
3975.00,97.88
3974.00,97.89
3973.00,97.89
3972.00,97.88
3971.00,97.89
3970.00,97.89
3969.00,97.89
3968.00,97.89
3967.00,97.87
3966.00,97.84
3965.00,97.83
3964.00,97.84
3963.00,97.86
3962.00,97.88
3961.00,97.88
3960.00,97.87
3959.00,97.87
3958.00,97.87
3957.00,97.87
3956.00,97.87
3955.00,97.85
3954.00,97.83
3953.00,97.83
3952.00,97.84
3951.00,97.86
3950.00,97.86
3949.00,97.85
3948.00,97.83
3947.00,97.80
3946.00,97.79
3945.00,97.79
3944.00,97.80
3943.00,97.83
3942.00,97.86
3941.00,97.88
3940.00,97.88
3939.00,97.88
3938.00,97.86
3937.00,97.84
3936.00,97.81
3935.00,97.79
3934.00,97.79
3933.00,97.79
3932.00,97.79
3931.00,97.78
3930.00,97.77
3929.00,97.76
3928.00,97.77
3927.00,97.78
3926.00,97.80
3925.00,97.82
3924.00,97.82
3923.00,97.83
3922.00,97.83
3921.00,97.83
3920.00,97.83
3919.00,97.82
3918.00,97.81
3917.00,97.81
3916.00,97.80
3915.00,97.80
3914.00,97.80
3913.00,97.80
3912.00,97.80
3911.00,97.81
3910.00,97.82
3909.00,97.81
3908.00,97.80
3907.00,97.78
3906.00,97.75
3905.00,97.73
3904.00,97.70
3903.00,97.68
3902.00,97.68
3901.00,97.68
3900.00,97.70
3899.00,97.71
3898.00,97.72
3897.00,97.75
3896.00,97.77
3895.00,97.79
3894.00,97.79
3893.00,97.79
3892.00,97.78
3891.00,97.77
3890.00,97.75
3889.00,97.73
3888.00,97.72
3887.00,97.73
3886.00,97.75
3885.00,97.76
3884.00,97.76
3883.00,97.74
3882.00,97.74
3881.00,97.74
3880.00,97.75
3879.00,97.75
3878.00,97.74
3877.00,97.74
3876.00,97.75
3875.00,97.77
3874.00,97.76
3873.00,97.74
3872.00,97.73
3871.00,97.75
3870.00,97.76
3869.00,97.75
3868.00,97.72
3867.00,97.70
3866.00,97.71
3865.00,97.74
3864.00,97.76
3863.00,97.77
3862.00,97.77
3861.00,97.77
3860.00,97.77
3859.00,97.75
3858.00,97.73
3857.00,97.70
3856.00,97.70
3855.00,97.74
3854.00,97.78
3853.00,97.77
3852.00,97.72
3851.00,97.70
3850.00,97.70
3849.00,97.72
3848.00,97.75
3847.00,97.78
3846.00,97.80
3845.00,97.80
3844.00,97.79
3843.00,97.76
3842.00,97.73
3841.00,97.70
3840.00,97.70
3839.00,97.72
3838.00,97.74
3837.00,97.75
3836.00,97.76
3835.00,97.75
3834.00,97.75
3833.00,97.76
3832.00,97.77
3831.00,97.78
3830.00,97.76
3829.00,97.73
3828.00,97.71
3827.00,97.71
3826.00,97.69
3825.00,97.65
3824.00,97.60
3823.00,97.60
3822.00,97.64
3821.00,97.69
3820.00,97.70
3819.00,97.68
3818.00,97.67
3817.00,97.68
3816.00,97.71
3815.00,97.71
3814.00,97.70
3813.00,97.69
3812.00,97.70
3811.00,97.72
3810.00,97.73
3809.00,97.75
3808.00,97.76
3807.00,97.75
3806.00,97.71
3805.00,97.65
3804.00,97.60
3803.00,97.60
3802.00,97.61
3801.00,97.61
3800.00,97.60
3799.00,97.61
3798.00,97.64
3797.00,97.69
3796.00,97.73
3795.00,97.74
3794.00,97.74
3793.00,97.75
3792.00,97.77
3791.00,97.77
3790.00,97.77
3789.00,97.77
3788.00,97.77
3787.00,97.78
3786.00,97.78
3785.00,97.77
3784.00,97.74
3783.00,97.72
3782.00,97.73
3781.00,97.75
3780.00,97.78
3779.00,97.77
3778.00,97.75
3777.00,97.72
3776.00,97.71
3775.00,97.70
3774.00,97.70
3773.00,97.69
3772.00,97.69
3771.00,97.68
3770.00,97.68
3769.00,97.66
3768.00,97.65
3767.00,97.67
3766.00,97.70
3765.00,97.72
3764.00,97.70
3763.00,97.66
3762.00,97.61
3761.00,97.59
3760.00,97.57
3759.00,97.56
3758.00,97.54
3757.00,97.52
3756.00,97.50
3755.00,97.49
3754.00,97.49
3753.00,97.51
3752.00,97.55
3751.00,97.57
3750.00,97.57
3749.00,97.54
3748.00,97.49
3747.00,97.44
3746.00,97.44
3745.00,97.48
3744.00,97.50
3743.00,97.49
3742.00,97.48
3741.00,97.49
3740.00,97.51
3739.00,97.52
3738.00,97.50
3737.00,97.47
3736.00,97.41
3735.00,97.37
3734.00,97.37
3733.00,97.40
3732.00,97.45
3731.00,97.48
3730.00,97.48
3729.00,97.47
3728.00,97.46
3727.00,97.47
3726.00,97.48
3725.00,97.49
3724.00,97.50
3723.00,97.51
3722.00,97.52
3721.00,97.52
3720.00,97.53
3719.00,97.54
3718.00,97.55
3717.00,97.55
3716.00,97.53
3715.00,97.51
3714.00,97.48
3713.00,97.45
3712.00,97.42
3711.00,97.39
3710.00,97.39
3709.00,97.41
3708.00,97.45
3707.00,97.48
3706.00,97.49
3705.00,97.49
3704.00,97.48
3703.00,97.46
3702.00,97.43
3701.00,97.41
3700.00,97.40
3699.00,97.41
3698.00,97.45
3697.00,97.49
3696.00,97.51
3695.00,97.50
3694.00,97.48
3693.00,97.46
3692.00,97.44
3691.00,97.41
3690.00,97.37
3689.00,97.33
3688.00,97.30
3687.00,97.29
3686.00,97.29
3685.00,97.31
3684.00,97.32
3683.00,97.33
3682.00,97.34
3681.00,97.34
3680.00,97.32
3679.00,97.29
3678.00,97.24
3677.00,97.21
3676.00,97.19
3675.00,97.15
3674.00,97.10
3673.00,97.04
3672.00,97.01
3671.00,97.02
3670.00,97.04
3669.00,97.06
3668.00,97.06
3667.00,97.06
3666.00,97.06
3665.00,97.06
3664.00,97.05
3663.00,97.03
3662.00,97.00
3661.00,96.98
3660.00,96.95
3659.00,96.92
3658.00,96.90
3657.00,96.89
3656.00,96.88
3655.00,96.85
3654.00,96.81
3653.00,96.76
3652.00,96.73
3651.00,96.69
3650.00,96.64
3649.00,96.59
3648.00,96.57
3647.00,96.57
3646.00,96.58
3645.00,96.59
3644.00,96.60
3643.00,96.60
3642.00,96.59
3641.00,96.56
3640.00,96.52
3639.00,96.48
3638.00,96.44
3637.00,96.40
3636.00,96.37
3635.00,96.35
3634.00,96.32
3633.00,96.28
3632.00,96.23
3631.00,96.19
3630.00,96.18
3629.00,96.16
