Sample_ID,Source,Collection,Binder_ID,Manufacturer,Origin,Type,Subtype,Apparent_Colour,Details
MTA_CAC_011,Microtraces LTD,Arbidar Natural Fibre Collection,1.1,N/A,Natural,Cellulose,Cacao,N/A,seed husks
MTA_COI_012,Microtraces LTD,Arbidar Natural Fibre Collection,1.2,N/A,Natural,Cellulose,Coir,N/A,coconut husk fiber
MTA_FLX_013,Microtraces LTD,Arbidar Natural Fibre Collection,1.3,N/A,Natural,Cellulose,Flax,N/A,line fiber
MTA_FLX_014,Microtraces LTD,Arbidar Natural Fibre Collection,1.4,N/A,Natural,Cellulose,Flax,Bleached,"silver, bleached, from France"
MTA_FLX_021,Microtraces LTD,Arbidar Natural Fibre Collection,2.1,N/A,Natural,Cellulose,Flax,N/A,"tow, natural color"
MTA_HMP_022,Microtraces LTD,Arbidar Natural Fibre Collection,2.2,N/A,Natural,Cellulose,Hemp,N/A,"bast, not hackled (combed)"
MTA_HMP_023,Microtraces LTD,Arbidar Natural Fibre Collection,2.3,N/A,Natural,Cellulose,Hemp,N/A,fiber
MTA_HMP_024,Microtraces LTD,Arbidar Natural Fibre Collection,2.4,N/A,Natural,Cellulose,Hemp,N/A,hurds (core)
MTA_JUT_031,Microtraces LTD,Arbidar Natural Fibre Collection,3.1,N/A,Natural,Cellulose,Jute,N/A,burlap
MTA_JUT_032,Microtraces LTD,Arbidar Natural Fibre Collection,3.2,N/A,Natural,Cellulose,Jute,N/A,fiber
MTA_KPK_033,Microtraces LTD,Arbidar Natural Fibre Collection,3.3,N/A,Natural,Cellulose,Kapok,N/A,kapok fibre
MTA_KNF_041,Microtraces LTD,Arbidar Natural Fibre Collection,4.1,N/A,Natural,Cellulose,Kenaf,N/A,core
MTA_LIN_042,Microtraces LTD,Arbidar Natural Fibre Collection,4.2,N/A,Natural,Cellulose,Linen,N/A,hand spun thread
MTA_LIN_043,Microtraces LTD,Arbidar Natural Fibre Collection,4.3,N/A,Natural,Cellulose,Linen,N/A,shoemakers thread
MTA_RAF_051,Microtraces LTD,Arbidar Natural Fibre Collection,5.1,N/A,Natural,Cellulose,Rafia,N/A,
MTA_RAM_052,Microtraces LTD,Arbidar Natural Fibre Collection,5.2,N/A,Natural,Cellulose,Ramie,N/A,"silver, from China"
MTA_SIS_053,Microtraces LTD,Arbidar Natural Fibre Collection,5.3,N/A,Natural,Cellulose,Sisal,N/A,"""rope"""
MTA_COT_061,Microtraces LTD,Arbidar Natural Fibre Collection,6.1,N/A,Natural,Cellulose,Cotton,N/A,cord
MTA_COT_062,Microtraces LTD,Arbidar Natural Fibre Collection,6.2,N/A,Natural,Cellulose,Cotton,Natural Brown,natural brown fiber
MTA_COT_063,Microtraces LTD,Arbidar Natural Fibre Collection,6.3,N/A,Natural,Cellulose,Cotton,Natural Green,natural green fiber
MTA_COT_064,Microtraces LTD,Arbidar Natural Fibre Collection,6.4,N/A,Natural,Cellulose,Cotton,N/A,"raw, boll"
MTA_COT_071,Microtraces LTD,Arbidar Natural Fibre Collection,7.1,N/A,Natural,Cellulose,Cotton,N/A,rug wrap
MTA_COT_072,Microtraces LTD,Arbidar Natural Fibre Collection,7.2,N/A,Natural,Cellulose,Cotton,N/A,"seed, with lint"
MTA_ALP_073,Microtraces LTD,Arbidar Natural Fibre Collection,7.3,N/A,Natural,Protein,Alpaca,Natural Charcoal,natural charcoal
MTA_ALP_074,Microtraces LTD,Arbidar Natural Fibre Collection,7.4,N/A,Natural,Protein,Alpaca,Natural Ivory,natural ivory
MTA_CAM_082,Microtraces LTD,Arbidar Natural Fibre Collection,8.2,N/A,Natural,Protein,Camel,Blonde,blonde
MTA_CAM_083,Microtraces LTD,Arbidar Natural Fibre Collection,8.3,N/A,Natural,Protein,Camel,N/A,down
MTA_GOT_084,Microtraces LTD,Arbidar Natural Fibre Collection,8.4,N/A,Natural,Protein,Goat,N/A,"Angora, wool"
MTA_GOT_091,Microtraces LTD,Arbidar Natural Fibre Collection,9.1,N/A,Natural,Protein,Goat,N/A,"Cashmere, colored, from Montana"
MTA_GOT_092,Microtraces LTD,Arbidar Natural Fibre Collection,9.2,N/A,Natural,Protein,Goat,N/A,"Cashmere, from China"
MTA_GOT_093,Microtraces LTD,Arbidar Natural Fibre Collection,9.3,N/A,Natural,Protein,Goat,N/A,"Cashmere, from Montana"
MTA_GOT_094,Microtraces LTD,Arbidar Natural Fibre Collection,9.4,N/A,Natural,Protein,Goat,N/A,"Mohair, natural white, from England"
MTA_GOS_101,Microtraces LTD,Arbidar Natural Fibre Collection,10.1,N/A,Natural,Protein,Goose,N/A,down
MTA_LLM_102,Microtraces LTD,Arbidar Natural Fibre Collection,10.2,N/A,Natural,Protein,Llama,N/A,wool
MTA_MUX_103,Microtraces LTD,Arbidar Natural Fibre Collection,10.3,N/A,Natural,Protein,Musk Ox,N/A,Qiviut
MTA_RAB_104,Microtraces LTD,Arbidar Natural Fibre Collection,10.4,N/A,Natural,Protein,Rabbit,N/A,"Angora, wool"
MTA_YAK_111,Microtraces LTD,Arbidar Natural Fibre Collection,11.1,N/A,Natural,Protein,Yak,N/A,down
MTA_YAK_112,Microtraces LTD,Arbidar Natural Fibre Collection,11.2,N/A,Natural,Protein,Yak,N/A,hair
MTA_WOL_113,Microtraces LTD,Arbidar Natural Fibre Collection,11.3,N/A,Natural,Protein,Wool,N/A,Cooperworth sheep wool
MTA_WOL_114,Microtraces LTD,Arbidar Natural Fibre Collection,11.4,N/A,Natural,Protein,Wool,N/A,Cormo sheep
MTA_WOL_121,Microtraces LTD,Arbidar Natural Fibre Collection,12.1,N/A,Natural,Protein,Wool,N/A,Corriedale sheep
MTA_WOL_122,Microtraces LTD,Arbidar Natural Fibre Collection,12.2,N/A,Natural,Protein,Wool,N/A,Icelandic sheep
MTA_WOL_123,Microtraces LTD,Arbidar Natural Fibre Collection,12.3,N/A,Natural,Protein,Wool,N/A,Lincoln sheep
MTA_WOL_124,Microtraces LTD,Arbidar Natural Fibre Collection,12.4,N/A,Natural,Protein,Wool,N/A,Merino sheep and rayon
MTA_WOL_131,Microtraces LTD,Arbidar Natural Fibre Collection,13.1,N/A,Natural,Protein,Wool,N/A,Navajo-Churro sheep
MTA_WOL_132,Microtraces LTD,Arbidar Natural Fibre Collection,13.2,N/A,Natural,Protein,Wool,N/A,Polwarth sheep
MTA_WOL_133,Microtraces LTD,Arbidar Natural Fibre Collection,13.3,N/A,Natural,Protein,Wool,N/A,Romney sheep
MTA_WOL_134,Microtraces LTD,Arbidar Natural Fibre Collection,13.4,N/A,Natural,Protein,Wool,N/A,Shetland sheep
MTA_WOL_141,Microtraces LTD,Arbidar Natural Fibre Collection,14.1,N/A,Natural,Protein,Wool,N/A,Suffolk sheep
MTA_WOL_142,Microtraces LTD,Arbidar Natural Fibre Collection,14.2,N/A,Natural,Protein,Wool,N/A,Targhee sheep
MTA_WOL_143,Microtraces LTD,Arbidar Natural Fibre Collection,14.3,N/A,Natural,Protein,Wool,N/A,"sheep, crepe"
MTA_WOL_144,Microtraces LTD,Arbidar Natural Fibre Collection,14.4,N/A,Natural,Protein,Wool,N/A,"sheep, felt, handmade"
MTA_WOL_151,Microtraces LTD,Arbidar Natural Fibre Collection,15.1,N/A,Natural,Protein,Wool,Natural Black,"sheep, natural black roving"
MTA_WOL_152,Microtraces LTD,Arbidar Natural Fibre Collection,15.2,N/A,Natural,Protein,Wool,N/A,"sheep, scoured"
MTA_WOL_153,Microtraces LTD,Arbidar Natural Fibre Collection,15.3,N/A,Natural,Protein,Wool,N/A,"sheep, very fine"
MTA_WOL_154,Microtraces LTD,Arbidar Natural Fibre Collection,15.4,N/A,Natural,Protein,Wool,N/A,"Wool, sheep, w/much darker fibers, natural"
MTA_SIL_162,Microtraces LTD,Arbidar Natural Fibre Collection,16.2,N/A,Natural,Protein,Silk,N/A,Bombyx mori
MTA_SIL_163,Microtraces LTD,Arbidar Natural Fibre Collection,16.3,N/A,Natural,Protein,Silk,N/A,"Bombyx mori, yarn"
MTA_SIL_164,Microtraces LTD,Arbidar Natural Fibre Collection,16.4,N/A,Natural,Protein,Silk,Dyed,dyed
MTA_SIL_171,Microtraces LTD,Arbidar Natural Fibre Collection,17.1,N/A,Natural,Protein,Silk,N/A,"raw, thrown"
MTA_SIL_172,Microtraces LTD,Arbidar Natural Fibre Collection,17.2,N/A,Natural,Protein,Silk,N/A,thread blended with Rayon
MTA_SIL_173,Microtraces LTD,Arbidar Natural Fibre Collection,17.3,N/A,Natural,Protein,Silk,N/A,"Tussah (wild), blended with camel hair"
MTA_SIL_174,Microtraces LTD,Arbidar Natural Fibre Collection,17.4,N/A,Natural,Protein,Silk,N/A,Tussah from India
MTA_SIL_181,Microtraces LTD,Arbidar Natural Fibre Collection,18.1,N/A,Natural,Protein,Silk,N/A,"wild, two colors, from India"
MTA_FLX_191,Microtraces LTD,Arbidar Natural Fibre Collection,19.1,N/A,Natural,Cellulose,Flax,N/A,"straw paper, made in France"
MTA_HMP_193,Microtraces LTD,Arbidar Natural Fibre Collection,19.3,N/A,Natural,Cellulose,Hemp,N/A,"paper, made in USA"
MTA_KNF_194,Microtraces LTD,Arbidar Natural Fibre Collection,19.4,N/A,Natural,Cellulose,Kenaf,N/A,paper
MTF_ACT_001,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,1,Canadian Celanese Celachrome®,Man-made,Cellulose acetate,Cellulose Diacetate,Green,Secondary acetate. Dyed green.
MTF_ACT_002,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,2,Celanese Arnel®,Man-made,Cellulose acetate,Cellulose Triacetate,N/A,Triacetate. Bright. (150 2Z 40).
MTF_ACT_003,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,3,Eastman Fibers Estron®,Man-made,Cellulose acetate,Cellulose Diacetate,N/A,Secondary acetate.
MTF_ACT_004,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,4,FMC American,Man-made,Cellulose acetate,Cellulose Diacetate,N/A,Secondary acetate. Bright.
MTF_ACR_005,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,5,Asahi Chemical Co. Cashmilon® A51,Man-made,Acrylic,PAN/MA,N/A,Super Bright. PAN + MA + terpolymer (Nitric acid solvent). No DMF solvent residue. 3d x 64mm.
MTF_ACR_006,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,6,Asahi Chemical Co. Cashmilon® FK,Man-made,Acrylic,PAN/AA/MA,N/A,Round X.S. Semi-dull. PAN + AA + MA (Nitric acid solvent).
MTF_ACR_007,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,7,Asahi Chemical Co. Cashmilon® G4K,Man-made,Acrylic,PAN/AA/MA,N/A,Bicomponent. PAN : MA/PAN : AA (Nitric acid solvent).
MTF_ACR_008,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,8,Bayer Dralon® 900L,Man-made,Acrylic,PAN/VA,Red,Dyed red. Normal PAN + VA. Second most common acrylic.
MTF_ACR_009,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,9,Bayer Dralon® A,Man-made,Acrylic,PAN/MA,N/A,PAN + MA + basic dye site. 6.7dtex x 100mm. Add dyeing.
MTF_ACR_010,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,10,Bayer Dralon® A,Man-made,Acrylic,PAN/MA,N/A,PAN + MA (DMF solvent). 2.2dtex x 60mm. Increased basic dyeability.
MTF_ACR_011,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,11,Bayer Dralon® X,Man-made,Acrylic,PAN/MA,N/A,PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex x 100mm. Most common type of Dralon.
MTF_ACR_012,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,12,Courtaulds Courtelle® M/ZS,Man-made,Acrylic,Unspecified PAN (Acrylic) Copolymer,N/A,Contains zinc and silver. 1.7dtex x 38mm. Use: medical purposes.
MTF_ACR_013,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,13,Cyanamid Creslan® T61GS,Man-made,Acrylic,PAN/MMA/MA,N/A,"PAN + MMA copolymer. No DMF residue. Semi-dull. 3.0dpf x 2.5"". Use: apparel. Now probably produced by another name by Sterling."
MTF_ACR_014,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,14,Cyanamid Creslan® T61T,Man-made,Acrylic,PAN/MMA/MA,N/A,"PAN + MMA copolymer. No DMF residue. Semi-dull. 3.0dpf x 2.5"". Use: apparel. Now probably produced by another name by Sterling."
MTF_ACR_015,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,15,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 1.3dtex. 1 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_016,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,16,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MA,N/A,PAN + MA (sodium thiocyanate solvent). 1.7dtex. 2 of 9 in a set of fibers to illustrate denier range. This is different from fibers 15 and 17-23.
MTF_ACR_017,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,17,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 2.2dtex. 3 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_018,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,18,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 3.0dtex. 4 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_019,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,19,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 4.1dtex. 5 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_020,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,20,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 5.4dtex. 6 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_021,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,21,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 7.8dtex. 7 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_022,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,22,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 12dtex. 8 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_023,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,23,Cyanenka SA Crilenka®,Man-made,Acrylic,PAN/MMA/MA,N/A,PAN + MMA (sodium thiocyanate solvent). 18dtex. 9 of 9 in a set of fibers to illustrate denier range.
MTF_ACR_024,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,24,Du Pont Orlon® 42,Man-made,Acrylic,PAN/MA,N/A,"Turbo tops. Semi-dull. PAN + MA (DMF solvent). 4.5dpf. Uses: hand-knitting yarns, sweaters and hosiery."
MTF_ACR_026,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,26,Du Pont Orlon® 75,Man-made,Acrylic,Unspecified PAN (Acrylic) Copolymer,N/A,"Bright. 3dpf x 60mm. Regular for cotton spinning systems. Uses: hand-knitting yarns, sweaters and hosiery."
MTF_ACR_027,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,27,Hoechst Dolan® 20,Man-made,Acrylic,PAN/MA,N/A,"Dry spun. White. Bright + optical brightener. PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex x 60mm. Uses: curtains, table cloths, upholstery, blankets, rugs. Most common type of Dralon."
MTF_ACR_028,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,28,Hoechst Dolan® 21,Man-made,Acrylic,PAN/MA,N/A,"Dry spun. Raw. Bright. PAN + MA + aromatic sulphonate (DMF solvent). 6.7dtex x 60mm. Uses: knitted goods, blankets, rugs."
MTF_ACR_029,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,29,Hoechst Dolan® 22,Man-made,Acrylic,PAN/MA,N/A,"Dry spun. White. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex, 90dtex. Uses: knitted outerwear, upholstery fabrics."
MTF_ACR_030,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,30,Hoechst Dolan® 26,Man-made,Acrylic,PAN/MA,N/A,"Wet spun. Bright. White. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Uses: knitted goods, pile fabrics"
MTF_ACR_031,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,31,Hoechst Dolan® 31,Man-made,Acrylic,PAN/MA,N/A,Dry spun. Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 3.3dtex x 60mm. Use: upholstery fabric.
MTF_ACR_032,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,32,Hoechst Dolan® 37,Man-made,Acrylic,PAN/MA,N/A,Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 2.2dtex x 50mm. Uses: blankets and knitted pile fabrics.
MTF_ACR_033,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,33,Hoechst Dolan® 44,Man-made,Acrylic,PAN/MA,N/A,Dry spun. White. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). 6.7dtex x 50mm. Uses: furniture or outer clothing.
MTF_ACR_034,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,34,Hoechst Dolan® 65,Man-made,Acrylic,PAN/MA,N/A,Pigmented. PAN + MA (DMF solvent). For outdoor use.
MTF_ACR_035,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,35,Hoechst Dolan® 81,Man-made,Acrylic,PAN/MA,N/A,Dry spun. Raw. Matt. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Used as carpet fiber.
MTF_ACR_036,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,36,Hoechst Dolan® 86,Man-made,Acrylic,PAN/MA,N/A,Dry spun. Raw. PAN + MA + aromatic sulphonate (DMF solvent). 9.0dtex x 100mm. Use: carpet fiber.
MTF_ACR_037,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,37,Hoechst Dolanit® 10,Man-made,Acrylic,PAN/MA,N/A,Raw. Bright. PAN + MA + aliphatic sulphonate termonomer (DMF solvent). Very low MA level; 6mm. Asbestos substitute.
MTF_ACR_038,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,38,Mann® A-405,Man-made,Acrylic,Unspecified PAN (Acrylic) Copolymer,Green,"Producer dyed. PAN homopolymer. Colors: Bone, Noble Green, Spruce, Wash Denim, Royal Purple, Burgundy, Brite Fuchsia, Scarlet, Navy."
MTF_ACR_039,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,39,Markische Faser Wolpryla® 65,Man-made,Acrylic,PAN/MA,N/A,PAN + MA. No DMF residue.
MTF_ACR_040,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,40,Monsanto Acrilan® B57,Man-made,Acrylic,PAN/VA,N/A,"Bicomponent on PAN + VA base. 6d. x 5."""
MTF_ACR_041,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,41,Snia Velicren®,Man-made,Acrylic,PAN/MA,N/A,Semi-dull with TiO₂. PAN(89%) + MA (DMF solvent). 5d. x 60mm.
MTF_ACR_042,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,42,Snia Velicren®,Man-made,Acrylic,PAN/MA,N/A,Bright. PAN(89%) + MA (DMF solvent). 5d. x 60mm.
MTF_ACR_043,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,43,Snia Velicren® Bicomponent,Man-made,Acrylic,PAN/MA,N/A,Bicomponent. PAN + MA + aromatic sulphonate (DMF solvent). 3.3d. low.
MTF_ACR_044,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,44,Solutia Acrilan® B16,Man-made,Acrylic,PAN/VA,N/A,PAN + VA. 3d.
MTF_ACR_045,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,45,Toho Rayon Beslon® A 240,Man-made,Acrylic,Unspecified PAN (Acrylic) Copolymer,N/A,Acid-dyeable acrylic fiber. PAN + base termonomer (zinc chloride solvent).
MTF_ACR_046,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,46,Toho Rayon Beslon® F 040,Man-made,Acrylic,PAN/AA/MA,N/A,Bicomponent. Random polymer mix. PAN + AA + MA (zinc chloride solvent).
