Num.,Generic Class,Manufacturer Trade Name,Country,Remarks
1,Acetate,Canadian Celanese Celachrome®,Canada,"Secondary acetate. Dyed green."
2,Acetate,Celanese Arnel®,USA,"Triacetate. Bright. (150 2Z 40)."
3,Acetate,Eastman Fibers Estron®,USA,"Secondary acetate."
4,Acetate,FMC American,USA,"Secondary acetate. Bright."
5,Acrylic,Asahi Chemical Co. Cashmilon® AB1,Japan,"Super Bright. PAN + MA + terpolymer (Nitric acid solvent). No DMF solvent residue. 3d x 64mm."
6,Acrylic,Asahi Chemical Co. Cashmilon® FK,Japan,"Round X-S. Semi-dull. PAN + AA + MA (Nitric acid solvent)."
7,Acrylic,Asahi Chemical Co. Cashmilon® G4K,Japan,"Bicomponent. PAN : MA/PAN : AA (Nitric acid solvent)."
8,Acrylic,Bayer Dralon® 900L,Germany,"Dyed red. Normal PAN + VA. Second most common acrylic."
9,Acrylic,Bayer Dralon® A,Germany,"PAN + MA + basic dye site. 6.7dtex x 100mm. Add dyeing."
10,Acrylic,Bayer Dralon® A,Germany,"PAN + MA (DMF solvent). 2.2dtex x 60mm. Increased basic dyeability."
11,Acrylic,Bayer Dralon® X,Germany,"PAN + MA + aromatic sulphonate (DMF solvent). 3.3dtex x 100mm. Most common type of Dralon."
12,Acrylic,Courtaulds Courtelle® M/ZS,UK,"Contains zinc and silver. 1.7dtex x 38mm. Use: medical purposes."
13,Acrylic,Cyanamid Creslan® T61GS,USA,"PAN + MMA copolymer. No DMF residue. Semi-dull. 3.0dpf x 2.5"". Use: apparel. Now probably produced by another name by Sterling."
14,Acrylic,Cyanamid Creslan® T61T,USA,"PAN + MMA copolymer. No DMF residue. Semi-dull. 3.0dpf x 2.5"". Use: apparel. Now probably produced by another name by Sterling."
15,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 1.3dtex. 1 of 9 in a set of fibers to illustrate denier range."
16,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MA (sodium thiocyanate solvent). 1.7dtex. 2 of 9 in a set of fibers to illustrate denier range. This is different from fibers 15 and 17-23."
17,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 2.2dtex. 3 of 9 in a set of fibers to illustrate denier range."
18,Acrylic,Cyanenka SA Crilenka®,Spain,"PAN + MMA (sodium thiocyanate solvent). 3.0dtex. 4 of 9 in a set of fibers to illustrate denier range."
