Sample_ID,Source,Collection,Binder_ID,Manufacturer,Origin,Type,Subtype,Apparent_Colour,Details,Scanned
CAC_1_1,Microtraces LTD,Arbidar Natural Fibre Collection,1.1,N/A,Natural,Cellulose,Cacao,N/A,seed husks,No
COI_1_2,Microtraces LTD,Arbidar Natural Fibre Collection,1.2,N/A,Natural,Cellulose,Coir,N/A,coconut husk fiber,No
FLX_1_3,Microtraces LTD,Arbidar Natural Fibre Collection,1.3,N/A,Natural,Cellulose,Flax,N/A,line fiber,No
FLX_1_4,Microtraces LTD,Arbidar Natural Fibre Collection,1.4,N/A,Natural,Cellulose,Flax,Bleached,"silver, bleached, from France",No
FLX_1_5,Microtraces LTD,Arbidar Natural Fibre Collection,1.5,N/A,Natural,Cellulose,Flax,N/A,"tow, natural color",No
HMP_2_1,Microtraces LTD,Arbidar Natural Fibre Collection,2.1,N/A,Natural,Cellulose,Hemp,N/A,"bast, not hackled (combed)",No
HMP_2_2,Microtraces LTD,Arbidar Natural Fibre Collection,2.2,N/A,Natural,Cellulose,Hemp,N/A,fiber,No
HMP_2_3,Microtraces LTD,Arbidar Natural Fibre Collection,2.3,N/A,Natural,Cellulose,Hemp,N/A,hurds (core),No
JUT_3_1,Microtraces LTD,Arbidar Natural Fibre Collection,3.1,N/A,Natural,Cellulose,Jute,N/A,burlap,Yes
JUT_3_2,Microtraces LTD,Arbidar Natural Fibre Collection,3.2,N/A,Natural,Cellulose,Jute,N/A,fiber,Yes
KPK_3_3,Microtraces LTD,Arbidar Natural Fibre Collection,3.3,N/A,Natural,Cellulose,Kapok,N/A,kapok fibre,No
KNF_4_1,Microtraces LTD,Arbidar Natural Fibre Collection,4.1,N/A,Natural,Cellulose,Kenaf,N/A,core,No
LIN_4_2,Microtraces LTD,Arbidar Natural Fibre Collection,4.2,N/A,Natural,Cellulose,Linen,N/A,hand spun thread,Yes
LIN_4_3,Microtraces LTD,Arbidar Natural Fibre Collection,4.3,N/A,Natural,Cellulose,Linen,N/A,shoemakers thread,Yes
RAF_5_1,Microtraces LTD,Arbidar Natural Fibre Collection,5.1,N/A,Natural,Cellulose,Rafia,N/A,,No
RAM_5_2,Microtraces LTD,Arbidar Natural Fibre Collection,5.2,N/A,Natural,Cellulose,Ramie,N/A,"silver, from China",No
SIS_5_3,Microtraces LTD,Arbidar Natural Fibre Collection,5.3,N/A,Natural,Cellulose,Sisal,N/A,"""rope""",No
COT_6_1,Microtraces LTD,Arbidar Natural Fibre Collection,6.1,N/A,Natural,Cellulose,Cotton,N/A,cord,Yes
COT_6_2,Microtraces LTD,Arbidar Natural Fibre Collection,6.2,N/A,Natural,Cellulose,Cotton,Natural Brown,natural brown fiber,Yes
COT_6_3,Microtraces LTD,Arbidar Natural Fibre Collection,6.3,N/A,Natural,Cellulose,Cotton,Natural Green,natural green fiber,Yes
COT_6_4,Microtraces LTD,Arbidar Natural Fibre Collection,6.4,N/A,Natural,Cellulose,Cotton,N/A,"raw, boll",Yes
COT_7_1,Microtraces LTD,Arbidar Natural Fibre Collection,7.1,N/A,Natural,Cellulose,Cotton,N/A,rug wrap,Yes
COT_7_2,Microtraces LTD,Arbidar Natural Fibre Collection,7.2,N/A,Natural,Cellulose,Cotton,N/A,"seed, with lint",Yes
ALP_7_3,Microtraces LTD,Arbidar Natural Fibre Collection,7.3,N/A,Natural,Protein,Alpaca,Natural Charcoal,natural charcoal,Yes
ALP_7_4,Microtraces LTD,Arbidar Natural Fibre Collection,7.4,N/A,Natural,Protein,Alpaca,Natural Ivory,natural ivory,Yes
CAM_8_2,Microtraces LTD,Arbidar Natural Fibre Collection,8.2,N/A,Natural,Protein,Camel,Blonde,blonde,No
CAM_8_3,Microtraces LTD,Arbidar Natural Fibre Collection,8.3,N/A,Natural,Protein,Camel,N/A,down,No
GOT_8_4,Microtraces LTD,Arbidar Natural Fibre Collection,8.4,N/A,Natural,Protein,Goat,N/A,"Angora, wool",No
GOT_9_1,Microtraces LTD,Arbidar Natural Fibre Collection,9.1,N/A,Natural,Protein,Goat,N/A,"Cashmere, colored, from Montana",No
GOT_9_2,Microtraces LTD,Arbidar Natural Fibre Collection,9.2,N/A,Natural,Protein,Goat,N/A,"Cashmere, from China",No
GOT_9_3,Microtraces LTD,Arbidar Natural Fibre Collection,9.3,N/A,Natural,Protein,Goat,N/A,"Cashmere, from Montana",No
GOT_9_4,Microtraces LTD,Arbidar Natural Fibre Collection,9.4,N/A,Natural,Protein,Goat,N/A,"Mohair, natural white, from England",No
GOS_10_1,Microtraces LTD,Arbidar Natural Fibre Collection,10.1,N/A,Natural,Protein,Goose,N/A,down,No
LLM_10_2,Microtraces LTD,Arbidar Natural Fibre Collection,10.2,N/A,Natural,Protein,Llama,N/A,wool,No
MUX_10_3,Microtraces LTD,Arbidar Natural Fibre Collection,10.3,N/A,Natural,Protein,Musk Ox,N/A,Qiviut,No
RAB_10_4,Microtraces LTD,Arbidar Natural Fibre Collection,10.4,N/A,Natural,Protein,Rabbit,N/A,"Angora, wool",No
YAK_11_1,Microtraces LTD,Arbidar Natural Fibre Collection,11.1,N/A,Natural,Protein,Yak,N/A,down,No
YAK_11_2,Microtraces LTD,Arbidar Natural Fibre Collection,11.2,N/A,Natural,Protein,Yak,N/A,hair,No
WOL_11_3,Microtraces LTD,Arbidar Natural Fibre Collection,11.3,N/A,Natural,Protein,Wool,N/A,Cooperworth sheep wool,Yes
WOL_11_4,Microtraces LTD,Arbidar Natural Fibre Collection,11.4,N/A,Natural,Protein,Wool,N/A,Cormo sheep,Yes
WOL_12_1,Microtraces LTD,Arbidar Natural Fibre Collection,12.1,N/A,Natural,Protein,Wool,N/A,Corriedale sheep,Yes
WOL_12_2,Microtraces LTD,Arbidar Natural Fibre Collection,12.2,N/A,Natural,Protein,Wool,N/A,Icelandic sheep,Yes
WOL_12_3,Microtraces LTD,Arbidar Natural Fibre Collection,12.3,N/A,Natural,Protein,Wool,N/A,Lincoln sheep,Yes
WOL_12_4,Microtraces LTD,Arbidar Natural Fibre Collection,12.4,N/A,Natural,Protein,Wool,N/A,Merino sheep and rayon,Yes
WOL_13_1,Microtraces LTD,Arbidar Natural Fibre Collection,13.1,N/A,Natural,Protein,Wool,N/A,Navajo-Churro sheep,Yes
WOL_13_2,Microtraces LTD,Arbidar Natural Fibre Collection,13.2,N/A,Natural,Protein,Wool,N/A,Polwarth sheep,Yes
WOL_13_3,Microtraces LTD,Arbidar Natural Fibre Collection,13.3,N/A,Natural,Protein,Wool,N/A,Romney sheep,Yes
WOL_13_4,Microtraces LTD,Arbidar Natural Fibre Collection,13.4,N/A,Natural,Protein,Wool,N/A,Shetland sheep,Yes
WOL_14_1,Microtraces LTD,Arbidar Natural Fibre Collection,14.1,N/A,Natural,Protein,Wool,N/A,Suffolk sheep,Yes
WOL_14_2,Microtraces LTD,Arbidar Natural Fibre Collection,14.2,N/A,Natural,Protein,Wool,N/A,Targhee sheep,Yes
WOL_14_3,Microtraces LTD,Arbidar Natural Fibre Collection,14.3,N/A,Natural,Protein,Wool,N/A,"sheep, crepe",Yes
WOL_14_4,Microtraces LTD,Arbidar Natural Fibre Collection,14.4,N/A,Natural,Protein,Wool,N/A,"sheep, felt, handmade",Yes
WOL_15_1,Microtraces LTD,Arbidar Natural Fibre Collection,15.1,N/A,Natural,Protein,Wool,Natural Black,"sheep, natural black roving",Yes
WOL_15_2,Microtraces LTD,Arbidar Natural Fibre Collection,15.2,N/A,Natural,Protein,Wool,N/A,"sheep, scoured",Yes
WOL_15_3,Microtraces LTD,Arbidar Natural Fibre Collection,15.3,N/A,Natural,Protein,Wool,N/A,"sheep, very fine",Yes
WOL_15_4,Microtraces LTD,Arbidar Natural Fibre Collection,15.4,N/A,Natural,Protein,Wool,N/A,"Wool, sheep, w/much darker fibers, natural",Yes
SIL_16_2,Microtraces LTD,Arbidar Natural Fibre Collection,16.2,N/A,Natural,Protein,Silk,N/A,Bombyx mori,Yes
SIL_16_3,Microtraces LTD,Arbidar Natural Fibre Collection,16.3,N/A,Natural,Protein,Silk,N/A,"Bombyx mori, yarn",Yes
SIL_16_4,Microtraces LTD,Arbidar Natural Fibre Collection,16.4,N/A,Natural,Protein,Silk,Dyed,dyed,Yes
SIL_17_1,Microtraces LTD,Arbidar Natural Fibre Collection,17.1,N/A,Natural,Protein,Silk,N/A,"raw, thrown",Yes
SIL_17_2,Microtraces LTD,Arbidar Natural Fibre Collection,17.2,N/A,Natural,Protein,Silk,N/A,thread blended with Rayon,No
SIL_17_3,Microtraces LTD,Arbidar Natural Fibre Collection,17.3,N/A,Natural,Protein,Silk,N/A,"Tussah (wild), blended with camel hair",Yes
SIL_17_4,Microtraces LTD,Arbidar Natural Fibre Collection,17.4,N/A,Natural,Protein,Silk,N/A,Tussah from India,Yes
SIL_18_1,Microtraces LTD,Arbidar Natural Fibre Collection,18.1,N/A,Natural,Protein,Silk,N/A,"wild, two colors, from India",Yes
FLX_19_1,Microtraces LTD,Arbidar Natural Fibre Collection,19.1,N/A,Natural,Cellulose,Flax,N/A,"straw paper, made in France",No
HMP_19_3,Microtraces LTD,Arbidar Natural Fibre Collection,19.3,N/A,Natural,Cellulose,Hemp,N/A,"paper, made in USA",No
KNF_19_4,Microtraces LTD,Arbidar Natural Fibre Collection,19.4,N/A,Natural,Cellulose,Kenaf,N/A,paper,No
ACT_1,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,1,Canadian Celanese Celachrome®,Man-made,Cellulose acetate,Cellulose diacetate (secondary acetate),Green,Secondary acetate. Dyed green.,Yes
ACT_2,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,2,Celanese Arnel®,Man-made,Cellulose acetate,Cellulose triacetate,N/A,Triacetate. Bright. (150 2Z 40).,Yes
ACT_3,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,3,Eastman Fibers Estron®,Man-made,Cellulose acetate,Cellulose diacetate (secondary acetate),N/A,Secondary acetate.,Yes
ACT_4,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,4,FMC American,Man-made,Cellulose acetate,Cellulose diacetate (secondary acetate),N/A,Secondary acetate. Bright.,Yes
ACR_5,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,5,Asahi Chemical Co. Cashmilon® AB1,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,Super Bright. PAN + MA + terpolymer (Nitric acid solvent). No DMF solvent residue. 3d x 64mm.,Yes
ACR_6,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,6,Asahi Chemical Co. Cashmilon® FK,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/AA/MA terpolymer,N/A,Round X-S. Semi-dull. PAN + AA + MA (Nitric acid solvent).,Yes
ACR_7,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,7,Asahi Chemical Co. Cashmilon® G4K,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/AA/MA terpolymer,N/A,Bicomponent. PAN : MA/PAN : AA (Nitric acid solvent).,Yes
ACR_8,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,8,Bayer Dralon® 900L,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/VA copolymer,Red,Dyed red. Normal PAN + VA. Second most common acrylic.,Yes
ACR_9,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,9,Bayer Dralon® A,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,PAN + MA + basic dye site. 6.7dtex x 100mm. Add dyeing.,Yes
ACR_10,Microtraces LTD,Microtrace Forensic Fiber Reference Collection,10,Bayer Dralon® A,Man-made,Acrylic (≥ 85% acrylonitrile),PAN/MA copolymer,N/A,PAN + MA (DMF solvent). 2.2dtex x 60mm. Increased basic dyeability.,Yes
