Sample_Name,Fiber_Type,Category
Acrylic 1,Acrylic,Synthetic
Acrylic 2,Acrylic,Synthetic
Acrylic 3,Acrylic,Synthetic
Acrylic 4,Acrylic,Synthetic
Acrylic 5,Acrylic,Synthetic
Cotton - 1,Cotton,Natural
Cotton - 2,Cotton,Natural
Cotton - 3,Cotton,Natural
Cotton - 4,Cotton,Natural
Cotton - 5,Cotton,Natural
Cotton - 6,Cotton,Natural
Jute - 1,Jute,Natural
Jute - 2,Jute,Natural
Linen - 1,Linen,Natural
Linen - 2,Linen,Natural
Linen - 3,Linen,Natural
Linen - 4,Linen,Natural
Linen - 5,Linen,Natural
Linen - 6,Linen,Natural
Modacrylic - 1,Modacrylic,Synthetic
Modacrylic - 2,Modacrylic,Synthetic
Modacrylic - 3,Modacrylic,Synthetic
Modacrylic - 4,Modacrylic,Synthetic
Nylon 1,Nylon,Synthetic
Nylon 2,Nylon,Synthetic
Nylon 3,Nylon,Synthetic
Polyester - 1,Polyester,Synthetic
Polyester - 2,Polyester,Synthetic
Polyester - 3,Polyester,Synthetic
Polyester - 4,Polyester,Synthetic
Polyester - 5,Polyester,Synthetic
Polyester - 6,Polyester,Synthetic
Polyester 1,Polyester,Synthetic
Polyester 2,Polyester,Synthetic
Polyester 3,Polyester,Synthetic
Rayon - 1,Rayon,Synthetic
Rayon - 10,Rayon,Synthetic
Rayon - 11,Rayon,Synthetic
Rayon - 12,Rayon,Synthetic
Rayon - 2,Rayon,Synthetic
Rayon - 3,Rayon,Synthetic
Rayon - 4,Rayon,Synthetic
Rayon - 5,Rayon,Synthetic
Rayon - 6,Rayon,Synthetic
Rayon - 7,Rayon,Synthetic
Rayon - 8,Rayon,Synthetic
Rayon - 9,Rayon,Synthetic
Silk - 1,Silk,Natural
Silk - 2,Silk,Natural
Silk - 3,Silk,Natural
Silk - 4,Silk,Natural
Silk - 5,Silk,Natural
Silk - 6,Silk,Natural
Silk - 7,Silk,Natural
Silk - 8,Silk,Natural
Silk - Test 1,Silk,Natural
Silk - Test 2,Silk,Natural
Silk - Test 3,Silk,Natural
Wool - 1,Wool,Natural
Wool - 2,Wool,Natural
Wool - 3,Wool,Natural
Wool - 4,Wool,Natural
