Spectrum_ID,Sample_ID,Type,Origin,Min_Transmittance,Max_Transmittance,Mean_Transmittance,Std_Transmittance,Range_Transmittance,Spectral_Points
0001,ACT_1,Cellulose acetate,Man-made,70.61,101.09,96.15265430310059,5.7690417370204585,30.480000000000004,3451
0002,ACT_2,Cellulose acetate,Man-made,67.13,97.58,93.81376122862963,5.415544980452964,30.450000000000003,3451
0003,ACT_3,Cellulose acetate,Man-made,44.62,98.27,91.26042016806717,9.873954268869461,53.65,3451
0004,ACT_4,Cellulose acetate,Man-made,50.29,97.31,91.17141408287485,8.39970986685675,47.02,3451
0005,ACR_5,Acrylic (≥ 85% acrylonitrile),Man-made,91.56,100.43,98.41139669660939,1.3859377659691217,8.870000000000005,3451
0006,ACR_9,Acrylic (≥ 85% acrylonitrile),Man-made,93.55,99.35,97.7640712836857,0.985310200882428,5.799999999999997,3451
0007,ACR_17,Acrylic (≥ 85% acrylonitrile),Man-made,97.97,100.88,99.67169516082289,0.3626708705327743,2.9099999999999966,3451
0008,ACR_17,Acrylic (≥ 85% acrylonitrile),Man-made,92.48,99.83,97.21055925818587,1.7217767958909862,7.349999999999994,3451
0009,ACR_A,Acrylic (≥ 85% acrylonitrile),Man-made,91.63,99.01,96.70634888438111,1.5837601834658344,7.38000000000001,3451
0010,COT_6_2,Cellulose,Natural,63.92,99.15,91.57986090988119,7.348308295869043,35.230000000000004,3451
0011,COT_A,Cellulose,Natural,61.68,99.38,92.02313532309492,7.622369538355747,37.699999999999996,3451
0012,COT_B,Cellulose,Natural,64.82,99.97,90.49712547087796,8.371727906013781,35.150000000000006,3451
0013,COT_6_2,Cellulose,Natural,69.9,99.68,93.33754274123491,6.3044262567399505,29.78,3451
0014,COT_7_1,Cellulose,Natural,82.3,100.4,96.61055925818611,3.449724661157084,18.10000000000001,3451
0015,COT_C,Cellulose,Natural,77.68,100.53,96.18730512894788,4.537047061807968,22.849999999999994,3451
0016,COT_6_1,Cellulose,Natural,74.42,100.07,95.25610837438448,5.356499758746376,25.64999999999999,3451
0017,COT_6_2,Cellulose,Natural,55.33,97.79,89.02222254419013,8.917112250476253,42.46000000000001,3451
0018,COT_D,Cellulose,Natural,53.08,99.27,90.70166908142586,9.615617729171575,46.19,3451
0019,COT_3,Cellulose,Natural,44.01,100.89,89.3500144885541,11.995294519569198,56.88,3451
0020,COT_E,Cellulose,Natural,69.58,98.32,92.503480150681,5.703658444144563,28.739999999999995,3451
0021,JUT_3_1,Cellulose,Natural,70.74,100.25,94.1242857142857,6.313550143933369,29.510000000000005,3451
0022,JUT_3_2,Cellulose,Natural,74.1,100.15,95.01892205157942,5.204364126999166,26.05000000000001,3451
0023,LIN_4_2,Cellulose,Natural,75.74,100.75,95.61011880614286,5.136612075465597,25.010000000000005,3451
0024,LIN_4_3,Cellulose,Natural,42.85,99.9,92.34300782381885,9.638918855455428,57.050000000000004,3451
0025,LIN_4_3,Cellulose,Natural,42.71,100.44,94.1491306867576,8.641409956513376,57.73,3451
0026,LIN_4_2,Cellulose,Natural,69.32,101.95,94.9354100260794,7.314868514840047,32.63000000000001,3451
0027,LIN_A,Cellulose,Natural,67.46,100.79,94.67643291799487,6.909695114871231,33.33000000000001,3451
0028,LIN_B,Cellulose,Natural,44.54,97.02,85.88873370037675,11.651575194395617,52.48,3451
0029,LYO_A,Regenerated cellulose (Rayon),Man-made,44.66,100.11,89.18021153288898,11.28725144525981,55.45,3451
0030,LYO_55,Regenerated cellulose (Rayon),Man-made,58.45,98.54,90.7992813677195,8.174319340029987,40.09,3451
0031,LYO_56,Regenerated cellulose (Rayon),Man-made,76.26,101.4,95.91948130976564,5.145113854178129,25.14,3451
0032,LYO_187,Regenerated cellulose (Rayon),Man-made,80.29,103.13,98.02465951898014,4.654117568085749,22.83999999999999,3451
0033,MAC_57,Modacrylic (35 - 85% acrylonitrile),Man-made,91.54,99.95,98.30476383656935,1.5405494775259692,8.409999999999997,3451
0034,MAC_60,Modacrylic (35 - 85% acrylonitrile),Man-made,74.05,97.32,92.2882439872499,4.7953556735152745,23.269999999999996,3451
0035,MAC_61,Modacrylic (35 - 85% acrylonitrile),Man-made,98.71,101.46,100.45775427412322,0.2668338761856963,2.75,3451
0036,MAC_66,Modacrylic (35 - 85% acrylonitrile),Man-made,84.98,98.42,96.00980295566525,2.0714059737780466,13.439999999999998,3451
