Created as New Dataset,1 Canadian Celanese Co.
cm-1,%T
4000.00,101.04
3999.00,101.04
3998.00,101.03
3997.00,101.03
3996.00,101.03
3995.00,101.03
3994.00,101.03
3993.00,101.03
3992.00,101.03
3991.00,101.04
3990.00,101.05
3989.00,101.06
3988.00,101.05
3987.00,101.03
3986.00,101.00
3985.00,100.98
3984.00,100.96
3983.00,100.96
3982.00,100.96
3981.00,100.96
3980.00,100.97
3979.00,100.98
3978.00,100.98
3977.00,100.98
3976.00,100.98
3975.00,100.98
3974.00,100.99
3973.00,101.00
3972.00,101.00
3971.00,101.00
3970.00,101.00
3969.00,100.99
3968.00,100.99
3967.00,100.99
3966.00,101.00
3965.00,100.99
3964.00,100.99
3963.00,101.00
3962.00,101.01
3961.00,101.02
3960.00,101.03
3959.00,101.04
3958.00,101.05
3957.00,101.06
3956.00,101.07
3955.00,101.07
3954.00,101.07
3953.00,101.06
3952.00,101.06
3951.00,101.07
3950.00,101.07
3949.00,101.08
3948.00,101.09
3947.00,101.09
3946.00,101.09
3945.00,101.08
3944.00,101.07
3943.00,101.06
3942.00,101.06
3941.00,101.05
3940.00,101.04
3939.00,101.03
3938.00,101.02
3937.00,101.01
3936.00,101.00
3935.00,101.00
3934.00,101.00
3933.00,101.00
3932.00,101.01
3931.00,101.02
3930.00,101.04
3929.00,101.06
3928.00,101.07
3927.00,101.08
3926.00,101.08
3925.00,101.07
3924.00,101.05
3923.00,101.05
3922.00,101.04
3921.00,101.03
3920.00,101.03
3919.00,101.02
3918.00,101.01
3917.00,101.01
3916.00,101.01
3915.00,101.01
3914.00,101.01
3913.00,101.00
3912.00,101.00
3911.00,101.00
3910.00,101.00
3909.00,101.00
3908.00,101.00
3907.00,100.99
3906.00,100.97
3905.00,100.97
3904.00,100.98
3903.00,100.98
3902.00,100.96
3901.00,100.94
3900.00,100.93
3899.00,100.94
3898.00,100.97
3897.00,100.99
3896.00,101.00
3895.00,101.01
3894.00,101.03
3893.00,101.05
3892.00,101.06
3891.00,101.05
3890.00,101.04
3889.00,101.04
3888.00,101.02
3887.00,101.01
3886.00,101.01
3885.00,101.02
3884.00,101.04
3883.00,101.04
3882.00,101.01
3881.00,100.97
3880.00,100.95
3879.00,100.94
3878.00,100.94
3877.00,100.93
3876.00,100.92
3875.00,100.92
3874.00,100.93
3873.00,100.96
3872.00,100.98
3871.00,101.00
3870.00,101.01
3869.00,101.04
3868.00,101.05
3867.00,101.03
3866.00,101.01
3865.00,100.99
3864.00,101.00
3863.00,101.00
3862.00,100.98
3861.00,100.95
3860.00,100.93
3859.00,100.92
3858.00,100.94
3857.00,100.96
3856.00,100.99
3855.00,101.00
3854.00,101.01
3853.00,101.01
3852.00,101.01
3851.00,100.98
3850.00,100.93
3849.00,100.91
3848.00,100.92
3847.00,100.96
3846.00,101.00
3845.00,101.03
3844.00,101.04
3843.00,101.05
3842.00,101.05
3841.00,101.04
3840.00,101.02
3839.00,101.01
3838.00,100.99
3837.00,100.98
3836.00,100.95
3835.00,100.93
3834.00,100.92
3833.00,100.92
3832.00,100.92
3831.00,100.92
3830.00,100.92
3829.00,100.93
3828.00,100.94
3827.00,100.96
3826.00,101.00
3825.00,101.03
3824.00,101.03
3823.00,100.99
3822.00,100.94
3821.00,100.92
3820.00,100.95
3819.00,100.98
3818.00,100.98
3817.00,100.95
3816.00,100.93
3815.00,100.91
3814.00,100.89
3813.00,100.86
3812.00,100.85
3811.00,100.87
3810.00,100.90
3809.00,100.91
3808.00,100.90
3807.00,100.89
3806.00,100.89
3805.00,100.90
3804.00,100.90
3803.00,100.88
3802.00,100.87
3801.00,100.87
3800.00,100.88
3799.00,100.88
3798.00,100.88
3797.00,100.89
3796.00,100.92
3795.00,100.95
3794.00,100.95
3793.00,100.93
3792.00,100.90
3791.00,100.89
3790.00,100.87
3789.00,100.86
3788.00,100.85
3787.00,100.84
3786.00,100.84
3785.00,100.86
3784.00,100.87
3783.00,100.89
3782.00,100.88
3781.00,100.86
3780.00,100.84
3779.00,100.83
3778.00,100.83
3777.00,100.83
3776.00,100.82
3775.00,100.82
3774.00,100.82
3773.00,100.83
3772.00,100.83
3771.00,100.83
3770.00,100.84
3769.00,100.84
3768.00,100.84
3767.00,100.82
3766.00,100.80
3765.00,100.79
3764.00,100.78
3763.00,100.78
3762.00,100.77
3761.00,100.76
3760.00,100.77
3759.00,100.77
3758.00,100.77
3757.00,100.77
3756.00,100.76
3755.00,100.76
3754.00,100.76
3753.00,100.77
3752.00,100.78
3751.00,100.78
3750.00,100.78
3749.00,100.78
3748.00,100.75
3747.00,100.70
3746.00,100.65
3745.00,100.61
3744.00,100.62
3743.00,100.65
3742.00,100.68
3741.00,100.69
3740.00,100.73
3739.00,100.79
3738.00,100.83
3737.00,100.82
3736.00,100.77
3735.00,100.74
3734.00,100.72
3733.00,100.71
3732.00,100.70
3731.00,100.70
3730.00,100.69
3729.00,100.68
3728.00,100.67
3727.00,100.68
3726.00,100.70
3725.00,100.72
3724.00,100.74
3723.00,100.74
3722.00,100.74
3721.00,100.74
3720.00,100.73
3719.00,100.72
3718.00,100.72
3717.00,100.72
3716.00,100.73
3715.00,100.72
3714.00,100.70
3713.00,100.68
3712.00,100.67
3711.00,100.68
3710.00,100.70
3709.00,100.71
3708.00,100.70
3707.00,100.68
3706.00,100.65
3705.00,100.62
3704.00,100.59
3703.00,100.56
3702.00,100.53
3701.00,100.51
3700.00,100.51
