Created as New Dataset,2 Celanese
cm-1,%T
4000.00,97.48
3999.00,97.50
3998.00,97.52
3997.00,97.54
3996.00,97.56
3995.00,97.58
3994.00,97.58
3993.00,97.57
3992.00,97.56
3991.00,97.54
3990.00,97.51
3989.00,97.48
3988.00,97.46
3987.00,97.46
3986.00,97.46
3985.00,97.46
3984.00,97.46
3983.00,97.46
3982.00,97.46
3981.00,97.45
3980.00,97.45
3979.00,97.44
3978.00,97.44
3977.00,97.45
3976.00,97.45
3975.00,97.45
3974.00,97.44
3973.00,97.44
3972.00,97.44
3971.00,97.45
3970.00,97.46
3969.00,97.48
3968.00,97.49
3967.00,97.50
3966.00,97.51
3965.00,97.51
3964.00,97.51
3963.00,97.50
3962.00,97.49
3961.00,97.49
3960.00,97.49
3959.00,97.49
3958.00,97.50
3957.00,97.50
3956.00,97.50
3955.00,97.51
3954.00,97.52
3953.00,97.52
3952.00,97.51
3951.00,97.51
3950.00,97.51
3949.00,97.52
3948.00,97.53
3947.00,97.54
3946.00,97.55
3945.00,97.55
3944.00,97.54
3943.00,97.53
3942.00,97.51
3941.00,97.51
3940.00,97.51
3939.00,97.51
3938.00,97.52
3937.00,97.51
3936.00,97.51
3935.00,97.50
3934.00,97.49
3933.00,97.48
3932.00,97.47
3931.00,97.48
3930.00,97.50
3929.00,97.52
3928.00,97.53
3927.00,97.52
3926.00,97.51
3925.00,97.52
3924.00,97.53
3923.00,97.54
3922.00,97.54
3921.00,97.53
3920.00,97.51
3919.00,97.50
3918.00,97.50
3917.00,97.50
3916.00,97.51
3915.00,97.51
3914.00,97.51
3913.00,97.49
3912.00,97.48
3911.00,97.47
3910.00,97.47
3909.00,97.48
3908.00,97.48
3907.00,97.48
3906.00,97.49
3905.00,97.50
3904.00,97.53
3903.00,97.55
3902.00,97.57
3901.00,97.56
3900.00,97.53
3899.00,97.51
3898.00,97.51
3897.00,97.53
3896.00,97.56
3895.00,97.57
3894.00,97.57
3893.00,97.54
3892.00,97.51
3891.00,97.49
3890.00,97.49
3889.00,97.51
3888.00,97.53
3887.00,97.53
3886.00,97.51
3885.00,97.51
3884.00,97.52
3883.00,97.53
3882.00,97.52
3881.00,97.50
3880.00,97.47
3879.00,97.46
3878.00,97.47
3877.00,97.47
3876.00,97.46
3875.00,97.45
3874.00,97.45
3873.00,97.46
3872.00,97.46
3871.00,97.45
3870.00,97.42
3869.00,97.40
3868.00,97.41
3867.00,97.45
3866.00,97.47
3865.00,97.47
3864.00,97.47
3863.00,97.46
3862.00,97.46
3861.00,97.45
3860.00,97.44
3859.00,97.44
3858.00,97.45
3857.00,97.47
3856.00,97.49
3855.00,97.50
3854.00,97.50
3853.00,97.49
3852.00,97.51
3851.00,97.52
3850.00,97.50
3849.00,97.44
3848.00,97.40
3847.00,97.38
3846.00,97.40
3845.00,97.43
3844.00,97.46
3843.00,97.47
3842.00,97.47
3841.00,97.46
3840.00,97.46
3839.00,97.46
3838.00,97.46
3837.00,97.45
3836.00,97.44
3835.00,97.42
3834.00,97.40
3833.00,97.38
3832.00,97.37
3831.00,97.37
3830.00,97.40
3829.00,97.42
3828.00,97.42
3827.00,97.40
3826.00,97.36
3825.00,97.35
3824.00,97.36
3823.00,97.39
3822.00,97.40
3821.00,97.41
3820.00,97.41
3819.00,97.41
3818.00,97.39
3817.00,97.35
3816.00,97.30
3815.00,97.26
3814.00,97.24
3813.00,97.25
3812.00,97.25
3811.00,97.26
3810.00,97.29
3809.00,97.32
3808.00,97.33
3807.00,97.32
3806.00,97.32
3805.00,97.33
3804.00,97.34
3803.00,97.31
3802.00,97.27
3801.00,97.23
3800.00,97.22
3799.00,97.25
3798.00,97.26
3797.00,97.27
3796.00,97.28
3795.00,97.29
3794.00,97.32
3793.00,97.33
3792.00,97.33
3791.00,97.33
3790.00,97.35
3789.00,97.37
3788.00,97.38
3787.00,97.38
3786.00,97.35
3785.00,97.32
3784.00,97.30
3783.00,97.29
3782.00,97.30
3781.00,97.32
3780.00,97.34
3779.00,97.36
3778.00,97.36
3777.00,97.36
3776.00,97.33
3775.00,97.29
3774.00,97.26
3773.00,97.24
3772.00,97.25
3771.00,97.26
3770.00,97.27
3769.00,97.28
3768.00,97.29
3767.00,97.28
3766.00,97.25
3765.00,97.22
3764.00,97.21
3763.00,97.22
3762.00,97.24
3761.00,97.25
3760.00,97.26
3759.00,97.27
3758.00,97.28
3757.00,97.28
3756.00,97.27
3755.00,97.26
3754.00,97.24
3753.00,97.22
3752.00,97.18
3751.00,97.14
3750.00,97.12
3749.00,97.13
3748.00,97.16
3747.00,97.20
3746.00,97.22
3745.00,97.21
3744.00,97.19
3743.00,97.21
3742.00,97.26
3741.00,97.28
3740.00,97.27
3739.00,97.25
3738.00,97.24
3737.00,97.25
3736.00,97.24
3735.00,97.23
3734.00,97.23
3733.00,97.23
3732.00,97.23
3731.00,97.22
3730.00,97.22
3729.00,97.22
3728.00,97.20
3727.00,97.18
3726.00,97.16
3725.00,97.16
3724.00,97.17
3723.00,97.18
3722.00,97.19
3721.00,97.19
3720.00,97.18
3719.00,97.16
3718.00,97.15
3717.00,97.14
3716.00,97.16
3715.00,97.18
3714.00,97.20
3713.00,97.19
3712.00,97.16
3711.00,97.12
3710.00,97.10
3709.00,97.10
3708.00,97.10
3707.00,97.11
3706.00,97.12
3705.00,97.12
3704.00,97.12
3703.00,97.12
3702.00,97.12
3701.00,97.11
3700.00,97.11
3699.00,97.11
3698.00,97.11
3697.00,97.10
3696.00,97.10
3695.00,97.11
3694.00,97.11
3693.00,97.10
3692.00,97.08
3691.00,97.08
3690.00,97.08
3689.00,97.08
3688.00,97.07
3687.00,97.06
3686.00,97.06
3685.00,97.07
3684.00,97.07
3683.00,97.08
3682.00,97.08
3681.00,97.06
3680.00,97.05
3679.00,97.04
3678.00,97.04
3677.00,97.02
3676.00,96.97
3675.00,96.91
3674.00,96.89
3673.00,96.89
3672.00,96.90
3671.00,96.89
3670.00,96.88
3669.00,96.88
3668.00,96.89
3667.00,96.90
3666.00,96.89
3665.00,96.87
3664.00,96.86
3663.00,96.83
3662.00,96.81
3661.00,96.80
3660.00,96.81
3659.00,96.83
3658.00,96.85
3657.00,96.87
