Created as New Dataset,4 FMC American Viscose
cm-1,%T
4000.00,97.22
3999.00,97.25
3998.00,97.27
3997.00,97.29
3996.00,97.29
3995.00,97.29
3994.00,97.29
3993.00,97.30
3992.00,97.29
3991.00,97.28
3990.00,97.26
3989.00,97.24
3988.00,97.22
3987.00,97.20
3986.00,97.20
3985.00,97.20
3984.00,97.20
3983.00,97.21
3982.00,97.22
3981.00,97.22
3980.00,97.23
3979.00,97.23
3978.00,97.23
3977.00,97.24
3976.00,97.25
3975.00,97.24
3974.00,97.22
3973.00,97.19
3972.00,97.17
3971.00,97.16
3970.00,97.18
3969.00,97.20
3968.00,97.22
3967.00,97.23
3966.00,97.24
3965.00,97.25
3964.00,97.26
3963.00,97.28
3962.00,97.28
3961.00,97.28
3960.00,97.27
3959.00,97.26
3958.00,97.26
3957.00,97.26
3956.00,97.27
3955.00,97.28
3954.00,97.28
3953.00,97.27
3952.00,97.26
3951.00,97.25
3950.00,97.26
3949.00,97.27
3948.00,97.28
3947.00,97.29
3946.00,97.29
3945.00,97.29
3944.00,97.30
3943.00,97.31
3942.00,97.31
3941.00,97.30
3940.00,97.28
3939.00,97.26
3938.00,97.25
3937.00,97.25
3936.00,97.24
3935.00,97.23
3934.00,97.21
3933.00,97.20
3932.00,97.20
3931.00,97.22
3930.00,97.23
3929.00,97.23
3928.00,97.22
3927.00,97.22
3926.00,97.22
3925.00,97.23
3924.00,97.26
3923.00,97.28
3922.00,97.28
3921.00,97.27
3920.00,97.24
3919.00,97.22
3918.00,97.20
3917.00,97.20
3916.00,97.21
3915.00,97.20
3914.00,97.20
3913.00,97.19
3912.00,97.18
3911.00,97.19
3910.00,97.19
3909.00,97.19
3908.00,97.20
3907.00,97.20
3906.00,97.21
3905.00,97.22
3904.00,97.23
3903.00,97.23
3902.00,97.21
3901.00,97.17
3900.00,97.14
3899.00,97.14
3898.00,97.16
3897.00,97.18
3896.00,97.21
3895.00,97.22
3894.00,97.22
3893.00,97.21
3892.00,97.20
3891.00,97.20
3890.00,97.22
3889.00,97.23
3888.00,97.22
3887.00,97.19
3886.00,97.18
3885.00,97.17
3884.00,97.16
3883.00,97.14
3882.00,97.14
3881.00,97.15
3880.00,97.17
3879.00,97.18
3878.00,97.16
3877.00,97.13
3876.00,97.11
3875.00,97.11
3874.00,97.13
3873.00,97.14
3872.00,97.12
3871.00,97.10
3870.00,97.10
3869.00,97.11
3868.00,97.10
3867.00,97.07
3866.00,97.05
3865.00,97.07
3864.00,97.09
3863.00,97.11
3862.00,97.11
3861.00,97.12
3860.00,97.13
3859.00,97.13
3858.00,97.12
3857.00,97.09
3856.00,97.05
3855.00,97.02
3854.00,97.00
3853.00,97.02
3852.00,97.03
3851.00,97.03
3850.00,97.03
3849.00,97.05
3848.00,97.08
3847.00,97.10
3846.00,97.11
3845.00,97.10
3844.00,97.10
3843.00,97.10
3842.00,97.09
3841.00,97.07
3840.00,97.04
3839.00,97.02
3838.00,97.02
3837.00,97.01
3836.00,97.01
3835.00,97.00
3834.00,97.00
3833.00,97.00
3832.00,97.02
3831.00,97.04
3830.00,97.05
3829.00,97.04
3828.00,97.03
3827.00,97.02
3826.00,97.01
3825.00,97.00
3824.00,96.99
3823.00,96.97
3822.00,96.96
3821.00,96.97
3820.00,96.98
3819.00,96.97
3818.00,96.96
3817.00,96.96
3816.00,96.98
3815.00,96.99
3814.00,96.97
3813.00,96.95
3812.00,96.95
3811.00,96.99
3810.00,97.03
3809.00,97.05
3808.00,97.03
3807.00,97.02
3806.00,97.01
3805.00,96.99
3804.00,96.95
3803.00,96.91
3802.00,96.89
3801.00,96.89
3800.00,96.89
3799.00,96.87
3798.00,96.88
3797.00,96.91
3796.00,96.96
3795.00,96.99
3794.00,97.00
3793.00,97.00
3792.00,97.00
3791.00,97.02
3790.00,97.04
3789.00,97.05
3788.00,97.06
3787.00,97.06
3786.00,97.04
3785.00,97.03
3784.00,97.02
3783.00,97.02
3782.00,97.02
3781.00,97.02
3780.00,97.01
3779.00,97.02
3778.00,97.02
3777.00,97.03
3776.00,97.02
3775.00,97.00
3774.00,96.98
3773.00,96.96
3772.00,96.94
3771.00,96.93
3770.00,96.92
3769.00,96.91
3768.00,96.88
3767.00,96.85
3766.00,96.83
3765.00,96.84
3764.00,96.85
3763.00,96.86
3762.00,96.85
3761.00,96.86
3760.00,96.88
3759.00,96.89
3758.00,96.90
3757.00,96.89
3756.00,96.89
3755.00,96.89
3754.00,96.87
3753.00,96.84
3752.00,96.77
3751.00,96.71
3750.00,96.67
3749.00,96.67
3748.00,96.69
3747.00,96.71
3746.00,96.71
3745.00,96.72
3744.00,96.76
3743.00,96.79
3742.00,96.79
3741.00,96.78
3740.00,96.81
3739.00,96.84
3738.00,96.85
3737.00,96.83
3736.00,96.80
3735.00,96.77
3734.00,96.75
3733.00,96.74
3732.00,96.76
3731.00,96.79
3730.00,96.80
3729.00,96.79
3728.00,96.78
3727.00,96.79
3726.00,96.81
3725.00,96.83
3724.00,96.84
3723.00,96.84
3722.00,96.84
3721.00,96.83
3720.00,96.81
3719.00,96.79
3718.00,96.78
3717.00,96.78
3716.00,96.79
3715.00,96.80
3714.00,96.81
3713.00,96.81
3712.00,96.79
3711.00,96.75
3710.00,96.72
3709.00,96.72
3708.00,96.74
3707.00,96.77
3706.00,96.80
3705.00,96.82
3704.00,96.82
3703.00,96.80
3702.00,96.79
3701.00,96.78
3700.00,96.77
3699.00,96.77
3698.00,96.78
3697.00,96.79
3696.00,96.80
3695.00,96.79
3694.00,96.76
3693.00,96.71
3692.00,96.66
3691.00,96.63
3690.00,96.62
3689.00,96.63
3688.00,96.64
3687.00,96.64
3686.00,96.64
3685.00,96.65
3684.00,96.66
3683.00,96.67
3682.00,96.64
3681.00,96.60
3680.00,96.56
3679.00,96.54
3678.00,96.51
3677.00,96.47
3676.00,96.44
3675.00,96.42
3674.00,96.40
3673.00,96.37
3672.00,96.34
3671.00,96.34
3670.00,96.34
3669.00,96.35
3668.00,96.34
3667.00,96.33
3666.00,96.34
3665.00,96.37
3664.00,96.38
3663.00,96.37
3662.00,96.34
3661.00,96.30
3660.00,96.28
3659.00,96.28
3658.00,96.27
3657.00,96.26
3656.00,96.23
3655.00,96.19
3654.00,96.14
3653.00,96.09
3652.00,96.05
3651.00,96.02
3650.00,95.97
3649.00,95.94
3648.00,95.92
3647.00,95.92
3646.00,95.93
3645.00,95.92
3644.00,95.90
3643.00,95.88
3642.00,95.87
3641.00,95.87
3640.00,95.89
3639.00,95.90
3638.00,95.91
3637.00,95.90
3636.00,95.89
3635.00,95.88
3634.00,95.87
3633.00,95.86
3632.00,95.84
3631.00,95.81
3630.00,95.77
3629.00,95.73
3628.00,95.69
3627.00,95.63
3626.00,95.59
3625.00,95.58
3624.00,95.60
3623.00,95.62
3622.00,95.63
3621.00,95.63
3620.00,95.62
3619.00,95.61
3618.00,95.59
3617.00,95.56
3616.00,95.53
3615.00,95.51
3614.00,95.51
3613.00,95.51
3612.00,95.51
3611.00,95.48
3610.00,95.45
3609.00,95.45
3608.00,95.46
3607.00,95.47
3606.00,95.47
3605.00,95.45
3604.00,95.43
3603.00,95.41
3602.00,95.40
3601.00,95.39
3600.00,95.37
3599.00,95.35
3598.00,95.34
3597.00,95.33
3596.00,95.32
3595.00,95.30
3594.00,95.29
3593.00,95.29
3592.00,95.31
3591.00,95.33
3590.00,95.34
3589.00,95.34
3588.00,95.34
3587.00,95.33
3586.00,95.31
3585.00,95.28
3584.00,95.25
3583.00,95.23
3582.00,95.21
3581.00,95.19
3580.00,95.16
3579.00,95.15
3578.00,95.14
3577.00,95.13
3576.00,95.11
3575.00,95.07
3574.00,95.05
3573.00,95.03
3572.00,95.03
3571.00,95.02
3570.00,95.01
3569.00,95.00
3568.00,95.00
3567.00,95.00
3566.00,94.99
3565.00,94.95
3564.00,94.90
3563.00,94.86
3562.00,94.83
3561.00,94.82
3560.00,94.80
3559.00,94.77
3558.00,94.75
3557.00,94.72
3556.00,94.71
3555.00,94.69
3554.00,94.67
3553.00,94.66
3552.00,94.65
3551.00,94.64
3550.00,94.62
3549.00,94.59
3548.00,94.56
3547.00,94.54
3546.00,94.53
3545.00,94.53
3544.00,94.52
3543.00,94.50
3542.00,94.46
3541.00,94.42
3540.00,94.39
3539.00,94.38
3538.00,94.38
3537.00,94.38
3536.00,94.38
3535.00,94.37
3534.00,94.35
3533.00,94.33
3532.00,94.31
3531.00,94.30
3530.00,94.29
3529.00,94.28
3528.00,94.28
3527.00,94.27
3526.00,94.27
3525.00,94.28
3524.00,94.28
3523.00,94.28
3522.00,94.26
3521.00,94.23
3520.00,94.21
3519.00,94.18
3518.00,94.16
3517.00,94.14
3516.00,94.13
3515.00,94.12
3514.00,94.13
3513.00,94.13
3512.00,94.11
3511.00,94.08
3510.00,94.06
3509.00,94.04
3508.00,94.04
3507.00,94.04
3506.00,94.03
3505.00,94.01
3504.00,93.98
3503.00,93.96
3502.00,93.95
3501.00,93.95
3500.00,93.95
3499.00,93.93
3498.00,93.91
3497.00,93.89
3496.00,93.88
3495.00,93.89
3494.00,93.90
3493.00,93.92
3492.00,93.92
3491.00,93.90
3490.00,93.88
3489.00,93.85
3488.00,93.85
3487.00,93.85
3486.00,93.86
3485.00,93.87
3484.00,93.85
3483.00,93.83
3482.00,93.82
3481.00,93.82
3480.00,93.82
3479.00,93.83
3478.00,93.82
3477.00,93.81
3476.00,93.80
3475.00,93.80
3474.00,93.81
3473.00,93.81
3472.00,93.80
3471.00,93.79
3470.00,93.79
3469.00,93.80
3468.00,93.82
3467.00,93.83
3466.00,93.82
3465.00,93.82
3464.00,93.81
3463.00,93.81
3462.00,93.82
3461.00,93.83
3460.00,93.84
3459.00,93.86
3458.00,93.88
3457.00,93.89
3456.00,93.89
3455.00,93.88
3454.00,93.87
3453.00,93.86
3452.00,93.86
3451.00,93.86
3450.00,93.86
3449.00,93.87
3448.00,93.89
3447.00,93.93
3446.00,93.97
3445.00,93.99
3444.00,94.00
3443.00,94.00
3442.00,93.99
3441.00,93.98
3440.00,93.98
3439.00,94.00
3438.00,94.02
3437.00,94.04
3436.00,94.05
3435.00,94.06
3434.00,94.08
3433.00,94.10
3432.00,94.13
3431.00,94.14
3430.00,94.16
3429.00,94.17
3428.00,94.18
3427.00,94.19
3426.00,94.19
3425.00,94.18
3424.00,94.17
3423.00,94.16
3422.00,94.16
3421.00,94.18
3420.00,94.21
3419.00,94.24
3418.00,94.26
3417.00,94.28
3416.00,94.29
3415.00,94.31
3414.00,94.32
3413.00,94.33
3412.00,94.33
3411.00,94.32
3410.00,94.31
3409.00,94.31
3408.00,94.33
3407.00,94.34
3406.00,94.34
3405.00,94.35
3404.00,94.36
3403.00,94.38
3402.00,94.39
3401.00,94.41
3400.00,94.42
3399.00,94.42
3398.00,94.42
3397.00,94.42
3396.00,94.42
3395.00,94.44
3394.00,94.46
3393.00,94.47
3392.00,94.48
3391.00,94.48
3390.00,94.48
3389.00,94.48
3388.00,94.48
3387.00,94.48
3386.00,94.50
3385.00,94.52
3384.00,94.54
3383.00,94.55
3382.00,94.55
3381.00,94.53
3380.00,94.52
3379.00,94.52
3378.00,94.54
3377.00,94.56
3376.00,94.60
3375.00,94.64
3374.00,94.66
3373.00,94.67
3372.00,94.66
3371.00,94.65
3370.00,94.64
3369.00,94.65
3368.00,94.66
3367.00,94.66
3366.00,94.65
3365.00,94.65
3364.00,94.64
3363.00,94.65
3362.00,94.66
3361.00,94.68
3360.00,94.69
3359.00,94.70
3358.00,94.70
3357.00,94.70
3356.00,94.70
3355.00,94.71
3354.00,94.73
3353.00,94.75
3352.00,94.78
3351.00,94.79
3350.00,94.79
3349.00,94.79
3348.00,94.79
3347.00,94.80
3346.00,94.81
3345.00,94.83
3344.00,94.85
3343.00,94.88
3342.00,94.90
3341.00,94.91
