Created as New Dataset,11. Acrylic Bayer
cm-1,%T
4000.00,100.32
3999.00,100.31
3998.00,100.30
3997.00,100.28
3996.00,100.27
3995.00,100.26
3994.00,100.26
3993.00,100.27
3992.00,100.27
3991.00,100.28
3990.00,100.29
3989.00,100.29
3988.00,100.27
3987.00,100.25
3986.00,100.23
3985.00,100.22
3984.00,100.23
3983.00,100.24
3982.00,100.24
3981.00,100.24
3980.00,100.24
3979.00,100.24
3978.00,100.24
3977.00,100.24
3976.00,100.24
3975.00,100.24
3974.00,100.23
3973.00,100.23
3972.00,100.22
3971.00,100.21
3970.00,100.22
3969.00,100.24
3968.00,100.26
3967.00,100.28
3966.00,100.29
3965.00,100.29
3964.00,100.29
3963.00,100.29
3962.00,100.28
3961.00,100.28
3960.00,100.28
3959.00,100.27
3958.00,100.25
3957.00,100.23
3956.00,100.21
3955.00,100.21
3954.00,100.22
3953.00,100.25
3952.00,100.27
3951.00,100.29
3950.00,100.30
3949.00,100.29
3948.00,100.28
3947.00,100.28
3946.00,100.28
3945.00,100.29
3944.00,100.30
3943.00,100.31
3942.00,100.31
3941.00,100.31
3940.00,100.30
3939.00,100.28
3938.00,100.26
3937.00,100.24
3936.00,100.24
3935.00,100.24
3934.00,100.24
3933.00,100.23
3932.00,100.22
3931.00,100.21
3930.00,100.22
3929.00,100.23
3928.00,100.25
3927.00,100.26
3926.00,100.26
3925.00,100.27
3924.00,100.27
3923.00,100.29
3922.00,100.29
3921.00,100.28
3920.00,100.26
3919.00,100.23
3918.00,100.21
3917.00,100.20
3916.00,100.21
3915.00,100.24
3914.00,100.26
3913.00,100.27
3912.00,100.27
3911.00,100.27
3910.00,100.28
3909.00,100.30
3908.00,100.31
3907.00,100.32
3906.00,100.32
3905.00,100.32
3904.00,100.31
3903.00,100.30
3902.00,100.31
3901.00,100.32
3900.00,100.33
3899.00,100.32
3898.00,100.30
3897.00,100.28
3896.00,100.27
3895.00,100.26
3894.00,100.25
3893.00,100.25
3892.00,100.23
3891.00,100.23
3890.00,100.23
3889.00,100.24
3888.00,100.25
3887.00,100.26
3886.00,100.24
3885.00,100.22
3884.00,100.21
3883.00,100.20
3882.00,100.20
3881.00,100.19
3880.00,100.20
3879.00,100.21
3878.00,100.22
3877.00,100.22
3876.00,100.21
3875.00,100.18
3874.00,100.17
3873.00,100.18
3872.00,100.18
3871.00,100.17
3870.00,100.17
3869.00,100.17
3868.00,100.19
3867.00,100.22
3866.00,100.23
3865.00,100.22
3864.00,100.21
3863.00,100.21
3862.00,100.22
3861.00,100.23
3860.00,100.24
3859.00,100.24
3858.00,100.24
3857.00,100.25
3856.00,100.26
3855.00,100.27
3854.00,100.27
3853.00,100.25
3852.00,100.23
3851.00,100.24
3850.00,100.24
3849.00,100.23
3848.00,100.23
3847.00,100.23
3846.00,100.23
3845.00,100.24
3844.00,100.25
3843.00,100.26
3842.00,100.28
3841.00,100.29
3840.00,100.29
3839.00,100.28
3838.00,100.27
3837.00,100.26
3836.00,100.26
3835.00,100.27
3834.00,100.26
3833.00,100.25
3832.00,100.23
3831.00,100.21
3830.00,100.19
3829.00,100.17
3828.00,100.15
3827.00,100.14
3826.00,100.14
3825.00,100.16
3824.00,100.17
3823.00,100.17
3822.00,100.14
3821.00,100.11
3820.00,100.10
3819.00,100.11
3818.00,100.12
3817.00,100.12
3816.00,100.12
3815.00,100.13
3814.00,100.14
3813.00,100.15
3812.00,100.15
3811.00,100.16
3810.00,100.18
3809.00,100.19
3808.00,100.19
3807.00,100.16
3806.00,100.13
3805.00,100.11
3804.00,100.11
3803.00,100.12
3802.00,100.14
3801.00,100.16
3800.00,100.18
3799.00,100.19
3798.00,100.18
3797.00,100.15
3796.00,100.13
3795.00,100.13
3794.00,100.15
3793.00,100.17
3792.00,100.17
3791.00,100.17
3790.00,100.16
3789.00,100.14
3788.00,100.14
3787.00,100.15
3786.00,100.17
3785.00,100.18
3784.00,100.17
3783.00,100.16
3782.00,100.14
3781.00,100.13
3780.00,100.12
3779.00,100.13
3778.00,100.14
3777.00,100.15
3776.00,100.16
3775.00,100.16
3774.00,100.15
3773.00,100.15
3772.00,100.16
3771.00,100.15
3770.00,100.14
3769.00,100.12
3768.00,100.11
3767.00,100.11
3766.00,100.11
3765.00,100.11
3764.00,100.11
3763.00,100.10
3762.00,100.10
3761.00,100.11
3760.00,100.12
3759.00,100.13
3758.00,100.14
3757.00,100.13
3756.00,100.12
3755.00,100.10
3754.00,100.10
3753.00,100.12
3752.00,100.15
3751.00,100.16
3750.00,100.16
3749.00,100.13
3748.00,100.12
3747.00,100.11
3746.00,100.10
3745.00,100.09
3744.00,100.09
3743.00,100.10
3742.00,100.13
3741.00,100.14
3740.00,100.14
3739.00,100.15
3738.00,100.16
3737.00,100.17
3736.00,100.17
3735.00,100.15
3734.00,100.13
3733.00,100.11
3732.00,100.09
3731.00,100.09
3730.00,100.09
3729.00,100.10
3728.00,100.10
3727.00,100.11
3726.00,100.11
3725.00,100.12
3724.00,100.11
3723.00,100.10
3722.00,100.09
3721.00,100.09
3720.00,100.10
3719.00,100.10
3718.00,100.09
3717.00,100.08
3716.00,100.08
3715.00,100.09
3714.00,100.08
3713.00,100.06
3712.00,100.02
3711.00,100.00
3710.00,100.01
3709.00,100.02
3708.00,100.02
3707.00,100.02
3706.00,100.00
3705.00,100.00
3704.00,100.00
3703.00,100.01
3702.00,100.05
3701.00,100.10
3700.00,100.15
3699.00,100.17
3698.00,100.16
3697.00,100.12
3696.00,100.10
3695.00,100.09
3694.00,100.09
3693.00,100.11
3692.00,100.12
3691.00,100.12
3690.00,100.11
3689.00,100.08
3688.00,100.07
3687.00,100.06
3686.00,100.05
3685.00,100.03
3684.00,100.01
3683.00,99.99
3682.00,99.98
3681.00,99.97
3680.00,99.98
3679.00,99.99
3678.00,100.01
3677.00,100.03
3676.00,100.03
3675.00,100.04
3674.00,100.05
3673.00,100.06
3672.00,100.06
3671.00,100.04
3670.00,100.04
3669.00,100.06
3668.00,100.07
3667.00,100.06
3666.00,100.02
3665.00,99.97
3664.00,99.94
3663.00,99.92
3662.00,99.92
3661.00,99.91
3660.00,99.92
3659.00,99.93
3658.00,99.94
3657.00,99.95
3656.00,99.95
