Created as New Dataset,12. Acrylic Courtaulds Dyed
cm-1,%T
4000.00,94.30
3999.00,94.29
3998.00,94.27
3997.00,94.25
3996.00,94.24
3995.00,94.23
3994.00,94.22
3993.00,94.21
3992.00,94.20
3991.00,94.20
3990.00,94.21
3989.00,94.23
3988.00,94.26
3987.00,94.27
3986.00,94.27
3985.00,94.26
3984.00,94.25
3983.00,94.24
3982.00,94.25
3981.00,94.25
3980.00,94.25
3979.00,94.23
3978.00,94.22
3977.00,94.20
3976.00,94.21
3975.00,94.23
3974.00,94.26
3973.00,94.28
3972.00,94.29
3971.00,94.30
3970.00,94.31
3969.00,94.32
3968.00,94.32
3967.00,94.31
3966.00,94.30
3965.00,94.29
3964.00,94.28
3963.00,94.29
3962.00,94.30
3961.00,94.31
3960.00,94.31
3959.00,94.32
3958.00,94.32
3957.00,94.31
3956.00,94.28
3955.00,94.26
3954.00,94.23
3953.00,94.21
3952.00,94.20
3951.00,94.20
3950.00,94.20
3949.00,94.20
3948.00,94.21
3947.00,94.21
3946.00,94.21
3945.00,94.21
3944.00,94.22
3943.00,94.23
3942.00,94.24
3941.00,94.22
3940.00,94.20
3939.00,94.19
3938.00,94.18
3937.00,94.19
3936.00,94.19
3935.00,94.19
3934.00,94.18
3933.00,94.19
3932.00,94.20
3931.00,94.22
3930.00,94.23
3929.00,94.22
3928.00,94.21
3927.00,94.18
3926.00,94.16
3925.00,94.16
3924.00,94.17
3923.00,94.18
3922.00,94.18
3921.00,94.18
3920.00,94.17
3919.00,94.17
3918.00,94.18
3917.00,94.20
3916.00,94.22
3915.00,94.24
3914.00,94.25
3913.00,94.26
3912.00,94.27
3911.00,94.27
3910.00,94.26
3909.00,94.25
3908.00,94.23
3907.00,94.21
3906.00,94.19
3905.00,94.18
3904.00,94.18
3903.00,94.19
3902.00,94.18
3901.00,94.17
3900.00,94.16
3899.00,94.16
3898.00,94.17
3897.00,94.17
3896.00,94.18
3895.00,94.18
3894.00,94.19
3893.00,94.20
3892.00,94.21
3891.00,94.22
3890.00,94.22
3889.00,94.20
3888.00,94.20
3887.00,94.21
3886.00,94.23
3885.00,94.23
3884.00,94.21
3883.00,94.17
3882.00,94.14
3881.00,94.13
3880.00,94.14
3879.00,94.16
3878.00,94.16
3877.00,94.16
3876.00,94.17
3875.00,94.19
3874.00,94.20
3873.00,94.20
3872.00,94.20
3871.00,94.19
3870.00,94.19
3869.00,94.18
3868.00,94.16
3867.00,94.14
3866.00,94.14
3865.00,94.14
3864.00,94.15
3863.00,94.15
3862.00,94.14
3861.00,94.13
3860.00,94.15
3859.00,94.16
3858.00,94.17
3857.00,94.14
3856.00,94.09
3855.00,94.03
3854.00,94.01
3853.00,94.02
3852.00,94.02
3851.00,94.00
3850.00,94.02
3849.00,94.07
3848.00,94.12
3847.00,94.15
3846.00,94.16
3845.00,94.16
3844.00,94.15
3843.00,94.14
3842.00,94.13
3841.00,94.13
3840.00,94.13
3839.00,94.14
3838.00,94.13
3837.00,94.11
3836.00,94.08
3835.00,94.07
3834.00,94.09
3833.00,94.13
3832.00,94.16
3831.00,94.17
3830.00,94.15
3829.00,94.12
3828.00,94.10
3827.00,94.09
3826.00,94.10
3825.00,94.11
3824.00,94.11
3823.00,94.11
3822.00,94.11
3821.00,94.11
3820.00,94.09
3819.00,94.06
3818.00,94.04
3817.00,94.06
3816.00,94.11
3815.00,94.14
3814.00,94.14
3813.00,94.13
3812.00,94.14
3811.00,94.15
3810.00,94.16
3809.00,94.15
3808.00,94.14
3807.00,94.15
3806.00,94.14
3805.00,94.13
3804.00,94.09
3803.00,94.06
3802.00,94.04
3801.00,94.04
3800.00,94.04
3799.00,94.04
3798.00,94.05
3797.00,94.09
3796.00,94.13
3795.00,94.16
3794.00,94.17
3793.00,94.18
3792.00,94.18
3791.00,94.19
3790.00,94.19
3789.00,94.19
3788.00,94.18
3787.00,94.17
3786.00,94.16
3785.00,94.17
3784.00,94.18
3783.00,94.19
3782.00,94.19
3781.00,94.19
3780.00,94.18
3779.00,94.17
3778.00,94.15
3777.00,94.14
3776.00,94.14
3775.00,94.14
3774.00,94.14
3773.00,94.13
3772.00,94.12
3771.00,94.11
3770.00,94.11
3769.00,94.11
3768.00,94.10
3767.00,94.09
3766.00,94.09
3765.00,94.09
3764.00,94.10
3763.00,94.09
3762.00,94.09
3761.00,94.08
3760.00,94.08
3759.00,94.09
3758.00,94.10
3757.00,94.10
3756.00,94.08
3755.00,94.04
3754.00,94.00
3753.00,93.95
3752.00,93.91
3751.00,93.88
3750.00,93.87
3749.00,93.84
3748.00,93.81
3747.00,93.79
3746.00,93.79
3745.00,93.83
3744.00,93.88
3743.00,93.90
3742.00,93.90
3741.00,93.90
3740.00,93.93
3739.00,93.97
3738.00,93.99
3737.00,94.00
3736.00,94.01
3735.00,94.00
3734.00,93.98
3733.00,93.95
3732.00,93.95
3731.00,93.95
3730.00,93.97
3729.00,93.98
3728.00,93.99
3727.00,94.00
3726.00,93.99
3725.00,93.98
3724.00,93.98
3723.00,93.99
3722.00,94.02
3721.00,94.03
3720.00,94.03
3719.00,94.03
3718.00,94.04
3717.00,94.04
3716.00,94.04
3715.00,94.02
3714.00,94.00
3713.00,93.97
3712.00,93.95
3711.00,93.94
3710.00,93.93
3709.00,93.93
3708.00,93.95
3707.00,93.98
3706.00,94.01
