Created as New Dataset,24 Du Pont
cm-1,%T
4000.00,99.02
3999.00,99.02
3998.00,99.00
3997.00,98.97
3996.00,98.94
3995.00,98.92
3994.00,98.90
3993.00,98.90
3992.00,98.89
3991.00,98.91
3990.00,98.92
3989.00,98.93
3988.00,98.94
3987.00,98.95
3986.00,98.95
3985.00,98.95
3984.00,98.93
3983.00,98.92
3982.00,98.90
3981.00,98.90
3980.00,98.91
3979.00,98.92
3978.00,98.92
3977.00,98.91
3976.00,98.91
3975.00,98.91
3974.00,98.91
3973.00,98.92
3972.00,98.93
3971.00,98.93
3970.00,98.93
3969.00,98.92
3968.00,98.91
3967.00,98.91
3966.00,98.91
3965.00,98.92
3964.00,98.93
3963.00,98.94
3962.00,98.95
3961.00,98.95
3960.00,98.94
3959.00,98.94
3958.00,98.95
3957.00,98.95
3956.00,98.96
3955.00,98.96
3954.00,98.96
3953.00,98.96
3952.00,98.96
3951.00,98.97
3950.00,98.98
3949.00,99.00
3948.00,99.02
3947.00,99.03
3946.00,99.03
3945.00,99.00
3944.00,98.97
3943.00,98.94
3942.00,98.91
3941.00,98.90
3940.00,98.90
3939.00,98.92
3938.00,98.95
3937.00,98.97
3936.00,98.98
3935.00,98.96
3934.00,98.94
3933.00,98.91
3932.00,98.89
3931.00,98.88
3930.00,98.87
3929.00,98.87
3928.00,98.86
3927.00,98.85
3926.00,98.85
3925.00,98.86
3924.00,98.87
3923.00,98.87
3922.00,98.85
3921.00,98.84
3920.00,98.83
3919.00,98.82
3918.00,98.82
3917.00,98.83
3916.00,98.84
3915.00,98.86
3914.00,98.88
3913.00,98.91
3912.00,98.93
3911.00,98.94
3910.00,98.94
3909.00,98.94
3908.00,98.93
3907.00,98.92
3906.00,98.92
3905.00,98.93
3904.00,98.94
3903.00,98.93
3902.00,98.92
3901.00,98.90
3900.00,98.88
3899.00,98.88
3898.00,98.88
3897.00,98.87
3896.00,98.86
3895.00,98.85
3894.00,98.84
3893.00,98.84
3892.00,98.84
3891.00,98.84
3890.00,98.83
3889.00,98.81
3888.00,98.79
3887.00,98.79
3886.00,98.81
3885.00,98.83
3884.00,98.82
3883.00,98.79
3882.00,98.76
3881.00,98.76
3880.00,98.78
3879.00,98.82
3878.00,98.84
3877.00,98.84
3876.00,98.83
3875.00,98.81
3874.00,98.81
3873.00,98.81
3872.00,98.82
3871.00,98.82
3870.00,98.84
3869.00,98.86
3868.00,98.87
3867.00,98.87
3866.00,98.86
3865.00,98.85
3864.00,98.84
3863.00,98.83
3862.00,98.82
3861.00,98.81
3860.00,98.80
3859.00,98.78
3858.00,98.78
3857.00,98.78
3856.00,98.79
3855.00,98.79
3854.00,98.79
3853.00,98.79
3852.00,98.78
3851.00,98.78
3850.00,98.77
3849.00,98.77
3848.00,98.77
3847.00,98.76
3846.00,98.75
3845.00,98.74
3844.00,98.74
3843.00,98.75
3842.00,98.75
3841.00,98.74
3840.00,98.72
3839.00,98.71
3838.00,98.71
3837.00,98.72
3836.00,98.74
3835.00,98.75
3834.00,98.75
3833.00,98.76
3832.00,98.78
3831.00,98.79
3830.00,98.79
3829.00,98.78
3828.00,98.76
3827.00,98.73
3826.00,98.72
3825.00,98.71
3824.00,98.71
3823.00,98.71
3822.00,98.71
3821.00,98.72
3820.00,98.73
3819.00,98.72
3818.00,98.72
3817.00,98.72
3816.00,98.72
3815.00,98.72
3814.00,98.71
3813.00,98.70
3812.00,98.70
3811.00,98.70
3810.00,98.69
3809.00,98.68
3808.00,98.67
3807.00,98.67
3806.00,98.68
3805.00,98.68
3804.00,98.68
3803.00,98.67
3802.00,98.68
3801.00,98.69
3800.00,98.69
3799.00,98.69
3798.00,98.69
3797.00,98.71
3796.00,98.74
3795.00,98.76
3794.00,98.76
3793.00,98.77
3792.00,98.77
3791.00,98.78
3790.00,98.76
3789.00,98.74
3788.00,98.71
3787.00,98.68
3786.00,98.66
3785.00,98.66
3784.00,98.67
3783.00,98.67
3782.00,98.66
3781.00,98.64
3780.00,98.63
3779.00,98.64
3778.00,98.66
3777.00,98.68
3776.00,98.68
3775.00,98.67
3774.00,98.65
3773.00,98.62
3772.00,98.59
3771.00,98.57
3770.00,98.57
3769.00,98.56
3768.00,98.56
3767.00,98.55
3766.00,98.55
3765.00,98.56
3764.00,98.58
3763.00,98.59
3762.00,98.59
3761.00,98.58
3760.00,98.57
3759.00,98.56
3758.00,98.55
3757.00,98.55
3756.00,98.53
3755.00,98.51
3754.00,98.49
3753.00,98.47
3752.00,98.47
3751.00,98.48
3750.00,98.48
3749.00,98.48
3748.00,98.48
3747.00,98.48
3746.00,98.49
3745.00,98.52
3744.00,98.55
3743.00,98.54
3742.00,98.52
3741.00,98.51
3740.00,98.52
3739.00,98.53
3738.00,98.53
3737.00,98.51
3736.00,98.49
3735.00,98.49
3734.00,98.50
3733.00,98.50
3732.00,98.50
3731.00,98.50
3730.00,98.49
3729.00,98.49
3728.00,98.49
3727.00,98.50
3726.00,98.51
3725.00,98.50
3724.00,98.46
3723.00,98.43
3722.00,98.43
3721.00,98.44
3720.00,98.45
3719.00,98.45
3718.00,98.43
3717.00,98.41
3716.00,98.40
3715.00,98.39
3714.00,98.39
3713.00,98.40
3712.00,98.41
3711.00,98.41
3710.00,98.41
3709.00,98.42
3708.00,98.43
3707.00,98.44
3706.00,98.45
3705.00,98.45
3704.00,98.44
3703.00,98.43
3702.00,98.42
3701.00,98.40
3700.00,98.40
3699.00,98.40
3698.00,98.42
3697.00,98.43
3696.00,98.43
3695.00,98.41
3694.00,98.40
3693.00,98.39
3692.00,98.38
3691.00,98.38
3690.00,98.36
3689.00,98.36
3688.00,98.36
3687.00,98.36
3686.00,98.37
3685.00,98.38
3684.00,98.40
3683.00,98.41
3682.00,98.41
3681.00,98.40
3680.00,98.39
3679.00,98.39
3678.00,98.38
3677.00,98.34
3676.00,98.30
3675.00,98.27
3674.00,98.26
3673.00,98.27
3672.00,98.30
3671.00,98.34
3670.00,98.38
3669.00,98.39
3668.00,98.38
3667.00,98.36
3666.00,98.34
3665.00,98.32
3664.00,98.30
3663.00,98.28
3662.00,98.26
3661.00,98.25
3660.00,98.24
3659.00,98.23
3658.00,98.23
3657.00,98.23
3656.00,98.24
3655.00,98.22
3654.00,98.19
3653.00,98.15
3652.00,98.12
3651.00,98.11
3650.00,98.11
3649.00,98.11
3648.00,98.12
3647.00,98.13
3646.00,98.14
3645.00,98.16
3644.00,98.17
3643.00,98.20
3642.00,98.21
3641.00,98.22
3640.00,98.22
3639.00,98.21
3638.00,98.20
3637.00,98.21
3636.00,98.22
3635.00,98.24
3634.00,98.25
3633.00,98.26
3632.00,98.26
3631.00,98.25
3630.00,98.23
3629.00,98.22
3628.00,98.21
3627.00,98.21
3626.00,98.22
3625.00,98.23
3624.00,98.24
3623.00,98.23
3622.00,98.20
3621.00,98.16
3620.00,98.13
3619.00,98.13
3618.00,98.13
3617.00,98.13
3616.00,98.13
3615.00,98.16
3614.00,98.20
3613.00,98.22
3612.00,98.23
3611.00,98.21
3610.00,98.18
3609.00,98.16
3608.00,98.16
3607.00,98.19
3606.00,98.22
3605.00,98.23
3604.00,98.22
3603.00,98.19
3602.00,98.16
3601.00,98.16
3600.00,98.16
3599.00,98.17
3598.00,98.18
3597.00,98.17
3596.00,98.17
3595.00,98.18
3594.00,98.21
3593.00,98.22
3592.00,98.23
3591.00,98.21
3590.00,98.18
3589.00,98.15
3588.00,98.15
3587.00,98.17
3586.00,98.21
3585.00,98.24
3584.00,98.27
3583.00,98.29
3582.00,98.30
3581.00,98.32
3580.00,98.33
3579.00,98.34
3578.00,98.34
3577.00,98.32
3576.00,98.30
3575.00,98.29
3574.00,98.30
3573.00,98.32
3572.00,98.34
3571.00,98.33
3570.00,98.31
3569.00,98.26
3568.00,98.22
3567.00,98.21
3566.00,98.22
3565.00,98.25
3564.00,98.27
3563.00,98.30
3562.00,98.32
3561.00,98.34
3560.00,98.34
3559.00,98.34
