Created as New Dataset,34. Hoechst (Dark Red)
cm-1,%T
4000.00,98.88
3999.00,98.87
3998.00,98.85
3997.00,98.83
3996.00,98.83
3995.00,98.84
3994.00,98.86
3993.00,98.87
3992.00,98.86
3991.00,98.85
3990.00,98.84
3989.00,98.84
3988.00,98.83
3987.00,98.82
3986.00,98.82
3985.00,98.83
3984.00,98.83
3983.00,98.82
3982.00,98.81
3981.00,98.79
3980.00,98.78
3979.00,98.79
3978.00,98.80
3977.00,98.81
3976.00,98.82
3975.00,98.82
3974.00,98.82
3973.00,98.83
3972.00,98.83
3971.00,98.83
3970.00,98.82
3969.00,98.81
3968.00,98.80
3967.00,98.79
3966.00,98.79
3965.00,98.80
3964.00,98.81
3963.00,98.82
3962.00,98.82
3961.00,98.83
3960.00,98.84
3959.00,98.86
3958.00,98.88
3957.00,98.90
3956.00,98.90
3955.00,98.88
3954.00,98.86
3953.00,98.85
3952.00,98.85
3951.00,98.86
3950.00,98.87
3949.00,98.88
3948.00,98.89
3947.00,98.88
3946.00,98.87
3945.00,98.86
3944.00,98.84
3943.00,98.81
3942.00,98.79
3941.00,98.77
3940.00,98.78
3939.00,98.80
3938.00,98.83
3937.00,98.84
3936.00,98.84
3935.00,98.84
3934.00,98.84
3933.00,98.84
3932.00,98.83
3931.00,98.81
3930.00,98.79
3929.00,98.77
3928.00,98.77
3927.00,98.79
3926.00,98.82
3925.00,98.84
3924.00,98.85
3923.00,98.84
3922.00,98.82
3921.00,98.81
3920.00,98.80
3919.00,98.78
3918.00,98.75
3917.00,98.73
3916.00,98.73
3915.00,98.75
3914.00,98.76
3913.00,98.77
3912.00,98.77
3911.00,98.77
3910.00,98.78
3909.00,98.80
3908.00,98.83
3907.00,98.86
3906.00,98.88
3905.00,98.90
3904.00,98.91
3903.00,98.90
3902.00,98.87
3901.00,98.85
3900.00,98.84
3899.00,98.83
3898.00,98.82
3897.00,98.82
3896.00,98.82
3895.00,98.81
3894.00,98.80
3893.00,98.79
3892.00,98.79
3891.00,98.79
3890.00,98.78
3889.00,98.77
3888.00,98.76
3887.00,98.76
3886.00,98.77
3885.00,98.77
3884.00,98.76
3883.00,98.74
3882.00,98.73
3881.00,98.73
3880.00,98.73
3879.00,98.74
3878.00,98.74
3877.00,98.74
3876.00,98.74
3875.00,98.75
3874.00,98.76
3873.00,98.75
3872.00,98.75
3871.00,98.76
3870.00,98.77
3869.00,98.77
3868.00,98.76
3867.00,98.74
3866.00,98.74
3865.00,98.75
3864.00,98.75
3863.00,98.74
3862.00,98.73
3861.00,98.73
3860.00,98.73
3859.00,98.74
3858.00,98.74
3857.00,98.73
3856.00,98.71
3855.00,98.68
3854.00,98.66
3853.00,98.65
3852.00,98.62
3851.00,98.61
3850.00,98.61
3849.00,98.62
3848.00,98.64
3847.00,98.65
3846.00,98.65
3845.00,98.65
3844.00,98.65
3843.00,98.66
3842.00,98.66
3841.00,98.66
3840.00,98.65
3839.00,98.64
3838.00,98.63
3837.00,98.64
3836.00,98.65
3835.00,98.67
3834.00,98.69
3833.00,98.70
3832.00,98.71
3831.00,98.72
3830.00,98.71
3829.00,98.70
3828.00,98.69
3827.00,98.69
3826.00,98.69
3825.00,98.67
3824.00,98.64
3823.00,98.62
3822.00,98.62
3821.00,98.63
3820.00,98.62
3819.00,98.59
3818.00,98.57
3817.00,98.58
3816.00,98.60
3815.00,98.59
3814.00,98.56
3813.00,98.54
3812.00,98.54
3811.00,98.55
3810.00,98.57
3809.00,98.57
3808.00,98.58
3807.00,98.59
3806.00,98.59
3805.00,98.57
3804.00,98.54
3803.00,98.53
3802.00,98.55
3801.00,98.57
3800.00,98.58
3799.00,98.58
3798.00,98.58
3797.00,98.60
3796.00,98.62
3795.00,98.63
3794.00,98.63
3793.00,98.61
3792.00,98.59
3791.00,98.56
3790.00,98.54
3789.00,98.53
3788.00,98.52
3787.00,98.51
3786.00,98.51
3785.00,98.52
3784.00,98.53
3783.00,98.52
3782.00,98.51
3781.00,98.50
3780.00,98.50
3779.00,98.51
3778.00,98.53
3777.00,98.54
3776.00,98.56
3775.00,98.56
3774.00,98.55
3773.00,98.51
3772.00,98.48
3771.00,98.46
3770.00,98.45
3769.00,98.46
3768.00,98.46
3767.00,98.46
3766.00,98.45
3765.00,98.46
3764.00,98.46
3763.00,98.46
3762.00,98.46
3761.00,98.45
3760.00,98.43
3759.00,98.41
3758.00,98.40
3757.00,98.40
3756.00,98.38
3755.00,98.36
3754.00,98.34
3753.00,98.35
3752.00,98.38
3751.00,98.42
3750.00,98.45
3749.00,98.46
3748.00,98.45
3747.00,98.43
3746.00,98.43
3745.00,98.45
3744.00,98.46
3743.00,98.45
3742.00,98.43
3741.00,98.43
3740.00,98.44
3739.00,98.45
3738.00,98.44
3737.00,98.43
3736.00,98.43
3735.00,98.43
3734.00,98.43
3733.00,98.43
3732.00,98.43
3731.00,98.43
3730.00,98.42
3729.00,98.42
3728.00,98.43
3727.00,98.44
3726.00,98.44
3725.00,98.41
3724.00,98.37
3723.00,98.34
3722.00,98.33
3721.00,98.35
3720.00,98.36
3719.00,98.37
3718.00,98.36
3717.00,98.36
3716.00,98.37
3715.00,98.37
3714.00,98.38
3713.00,98.38
3712.00,98.37
3711.00,98.36
3710.00,98.34
3709.00,98.33
3708.00,98.34
3707.00,98.35
3706.00,98.37
3705.00,98.38
3704.00,98.38
3703.00,98.38
3702.00,98.37
3701.00,98.36
3700.00,98.35
3699.00,98.34
3698.00,98.33
3697.00,98.32
3696.00,98.32
3695.00,98.33
3694.00,98.35
3693.00,98.37
3692.00,98.36
3691.00,98.32
3690.00,98.26
3689.00,98.22
3688.00,98.20
3687.00,98.21
3686.00,98.23
3685.00,98.27
3684.00,98.29
3683.00,98.30
3682.00,98.28
3681.00,98.26
3680.00,98.24
3679.00,98.22
3678.00,98.20
3677.00,98.19
3676.00,98.19
3675.00,98.19
3674.00,98.19
3673.00,98.19
3672.00,98.21
3671.00,98.25
3670.00,98.28
3669.00,98.27
3668.00,98.24
3667.00,98.22
3666.00,98.21
3665.00,98.19
3664.00,98.17
3663.00,98.15
3662.00,98.13
3661.00,98.13
3660.00,98.12
3659.00,98.12
3658.00,98.10
3657.00,98.09
3656.00,98.08
3655.00,98.08
3654.00,98.06
3653.00,98.05
3652.00,98.03
3651.00,98.03
3650.00,98.03
3649.00,98.04
3648.00,98.03
3647.00,98.02
3646.00,98.01
3645.00,97.98
3644.00,97.96
3643.00,97.94
3642.00,97.92
3641.00,97.92
3640.00,97.94
3639.00,97.96
3638.00,97.99
3637.00,98.01
3636.00,98.03
3635.00,98.05
3634.00,98.06
3633.00,98.07
3632.00,98.05
3631.00,98.03
3630.00,98.02
3629.00,98.01
3628.00,97.98
3627.00,97.95
3626.00,97.94
3625.00,97.95
3624.00,97.97
3623.00,97.98
3622.00,97.97
3621.00,97.96
