Created as New Dataset,37 Hoechst
cm-1,%T
4000.00,97.28
3999.00,97.27
3998.00,97.26
3997.00,97.25
3996.00,97.25
3995.00,97.24
3994.00,97.23
3993.00,97.21
3992.00,97.19
3991.00,97.18
3990.00,97.18
3989.00,97.19
3988.00,97.21
3987.00,97.23
3986.00,97.25
3985.00,97.25
3984.00,97.25
3983.00,97.24
3982.00,97.23
3981.00,97.21
3980.00,97.20
3979.00,97.20
3978.00,97.20
3977.00,97.20
3976.00,97.20
3975.00,97.19
3974.00,97.19
3973.00,97.18
3972.00,97.19
3971.00,97.20
3970.00,97.21
3969.00,97.21
3968.00,97.21
3967.00,97.21
3966.00,97.21
3965.00,97.22
3964.00,97.24
3963.00,97.25
3962.00,97.26
3961.00,97.25
3960.00,97.24
3959.00,97.23
3958.00,97.24
3957.00,97.25
3956.00,97.25
3955.00,97.23
3954.00,97.21
3953.00,97.19
3952.00,97.19
3951.00,97.20
3950.00,97.22
3949.00,97.23
3948.00,97.24
3947.00,97.23
3946.00,97.22
3945.00,97.21
3944.00,97.20
3943.00,97.20
3942.00,97.19
3941.00,97.19
3940.00,97.19
3939.00,97.20
3938.00,97.21
3937.00,97.22
3936.00,97.21
3935.00,97.20
3934.00,97.18
3933.00,97.16
3932.00,97.15
3931.00,97.14
3930.00,97.13
3929.00,97.11
3928.00,97.09
3927.00,97.08
3926.00,97.09
3925.00,97.11
3924.00,97.12
3923.00,97.11
3922.00,97.10
3921.00,97.08
3920.00,97.06
3919.00,97.05
3918.00,97.06
3917.00,97.08
3916.00,97.10
3915.00,97.11
3914.00,97.10
3913.00,97.10
3912.00,97.11
3911.00,97.13
3910.00,97.14
3909.00,97.15
3908.00,97.15
3907.00,97.15
3906.00,97.15
3905.00,97.17
3904.00,97.19
3903.00,97.19
3902.00,97.19
3901.00,97.17
3900.00,97.16
3899.00,97.15
3898.00,97.14
3897.00,97.14
3896.00,97.14
3895.00,97.14
3894.00,97.13
3893.00,97.13
3892.00,97.14
3891.00,97.14
3890.00,97.11
3889.00,97.07
3888.00,97.04
3887.00,97.04
3886.00,97.07
3885.00,97.08
3884.00,97.06
3883.00,97.04
3882.00,97.04
3881.00,97.06
3880.00,97.07
3879.00,97.07
3878.00,97.06
3877.00,97.05
