Created as New Dataset,17. Cyanenka SA
cm-1,%T
4000.00,100.01
3999.00,100.01
3998.00,100.01
3997.00,100.02
3996.00,100.02
3995.00,100.02
3994.00,100.02
3993.00,100.02
3992.00,100.01
3991.00,100.01
3990.00,100.02
3989.00,100.03
3988.00,100.05
3987.00,100.06
3986.00,100.06
3985.00,100.07
3984.00,100.08
3983.00,100.09
3982.00,100.10
3981.00,100.09
3980.00,100.08
3979.00,100.06
3978.00,100.06
3977.00,100.06
3976.00,100.06
3975.00,100.07
3974.00,100.06
3973.00,100.06
3972.00,100.05
3971.00,100.04
3970.00,100.03
3969.00,100.03
3968.00,100.02
3967.00,100.02
3966.00,100.03
3965.00,100.03
3964.00,100.04
3963.00,100.04
3962.00,100.05
3961.00,100.06
3960.00,100.07
3959.00,100.07
3958.00,100.06
3957.00,100.04
3956.00,100.03
3955.00,100.01
3954.00,100.00
3953.00,99.99
3952.00,100.00
3951.00,100.02
3950.00,100.04
3949.00,100.06
3948.00,100.08
3947.00,100.09
3946.00,100.10
3945.00,100.10
3944.00,100.09
3943.00,100.09
3942.00,100.09
3941.00,100.10
3940.00,100.11
3939.00,100.11
3938.00,100.09
3937.00,100.06
3936.00,100.04
3935.00,100.03
3934.00,100.02
3933.00,100.02
3932.00,100.02
3931.00,100.04
3930.00,100.06
3929.00,100.08
3928.00,100.09
3927.00,100.09
3926.00,100.07
3925.00,100.06
3924.00,100.04
3923.00,100.04
3922.00,100.05
3921.00,100.07
3920.00,100.08
3919.00,100.08
3918.00,100.08
3917.00,100.08
3916.00,100.08
3915.00,100.08
3914.00,100.07
3913.00,100.07
3912.00,100.06
3911.00,100.05
3910.00,100.05
3909.00,100.05
3908.00,100.06
3907.00,100.06
3906.00,100.07
3905.00,100.08
3904.00,100.09
3903.00,100.09
3902.00,100.08
3901.00,100.07
3900.00,100.07
3899.00,100.07
3898.00,100.07
3897.00,100.07
3896.00,100.07
3895.00,100.07
3894.00,100.08
3893.00,100.08
3892.00,100.08
3891.00,100.06
3890.00,100.05
3889.00,100.03
