Created as New Dataset,6. Acrylic Asahi Chemical Co
cm-1,%T
4000.00,99.78
3999.00,99.78
3998.00,99.77
3997.00,99.76
3996.00,99.75
3995.00,99.73
3994.00,99.73
3993.00,99.73
3992.00,99.74
3991.00,99.75
3990.00,99.75
3989.00,99.75
3988.00,99.74
3987.00,99.74
3986.00,99.74
3985.00,99.73
3984.00,99.72
3983.00,99.71
3982.00,99.71
3981.00,99.72
3980.00,99.74
3979.00,99.75
3978.00,99.75
3977.00,99.73
3976.00,99.72
3975.00,99.70
3974.00,99.70
3973.00,99.70
3972.00,99.71
3971.00,99.70
3970.00,99.70
3969.00,99.70
3968.00,99.71
3967.00,99.73
3966.00,99.74
3965.00,99.75
3964.00,99.75
3963.00,99.75
3962.00,99.76
3961.00,99.76
3960.00,99.76
3959.00,99.75
3958.00,99.76
3957.00,99.76
3956.00,99.77
3955.00,99.78
3954.00,99.78
3953.00,99.77
3952.00,99.77
3951.00,99.77
3950.00,99.77
3949.00,99.76
3948.00,99.74
3947.00,99.71
3946.00,99.69
3945.00,99.68
3944.00,99.70
3943.00,99.73
3942.00,99.75
3941.00,99.77
3940.00,99.76
3939.00,99.76
3938.00,99.76
3937.00,99.76
3936.00,99.76
3935.00,99.75
3934.00,99.74
3933.00,99.73
3932.00,99.73
3931.00,99.73
3930.00,99.74
3929.00,99.76
3928.00,99.76
3927.00,99.76
3926.00,99.75
3925.00,99.74
3924.00,99.73
3923.00,99.70
3922.00,99.68
3921.00,99.66
3920.00,99.66
3919.00,99.67
3918.00,99.69
3917.00,99.71
3916.00,99.71
3915.00,99.70
3914.00,99.68
3913.00,99.68
3912.00,99.69
3911.00,99.72
3910.00,99.74
3909.00,99.73
3908.00,99.70
3907.00,99.65
3906.00,99.61
3905.00,99.58
3904.00,99.57
3903.00,99.57
3902.00,99.56
3901.00,99.56
3900.00,99.58
3899.00,99.61
3898.00,99.64
3897.00,99.66
3896.00,99.66
3895.00,99.66
3894.00,99.66
3893.00,99.66
3892.00,99.66
3891.00,99.67
3890.00,99.66
3889.00,99.63
3888.00,99.58
3887.00,99.58
3886.00,99.62
3885.00,99.66
3884.00,99.66
3883.00,99.62
3882.00,99.58
3881.00,99.59
3880.00,99.61
3879.00,99.62
3878.00,99.60
3877.00,99.57
3876.00,99.56
3875.00,99.59
3874.00,99.61
3873.00,99.60
3872.00,99.56
3871.00,99.53
3870.00,99.56
3869.00,99.59
3868.00,99.59
3867.00,99.56
3866.00,99.56
3865.00,99.59
3864.00,99.62
3863.00,99.62
3862.00,99.61
3861.00,99.61
3860.00,99.63
3859.00,99.66
3858.00,99.68
3857.00,99.68
3856.00,99.65
3855.00,99.63
3854.00,99.62
3853.00,99.61
3852.00,99.58
3851.00,99.56
3850.00,99.54
3849.00,99.56
3848.00,99.60
3847.00,99.64
3846.00,99.66
3845.00,99.67
3844.00,99.66
3843.00,99.65
3842.00,99.62
3841.00,99.60
3840.00,99.57
3839.00,99.56
3838.00,99.54
3837.00,99.52
3836.00,99.49
3835.00,99.48
3834.00,99.48
3833.00,99.50
3832.00,99.53
3831.00,99.55
3830.00,99.55
3829.00,99.53
3828.00,99.52
3827.00,99.54
3826.00,99.57
3825.00,99.58
3824.00,99.54
3823.00,99.50
3822.00,99.50
3821.00,99.52
3820.00,99.53
3819.00,99.51
3818.00,99.48
3817.00,99.50
3816.00,99.56
3815.00,99.60
3814.00,99.59
3813.00,99.57
3812.00,99.56
3811.00,99.57
3810.00,99.58
3809.00,99.58
3808.00,99.59
3807.00,99.62
3806.00,99.63
3805.00,99.60
3804.00,99.55
3803.00,99.53
3802.00,99.55
3801.00,99.59
3800.00,99.57
3799.00,99.52
3798.00,99.47
3797.00,99.47
3796.00,99.51
3795.00,99.53
3794.00,99.54
3793.00,99.54
3792.00,99.55
3791.00,99.56
3790.00,99.56
3789.00,99.55
3788.00,99.54
3787.00,99.52
3786.00,99.50
3785.00,99.48
3784.00,99.48
3783.00,99.48
3782.00,99.48
3781.00,99.48
3780.00,99.49
3779.00,99.49
3778.00,99.49
3777.00,99.47
3776.00,99.47
3775.00,99.48
3774.00,99.48
3773.00,99.46
3772.00,99.43
3771.00,99.41
3770.00,99.41
3769.00,99.42
3768.00,99.43
3767.00,99.44
3766.00,99.45
3765.00,99.47
3764.00,99.47
3763.00,99.44
3762.00,99.42
3761.00,99.41
3760.00,99.43
3759.00,99.44
3758.00,99.45
3757.00,99.45
3756.00,99.46
3755.00,99.45
3754.00,99.45
3753.00,99.46
3752.00,99.46
3751.00,99.43
3750.00,99.40
3749.00,99.37
3748.00,99.33
3747.00,99.28
3746.00,99.24
3745.00,99.27
3744.00,99.33
3743.00,99.35
3742.00,99.33
3741.00,99.32
3740.00,99.34
3739.00,99.37
3738.00,99.39
3737.00,99.39
3736.00,99.38
3735.00,99.35
3734.00,99.31
3733.00,99.30
3732.00,99.32
3731.00,99.37
3730.00,99.40
3729.00,99.43
3728.00,99.45
3727.00,99.46
3726.00,99.46
3725.00,99.43
3724.00,99.39
3723.00,99.36
3722.00,99.34
3721.00,99.33
3720.00,99.32
3719.00,99.32
3718.00,99.35
3717.00,99.38
3716.00,99.40
3715.00,99.40
3714.00,99.39
3713.00,99.39
3712.00,99.39
3711.00,99.37
3710.00,99.34
3709.00,99.33
3708.00,99.35
3707.00,99.38
3706.00,99.42
3705.00,99.43
3704.00,99.43
3703.00,99.42
3702.00,99.41
3701.00,99.40
3700.00,99.39
3699.00,99.38
3698.00,99.37
3697.00,99.37
3696.00,99.37
3695.00,99.37
3694.00,99.36
3693.00,99.35
3692.00,99.36
3691.00,99.36
3690.00,99.33
3689.00,99.30
3688.00,99.28
3687.00,99.28
3686.00,99.29
3685.00,99.30
3684.00,99.30
3683.00,99.30
3682.00,99.29
3681.00,99.28
3680.00,99.27
3679.00,99.26
3678.00,99.22
3677.00,99.17
3676.00,99.14
3675.00,99.15
3674.00,99.15
3673.00,99.14
3672.00,99.11
3671.00,99.11
3670.00,99.13
3669.00,99.14
3668.00,99.15
3667.00,99.17
3666.00,99.20
3665.00,99.24
3664.00,99.26
3663.00,99.25
3662.00,99.23
3661.00,99.22
3660.00,99.19
3659.00,99.16
3658.00,99.13
3657.00,99.10
3656.00,99.09
3655.00,99.08
3654.00,99.06
3653.00,99.02
3652.00,99.00
3651.00,99.00
3650.00,99.00
3649.00,98.97
3648.00,98.94
3647.00,98.95
3646.00,98.97
3645.00,99.00
3644.00,99.01
3643.00,99.03
3642.00,99.04
3641.00,99.05
3640.00,99.05
3639.00,99.06
3638.00,99.06
3637.00,99.05
3636.00,99.04
3635.00,99.03
3634.00,99.03
3633.00,99.03
3632.00,99.02
3631.00,99.00
3630.00,98.99
3629.00,99.00
3628.00,99.00
3627.00,98.98
3626.00,98.96
3625.00,98.95
3624.00,98.95
3623.00,98.96
3622.00,98.95
3621.00,98.94
3620.00,98.95
3619.00,98.97
3618.00,98.98
3617.00,98.99
3616.00,98.99
3615.00,98.99
3614.00,99.02
3613.00,99.04
3612.00,99.04
3611.00,99.02
3610.00,99.00
3609.00,99.01
3608.00,99.02
3607.00,99.03
3606.00,99.03
3605.00,99.03
3604.00,99.03
3603.00,99.04
3602.00,99.05
3601.00,99.05
3600.00,99.06
3599.00,99.05
3598.00,99.05
3597.00,99.03
3596.00,99.03
3595.00,99.03
3594.00,99.04
3593.00,99.05
3592.00,99.07
3591.00,99.07
3590.00,99.07
3589.00,99.07
3588.00,99.07
3587.00,99.07
