Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
4000.00,97.42
3999.00,97.40
3998.00,97.40
3997.00,97.40
3996.00,97.41
3995.00,97.41
3994.00,97.42
3993.00,97.43
3992.00,97.44
3991.00,97.45
3990.00,97.44
3989.00,97.43
3988.00,97.42
3987.00,97.41
3986.00,97.42
3985.00,97.43
3984.00,97.43
3983.00,97.43
3982.00,97.42
3981.00,97.41
3980.00,97.40
3979.00,97.38
3978.00,97.37
3977.00,97.37
3976.00,97.39
3975.00,97.41
3974.00,97.44
3973.00,97.46
3972.00,97.46
3971.00,97.46
3970.00,97.44
3969.00,97.42
3968.00,97.42
3967.00,97.43
3966.00,97.44
3965.00,97.45
3964.00,97.45
3963.00,97.44
3962.00,97.43
3961.00,97.43
3960.00,97.43
3959.00,97.42
3958.00,97.41
3957.00,97.40
3956.00,97.40
3955.00,97.41
3954.00,97.42
3953.00,97.43
3952.00,97.44
3951.00,97.45
3950.00,97.44
3949.00,97.44
3948.00,97.44
3947.00,97.45
3946.00,97.47
3945.00,97.47
3944.00,97.46
3943.00,97.44
3942.00,97.42
3941.00,97.41
3940.00,97.42
3939.00,97.44
3938.00,97.45
3937.00,97.45
3936.00,97.45
3935.00,97.46
3934.00,97.47
3933.00,97.47
3932.00,97.47
3931.00,97.46
3930.00,97.45
3929.00,97.45
3928.00,97.46
3927.00,97.46
3926.00,97.46
3925.00,97.47
3924.00,97.48
3923.00,97.49
3922.00,97.50
3921.00,97.49
3920.00,97.46
3919.00,97.42
3918.00,97.39
3917.00,97.39
3916.00,97.40
3915.00,97.41
3914.00,97.42
3913.00,97.42
3912.00,97.42
3911.00,97.43
3910.00,97.44
3909.00,97.45
3908.00,97.47
3907.00,97.49
3906.00,97.51
3905.00,97.54
3904.00,97.57
3903.00,97.59
3902.00,97.59
3901.00,97.57
3900.00,97.52
3899.00,97.47
3898.00,97.43
3897.00,97.41
3896.00,97.41
3895.00,97.42
3894.00,97.44
3893.00,97.47
3892.00,97.49
3891.00,97.51
3890.00,97.55
3889.00,97.58
3888.00,97.60
3887.00,97.58
3886.00,97.54
3885.00,97.51
3884.00,97.51
3883.00,97.52
3882.00,97.52
