Created as New Dataset,50 Du Pont
cm-1,%T
4000.00,85.30
3999.00,85.30
3998.00,85.31
3997.00,85.31
3996.00,85.32
3995.00,85.34
3994.00,85.36
3993.00,85.37
3992.00,85.37
3991.00,85.36
3990.00,85.36
3989.00,85.37
3988.00,85.37
3987.00,85.36
3986.00,85.35
3985.00,85.35
3984.00,85.35
3983.00,85.36
3982.00,85.36
3981.00,85.35
3980.00,85.34
3979.00,85.34
3978.00,85.35
3977.00,85.37
3976.00,85.37
3975.00,85.37
3974.00,85.35
3973.00,85.34
3972.00,85.33
3971.00,85.33
3970.00,85.33
3969.00,85.33
3968.00,85.33
3967.00,85.32
3966.00,85.32
3965.00,85.33
3964.00,85.33
3963.00,85.34
3962.00,85.34
3961.00,85.33
3960.00,85.33
3959.00,85.33
3958.00,85.33
3957.00,85.34
3956.00,85.35
3955.00,85.35
3954.00,85.35
3953.00,85.34
3952.00,85.35
3951.00,85.35
3950.00,85.36
3949.00,85.37
3948.00,85.38
3947.00,85.39
3946.00,85.39
3945.00,85.36
3944.00,85.34
3943.00,85.32
3942.00,85.33
3941.00,85.34
3940.00,85.34
3939.00,85.32
3938.00,85.30
3937.00,85.30
3936.00,85.31
3935.00,85.33
3934.00,85.34
3933.00,85.35
3932.00,85.34
3931.00,85.32
3930.00,85.30
3929.00,85.27
3928.00,85.26
3927.00,85.26
3926.00,85.25
3925.00,85.26
3924.00,85.28
3923.00,85.29
3922.00,85.29
3921.00,85.27
3920.00,85.26
3919.00,85.25
3918.00,85.25
3917.00,85.24
3916.00,85.24
3915.00,85.24
3914.00,85.23
3913.00,85.23
3912.00,85.24
3911.00,85.27
3910.00,85.29
3909.00,85.31
3908.00,85.32
3907.00,85.33
3906.00,85.33
3905.00,85.34
3904.00,85.37
3903.00,85.41
3902.00,85.43
3901.00,85.41
3900.00,85.38
3899.00,85.36
3898.00,85.36
3897.00,85.35
3896.00,85.34
3895.00,85.33
3894.00,85.33
3893.00,85.31
3892.00,85.28
3891.00,85.27
3890.00,85.30
3889.00,85.32
3888.00,85.30
3887.00,85.28
3886.00,85.29
3885.00,85.34
3884.00,85.40
3883.00,85.40
3882.00,85.36
3881.00,85.33
3880.00,85.34
3879.00,85.38
3878.00,85.40
3877.00,85.38
3876.00,85.33
3875.00,85.31
3874.00,85.34
3873.00,85.38
3872.00,85.37
3871.00,85.32
3870.00,85.30
3869.00,85.35
3868.00,85.39
3867.00,85.36
3866.00,85.29
3865.00,85.24
3864.00,85.24
3863.00,85.25
3862.00,85.25
3861.00,85.26
3860.00,85.28
3859.00,85.32
3858.00,85.38
3857.00,85.44
3856.00,85.48
3855.00,85.45
3854.00,85.38
3853.00,85.36
3852.00,85.40
3851.00,85.38
3850.00,85.30
3849.00,85.23
3848.00,85.22
3847.00,85.25
3846.00,85.27
3845.00,85.29
3844.00,85.31
3843.00,85.34
3842.00,85.38
3841.00,85.40
3840.00,85.37
3839.00,85.32
3838.00,85.28
3837.00,85.28
3836.00,85.30
3835.00,85.31
3834.00,85.29
3833.00,85.25
3832.00,85.21
3831.00,85.20
3830.00,85.19
3829.00,85.18
3828.00,85.16
3827.00,85.16
3826.00,85.19
3825.00,85.23
3824.00,85.25
3823.00,85.23
3822.00,85.20
3821.00,85.21
3820.00,85.27
3819.00,85.29
3818.00,85.22
3817.00,85.13
3816.00,85.09
3815.00,85.11
3814.00,85.14
3813.00,85.12
3812.00,85.08
3811.00,85.09
3810.00,85.11
3809.00,85.12
3808.00,85.10
3807.00,85.11
3806.00,85.18
3805.00,85.24
3804.00,85.23
3803.00,85.17
3802.00,85.12
3801.00,85.14
3800.00,85.21
3799.00,85.22
3798.00,85.17
3797.00,85.13
3796.00,85.12
3795.00,85.12
3794.00,85.10
3793.00,85.06
3792.00,85.02
3791.00,85.02
3790.00,85.05
3789.00,85.07
3788.00,85.09
3787.00,85.09
3786.00,85.09
3785.00,85.10
3784.00,85.11
3783.00,85.13
3782.00,85.12
3781.00,85.09
3780.00,85.07
3779.00,85.08
3778.00,85.10
3777.00,85.10
3776.00,85.08
3775.00,85.06
3774.00,85.07
3773.00,85.09
3772.00,85.09
3771.00,85.08
3770.00,85.07
3769.00,85.08
3768.00,85.07
3767.00,85.00
3766.00,84.93
3765.00,84.92
3764.00,84.96
3763.00,85.01
3762.00,85.03
3761.00,85.03
3760.00,85.03
3759.00,85.03
3758.00,85.02
3757.00,85.02
3756.00,85.04
3755.00,85.06
3754.00,85.09
3753.00,85.13
3752.00,85.15
3751.00,85.13
3750.00,85.10
3749.00,85.12
3748.00,85.16
3747.00,85.15
3746.00,85.09
