Created as New Dataset,Natural Brown Fiber
cm-1,%T
4000.00,99.10
3999.00,99.11
3998.00,99.12
3997.00,99.11
3996.00,99.10
3995.00,99.09
3994.00,99.06
3993.00,99.04
3992.00,99.03
3991.00,99.03
3990.00,99.04
3989.00,99.05
3988.00,99.05
3987.00,99.04
3986.00,99.02
3985.00,99.01
3984.00,99.02
3983.00,99.04
3982.00,99.06
3981.00,99.07
3980.00,99.06
3979.00,99.05
3978.00,99.05
3977.00,99.04
3976.00,99.04
3975.00,99.04
3974.00,99.04
3973.00,99.04
3972.00,99.05
3971.00,99.06
3970.00,99.06
3969.00,99.06
3968.00,99.05
3967.00,99.04
3966.00,99.04
3965.00,99.04
3964.00,99.04
3963.00,99.04
3962.00,99.04
3961.00,99.05
3960.00,99.06
3959.00,99.08
3958.00,99.09
3957.00,99.09
3956.00,99.09
3955.00,99.10
3954.00,99.12
3953.00,99.13
3952.00,99.15
3951.00,99.15
3950.00,99.15
3949.00,99.13
3948.00,99.11
3947.00,99.08
3946.00,99.05
3945.00,99.04
3944.00,99.05
3943.00,99.06
3942.00,99.07
3941.00,99.07
3940.00,99.06
3939.00,99.06
3938.00,99.07
3937.00,99.09
3936.00,99.10
3935.00,99.10
3934.00,99.10
3933.00,99.09
3932.00,99.07
3931.00,99.04
3930.00,99.02
3929.00,99.02
3928.00,99.02
3927.00,99.04
3926.00,99.07
3925.00,99.08
3924.00,99.07
3923.00,99.06
3922.00,99.04
3921.00,99.03
3920.00,99.02
3919.00,99.03
3918.00,99.05
3917.00,99.07
3916.00,99.08
3915.00,99.07
3914.00,99.05
3913.00,99.04
3912.00,99.03
3911.00,99.04
3910.00,99.06
3909.00,99.08
3908.00,99.09
3907.00,99.10
3906.00,99.10
3905.00,99.08
3904.00,99.06
3903.00,99.03
3902.00,99.00
3901.00,99.00
3900.00,99.02
3899.00,99.05
3898.00,99.07
3897.00,99.07
3896.00,99.06
3895.00,99.04
3894.00,99.02
3893.00,99.00
3892.00,98.98
3891.00,98.98
3890.00,98.98
3889.00,99.00
3888.00,99.04
3887.00,99.08
3886.00,99.09
3885.00,99.05
3884.00,98.99
3883.00,98.95
3882.00,98.97
3881.00,99.03
3880.00,99.08
3879.00,99.08
3878.00,99.06
3877.00,99.03
3876.00,99.01
3875.00,99.03
3874.00,99.03
3873.00,99.02
3872.00,99.01
3871.00,99.01
3870.00,99.02
3869.00,99.02
3868.00,99.00
3867.00,98.99
3866.00,98.99
3865.00,99.00
3864.00,99.01
3863.00,99.02
3862.00,99.04
3861.00,99.06
3860.00,99.07
3859.00,99.08
3858.00,99.07
3857.00,99.05
3856.00,99.03
3855.00,99.04
3854.00,99.07
3853.00,99.08
3852.00,99.07
3851.00,99.06
3850.00,99.05
3849.00,99.04
3848.00,99.04
3847.00,99.03
3846.00,99.02
3845.00,99.03
3844.00,99.05
3843.00,99.07
3842.00,99.08
3841.00,99.08
3840.00,99.07
3839.00,99.04
3838.00,99.00
3837.00,98.96
3836.00,98.94
3835.00,98.93
3834.00,98.95
3833.00,98.97
3832.00,98.99
3831.00,98.99
3830.00,98.98
3829.00,98.98
3828.00,99.00
3827.00,99.01
3826.00,99.02
3825.00,99.00
3824.00,98.98
3823.00,98.98
3822.00,99.00
3821.00,99.00
3820.00,98.98
3819.00,98.96
3818.00,98.95
3817.00,98.97
3816.00,98.98
3815.00,98.96
3814.00,98.95
3813.00,98.95
3812.00,98.96
3811.00,98.97
3810.00,98.97
3809.00,98.97
3808.00,98.99
3807.00,99.00
3806.00,98.99
3805.00,98.97
3804.00,98.96
3803.00,98.98
3802.00,99.01
3801.00,99.02
3800.00,98.99
3799.00,98.95
3798.00,98.93
3797.00,98.94
3796.00,98.96
3795.00,98.98
3794.00,99.00
3793.00,99.02
3792.00,99.04
3791.00,99.05
3790.00,99.05
3789.00,99.03
3788.00,99.01
3787.00,98.99
3786.00,99.00
3785.00,99.01
3784.00,99.02
3783.00,99.00
3782.00,98.98
3781.00,98.97
3780.00,98.97
3779.00,98.98
3778.00,98.99
3777.00,98.99
3776.00,98.99
3775.00,98.99
3774.00,98.97
3773.00,98.95
3772.00,98.93
3771.00,98.92
3770.00,98.91
3769.00,98.89
3768.00,98.87
3767.00,98.89
3766.00,98.91
3765.00,98.93
3764.00,98.92
3763.00,98.89
3762.00,98.87
3761.00,98.86
3760.00,98.86
3759.00,98.86
3758.00,98.86
3757.00,98.88
3756.00,98.90
3755.00,98.92
3754.00,98.96
3753.00,99.00
3752.00,99.01
3751.00,98.99
3750.00,98.94
3749.00,98.90
3748.00,98.86
3747.00,98.82
3746.00,98.81
3745.00,98.83
3744.00,98.83
3743.00,98.83
3742.00,98.83
3741.00,98.85
3740.00,98.87
3739.00,98.87
3738.00,98.86
3737.00,98.84
3736.00,98.82
3735.00,98.80
3734.00,98.78
3733.00,98.79
3732.00,98.81
3731.00,98.83
3730.00,98.83
3729.00,98.82
3728.00,98.82
3727.00,98.83
3726.00,98.85
3725.00,98.86
3724.00,98.87
3723.00,98.86
3722.00,98.84
3721.00,98.82
3720.00,98.80
3719.00,98.79
3718.00,98.79
3717.00,98.78
3716.00,98.78
3715.00,98.78
3714.00,98.78
3713.00,98.80
3712.00,98.80
3711.00,98.79
3710.00,98.77
3709.00,98.77
3708.00,98.77
3707.00,98.78
3706.00,98.77
3705.00,98.75
3704.00,98.73
3703.00,98.73
3702.00,98.73
3701.00,98.74
3700.00,98.74
3699.00,98.74
3698.00,98.76
3697.00,98.79
3696.00,98.81
3695.00,98.83
3694.00,98.84
3693.00,98.84
3692.00,98.82
3691.00,98.80
3690.00,98.80
3689.00,98.80
3688.00,98.79
3687.00,98.76
3686.00,98.72
3685.00,98.70
3684.00,98.70
3683.00,98.70
3682.00,98.71
3681.00,98.72
3680.00,98.72
3679.00,98.71
3678.00,98.69
3677.00,98.70
3676.00,98.70
3675.00,98.66
3674.00,98.60
3673.00,98.56
3672.00,98.55
3671.00,98.59
3670.00,98.63
3669.00,98.63
3668.00,98.61
3667.00,98.59
3666.00,98.58
3665.00,98.57
3664.00,98.56
3663.00,98.57
3662.00,98.57
3661.00,98.58
3660.00,98.57
3659.00,98.55
3658.00,98.53
3657.00,98.52
3656.00,98.51
3655.00,98.47
3654.00,98.42
3653.00,98.38
3652.00,98.36
3651.00,98.35
3650.00,98.34
3649.00,98.31
3648.00,98.27
3647.00,98.23
3646.00,98.19
3645.00,98.17
3644.00,98.16
3643.00,98.18
3642.00,98.20
3641.00,98.22
3640.00,98.22
3639.00,98.22
3638.00,98.20
3637.00,98.18
3636.00,98.17
3635.00,98.15
3634.00,98.12
3633.00,98.08
3632.00,98.03
3631.00,97.98
3630.00,97.94
3629.00,97.89
3628.00,97.84
3627.00,97.83
3626.00,97.84
3625.00,97.86
3624.00,97.86
3623.00,97.84
3622.00,97.80
3621.00,97.77
3620.00,97.74
3619.00,97.71
3618.00,97.67
3617.00,97.63
3616.00,97.60
3615.00,97.58
3614.00,97.57
3613.00,97.56
3612.00,97.53
3611.00,97.49
3610.00,97.45
3609.00,97.42
3608.00,97.38
3607.00,97.36
3606.00,97.34
3605.00,97.33
3604.00,97.32
3603.00,97.30
3602.00,97.29
3601.00,97.28
3600.00,97.27
3599.00,97.27
3598.00,97.26
3597.00,97.23
3596.00,97.19
3595.00,97.16
3594.00,97.14
3593.00,97.13
3592.00,97.11
3591.00,97.08
3590.00,97.05
3589.00,97.01
3588.00,96.96
3587.00,96.90
3586.00,96.84
3585.00,96.80
3584.00,96.79
3583.00,96.78
3582.00,96.77
3581.00,96.74
3580.00,96.70
3579.00,96.67
3578.00,96.63
3577.00,96.60
3576.00,96.57
3575.00,96.54
3574.00,96.51
3573.00,96.48
3572.00,96.44
3571.00,96.39
3570.00,96.34
3569.00,96.29
3568.00,96.24
3567.00,96.20
3566.00,96.16
3565.00,96.12
3564.00,96.09
3563.00,96.07
3562.00,96.06
3561.00,96.05
3560.00,96.04
3559.00,96.03
3558.00,96.00
3557.00,95.96
3556.00,95.93
3555.00,95.89
3554.00,95.86
3553.00,95.83
3552.00,95.79
3551.00,95.75
3550.00,95.72
3549.00,95.69
3548.00,95.66
3547.00,95.62
3546.00,95.57
3545.00,95.51
3544.00,95.46
3543.00,95.42
3542.00,95.38
3541.00,95.35
3540.00,95.31
3539.00,95.28
3538.00,95.26
