Created as New Dataset,Bio-Couture 16/2 Mercerized Cotton
cm-1,%T
4000.00,99.26
3999.00,99.28
3998.00,99.30
3997.00,99.31
3996.00,99.32
3995.00,99.32
3994.00,99.31
3993.00,99.30
3992.00,99.29
3991.00,99.28
3990.00,99.27
3989.00,99.26
3988.00,99.24
3987.00,99.23
3986.00,99.22
3985.00,99.22
3984.00,99.23
3983.00,99.24
3982.00,99.27
3981.00,99.29
3980.00,99.30
3979.00,99.31
3978.00,99.31
3977.00,99.31
3976.00,99.30
3975.00,99.30
3974.00,99.29
3973.00,99.28
3972.00,99.29
3971.00,99.30
3970.00,99.31
3969.00,99.32
3968.00,99.31
3967.00,99.30
3966.00,99.30
3965.00,99.31
3964.00,99.32
3963.00,99.32
3962.00,99.31
3961.00,99.30
3960.00,99.30
3959.00,99.30
3958.00,99.31
3957.00,99.32
3956.00,99.32
3955.00,99.33
3954.00,99.34
3953.00,99.34
3952.00,99.34
3951.00,99.32
3950.00,99.30
3949.00,99.28
3948.00,99.27
3947.00,99.29
3946.00,99.30
3945.00,99.31
3944.00,99.31
3943.00,99.29
3942.00,99.27
3941.00,99.26
3940.00,99.26
3939.00,99.26
3938.00,99.26
3937.00,99.26
3936.00,99.25
3935.00,99.25
3934.00,99.25
3933.00,99.25
3932.00,99.27
3931.00,99.29
3930.00,99.30
3929.00,99.30
3928.00,99.28
3927.00,99.26
3926.00,99.25
3925.00,99.24
3924.00,99.25
3923.00,99.26
3922.00,99.27
3921.00,99.28
3920.00,99.28
3919.00,99.28
3918.00,99.29
3917.00,99.31
3916.00,99.34
3915.00,99.37
3914.00,99.38
3913.00,99.38
3912.00,99.37
3911.00,99.35
3910.00,99.32
3909.00,99.29
3908.00,99.24
3907.00,99.21
3906.00,99.21
3905.00,99.23
3904.00,99.26
3903.00,99.28
3902.00,99.28
3901.00,99.27
3900.00,99.26
3899.00,99.26
3898.00,99.27
3897.00,99.27
3896.00,99.27
3895.00,99.26
3894.00,99.27
3893.00,99.29
3892.00,99.30
3891.00,99.30
3890.00,99.28
3889.00,99.27
3888.00,99.26
3887.00,99.27
3886.00,99.28
3885.00,99.29
3884.00,99.30
3883.00,99.31
3882.00,99.32
3881.00,99.33
3880.00,99.33
3879.00,99.32
3878.00,99.31
3877.00,99.30
3876.00,99.29
3875.00,99.28
3874.00,99.28
3873.00,99.27
3872.00,99.26
3871.00,99.26
3870.00,99.25
3869.00,99.24
3868.00,99.25
3867.00,99.25
3866.00,99.26
3865.00,99.26
3864.00,99.27
3863.00,99.28
3862.00,99.30
3861.00,99.32
3860.00,99.33
3859.00,99.32
3858.00,99.31
3857.00,99.30
3856.00,99.32
3855.00,99.35
3854.00,99.38
3853.00,99.38
3852.00,99.38
3851.00,99.38
3850.00,99.38
3849.00,99.37
3848.00,99.35
3847.00,99.32
3846.00,99.29
3845.00,99.28
3844.00,99.28
3843.00,99.30
3842.00,99.31
3841.00,99.32
3840.00,99.31
3839.00,99.30
3838.00,99.28
3837.00,99.26
3836.00,99.26
3835.00,99.28
3834.00,99.31
3833.00,99.33
3832.00,99.33
3831.00,99.32
3830.00,99.31
3829.00,99.29
3828.00,99.29
3827.00,99.29
3826.00,99.27
3825.00,99.26
3824.00,99.25
3823.00,99.26
3822.00,99.29
3821.00,99.33
3820.00,99.35
3819.00,99.37
3818.00,99.37
3817.00,99.36
3816.00,99.34
3815.00,99.34
3814.00,99.34
3813.00,99.35
3812.00,99.35
3811.00,99.34
3810.00,99.33
3809.00,99.32
3808.00,99.32
3807.00,99.32
3806.00,99.32
3805.00,99.32
3804.00,99.32
3803.00,99.32
3802.00,99.32
3801.00,99.32
3800.00,99.33
3799.00,99.33
3798.00,99.32
3797.00,99.32
3796.00,99.31
3795.00,99.31
3794.00,99.31
3793.00,99.30
3792.00,99.29
3791.00,99.27
3790.00,99.27
3789.00,99.27
3788.00,99.27
3787.00,99.27
3786.00,99.27
3785.00,99.26
3784.00,99.25
3783.00,99.26
3782.00,99.28
3781.00,99.31
3780.00,99.33
3779.00,99.36
3778.00,99.37
3777.00,99.37
3776.00,99.34
3775.00,99.31
3774.00,99.28
3773.00,99.26
3772.00,99.26
3771.00,99.26
3770.00,99.24
3769.00,99.23
3768.00,99.23
3767.00,99.25
3766.00,99.28
3765.00,99.30
3764.00,99.30
3763.00,99.29
3762.00,99.28
3761.00,99.28
3760.00,99.27
3759.00,99.25
3758.00,99.24
3757.00,99.24
3756.00,99.26
3755.00,99.29
3754.00,99.32
3753.00,99.36
3752.00,99.38
3751.00,99.37
3750.00,99.35
3749.00,99.33
3748.00,99.31
3747.00,99.31
3746.00,99.31
3745.00,99.30
3744.00,99.28
3743.00,99.27
3742.00,99.27
3741.00,99.28
3740.00,99.29
3739.00,99.30
3738.00,99.31
3737.00,99.32
3736.00,99.32
3735.00,99.30
3734.00,99.29
3733.00,99.28
3732.00,99.28
3731.00,99.28
3730.00,99.28
3729.00,99.28
3728.00,99.29
3727.00,99.30
3726.00,99.32
3725.00,99.34
3724.00,99.35
3723.00,99.35
3722.00,99.34
3721.00,99.32
3720.00,99.29
3719.00,99.27
3718.00,99.25
3717.00,99.25
3716.00,99.25
3715.00,99.26
3714.00,99.27
3713.00,99.29
3712.00,99.29
3711.00,99.28
3710.00,99.28
3709.00,99.27
3708.00,99.27
3707.00,99.25
3706.00,99.24
3705.00,99.22
3704.00,99.20
3703.00,99.20
3702.00,99.21
3701.00,99.22
3700.00,99.24
3699.00,99.25
3698.00,99.27
3697.00,99.29
3696.00,99.29
3695.00,99.27
3694.00,99.25
3693.00,99.24
3692.00,99.24
3691.00,99.25
3690.00,99.26
3689.00,99.27
3688.00,99.28
3687.00,99.29
3686.00,99.30
3685.00,99.30
3684.00,99.28
3683.00,99.25
3682.00,99.21
3681.00,99.19
3680.00,99.17
3679.00,99.18
3678.00,99.21
3677.00,99.23
3676.00,99.23
3675.00,99.20
3674.00,99.18
3673.00,99.18
3672.00,99.19
3671.00,99.19
3670.00,99.19
3669.00,99.19
3668.00,99.19
3667.00,99.18
3666.00,99.16
3665.00,99.12
3664.00,99.10
3663.00,99.08
3662.00,99.08
3661.00,99.08
3660.00,99.07
3659.00,99.04
3658.00,99.01
3657.00,99.00
3656.00,98.98
3655.00,98.97
3654.00,98.96
3653.00,98.95
3652.00,98.95
3651.00,98.95
3650.00,98.92
3649.00,98.89
3648.00,98.87
3647.00,98.88
3646.00,98.89
3645.00,98.91
3644.00,98.91
3643.00,98.90
3642.00,98.88
3641.00,98.86
3640.00,98.84
3639.00,98.80
3638.00,98.77
3637.00,98.74
3636.00,98.72
3635.00,98.72
3634.00,98.71
3633.00,98.70
3632.00,98.66
3631.00,98.61
3630.00,98.55
3629.00,98.53
3628.00,98.55
3627.00,98.59
3626.00,98.62
3625.00,98.62
3624.00,98.58
3623.00,98.54
3622.00,98.49
3621.00,98.46
3620.00,98.43
3619.00,98.39
3618.00,98.36
3617.00,98.34
3616.00,98.33
3615.00,98.34
3614.00,98.34
3613.00,98.32
3612.00,98.28
3611.00,98.24
3610.00,98.22
3609.00,98.20
3608.00,98.17
3607.00,98.13
3606.00,98.09
3605.00,98.07
3604.00,98.08
3603.00,98.10
3602.00,98.10
3601.00,98.08
3600.00,98.03
3599.00,97.97
3598.00,97.93
3597.00,97.91
3596.00,97.89
3595.00,97.87
3594.00,97.82
3593.00,97.77
3592.00,97.72
3591.00,97.69
3590.00,97.67
3589.00,97.68
3588.00,97.69
3587.00,97.69
3586.00,97.68
3585.00,97.65
3584.00,97.61
3583.00,97.55
3582.00,97.50
3581.00,97.45
3580.00,97.41
3579.00,97.39
3578.00,97.37
3577.00,97.35
3576.00,97.32
3575.00,97.29
3574.00,97.26
3573.00,97.22
3572.00,97.19
3571.00,97.15
3570.00,97.12
3569.00,97.08
3568.00,97.05
3567.00,97.00
3566.00,96.97
3565.00,96.94
3564.00,96.91
3563.00,96.88
3562.00,96.83
3561.00,96.78
3560.00,96.73
3559.00,96.69
3558.00,96.65
3557.00,96.61
3556.00,96.56
3555.00,96.51
3554.00,96.44
3553.00,96.38
3552.00,96.34
3551.00,96.32
3550.00,96.29
3549.00,96.26
3548.00,96.23
3547.00,96.19
3546.00,96.15
3545.00,96.11
3544.00,96.08
3543.00,96.05
3542.00,96.02
3541.00,95.99
3540.00,95.96
3539.00,95.91
3538.00,95.85
3537.00,95.80
3536.00,95.75
3535.00,95.71
3534.00,95.68
3533.00,95.65
3532.00,95.62
3531.00,95.57
3530.00,95.51
3529.00,95.45
3528.00,95.39
3527.00,95.34
3526.00,95.30
3525.00,95.25
3524.00,95.18
3523.00,95.11
3522.00,95.05
3521.00,95.00
3520.00,94.95
3519.00,94.90
3518.00,94.84
3517.00,94.79
3516.00,94.73
3515.00,94.66
3514.00,94.59
3513.00,94.49
3512.00,94.39
3511.00,94.30
3510.00,94.23
3509.00,94.16
3508.00,94.09
3507.00,94.00
3506.00,93.89
3505.00,93.77
3504.00,93.65
3503.00,93.55
3502.00,93.47
3501.00,93.38
3500.00,93.27
3499.00,93.15
3498.00,93.02
3497.00,92.89
3496.00,92.78
3495.00,92.68
3494.00,92.58
