Created as New Dataset,Bio-Couture Denim 1/7 nm (Black/Blue)
cm-1,%T
4000.00,99.89
3999.00,99.89
3998.00,99.89
3997.00,99.89
3996.00,99.89
3995.00,99.89
3994.00,99.90
3993.00,99.91
3992.00,99.92
3991.00,99.94
3990.00,99.95
3989.00,99.95
3988.00,99.95
3987.00,99.95
3986.00,99.95
3985.00,99.95
3984.00,99.95
3983.00,99.94
3982.00,99.92
3981.00,99.90
3980.00,99.89
3979.00,99.88
3978.00,99.88
3977.00,99.89
3976.00,99.88
3975.00,99.87
3974.00,99.84
3973.00,99.83
3972.00,99.82
3971.00,99.83
3970.00,99.84
3969.00,99.86
3968.00,99.87
3967.00,99.88
3966.00,99.89
3965.00,99.90
3964.00,99.92
3963.00,99.94
3962.00,99.94
3961.00,99.93
3960.00,99.91
3959.00,99.90
3958.00,99.90
3957.00,99.90
3956.00,99.90
3955.00,99.89
3954.00,99.89
3953.00,99.91
3952.00,99.93
3951.00,99.96
3950.00,99.97
3949.00,99.96
3948.00,99.93
3947.00,99.91
3946.00,99.89
3945.00,99.89
3944.00,99.89
3943.00,99.88
3942.00,99.87
3941.00,99.87
3940.00,99.87
3939.00,99.88
3938.00,99.89
3937.00,99.89
3936.00,99.89
3935.00,99.88
3934.00,99.87
3933.00,99.87
3932.00,99.88
3931.00,99.90
3930.00,99.92
3929.00,99.93
3928.00,99.93
3927.00,99.92
3926.00,99.90
3925.00,99.88
3924.00,99.87
3923.00,99.87
3922.00,99.86
3921.00,99.85
3920.00,99.84
3919.00,99.84
3918.00,99.85
3917.00,99.87
3916.00,99.88
3915.00,99.88
3914.00,99.87
3913.00,99.85
3912.00,99.85
3911.00,99.84
3910.00,99.84
3909.00,99.84
3908.00,99.83
3907.00,99.82
3906.00,99.81
3905.00,99.81
3904.00,99.81
3903.00,99.82
3902.00,99.82
3901.00,99.82
3900.00,99.83
3899.00,99.84
3898.00,99.86
3897.00,99.88
3896.00,99.89
3895.00,99.90
3894.00,99.91
3893.00,99.90
3892.00,99.89
3891.00,99.87
3890.00,99.84
3889.00,99.83
3888.00,99.82
3887.00,99.81
3886.00,99.79
3885.00,99.78
3884.00,99.79
3883.00,99.81
3882.00,99.83
3881.00,99.83
3880.00,99.84
3879.00,99.85
3878.00,99.86
3877.00,99.89
3876.00,99.90
3875.00,99.88
3874.00,99.85
3873.00,99.82
3872.00,99.80
3871.00,99.80
3870.00,99.81
3869.00,99.81
3868.00,99.82
3867.00,99.83
3866.00,99.83
3865.00,99.82
3864.00,99.80
3863.00,99.79
3862.00,99.79
3861.00,99.81
3860.00,99.84
3859.00,99.86
3858.00,99.88
3857.00,99.88
3856.00,99.89
3855.00,99.89
3854.00,99.87
3853.00,99.84
3852.00,99.81
3851.00,99.81
3850.00,99.82
3849.00,99.83
3848.00,99.83
3847.00,99.82
3846.00,99.80
3845.00,99.78
3844.00,99.79
3843.00,99.82
3842.00,99.86
3841.00,99.89
3840.00,99.90
3839.00,99.88
3838.00,99.85
3837.00,99.82
3836.00,99.82
3835.00,99.83
3834.00,99.85
3833.00,99.86
3832.00,99.86
3831.00,99.85
3830.00,99.84
3829.00,99.83
3828.00,99.82
3827.00,99.82
3826.00,99.81
3825.00,99.82
3824.00,99.84
3823.00,99.88
3822.00,99.90
3821.00,99.89
3820.00,99.86
3819.00,99.84
3818.00,99.82
3817.00,99.82
3816.00,99.80
3815.00,99.78
3814.00,99.77
3813.00,99.76
3812.00,99.75
3811.00,99.75
3810.00,99.76
3809.00,99.77
3808.00,99.80
3807.00,99.82
3806.00,99.83
3805.00,99.84
3804.00,99.84
3803.00,99.84
3802.00,99.81
3801.00,99.78
3800.00,99.76
3799.00,99.75
3798.00,99.74
3797.00,99.74
3796.00,99.74
3795.00,99.73
3794.00,99.71
3793.00,99.71
3792.00,99.71
3791.00,99.72
3790.00,99.74
3789.00,99.78
3788.00,99.81
3787.00,99.83
3786.00,99.84
3785.00,99.85
3784.00,99.84
3783.00,99.82
3782.00,99.80
3781.00,99.79
3780.00,99.79
3779.00,99.79
3778.00,99.79
3777.00,99.79
3776.00,99.79
3775.00,99.79
3774.00,99.78
3773.00,99.77
3772.00,99.77
3771.00,99.77
3770.00,99.76
3769.00,99.74
3768.00,99.73
3767.00,99.71
3766.00,99.70
3765.00,99.70
3764.00,99.70
3763.00,99.70
3762.00,99.70
3761.00,99.70
3760.00,99.71
3759.00,99.71
3758.00,99.72
3757.00,99.72
3756.00,99.71
3755.00,99.70
3754.00,99.68
3753.00,99.66
3752.00,99.64
3751.00,99.63
3750.00,99.62
3749.00,99.61
3748.00,99.60
3747.00,99.60
3746.00,99.61
3745.00,99.62
3744.00,99.63
3743.00,99.64
3742.00,99.65
3741.00,99.64
3740.00,99.63
3739.00,99.62
3738.00,99.63
3737.00,99.66
3736.00,99.66
3735.00,99.64
3734.00,99.61
3733.00,99.59
3732.00,99.58
3731.00,99.57
3730.00,99.55
3729.00,99.54
3728.00,99.53
3727.00,99.54
3726.00,99.56
3725.00,99.58
3724.00,99.61
3723.00,99.63
3722.00,99.63
3721.00,99.63
3720.00,99.62
3719.00,99.61
3718.00,99.60
3717.00,99.60
3716.00,99.60
3715.00,99.60
3714.00,99.60
3713.00,99.59
3712.00,99.58
3711.00,99.58
3710.00,99.57
3709.00,99.55
3708.00,99.52
3707.00,99.50
3706.00,99.50
3705.00,99.51
3704.00,99.54
3703.00,99.56
3702.00,99.58
3701.00,99.59
3700.00,99.60
3699.00,99.62
3698.00,99.62
3697.00,99.61
3696.00,99.57
3695.00,99.54
3694.00,99.51
3693.00,99.49
3692.00,99.47
3691.00,99.45
3690.00,99.43
3689.00,99.42
3688.00,99.43
3687.00,99.43
3686.00,99.44
3685.00,99.43
3684.00,99.42
3683.00,99.41
3682.00,99.41
3681.00,99.40
3680.00,99.40
3679.00,99.41
3678.00,99.42
3677.00,99.42
3676.00,99.40
3675.00,99.37
3674.00,99.35
3673.00,99.34
3672.00,99.33
3671.00,99.30
3670.00,99.27
3669.00,99.24
3668.00,99.23
3667.00,99.24
3666.00,99.25
3665.00,99.26
3664.00,99.26
3663.00,99.25
3662.00,99.22
3661.00,99.17
3660.00,99.13
3659.00,99.10
3658.00,99.09
3657.00,99.10
3656.00,99.09
3655.00,99.06
3654.00,99.04
3653.00,99.03
3652.00,99.03
3651.00,99.03
3650.00,99.02
3649.00,99.00
3648.00,99.00
3647.00,98.99
3646.00,98.98
3645.00,98.95
3644.00,98.92
3643.00,98.89
3642.00,98.85
3641.00,98.81
3640.00,98.77
3639.00,98.73
3638.00,98.70
3637.00,98.69
3636.00,98.67
3635.00,98.65
3634.00,98.61
3633.00,98.58
3632.00,98.55
3631.00,98.52
3630.00,98.49
3629.00,98.44
3628.00,98.40
3627.00,98.38
3626.00,98.38
3625.00,98.38
3624.00,98.38
3623.00,98.38
3622.00,98.38
3621.00,98.37
3620.00,98.35
3619.00,98.31
3618.00,98.26
3617.00,98.21
3616.00,98.17
3615.00,98.13
3614.00,98.08
3613.00,98.03
3612.00,98.00
3611.00,98.00
3610.00,98.02
3609.00,98.04
3608.00,98.05
3607.00,98.03
3606.00,98.00
3605.00,97.96
3604.00,97.93
3603.00,97.89
3602.00,97.86
3601.00,97.81
3600.00,97.76
3599.00,97.71
3598.00,97.69
3597.00,97.68
3596.00,97.67
3595.00,97.65
3594.00,97.62
3593.00,97.59
3592.00,97.57
3591.00,97.56
3590.00,97.55
3589.00,97.52
3588.00,97.47
3587.00,97.42
3586.00,97.38
3585.00,97.36
3584.00,97.35
3583.00,97.34
3582.00,97.34
3581.00,97.32
3580.00,97.30
3579.00,97.28
3578.00,97.25
3577.00,97.24
3576.00,97.23
3575.00,97.22
3574.00,97.20
3573.00,97.16
3572.00,97.11
3571.00,97.04
3570.00,96.98
3569.00,96.93
3568.00,96.90
3567.00,96.89
3566.00,96.89
3565.00,96.89
3564.00,96.87
3563.00,96.84
3562.00,96.80
3561.00,96.76
3560.00,96.73
3559.00,96.70
3558.00,96.68
3557.00,96.66
3556.00,96.63
3555.00,96.60
3554.00,96.56
3553.00,96.53
3552.00,96.50
3551.00,96.47
3550.00,96.43
3549.00,96.38
3548.00,96.33
3547.00,96.28
3546.00,96.24
3545.00,96.22
3544.00,96.20
3543.00,96.19
3542.00,96.17
3541.00,96.15
3540.00,96.12
3539.00,96.09
3538.00,96.04
3537.00,96.00
3536.00,95.95
3535.00,95.92
3534.00,95.90
3533.00,95.89
3532.00,95.89
3531.00,95.88
3530.00,95.85
3529.00,95.80
3528.00,95.75
3527.00,95.70
3526.00,95.66
3525.00,95.63
3524.00,95.61
3523.00,95.58
3522.00,95.55
3521.00,95.51
3520.00,95.48
3519.00,95.47
3518.00,95.46
3517.00,95.45
3516.00,95.44
3515.00,95.43
3514.00,95.40
3513.00,95.37
3512.00,95.33
3511.00,95.28
3510.00,95.25
3509.00,95.23
3508.00,95.24
3507.00,95.24
3506.00,95.24
3505.00,95.21
3504.00,95.16
3503.00,95.11
3502.00,95.07
3501.00,95.04
3500.00,95.01
3499.00,94.97
3498.00,94.93
3497.00,94.89
3496.00,94.85
3495.00,94.82
3494.00,94.79
3493.00,94.77
3492.00,94.76
3491.00,94.75
3490.00,94.73
3489.00,94.71
3488.00,94.68
3487.00,94.65
3486.00,94.61
3485.00,94.57
3484.00,94.54
3483.00,94.53
3482.00,94.52
3481.00,94.51
3480.00,94.48
3479.00,94.46
3478.00,94.44
3477.00,94.42
3476.00,94.40
3475.00,94.39
3474.00,94.37
3473.00,94.35
3472.00,94.32
3471.00,94.28
3470.00,94.25
3469.00,94.21
3468.00,94.18
3467.00,94.16
3466.00,94.14
3465.00,94.12
3464.00,94.09
3463.00,94.05
3462.00,94.02
3461.00,94.00
3460.00,93.99
3459.00,93.99
3458.00,93.98
3457.00,93.98
3456.00,93.96
3455.00,93.95
3454.00,93.92
3453.00,93.90
3452.00,93.86
3451.00,93.83
3450.00,93.79
3449.00,93.75
3448.00,93.71
3447.00,93.68
3446.00,93.67
3445.00,93.65
3444.00,93.63
3443.00,93.61
3442.00,93.59
3441.00,93.55
3440.00,93.51
3439.00,93.46
3438.00,93.43
3437.00,93.41
3436.00,93.40
3435.00,93.38
3434.00,93.36
3433.00,93.34
3432.00,93.31
3431.00,93.28
3430.00,93.25
3429.00,93.21
3428.00,93.16
3427.00,93.11
3426.00,93.07
3425.00,93.05
3424.00,93.03
3423.00,93.02
3422.00,92.99
3421.00,92.96
3420.00,92.93
3419.00,92.90
3418.00,92.87
3417.00,92.84
3416.00,92.79
3415.00,92.73
3414.00,92.67
3413.00,92.62
3412.00,92.60
3411.00,92.58
3410.00,92.56
3409.00,92.53
3408.00,92.50
3407.00,92.47
3406.00,92.44
3405.00,92.42
