Created as New Dataset,Natural Brown fiber
cm-1,%T
4000.00,99.59
3999.00,99.60
3998.00,99.61
3997.00,99.62
3996.00,99.61
3995.00,99.60
3994.00,99.60
3993.00,99.60
3992.00,99.60
3991.00,99.60
3990.00,99.60
3989.00,99.60
3988.00,99.59
3987.00,99.59
3986.00,99.58
3985.00,99.58
3984.00,99.58
3983.00,99.57
3982.00,99.56
3981.00,99.56
3980.00,99.55
3979.00,99.55
3978.00,99.55
3977.00,99.56
3976.00,99.56
3975.00,99.56
3974.00,99.58
3973.00,99.59
3972.00,99.61
3971.00,99.61
3970.00,99.60
3969.00,99.59
3968.00,99.58
3967.00,99.58
3966.00,99.58
3965.00,99.59
3964.00,99.59
3963.00,99.59
3962.00,99.58
3961.00,99.59
3960.00,99.59
3959.00,99.60
3958.00,99.62
3957.00,99.63
3956.00,99.63
3955.00,99.62
3954.00,99.61
3953.00,99.60
3952.00,99.59
3951.00,99.59
3950.00,99.60
3949.00,99.61
3948.00,99.61
3947.00,99.61
3946.00,99.60
3945.00,99.60
3944.00,99.61
3943.00,99.62
3942.00,99.62
3941.00,99.60
3940.00,99.59
3939.00,99.58
3938.00,99.58
3937.00,99.58
3936.00,99.58
3935.00,99.57
3934.00,99.56
3933.00,99.56
3932.00,99.58
3931.00,99.59
3930.00,99.60
3929.00,99.60
3928.00,99.59
3927.00,99.58
3926.00,99.57
3925.00,99.57
3924.00,99.57
3923.00,99.57
3922.00,99.56
3921.00,99.57
3920.00,99.57
3919.00,99.58
3918.00,99.57
3917.00,99.57
3916.00,99.58
3915.00,99.59
3914.00,99.60
3913.00,99.61
3912.00,99.61
3911.00,99.62
3910.00,99.62
3909.00,99.62
3908.00,99.61
3907.00,99.59
3906.00,99.56
3905.00,99.53
3904.00,99.51
3903.00,99.50
3902.00,99.51
3901.00,99.52
3900.00,99.54
3899.00,99.56
3898.00,99.58
3897.00,99.60
3896.00,99.61
3895.00,99.62
3894.00,99.62
3893.00,99.62
3892.00,99.61
3891.00,99.60
3890.00,99.59
3889.00,99.57
3888.00,99.56
3887.00,99.58
3886.00,99.61
3885.00,99.61
3884.00,99.60
3883.00,99.57
3882.00,99.56
3881.00,99.56
3880.00,99.56
3879.00,99.55
3878.00,99.54
3877.00,99.54
3876.00,99.55
3875.00,99.57
3874.00,99.59
3873.00,99.58
3872.00,99.57
3871.00,99.58
3870.00,99.59
3869.00,99.58
3868.00,99.56
3867.00,99.53
3866.00,99.52
3865.00,99.51
3864.00,99.51
3863.00,99.51
3862.00,99.52
3861.00,99.55
3860.00,99.58
3859.00,99.60
3858.00,99.61
3857.00,99.60
3856.00,99.60
3855.00,99.63
3854.00,99.68
3853.00,99.68
3852.00,99.65
3851.00,99.61
3850.00,99.58
3849.00,99.56
3848.00,99.56
3847.00,99.58
3846.00,99.60
3845.00,99.64
3844.00,99.67
3843.00,99.68
3842.00,99.67
3841.00,99.65
3840.00,99.63
3839.00,99.60
3838.00,99.57
3837.00,99.55
3836.00,99.53
3835.00,99.53
3834.00,99.54
3833.00,99.56
3832.00,99.57
3831.00,99.56
3830.00,99.55
3829.00,99.54
3828.00,99.55
3827.00,99.57
3826.00,99.58
3825.00,99.58
3824.00,99.57
