Created as New Dataset,6.3 Natural green fiber
cm-1,%T
4000.00,100.71
3999.00,100.72
3998.00,100.74
3997.00,100.75
3996.00,100.77
3995.00,100.77
3994.00,100.76
3993.00,100.75
3992.00,100.73
3991.00,100.72
3990.00,100.71
3989.00,100.70
3988.00,100.69
3987.00,100.68
3986.00,100.67
3985.00,100.66
3984.00,100.67
3983.00,100.69
3982.00,100.70
3981.00,100.72
3980.00,100.74
3979.00,100.75
3978.00,100.77
3977.00,100.78
3976.00,100.78
3975.00,100.77
3974.00,100.76
3973.00,100.74
3972.00,100.73
3971.00,100.72
3970.00,100.72
3969.00,100.72
3968.00,100.72
3967.00,100.74
3966.00,100.75
3965.00,100.75
3964.00,100.75
3963.00,100.75
3962.00,100.75
3961.00,100.76
3960.00,100.78
3959.00,100.80
3958.00,100.81
3957.00,100.82
3956.00,100.81
3955.00,100.79
3954.00,100.78
3953.00,100.77
3952.00,100.77
3951.00,100.77
3950.00,100.78
3949.00,100.78
3948.00,100.79
3947.00,100.79
3946.00,100.78
3945.00,100.77
3944.00,100.75
3943.00,100.73
3942.00,100.71
3941.00,100.71
3940.00,100.72
3939.00,100.74
3938.00,100.76
3937.00,100.79
3936.00,100.80
3935.00,100.79
3934.00,100.78
3933.00,100.76
3932.00,100.74
3931.00,100.74
3930.00,100.74
3929.00,100.74
3928.00,100.73
3927.00,100.72
3926.00,100.71
3925.00,100.69
3924.00,100.68
3923.00,100.68
3922.00,100.70
3921.00,100.72
3920.00,100.75
3919.00,100.75
3918.00,100.74
3917.00,100.71
3916.00,100.70
3915.00,100.70
3914.00,100.71
3913.00,100.73
3912.00,100.75
3911.00,100.77
3910.00,100.78
3909.00,100.78
3908.00,100.77
3907.00,100.76
3906.00,100.75
3905.00,100.74
3904.00,100.74
3903.00,100.74
3902.00,100.73
3901.00,100.72
3900.00,100.72
3899.00,100.72
3898.00,100.72
3897.00,100.72
3896.00,100.73
3895.00,100.74
3894.00,100.74
3893.00,100.74
3892.00,100.75
3891.00,100.78
3890.00,100.80
3889.00,100.80
3888.00,100.76
3887.00,100.73
3886.00,100.72
3885.00,100.74
3884.00,100.75
3883.00,100.74
3882.00,100.73
3881.00,100.73
3880.00,100.73
3879.00,100.73
3878.00,100.70
3877.00,100.67
3876.00,100.65
3875.00,100.64
3874.00,100.64
3873.00,100.64
3872.00,100.64
3871.00,100.64
3870.00,100.68
3869.00,100.72
3868.00,100.74
3867.00,100.72
3866.00,100.70
3865.00,100.69
3864.00,100.68
3863.00,100.67
3862.00,100.66
3861.00,100.65
3860.00,100.66
3859.00,100.67
3858.00,100.68
3857.00,100.69
3856.00,100.68
3855.00,100.66
3854.00,100.66
3853.00,100.70
3852.00,100.74
3851.00,100.75
3850.00,100.74
3849.00,100.74
3848.00,100.75
3847.00,100.76
3846.00,100.75
3845.00,100.74
3844.00,100.74
3843.00,100.73
3842.00,100.71
3841.00,100.69
3840.00,100.67
3839.00,100.65
3838.00,100.66
3837.00,100.67
3836.00,100.69
3835.00,100.71
3834.00,100.72
3833.00,100.73
3832.00,100.74
3831.00,100.73
3830.00,100.72
3829.00,100.71
3828.00,100.71
3827.00,100.73
3826.00,100.75
3825.00,100.75
3824.00,100.72
3823.00,100.67
3822.00,100.63
3821.00,100.63
3820.00,100.65
3819.00,100.67
3818.00,100.66
3817.00,100.66
3816.00,100.66
3815.00,100.65
3814.00,100.63
3813.00,100.61
3812.00,100.62
3811.00,100.65
3810.00,100.68
3809.00,100.68
3808.00,100.66
3807.00,100.64
3806.00,100.63
3805.00,100.63
3804.00,100.61
3803.00,100.60
3802.00,100.61
3801.00,100.63
3800.00,100.64
3799.00,100.62
3798.00,100.60
3797.00,100.61
3796.00,100.64
3795.00,100.67
3794.00,100.68
3793.00,100.68
3792.00,100.68
