Created as New Dataset,6.4. Raw cotton boll
cm-1,%T
4000.00,99.95
3999.00,99.96
3998.00,99.96
3997.00,99.95
3996.00,99.94
3995.00,99.92
3994.00,99.90
3993.00,99.89
3992.00,99.88
3991.00,99.86
3990.00,99.85
3989.00,99.85
3988.00,99.86
3987.00,99.86
3986.00,99.87
3985.00,99.88
3984.00,99.89
3983.00,99.90
3982.00,99.92
3981.00,99.93
3980.00,99.94
3979.00,99.94
3978.00,99.95
3977.00,99.96
3976.00,99.96
3975.00,99.96
3974.00,99.96
3973.00,99.94
3972.00,99.93
3971.00,99.93
3970.00,99.92
3969.00,99.93
3968.00,99.94
3967.00,99.94
3966.00,99.95
3965.00,99.95
3964.00,99.96
3963.00,99.96
3962.00,99.96
3961.00,99.96
3960.00,99.95
3959.00,99.95
3958.00,99.95
3957.00,99.94
3956.00,99.94
3955.00,99.94
3954.00,99.95
3953.00,99.95
3952.00,99.96
3951.00,99.96
3950.00,99.96
3949.00,99.96
3948.00,99.97
3947.00,99.98
3946.00,99.98
3945.00,99.98
3944.00,99.97
3943.00,99.95
3942.00,99.93
3941.00,99.92
3940.00,99.92
3939.00,99.93
3938.00,99.94
3937.00,99.96
3936.00,99.97
3935.00,99.97
3934.00,99.97
3933.00,99.97
3932.00,99.96
3931.00,99.96
3930.00,99.96
3929.00,99.96
3928.00,99.97
3927.00,99.97
3926.00,99.96
3925.00,99.94
3924.00,99.92
3923.00,99.90
3922.00,99.91
3921.00,99.94
3920.00,99.95
3919.00,99.95
3918.00,99.94
3917.00,99.91
3916.00,99.89
3915.00,99.89
3914.00,99.89
3913.00,99.91
3912.00,99.93
3911.00,99.95
3910.00,99.96
3909.00,99.97
3908.00,99.97
3907.00,99.96
3906.00,99.95
3905.00,99.94
3904.00,99.92
3903.00,99.90
3902.00,99.87
3901.00,99.86
3900.00,99.88
3899.00,99.91
3898.00,99.93
3897.00,99.94
3896.00,99.94
3895.00,99.93
3894.00,99.92
3893.00,99.92
3892.00,99.93
3891.00,99.94
3890.00,99.94
3889.00,99.93
3888.00,99.91
3887.00,99.90
3886.00,99.91
3885.00,99.91
3884.00,99.91
3883.00,99.90
3882.00,99.89
3881.00,99.88
3880.00,99.87
3879.00,99.87
3878.00,99.88
3877.00,99.90
3876.00,99.91
3875.00,99.92
3874.00,99.91
3873.00,99.88
3872.00,99.86
3871.00,99.87
3870.00,99.90
3869.00,99.92
3868.00,99.93
3867.00,99.92
3866.00,99.91
3865.00,99.91
3864.00,99.90
3863.00,99.89
3862.00,99.88
3861.00,99.89
3860.00,99.90
3859.00,99.92
3858.00,99.92
3857.00,99.92
3856.00,99.91
3855.00,99.91
3854.00,99.91
3853.00,99.91
3852.00,99.92
3851.00,99.93
3850.00,99.95
3849.00,99.97
3848.00,99.99
3847.00,100.00
3846.00,100.00
3845.00,100.00
3844.00,100.00
3843.00,99.99
3842.00,99.96
3841.00,99.93
3840.00,99.89
3839.00,99.87
3838.00,99.87
3837.00,99.88
3836.00,99.90
3835.00,99.92
3834.00,99.93
3833.00,99.92
3832.00,99.91
3831.00,99.90
3830.00,99.90
3829.00,99.91
3828.00,99.93
3827.00,99.96
3826.00,99.99
3825.00,100.00
3824.00,99.99
3823.00,99.97
3822.00,99.95
3821.00,99.92
3820.00,99.89
3819.00,99.87
3818.00,99.87
3817.00,99.88
3816.00,99.89
3815.00,99.89
3814.00,99.87
3813.00,99.86
3812.00,99.86
3811.00,99.86
3810.00,99.86
3809.00,99.85
3808.00,99.84
3807.00,99.84
3806.00,99.85
3805.00,99.85
3804.00,99.85
3803.00,99.87
3802.00,99.88
3801.00,99.87
3800.00,99.86
3799.00,99.84
3798.00,99.84
3797.00,99.84
3796.00,99.85
3795.00,99.84
3794.00,99.84
3793.00,99.85
3792.00,99.86
3791.00,99.87
3790.00,99.87
3789.00,99.86
3788.00,99.86
