Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
4000.00,101.33
3999.00,101.33
3998.00,101.34
3997.00,101.35
3996.00,101.36
3995.00,101.36
3994.00,101.37
3993.00,101.37
3992.00,101.37
3991.00,101.37
3990.00,101.35
3989.00,101.34
3988.00,101.32
3987.00,101.31
3986.00,101.30
3985.00,101.31
3984.00,101.33
3983.00,101.34
3982.00,101.36
3981.00,101.36
3980.00,101.36
3979.00,101.36
3978.00,101.36
3977.00,101.37
3976.00,101.37
3975.00,101.36
3974.00,101.35
3973.00,101.34
3972.00,101.34
3971.00,101.34
3970.00,101.35
3969.00,101.35
3968.00,101.36
3967.00,101.38
3966.00,101.39
3965.00,101.39
3964.00,101.38
3963.00,101.37
3962.00,101.36
3961.00,101.37
3960.00,101.39
3959.00,101.41
3958.00,101.42
3957.00,101.42
3956.00,101.42
3955.00,101.41
3954.00,101.40
3953.00,101.40
3952.00,101.40
3951.00,101.41
3950.00,101.42
3949.00,101.42
3948.00,101.43
3947.00,101.45
3946.00,101.46
3945.00,101.45
3944.00,101.42
3943.00,101.39
3942.00,101.36
3941.00,101.35
3940.00,101.36
3939.00,101.38
3938.00,101.40
3937.00,101.41
3936.00,101.42
3935.00,101.41
3934.00,101.40
3933.00,101.40
3932.00,101.40
3931.00,101.40
3930.00,101.41
3929.00,101.41
3928.00,101.41
3927.00,101.40
3926.00,101.38
3925.00,101.35
3924.00,101.33
3923.00,101.32
3922.00,101.32
3921.00,101.34
3920.00,101.36
3919.00,101.36
3918.00,101.35
3917.00,101.33
3916.00,101.32
3915.00,101.32
3914.00,101.33
3913.00,101.35
3912.00,101.36
3911.00,101.38
3910.00,101.41
3909.00,101.43
3908.00,101.44
3907.00,101.45
3906.00,101.44
3905.00,101.42
3904.00,101.40
3903.00,101.38
3902.00,101.37
3901.00,101.37
3900.00,101.38
3899.00,101.38
3898.00,101.38
3897.00,101.38
3896.00,101.37
3895.00,101.37
3894.00,101.37
3893.00,101.37
3892.00,101.37
3891.00,101.38
3890.00,101.41
3889.00,101.43
3888.00,101.45
3887.00,101.45
3886.00,101.43
3885.00,101.41
3884.00,101.39
3883.00,101.38
3882.00,101.36
3881.00,101.34
3880.00,101.32
3879.00,101.30
3878.00,101.30
3877.00,101.30
3876.00,101.31
3875.00,101.31
3874.00,101.31
3873.00,101.31
3872.00,101.32
3871.00,101.35
3870.00,101.37
3869.00,101.39
3868.00,101.40
3867.00,101.38
3866.00,101.37
3865.00,101.36
3864.00,101.36
3863.00,101.37
3862.00,101.36
3861.00,101.35
3860.00,101.35
3859.00,101.37
3858.00,101.40
3857.00,101.43
3856.00,101.46
3855.00,101.47
3854.00,101.46
3853.00,101.46
3852.00,101.47
3851.00,101.48
3850.00,101.46
3849.00,101.44
3848.00,101.42
3847.00,101.40
3846.00,101.39
3845.00,101.38
3844.00,101.37
3843.00,101.36
3842.00,101.35
3841.00,101.34
3840.00,101.33
3839.00,101.34
3838.00,101.36
3837.00,101.38
3836.00,101.40
3835.00,101.40
3834.00,101.38
3833.00,101.35
3832.00,101.34
3831.00,101.34
3830.00,101.35
3829.00,101.36
3828.00,101.36
3827.00,101.36
3826.00,101.36
3825.00,101.37
3824.00,101.37
3823.00,101.37
3822.00,101.36
3821.00,101.35
3820.00,101.36
3819.00,101.37
3818.00,101.38
3817.00,101.37
3816.00,101.36
3815.00,101.34
3814.00,101.33
3813.00,101.31
3812.00,101.31
3811.00,101.31
3810.00,101.32
3809.00,101.32
3808.00,101.30
3807.00,101.27
3806.00,101.27
3805.00,101.30
3804.00,101.32
3803.00,101.32
3802.00,101.30
3801.00,101.29
3800.00,101.30
3799.00,101.32
3798.00,101.32
3797.00,101.30
3796.00,101.29
3795.00,101.30
3794.00,101.31
3793.00,101.32
3792.00,101.32
3791.00,101.31
3790.00,101.30
3789.00,101.29
3788.00,101.28
3787.00,101.26
3786.00,101.24
3785.00,101.23
3784.00,101.22
3783.00,101.22
3782.00,101.22
3781.00,101.24
3780.00,101.26
3779.00,101.27
3778.00,101.28
3777.00,101.27
3776.00,101.27
3775.00,101.26
3774.00,101.26
3773.00,101.25
3772.00,101.24
3771.00,101.22
3770.00,101.20
3769.00,101.19
3768.00,101.18
3767.00,101.17
3766.00,101.16
3765.00,101.16
3764.00,101.18
3763.00,101.20
3762.00,101.22
3761.00,101.23
3760.00,101.22
3759.00,101.22
3758.00,101.23
3757.00,101.25
3756.00,101.26
3755.00,101.26
3754.00,101.24
3753.00,101.22
3752.00,101.21
3751.00,101.21
3750.00,101.23
3749.00,101.26
3748.00,101.29
3747.00,101.30
3746.00,101.30
3745.00,101.29
3744.00,101.28
3743.00,101.27
3742.00,101.25
3741.00,101.22
3740.00,101.19
3739.00,101.18
3738.00,101.19
3737.00,101.21
3736.00,101.23
3735.00,101.23
3734.00,101.22
3733.00,101.19
3732.00,101.18
3731.00,101.18
3730.00,101.21
3729.00,101.23
3728.00,101.25
3727.00,101.25
3726.00,101.24
3725.00,101.23
3724.00,101.21
3723.00,101.19
3722.00,101.16
3721.00,101.16
3720.00,101.17
3719.00,101.19
3718.00,101.21
3717.00,101.23
3716.00,101.23
3715.00,101.23
3714.00,101.20
3713.00,101.16
3712.00,101.12
3711.00,101.10
3710.00,101.09
3709.00,101.09
3708.00,101.10
3707.00,101.10
3706.00,101.08
3705.00,101.07
3704.00,101.06
3703.00,101.08
3702.00,101.09
3701.00,101.11
3700.00,101.12
3699.00,101.12
3698.00,101.13
3697.00,101.15
3696.00,101.17
3695.00,101.17
3694.00,101.16
3693.00,101.13
3692.00,101.12
3691.00,101.12
3690.00,101.14
3689.00,101.15
3688.00,101.14
3687.00,101.13
3686.00,101.13
3685.00,101.12
3684.00,101.12
3683.00,101.12
3682.00,101.10
3681.00,101.07
3680.00,101.04
3679.00,101.02
3678.00,101.01
3677.00,101.00
3676.00,100.99
3675.00,100.99
3674.00,100.99
3673.00,101.00
3672.00,101.00
3671.00,100.99
3670.00,101.00
3669.00,101.01
3668.00,101.01
3667.00,101.00
3666.00,100.98
3665.00,100.97
3664.00,100.96
3663.00,100.97
3662.00,100.97
3661.00,100.97
3660.00,100.97
3659.00,100.96
3658.00,100.94
3657.00,100.91
3656.00,100.88
3655.00,100.86
3654.00,100.84
3653.00,100.82
3652.00,100.81
3651.00,100.80
3650.00,100.80
3649.00,100.79
3648.00,100.76
3647.00,100.72
3646.00,100.68
3645.00,100.67
3644.00,100.66
3643.00,100.66
3642.00,100.66
3641.00,100.66
3640.00,100.65
3639.00,100.64
3638.00,100.63
3637.00,100.61
3636.00,100.58
3635.00,100.54
3634.00,100.51
3633.00,100.49
3632.00,100.49
3631.00,100.52
3630.00,100.55
3629.00,100.57
3628.00,100.57
3627.00,100.57
3626.00,100.54
3625.00,100.51
3624.00,100.47
3623.00,100.42
3622.00,100.37
3621.00,100.32
3620.00,100.27
3619.00,100.24
3618.00,100.23
3617.00,100.23
3616.00,100.22
3615.00,100.20
3614.00,100.16
3613.00,100.12
3612.00,100.08
3611.00,100.05
3610.00,100.03
3609.00,100.01
3608.00,100.00
3607.00,99.98
3606.00,99.98
3605.00,99.97
3604.00,99.95
3603.00,99.94
3602.00,99.92
3601.00,99.90
3600.00,99.87
3599.00,99.85
3598.00,99.81
3597.00,99.77
3596.00,99.73
3595.00,99.68
3594.00,99.63
3593.00,99.59
3592.00,99.56
3591.00,99.54
3590.00,99.52
3589.00,99.51
3588.00,99.49
3587.00,99.47
3586.00,99.45
3585.00,99.43
3584.00,99.40
3583.00,99.37
3582.00,99.32
3581.00,99.28
3580.00,99.25
3579.00,99.23
3578.00,99.20
3577.00,99.15
3576.00,99.11
3575.00,99.07
3574.00,99.04
3573.00,99.03
3572.00,99.03
3571.00,99.04
3570.00,99.04
3569.00,99.03
3568.00,98.99
