Created as New Dataset,
cm-1,%T
4000.00,100.45
3999.00,100.47
3998.00,100.48
3997.00,100.49
3996.00,100.48
3995.00,100.47
3994.00,100.46
3993.00,100.45
3992.00,100.45
3991.00,100.46
3990.00,100.46
3989.00,100.46
3988.00,100.45
3987.00,100.44
3986.00,100.43
3985.00,100.42
3984.00,100.42
3983.00,100.43
3982.00,100.45
3981.00,100.46
3980.00,100.47
3979.00,100.47
3978.00,100.45
3977.00,100.43
3976.00,100.43
3975.00,100.44
3974.00,100.45
3973.00,100.45
3972.00,100.45
3971.00,100.44
3970.00,100.42
3969.00,100.42
3968.00,100.43
3967.00,100.46
3966.00,100.49
3965.00,100.50
3964.00,100.50
3963.00,100.47
3962.00,100.45
3961.00,100.42
3960.00,100.41
3959.00,100.40
3958.00,100.41
3957.00,100.42
3956.00,100.44
3955.00,100.47
3954.00,100.50
3953.00,100.52
3952.00,100.51
3951.00,100.50
3950.00,100.48
3949.00,100.47
3948.00,100.46
3947.00,100.45
3946.00,100.45
3945.00,100.44
3944.00,100.45
3943.00,100.47
3942.00,100.49
3941.00,100.52
3940.00,100.52
3939.00,100.52
3938.00,100.51
3937.00,100.50
3936.00,100.49
3935.00,100.49
3934.00,100.49
3933.00,100.48
3932.00,100.48
3931.00,100.48
3930.00,100.48
3929.00,100.47
3928.00,100.45
3927.00,100.45
3926.00,100.45
3925.00,100.47
3924.00,100.48
3923.00,100.49
3922.00,100.48
3921.00,100.47
3920.00,100.46
3919.00,100.47
3918.00,100.49
3917.00,100.49
3916.00,100.49
3915.00,100.47
3914.00,100.45
3913.00,100.44
3912.00,100.43
3911.00,100.43
3910.00,100.44
3909.00,100.45
3908.00,100.46
3907.00,100.46
3906.00,100.45
3905.00,100.43
3904.00,100.42
3903.00,100.43
3902.00,100.44
3901.00,100.44
3900.00,100.45
3899.00,100.46
3898.00,100.47
3897.00,100.47
3896.00,100.47
3895.00,100.48
3894.00,100.49
3893.00,100.51
3892.00,100.52
3891.00,100.51
3890.00,100.50
3889.00,100.48
3888.00,100.47
3887.00,100.46
3886.00,100.43
3885.00,100.41
3884.00,100.39
3883.00,100.38
3882.00,100.39
3881.00,100.41
3880.00,100.42
3879.00,100.43
3878.00,100.45
3877.00,100.46
3876.00,100.47
3875.00,100.46
3874.00,100.44
3873.00,100.42
3872.00,100.42
3871.00,100.42
3870.00,100.41
3869.00,100.41
3868.00,100.40
3867.00,100.41
3866.00,100.42
3865.00,100.44
3864.00,100.44
3863.00,100.45
3862.00,100.46
3861.00,100.47
3860.00,100.48
3859.00,100.48
3858.00,100.47
3857.00,100.46
3856.00,100.46
3855.00,100.45
3854.00,100.44
3853.00,100.42
3852.00,100.41
3851.00,100.41
3850.00,100.41
3849.00,100.42
3848.00,100.42
3847.00,100.42
3846.00,100.44
3845.00,100.46
3844.00,100.48
3843.00,100.49
3842.00,100.50
3841.00,100.50
3840.00,100.50
3839.00,100.50
3838.00,100.49
3837.00,100.48
3836.00,100.46
3835.00,100.44
3834.00,100.44
3833.00,100.44
3832.00,100.46
3831.00,100.47
3830.00,100.47
3829.00,100.46
3828.00,100.45
3827.00,100.43
3826.00,100.42
3825.00,100.42
3824.00,100.45
3823.00,100.48
3822.00,100.52
3821.00,100.53
3820.00,100.53
3819.00,100.53
3818.00,100.51
3817.00,100.49
3816.00,100.46
3815.00,100.44
3814.00,100.43
3813.00,100.43
3812.00,100.44
3811.00,100.46
3810.00,100.47
3809.00,100.48
3808.00,100.48
3807.00,100.47
3806.00,100.47
3805.00,100.48
3804.00,100.48
3803.00,100.47
3802.00,100.45
3801.00,100.42
3800.00,100.40
3799.00,100.39
3798.00,100.40
3797.00,100.41
3796.00,100.42
3795.00,100.43
3794.00,100.44
3793.00,100.45
3792.00,100.46
3791.00,100.46
3790.00,100.46
3789.00,100.46
3788.00,100.46
3787.00,100.44
3786.00,100.42
3785.00,100.40
3784.00,100.39
3783.00,100.40
3782.00,100.42
3781.00,100.44
3780.00,100.44
3779.00,100.43
3778.00,100.41
3777.00,100.41
3776.00,100.41
3775.00,100.43
3774.00,100.44
3773.00,100.45
3772.00,100.45
3771.00,100.43
3770.00,100.39
3769.00,100.35
3768.00,100.33
3767.00,100.33
3766.00,100.35
3765.00,100.38
3764.00,100.40
3763.00,100.41
3762.00,100.42
3761.00,100.41
3760.00,100.40
3759.00,100.38
3758.00,100.38
3757.00,100.39
3756.00,100.42
3755.00,100.44
3754.00,100.44
3753.00,100.43
3752.00,100.42
3751.00,100.42
3750.00,100.43
3749.00,100.43
3748.00,100.42
3747.00,100.41
3746.00,100.40
3745.00,100.41
3744.00,100.42
3743.00,100.44
3742.00,100.45
3741.00,100.45
3740.00,100.44
3739.00,100.42
3738.00,100.40
3737.00,100.37
3736.00,100.34
3735.00,100.31
3734.00,100.29
3733.00,100.26
3732.00,100.25
3731.00,100.25
3730.00,100.27
3729.00,100.30
3728.00,100.33
3727.00,100.33
3726.00,100.31
3725.00,100.29
3724.00,100.28
3723.00,100.29
3722.00,100.29
3721.00,100.28
3720.00,100.26
3719.00,100.25
3718.00,100.26
3717.00,100.27
3716.00,100.30
3715.00,100.34
3714.00,100.37
3713.00,100.38
3712.00,100.36
3711.00,100.32
3710.00,100.30
3709.00,100.29
3708.00,100.30
3707.00,100.31
3706.00,100.32
3705.00,100.34
3704.00,100.34
3703.00,100.33
3702.00,100.31
3701.00,100.30
3700.00,100.30
3699.00,100.33
3698.00,100.36
3697.00,100.40
3696.00,100.42
3695.00,100.43
3694.00,100.44
3693.00,100.44
3692.00,100.44
3691.00,100.43
3690.00,100.43
3689.00,100.41
3688.00,100.38
3687.00,100.36
3686.00,100.35
3685.00,100.34
3684.00,100.33
3683.00,100.32
3682.00,100.31
3681.00,100.31
3680.00,100.33
3679.00,100.34
3678.00,100.36
3677.00,100.37
3676.00,100.36
3675.00,100.33
3674.00,100.30
3673.00,100.27
3672.00,100.25
3671.00,100.24
3670.00,100.24
3669.00,100.26
3668.00,100.29
3667.00,100.30
3666.00,100.31
3665.00,100.30
3664.00,100.29
3663.00,100.28
3662.00,100.26
3661.00,100.24
3660.00,100.23
3659.00,100.22
3658.00,100.22
3657.00,100.21
3656.00,100.20
3655.00,100.20
3654.00,100.19
3653.00,100.18
3652.00,100.17
3651.00,100.14
3650.00,100.12
3649.00,100.11
3648.00,100.12
3647.00,100.13
3646.00,100.12
3645.00,100.11
3644.00,100.11
3643.00,100.12
3642.00,100.14
3641.00,100.14
3640.00,100.13
3639.00,100.10
3638.00,100.08
3637.00,100.06
3636.00,100.07
3635.00,100.07
3634.00,100.08
3633.00,100.08
3632.00,100.08
3631.00,100.06
3630.00,100.02
3629.00,99.96
3628.00,99.92
3627.00,99.93
3626.00,99.96
3625.00,99.98
3624.00,99.97
3623.00,99.95
3622.00,99.92
3621.00,99.91
3620.00,99.90
3619.00,99.90
3618.00,99.89
3617.00,99.89
3616.00,99.88
3615.00,99.86
3614.00,99.83
3613.00,99.80
3612.00,99.77
3611.00,99.76
3610.00,99.78
3609.00,99.80
3608.00,99.81
3607.00,99.80
3606.00,99.78
3605.00,99.76
3604.00,99.74
3603.00,99.75
3602.00,99.76
3601.00,99.78
3600.00,99.80
3599.00,99.81
3598.00,99.81
3597.00,99.79
3596.00,99.74
3595.00,99.69
3594.00,99.64
3593.00,99.61
3592.00,99.60
3591.00,99.60
3590.00,99.61
3589.00,99.60
3588.00,99.59
3587.00,99.58
3586.00,99.59
3585.00,99.59
3584.00,99.58
3583.00,99.57
3582.00,99.56
3581.00,99.56
3580.00,99.56
3579.00,99.57
3578.00,99.56
3577.00,99.54
3576.00,99.51
3575.00,99.47
3574.00,99.42
3573.00,99.37
3572.00,99.33
3571.00,99.32
3570.00,99.34
3569.00,99.36
3568.00,99.35
3567.00,99.32
3566.00,99.28
3565.00,99.26
3564.00,99.24
3563.00,99.24
3562.00,99.24
3561.00,99.22
3560.00,99.19
3559.00,99.16
3558.00,99.14
3557.00,99.14
3556.00,99.14
3555.00,99.14
3554.00,99.14
3553.00,99.12
3552.00,99.10
3551.00,99.09
3550.00,99.08
3549.00,99.08
3548.00,99.06
3547.00,99.03
3546.00,98.98
3545.00,98.94
3544.00,98.93
3543.00,98.94
3542.00,98.96
3541.00,98.96
3540.00,98.95
3539.00,98.92
3538.00,98.88
3537.00,98.85
3536.00,98.82
3535.00,98.80
3534.00,98.77
3533.00,98.74
3532.00,98.72
3531.00,98.70
3530.00,98.68
3529.00,98.66
3528.00,98.65
3527.00,98.65
3526.00,98.64
3525.00,98.63
3524.00,98.61
3523.00,98.60
3522.00,98.60
3521.00,98.60
3520.00,98.60
3519.00,98.60
3518.00,98.60
3517.00,98.60
3516.00,98.60
3515.00,98.60
3514.00,98.60
3513.00,98.58
3512.00,98.54
3511.00,98.48
3510.00,98.43
3509.00,98.37
3508.00,98.33
3507.00,98.29
3506.00,98.25
3505.00,98.22
3504.00,98.20
3503.00,98.19
3502.00,98.18
3501.00,98.18
3500.00,98.16
3499.00,98.15
3498.00,98.12
3497.00,98.09
3496.00,98.06
3495.00,98.02
3494.00,98.00
3493.00,98.00
3492.00,98.00
3491.00,97.99
3490.00,97.97
3489.00,97.94
3488.00,97.88
3487.00,97.82
3486.00,97.78
3485.00,97.75
3484.00,97.74
3483.00,97.75
3482.00,97.76
3481.00,97.75
3480.00,97.72
3479.00,97.67
3478.00,97.63
3477.00,97.59
3476.00,97.55
3475.00,97.50
3474.00,97.45
3473.00,97.41
3472.00,97.39
3471.00,97.38
3470.00,97.38
3469.00,97.37
3468.00,97.36
3467.00,97.34
3466.00,97.31
3465.00,97.28
3464.00,97.25
3463.00,97.23
3462.00,97.21
3461.00,97.18
3460.00,97.15
3459.00,97.12
3458.00,97.08
3457.00,97.05
3456.00,97.02
3455.00,96.98
3454.00,96.96
3453.00,96.94
3452.00,96.92
3451.00,96.90
3450.00,96.86
3449.00,96.83
3448.00,96.79
3447.00,96.75
3446.00,96.72
3445.00,96.69
3444.00,96.67
3443.00,96.67
3442.00,96.67
3441.00,96.67
3440.00,96.66
3439.00,96.63
3438.00,96.58
3437.00,96.53
3436.00,96.48
3435.00,96.46
3434.00,96.43
3433.00,96.41
3432.00,96.38
3431.00,96.34
3430.00,96.31
3429.00,96.28
3428.00,96.26
3427.00,96.24
3426.00,96.21
3425.00,96.17
3424.00,96.13
3423.00,96.10
3422.00,96.08
3421.00,96.05
3420.00,96.02
3419.00,95.98
3418.00,95.93
3417.00,95.89
3416.00,95.85
3415.00,95.83
3414.00,95.82
3413.00,95.80
3412.00,95.78
3411.00,95.75
3410.00,95.71
3409.00,95.65
3408.00,95.60
3407.00,95.57
