Created as New Dataset,6.1 Cotton, cord
cm-1,%T
4000.00,100.07
3999.00,100.07
3998.00,100.06
3997.00,100.04
3996.00,100.02
3995.00,100.00
3994.00,99.99
3993.00,99.99
3992.00,99.99
3991.00,100.00
3990.00,100.01
3989.00,100.01
3988.00,100.01
3987.00,100.00
3986.00,100.00
3985.00,100.00
3984.00,100.00
3983.00,100.01
3982.00,100.00
3981.00,99.99
3980.00,99.98
3979.00,99.98
3978.00,99.98
3977.00,99.99
3976.00,99.99
3975.00,99.98
3974.00,99.97
3973.00,99.96
3972.00,99.96
3971.00,99.97
3970.00,99.98
3969.00,99.98
3968.00,99.98
3967.00,99.98
3966.00,99.97
3965.00,99.98
3964.00,99.98
3963.00,99.99
3962.00,99.99
3961.00,99.98
3960.00,99.98
3959.00,99.98
3958.00,99.99
3957.00,99.99
3956.00,100.00
3955.00,100.00
3954.00,100.00
3953.00,100.00
3952.00,100.00
3951.00,100.01
3950.00,100.01
3949.00,100.02
3948.00,100.01
3947.00,100.01
3946.00,100.00
3945.00,99.99
3944.00,99.99
3943.00,99.99
3942.00,99.98
3941.00,99.97
3940.00,99.96
3939.00,99.94
3938.00,99.94
3937.00,99.94
3936.00,99.94
3935.00,99.95
3934.00,99.95
3933.00,99.96
3932.00,99.96
3931.00,99.97
3930.00,99.97
3929.00,99.98
3928.00,99.98
3927.00,99.98
3926.00,99.97
3925.00,99.97
3924.00,99.96
3923.00,99.96
3922.00,99.96
3921.00,99.96
3920.00,99.95
3919.00,99.95
3918.00,99.96
3917.00,99.96
3916.00,99.97
3915.00,99.96
3914.00,99.96
3913.00,99.96
3912.00,99.97
3911.00,99.98
3910.00,99.99
3909.00,100.00
3908.00,99.99
3907.00,99.98
3906.00,99.96
3905.00,99.95
3904.00,99.95
3903.00,99.95
3902.00,99.94
3901.00,99.94
3900.00,99.94
3899.00,99.94
3898.00,99.94
3897.00,99.94
3896.00,99.95
3895.00,99.95
3894.00,99.96
3893.00,99.96
3892.00,99.95
3891.00,99.94
3890.00,99.92
3889.00,99.91
3888.00,99.90
3887.00,99.92
3886.00,99.93
3885.00,99.94
3884.00,99.93
3883.00,99.92
3882.00,99.92
3881.00,99.94
3880.00,99.96
3879.00,99.97
3878.00,99.97
3877.00,99.97
3876.00,99.97
3875.00,99.97
3874.00,99.97
3873.00,99.95
3872.00,99.94
3871.00,99.94
3870.00,99.94
3869.00,99.94
3868.00,99.94
3867.00,99.93
3866.00,99.94
3865.00,99.93
3864.00,99.92
3863.00,99.90
3862.00,99.89
3861.00,99.90
3860.00,99.93
3859.00,99.94
3858.00,99.93
3857.00,99.90
3856.00,99.88
3855.00,99.89
3854.00,99.90
3853.00,99.88
3852.00,99.86
3851.00,99.85
3850.00,99.87
3849.00,99.90
3848.00,99.94
3847.00,99.97
3846.00,99.99
3845.00,99.99
3844.00,99.99
3843.00,99.97
3842.00,99.96
3841.00,99.94
3840.00,99.93
3839.00,99.91
3838.00,99.90
3837.00,99.90
3836.00,99.89
3835.00,99.90
3834.00,99.92
3833.00,99.94
3832.00,99.97
3831.00,99.98
3830.00,99.98
3829.00,99.97
3828.00,99.96
3827.00,99.96
3826.00,99.95
3825.00,99.93
3824.00,99.93
3823.00,99.93
3822.00,99.94
3821.00,99.93
3820.00,99.91
3819.00,99.89
3818.00,99.90
3817.00,99.92
3816.00,99.94
3815.00,99.94
3814.00,99.91
3813.00,99.89
3812.00,99.88
3811.00,99.88
3810.00,99.90
3809.00,99.93
3808.00,99.96
3807.00,99.96
3806.00,99.94
3805.00,99.91
3804.00,99.90
3803.00,99.91
3802.00,99.93
3801.00,99.94
3800.00,99.92
3799.00,99.89
3798.00,99.88
3797.00,99.88
3796.00,99.91
3795.00,99.94
3794.00,99.96
3793.00,99.97
3792.00,99.96
3791.00,99.95
3790.00,99.93
3789.00,99.92
3788.00,99.93
3787.00,99.94
3786.00,99.96
3785.00,99.96
3784.00,99.95
3783.00,99.92
3782.00,99.90
3781.00,99.90
3780.00,99.90
3779.00,99.90
3778.00,99.91
3777.00,99.93
3776.00,99.94
3775.00,99.95
3774.00,99.95
3773.00,99.94
3772.00,99.92
3771.00,99.91
3770.00,99.91
3769.00,99.90
3768.00,99.89
3767.00,99.88
3766.00,99.88
3765.00,99.89
3764.00,99.89
3763.00,99.89
3762.00,99.90
3761.00,99.91
3760.00,99.92
3759.00,99.93
3758.00,99.93
3757.00,99.92
3756.00,99.90
3755.00,99.88
3754.00,99.87
3753.00,99.87
3752.00,99.87
3751.00,99.86
3750.00,99.85
3749.00,99.83
3748.00,99.80
3747.00,99.77
3746.00,99.75
3745.00,99.75
3744.00,99.77
3743.00,99.80
3742.00,99.84
3741.00,99.88
3740.00,99.90
3739.00,99.91
3738.00,99.90
3737.00,99.89
3736.00,99.88
3735.00,99.86
3734.00,99.86
3733.00,99.86
3732.00,99.87
3731.00,99.87
3730.00,99.86
3729.00,99.85
3728.00,99.84
3727.00,99.83
3726.00,99.83
3725.00,99.83
3724.00,99.83
3723.00,99.84
3722.00,99.84
3721.00,99.84
3720.00,99.84
3719.00,99.84
3718.00,99.85
3717.00,99.84
3716.00,99.83
3715.00,99.81
3714.00,99.81
3713.00,99.82
3712.00,99.82
3711.00,99.81
3710.00,99.80
3709.00,99.80
3708.00,99.80
3707.00,99.82
3706.00,99.83
3705.00,99.85
3704.00,99.86
3703.00,99.85
3702.00,99.84
3701.00,99.82
3700.00,99.80
3699.00,99.81
3698.00,99.81
3697.00,99.82
3696.00,99.81
3695.00,99.80
3694.00,99.80
3693.00,99.81
3692.00,99.82
3691.00,99.84
3690.00,99.84
3689.00,99.85
3688.00,99.85
3687.00,99.85
3686.00,99.84
3685.00,99.83
3684.00,99.83
3683.00,99.82
3682.00,99.81
3681.00,99.80
3680.00,99.78
3679.00,99.75
3678.00,99.73
3677.00,99.72
3676.00,99.71
3675.00,99.71
3674.00,99.70
3673.00,99.70
3672.00,99.71
3671.00,99.74
3670.00,99.76
3669.00,99.75
