Created as New Dataset,Mercerised Cotton 5/2 (Light Green)
cm-1,%T
4000.00,99.06
3999.00,99.04
3998.00,99.02
3997.00,99.00
3996.00,99.00
3995.00,99.00
3994.00,99.01
3993.00,99.01
3992.00,99.01
3991.00,99.01
3990.00,99.01
3989.00,99.02
3988.00,99.03
3987.00,99.04
3986.00,99.05
3985.00,99.05
3984.00,99.05
3983.00,99.04
3982.00,99.03
3981.00,99.02
3980.00,99.03
3979.00,99.04
3978.00,99.05
3977.00,99.05
3976.00,99.05
3975.00,99.04
3974.00,99.04
3973.00,99.05
3972.00,99.06
3971.00,99.06
3970.00,99.06
3969.00,99.05
3968.00,99.04
3967.00,99.04
3966.00,99.06
3965.00,99.08
3964.00,99.10
3963.00,99.11
3962.00,99.12
3961.00,99.11
3960.00,99.10
3959.00,99.09
3958.00,99.08
3957.00,99.08
3956.00,99.09
3955.00,99.09
3954.00,99.10
3953.00,99.09
3952.00,99.08
3951.00,99.07
3950.00,99.07
3949.00,99.08
3948.00,99.10
3947.00,99.10
3946.00,99.09
3945.00,99.07
3944.00,99.06
3943.00,99.06
3942.00,99.08
3941.00,99.09
3940.00,99.11
3939.00,99.11
3938.00,99.11
3937.00,99.11
3936.00,99.12
3935.00,99.11
3934.00,99.10
3933.00,99.08
3932.00,99.06
3931.00,99.06
3930.00,99.07
3929.00,99.09
3928.00,99.10
3927.00,99.10
3926.00,99.10
3925.00,99.10
3924.00,99.10
3923.00,99.11
3922.00,99.11
3921.00,99.12
3920.00,99.13
3919.00,99.14
3918.00,99.14
3917.00,99.13
3916.00,99.12
3915.00,99.11
3914.00,99.11
3913.00,99.11
3912.00,99.11
3911.00,99.11
3910.00,99.10
3909.00,99.10
3908.00,99.10
3907.00,99.09
3906.00,99.08
3905.00,99.07
3904.00,99.08
3903.00,99.11
3902.00,99.14
3901.00,99.16
3900.00,99.16
3899.00,99.16
3898.00,99.17
3897.00,99.17
3896.00,99.18
3895.00,99.18
3894.00,99.17
3893.00,99.16
3892.00,99.15
3891.00,99.15
3890.00,99.17
3889.00,99.19
3888.00,99.20
3887.00,99.18
3886.00,99.16
3885.00,99.16
3884.00,99.16
3883.00,99.16
3882.00,99.14
3881.00,99.12
3880.00,99.12
3879.00,99.13
3878.00,99.16
3877.00,99.19
3876.00,99.20
3875.00,99.21
3874.00,99.21
3873.00,99.20
3872.00,99.19
3871.00,99.18
3870.00,99.17
3869.00,99.16
3868.00,99.17
3867.00,99.16
3866.00,99.14
3865.00,99.12
3864.00,99.12
3863.00,99.14
3862.00,99.15
3861.00,99.16
3860.00,99.17
3859.00,99.18
3858.00,99.21
3857.00,99.24
3856.00,99.27
3855.00,99.27
3854.00,99.23
3853.00,99.18
3852.00,99.17
3851.00,99.18
3850.00,99.17
3849.00,99.17
3848.00,99.17
3847.00,99.18
3846.00,99.17
3845.00,99.15
3844.00,99.13
3843.00,99.13
3842.00,99.16
3841.00,99.19
3840.00,99.21
3839.00,99.21
3838.00,99.19
3837.00,99.17
3836.00,99.16
3835.00,99.16
3834.00,99.15
3833.00,99.14
3832.00,99.13
3831.00,99.13
3830.00,99.14
3829.00,99.15
3828.00,99.16
3827.00,99.17
3826.00,99.17
3825.00,99.18
3824.00,99.18
3823.00,99.17
3822.00,99.16
3821.00,99.15
3820.00,99.17
3819.00,99.19
3818.00,99.21
3817.00,99.21
3816.00,99.20
3815.00,99.18
3814.00,99.15
3813.00,99.13
3812.00,99.11
3811.00,99.09
3810.00,99.10
3809.00,99.11
3808.00,99.14
3807.00,99.16
3806.00,99.18
3805.00,99.19
3804.00,99.18
3803.00,99.15
3802.00,99.11
3801.00,99.08
3800.00,99.08
3799.00,99.09
3798.00,99.11
3797.00,99.13
3796.00,99.15
3795.00,99.16
3794.00,99.16
3793.00,99.15
3792.00,99.14
3791.00,99.12
3790.00,99.11
3789.00,99.09
3788.00,99.07
3787.00,99.06
3786.00,99.06
3785.00,99.07
3784.00,99.08
3783.00,99.09
3782.00,99.10
3781.00,99.11
3780.00,99.11
3779.00,99.11
3778.00,99.09
3777.00,99.07
3776.00,99.06
3775.00,99.05
3774.00,99.05
3773.00,99.06
3772.00,99.06
3771.00,99.05
3770.00,99.04
3769.00,99.03
3768.00,99.03
3767.00,99.01
3766.00,98.99
3765.00,98.97
3764.00,98.97
3763.00,98.99
3762.00,99.01
3761.00,99.05
3760.00,99.08
3759.00,99.09
3758.00,99.09
3757.00,99.07
3756.00,99.06
3755.00,99.04
3754.00,99.04
3753.00,99.03
3752.00,99.03
3751.00,99.04
3750.00,99.05
3749.00,99.06
3748.00,99.08
3747.00,99.08
3746.00,99.08
3745.00,99.06
3744.00,99.05
3743.00,99.07
3742.00,99.08
3741.00,99.07
3740.00,99.06
3739.00,99.06
3738.00,99.07
3737.00,99.07
3736.00,99.07
3735.00,99.06
3734.00,99.06
3733.00,99.05
3732.00,99.03
3731.00,99.01
3730.00,99.00
3729.00,98.99
3728.00,98.98
3727.00,98.97
3726.00,98.97
3725.00,98.97
3724.00,98.98
3723.00,98.98
3722.00,98.97
3721.00,98.96
3720.00,98.93
3719.00,98.92
3718.00,98.92
3717.00,98.93
3716.00,98.94
3715.00,98.93
3714.00,98.92
3713.00,98.90
3712.00,98.90
3711.00,98.92
3710.00,98.94
3709.00,98.95
3708.00,98.95
3707.00,98.94
3706.00,98.92
3705.00,98.92
3704.00,98.92
3703.00,98.92
3702.00,98.91
3701.00,98.90
3700.00,98.89
3699.00,98.90
3698.00,98.90
3697.00,98.91
3696.00,98.91
3695.00,98.91
3694.00,98.91
3693.00,98.91
3692.00,98.91
3691.00,98.92
3690.00,98.91
3689.00,98.90
3688.00,98.89
3687.00,98.88
3686.00,98.87
3685.00,98.87
3684.00,98.86
3683.00,98.86
3682.00,98.85
3681.00,98.85
3680.00,98.86
3679.00,98.87
3678.00,98.87
3677.00,98.84
3676.00,98.80
3675.00,98.80
3674.00,98.83
3673.00,98.85
3672.00,98.84
3671.00,98.80
3670.00,98.75
3669.00,98.71
3668.00,98.71
3667.00,98.70
3666.00,98.69
3665.00,98.68
3664.00,98.69
3663.00,98.69
3662.00,98.70
3661.00,98.70
3660.00,98.68
3659.00,98.66
3658.00,98.63
3657.00,98.60
3656.00,98.58
3655.00,98.58
3654.00,98.59
3653.00,98.59
3652.00,98.57
3651.00,98.52
3650.00,98.47
3649.00,98.43
3648.00,98.40
3647.00,98.38
3646.00,98.36
3645.00,98.34
3644.00,98.32
3643.00,98.29
3642.00,98.27
3641.00,98.26
3640.00,98.24
3639.00,98.23
3638.00,98.22
3637.00,98.21
3636.00,98.20
3635.00,98.18
3634.00,98.17
3633.00,98.15
3632.00,98.14
3631.00,98.12
3630.00,98.09
3629.00,98.04
3628.00,98.01
3627.00,97.98
3626.00,97.95
3625.00,97.92
3624.00,97.90
3623.00,97.88
3622.00,97.88
3621.00,97.88
3620.00,97.88
3619.00,97.87
3618.00,97.86
3617.00,97.84
3616.00,97.79
3615.00,97.73
3614.00,97.66
3613.00,97.60
3612.00,97.57
3611.00,97.57
3610.00,97.57
3609.00,97.54
3608.00,97.48
3607.00,97.40
3606.00,97.33
3605.00,97.29
3604.00,97.28
3603.00,97.29
3602.00,97.29
3601.00,97.26
3600.00,97.20
3599.00,97.13
3598.00,97.09
3597.00,97.06
3596.00,97.06
3595.00,97.05
3594.00,97.03
3593.00,96.98
3592.00,96.91
3591.00,96.85
3590.00,96.81
3589.00,96.80
3588.00,96.80
3587.00,96.77
3586.00,96.73
3585.00,96.69
3584.00,96.64
3583.00,96.59
3582.00,96.54
3581.00,96.49
3580.00,96.42
3579.00,96.36
3578.00,96.30
3577.00,96.25
3576.00,96.22
3575.00,96.20
3574.00,96.18
3573.00,96.14
3572.00,96.09
3571.00,96.05
3570.00,96.02
3569.00,96.00
3568.00,95.97
3567.00,95.92
3566.00,95.85
3565.00,95.76
3564.00,95.69
3563.00,95.63
3562.00,95.58
3561.00,95.54
3560.00,95.51
3559.00,95.48
3558.00,95.46
3557.00,95.43
3556.00,95.41
