Created as New Dataset,Bio-Couture 3x2/16 Cotton (Red)
cm-1,%T
4000.00,100.78
3999.00,100.76
3998.00,100.74
3997.00,100.72
3996.00,100.70
3995.00,100.69
3994.00,100.68
3993.00,100.68
3992.00,100.68
3991.00,100.69
3990.00,100.69
3989.00,100.69
3988.00,100.68
3987.00,100.68
3986.00,100.68
3985.00,100.69
3984.00,100.70
3983.00,100.70
3982.00,100.70
3981.00,100.70
3980.00,100.69
3979.00,100.69
3978.00,100.69
3977.00,100.69
3976.00,100.69
3975.00,100.71
3974.00,100.73
3973.00,100.75
3972.00,100.76
3971.00,100.75
3970.00,100.72
3969.00,100.69
3968.00,100.66
3967.00,100.65
3966.00,100.65
3965.00,100.67
3964.00,100.68
3963.00,100.69
3962.00,100.68
3961.00,100.67
3960.00,100.67
3959.00,100.67
3958.00,100.68
3957.00,100.69
3956.00,100.70
3955.00,100.71
3954.00,100.72
3953.00,100.73
3952.00,100.74
3951.00,100.75
3950.00,100.75
3949.00,100.74
3948.00,100.73
3947.00,100.72
3946.00,100.72
3945.00,100.70
3944.00,100.69
3943.00,100.68
3942.00,100.68
3941.00,100.69
3940.00,100.69
3939.00,100.69
3938.00,100.69
3937.00,100.70
3936.00,100.73
3935.00,100.74
3934.00,100.74
3933.00,100.72
3932.00,100.69
3931.00,100.67
3930.00,100.67
3929.00,100.68
3928.00,100.70
3927.00,100.71
3926.00,100.72
3925.00,100.73
3924.00,100.73
3923.00,100.74
3922.00,100.73
3921.00,100.72
3920.00,100.71
3919.00,100.70
3918.00,100.69
3917.00,100.69
3916.00,100.68
3915.00,100.68
3914.00,100.68
3913.00,100.69
3912.00,100.70
3911.00,100.71
3910.00,100.72
3909.00,100.72
3908.00,100.73
3907.00,100.74
3906.00,100.75
3905.00,100.75
3904.00,100.75
3903.00,100.75
3902.00,100.75
3901.00,100.75
3900.00,100.75
3899.00,100.74
3898.00,100.74
3897.00,100.75
3896.00,100.75
3895.00,100.76
3894.00,100.77
3893.00,100.78
3892.00,100.77
3891.00,100.75
3890.00,100.73
3889.00,100.71
3888.00,100.69
3887.00,100.66
3886.00,100.66
3885.00,100.68
3884.00,100.73
3883.00,100.76
3882.00,100.77
3881.00,100.76
3880.00,100.77
3879.00,100.78
3878.00,100.80
3877.00,100.79
3876.00,100.78
3875.00,100.77
3874.00,100.78
3873.00,100.79
3872.00,100.79
3871.00,100.78
3870.00,100.77
3869.00,100.78
3868.00,100.79
3867.00,100.79
3866.00,100.78
3865.00,100.77
3864.00,100.77
3863.00,100.77
3862.00,100.76
