Created as New Dataset,16/2 Merc. cotton
cm-1,%T
4000.00,98.16
3999.00,98.17
3998.00,98.18
3997.00,98.19
3996.00,98.20
3995.00,98.21
3994.00,98.21
3993.00,98.21
3992.00,98.19
3991.00,98.18
3990.00,98.16
3989.00,98.14
3988.00,98.13
3987.00,98.13
3986.00,98.13
3985.00,98.13
3984.00,98.13
3983.00,98.15
3982.00,98.17
3981.00,98.20
3980.00,98.22
3979.00,98.23
3978.00,98.23
3977.00,98.22
3976.00,98.21
3975.00,98.20
3974.00,98.19
3973.00,98.19
3972.00,98.19
3971.00,98.19
3970.00,98.20
3969.00,98.20
3968.00,98.20
3967.00,98.21
3966.00,98.22
3965.00,98.23
3964.00,98.24
3963.00,98.24
3962.00,98.23
3961.00,98.22
3960.00,98.22
3959.00,98.23
3958.00,98.24
3957.00,98.24
3956.00,98.24
3955.00,98.23
3954.00,98.22
3953.00,98.21
3952.00,98.21
3951.00,98.21
3950.00,98.21
3949.00,98.21
3948.00,98.21
3947.00,98.20
3946.00,98.20
3945.00,98.19
3944.00,98.19
3943.00,98.18
3942.00,98.17
3941.00,98.15
3940.00,98.14
3939.00,98.13
3938.00,98.14
3937.00,98.15
3936.00,98.15
3935.00,98.14
3934.00,98.13
3933.00,98.13
3932.00,98.15
3931.00,98.17
3930.00,98.20
3929.00,98.22
3928.00,98.21
3927.00,98.18
3926.00,98.17
3925.00,98.16
3924.00,98.16
3923.00,98.16
3922.00,98.17
3921.00,98.17
3920.00,98.18
3919.00,98.18
3918.00,98.19
3917.00,98.21
3916.00,98.23
3915.00,98.24
3914.00,98.24
3913.00,98.24
3912.00,98.25
3911.00,98.26
3910.00,98.27
3909.00,98.26
3908.00,98.22
3907.00,98.19
3906.00,98.16
3905.00,98.15
3904.00,98.15
3903.00,98.13
3902.00,98.10
3901.00,98.08
3900.00,98.08
3899.00,98.09
3898.00,98.11
3897.00,98.12
3896.00,98.14
3895.00,98.17
3894.00,98.20
3893.00,98.24
3892.00,98.27
3891.00,98.28
3890.00,98.25
3889.00,98.21
3888.00,98.19
3887.00,98.20
3886.00,98.21
3885.00,98.19
3884.00,98.15
3883.00,98.11
3882.00,98.12
3881.00,98.16
3880.00,98.20
3879.00,98.21
3878.00,98.19
3877.00,98.18
3876.00,98.20
3875.00,98.23
3874.00,98.23
3873.00,98.19
3872.00,98.14
3871.00,98.12
3870.00,98.13
3869.00,98.13
3868.00,98.12
3867.00,98.10
3866.00,98.10
3865.00,98.11
3864.00,98.11
3863.00,98.12
3862.00,98.15
3861.00,98.20
3860.00,98.25
3859.00,98.29
3858.00,98.30
3857.00,98.28
3856.00,98.27
3855.00,98.29
3854.00,98.32
3853.00,98.29
3852.00,98.23
3851.00,98.17
3850.00,98.15
3849.00,98.14
3848.00,98.15
3847.00,98.16
3846.00,98.17
3845.00,98.17
3844.00,98.18
3843.00,98.18
3842.00,98.19
3841.00,98.19
3840.00,98.20
3839.00,98.18
3838.00,98.14
3837.00,98.10
3836.00,98.08
