Created as New Dataset,3.1 Jute, burlap
cm-1,%T
4000.00,100.17
3999.00,100.18
3998.00,100.19
3997.00,100.19
3996.00,100.17
3995.00,100.16
3994.00,100.14
3993.00,100.15
3992.00,100.17
3991.00,100.20
3990.00,100.22
3989.00,100.22
3988.00,100.20
3987.00,100.17
3986.00,100.16
3985.00,100.16
3984.00,100.17
3983.00,100.18
3982.00,100.17
3981.00,100.16
3980.00,100.15
3979.00,100.14
3978.00,100.14
3977.00,100.14
3976.00,100.14
3975.00,100.14
3974.00,100.15
3973.00,100.16
3972.00,100.17
3971.00,100.17
3970.00,100.18
3969.00,100.19
3968.00,100.20
3967.00,100.21
3966.00,100.20
3965.00,100.20
3964.00,100.19
3963.00,100.18
3962.00,100.16
3961.00,100.15
3960.00,100.13
3959.00,100.12
3958.00,100.11
3957.00,100.10
3956.00,100.10
3955.00,100.11
3954.00,100.12
3953.00,100.14
3952.00,100.15
3951.00,100.15
3950.00,100.15
3949.00,100.15
3948.00,100.15
3947.00,100.16
3946.00,100.16
3945.00,100.15
3944.00,100.14
3943.00,100.14
3942.00,100.14
3941.00,100.15
3940.00,100.16
3939.00,100.17
3938.00,100.17
3937.00,100.17
3936.00,100.15
3935.00,100.13
3934.00,100.12
3933.00,100.12
3932.00,100.13
3931.00,100.14
3930.00,100.15
3929.00,100.15
3928.00,100.15
3927.00,100.15
3926.00,100.16
3925.00,100.16
3924.00,100.16
3923.00,100.15
3922.00,100.15
3921.00,100.15
3920.00,100.15
3919.00,100.16
3918.00,100.17
3917.00,100.18
3916.00,100.18
3915.00,100.19
3914.00,100.19
3913.00,100.19
3912.00,100.19
3911.00,100.19
3910.00,100.19
3909.00,100.20
3908.00,100.21
3907.00,100.20
3906.00,100.17
3905.00,100.15
3904.00,100.14
3903.00,100.13
3902.00,100.14
3901.00,100.14
3900.00,100.14
3899.00,100.14
3898.00,100.13
3897.00,100.13
3896.00,100.13
3895.00,100.14
3894.00,100.15
3893.00,100.16
3892.00,100.18
3891.00,100.19
3890.00,100.20
3889.00,100.19
3888.00,100.19
3887.00,100.19
3886.00,100.19
3885.00,100.19
3884.00,100.17
3883.00,100.15
3882.00,100.15
3881.00,100.17
3880.00,100.20
3879.00,100.20
3878.00,100.20
3877.00,100.18
3876.00,100.17
3875.00,100.17
3874.00,100.16
3873.00,100.14
3872.00,100.10
3871.00,100.09
3870.00,100.09
3869.00,100.09
3868.00,100.08
3867.00,100.08
3866.00,100.10
