Created as New Dataset,3.2 Jute cord
cm-1,%T
4000.00,100.06
3999.00,100.04
3998.00,100.02
3997.00,100.03
3996.00,100.05
3995.00,100.06
3994.00,100.07
3993.00,100.07
3992.00,100.05
3991.00,100.03
3990.00,100.03
3989.00,100.03
3988.00,100.04
3987.00,100.06
3986.00,100.08
3985.00,100.10
3984.00,100.11
3983.00,100.10
3982.00,100.09
3981.00,100.07
3980.00,100.05
3979.00,100.05
3978.00,100.06
3977.00,100.07
3976.00,100.09
3975.00,100.09
3974.00,100.09
3973.00,100.09
3972.00,100.08
3971.00,100.06
3970.00,100.04
3969.00,100.02
3968.00,100.02
3967.00,100.03
3966.00,100.04
3965.00,100.06
3964.00,100.08
3963.00,100.09
3962.00,100.09
3961.00,100.07
3960.00,100.06
3959.00,100.05
3958.00,100.05
3957.00,100.07
3956.00,100.08
3955.00,100.08
3954.00,100.08
3953.00,100.07
3952.00,100.05
3951.00,100.03
3950.00,100.01
3949.00,100.00
3948.00,100.01
3947.00,100.02
3946.00,100.05
3945.00,100.07
3944.00,100.09
3943.00,100.10
3942.00,100.11
3941.00,100.09
3940.00,100.07
3939.00,100.04
3938.00,100.01
3937.00,100.00
3936.00,100.00
3935.00,100.01
3934.00,100.02
3933.00,100.02
3932.00,100.01
3931.00,100.00
3930.00,100.01
3929.00,100.03
3928.00,100.04
3927.00,100.03
3926.00,100.02
3925.00,100.02
3924.00,100.02
3923.00,100.03
3922.00,100.03
3921.00,100.04
3920.00,100.04
3919.00,100.04
3918.00,100.03
3917.00,100.03
3916.00,100.03
3915.00,100.02
3914.00,100.02
3913.00,100.03
3912.00,100.03
3911.00,100.05
3910.00,100.05
3909.00,100.06
3908.00,100.07
3907.00,100.08
3906.00,100.09
3905.00,100.11
3904.00,100.12
3903.00,100.14
3902.00,100.15
3901.00,100.15
3900.00,100.15
3899.00,100.12
3898.00,100.09
3897.00,100.06
3896.00,100.03
3895.00,100.02
3894.00,100.03
3893.00,100.05
3892.00,100.08
3891.00,100.10
3890.00,100.10
3889.00,100.08
3888.00,100.06
3887.00,100.05
3886.00,100.06
3885.00,100.06
3884.00,100.05
3883.00,100.02
3882.00,99.99
3881.00,99.96
3880.00,99.95
3879.00,99.94
3878.00,99.94
3877.00,99.95
3876.00,99.98
3875.00,100.01
3874.00,100.02
3873.00,100.00
3872.00,99.97
3871.00,99.95
3870.00,99.94
3869.00,99.94
3868.00,99.94
3867.00,99.93
3866.00,99.94
3865.00,99.97
3864.00,100.01
3863.00,100.04
3862.00,100.06
3861.00,100.06
3860.00,100.05
3859.00,100.04
3858.00,100.02
3857.00,100.00
3856.00,99.99
3855.00,100.00
3854.00,100.01
3853.00,100.01
3852.00,100.01
3851.00,100.01
3850.00,100.02
3849.00,100.05
3848.00,100.07
3847.00,100.08
3846.00,100.08
3845.00,100.07
3844.00,100.07
3843.00,100.06
3842.00,100.04
3841.00,100.01
3840.00,99.97
3839.00,99.95
3838.00,99.94
3837.00,99.94
3836.00,99.95
3835.00,99.96
3834.00,99.98
3833.00,99.99
3832.00,100.00
3831.00,100.00
3830.00,99.99
3829.00,99.97
3828.00,99.97
3827.00,99.99
3826.00,100.02
3825.00,100.03
3824.00,100.02
3823.00,99.98
3822.00,99.95
3821.00,99.93
3820.00,99.91
3819.00,99.90
3818.00,99.89
3817.00,99.90
3816.00,99.91
3815.00,99.91
3814.00,99.90
3813.00,99.91
3812.00,99.93
3811.00,99.95
3810.00,99.95
3809.00,99.93
3808.00,99.91
3807.00,99.89
3806.00,99.87
3805.00,99.85
3804.00,99.83
3803.00,99.86
3802.00,99.92
3801.00,99.98
3800.00,100.02
3799.00,100.03
3798.00,100.03
3797.00,100.04
3796.00,100.03
3795.00,100.02
3794.00,100.00
3793.00,99.98
3792.00,99.98
3791.00,99.97
3790.00,99.96
3789.00,99.95
3788.00,99.94
3787.00,99.93
3786.00,99.93
3785.00,99.94
3784.00,99.95
3783.00,99.95
3782.00,99.92
3781.00,99.89
3780.00,99.87
3779.00,99.87
3778.00,99.88
3777.00,99.90
3776.00,99.91
3775.00,99.92
3774.00,99.91
3773.00,99.90
3772.00,99.90
3771.00,99.90
3770.00,99.90
3769.00,99.90
3768.00,99.89
3767.00,99.89
3766.00,99.91
3765.00,99.92
3764.00,99.93
3763.00,99.92
3762.00,99.91
3761.00,99.91
3760.00,99.90
3759.00,99.88
3758.00,99.86
3757.00,99.85
3756.00,99.84
3755.00,99.84
3754.00,99.83
3753.00,99.82
3752.00,99.80
3751.00,99.79
3750.00,99.78
3749.00,99.79
3748.00,99.80
3747.00,99.79
3746.00,99.78
3745.00,99.79
3744.00,99.82
3743.00,99.83
3742.00,99.84
3741.00,99.83
3740.00,99.83
3739.00,99.81
3738.00,99.80
3737.00,99.78
3736.00,99.78
3735.00,99.78
3734.00,99.79
3733.00,99.81
3732.00,99.83
3731.00,99.84
3730.00,99.83
3729.00,99.82
3728.00,99.80
3727.00,99.79
3726.00,99.77
3725.00,99.77
3724.00,99.77
3723.00,99.78
3722.00,99.78
3721.00,99.78
3720.00,99.78
3719.00,99.77
3718.00,99.77
3717.00,99.76
3716.00,99.74
3715.00,99.70
3714.00,99.65
3713.00,99.59
3712.00,99.55
3711.00,99.53
3710.00,99.53
3709.00,99.53
3708.00,99.52
3707.00,99.51
3706.00,99.49
3705.00,99.48
3704.00,99.48
3703.00,99.47
3702.00,99.46
3701.00,99.45
3700.00,99.44
3699.00,99.43
3698.00,99.42
3697.00,99.43
3696.00,99.43
3695.00,99.45
