Created as New Dataset,Linen Hand supun thread
cm-1,%T
4000.00,100.65
3999.00,100.64
3998.00,100.64
3997.00,100.65
3996.00,100.66
3995.00,100.68
3994.00,100.69
3993.00,100.70
3992.00,100.70
3991.00,100.70
3990.00,100.70
3989.00,100.71
3988.00,100.70
3987.00,100.70
3986.00,100.69
3985.00,100.69
3984.00,100.68
3983.00,100.67
3982.00,100.67
3981.00,100.67
3980.00,100.68
3979.00,100.70
3978.00,100.71
3977.00,100.72
3976.00,100.72
3975.00,100.71
3974.00,100.71
3973.00,100.71
3972.00,100.71
3971.00,100.70
3970.00,100.70
3969.00,100.70
3968.00,100.71
3967.00,100.71
3966.00,100.71
3965.00,100.70
3964.00,100.71
3963.00,100.71
3962.00,100.72
3961.00,100.72
3960.00,100.72
3959.00,100.71
3958.00,100.71
3957.00,100.71
3956.00,100.71
3955.00,100.72
3954.00,100.72
3953.00,100.71
3952.00,100.70
3951.00,100.70
3950.00,100.70
3949.00,100.71
3948.00,100.72
3947.00,100.73
3946.00,100.72
3945.00,100.71
3944.00,100.71
3943.00,100.71
3942.00,100.72
3941.00,100.73
3940.00,100.74
3939.00,100.75
3938.00,100.75
3937.00,100.73
3936.00,100.71
3935.00,100.69
3934.00,100.67
3933.00,100.66
3932.00,100.67
3931.00,100.69
3930.00,100.69
3929.00,100.68
3928.00,100.66
3927.00,100.65
3926.00,100.64
3925.00,100.64
3924.00,100.63
3923.00,100.64
3922.00,100.65
3921.00,100.67
3920.00,100.69
3919.00,100.71
3918.00,100.71
3917.00,100.70
3916.00,100.69
3915.00,100.68
3914.00,100.67
3913.00,100.67
3912.00,100.67
3911.00,100.67
3910.00,100.67
3909.00,100.67
3908.00,100.68
3907.00,100.69
3906.00,100.70
3905.00,100.69
3904.00,100.68
3903.00,100.67
3902.00,100.68
3901.00,100.70
3900.00,100.72
3899.00,100.72
3898.00,100.72
3897.00,100.70
3896.00,100.68
3895.00,100.66
3894.00,100.65
3893.00,100.66
3892.00,100.67
3891.00,100.68
3890.00,100.68
3889.00,100.69
3888.00,100.69
3887.00,100.69
3886.00,100.69
3885.00,100.68
3884.00,100.69
3883.00,100.71
3882.00,100.73
3881.00,100.72
3880.00,100.68
3879.00,100.64
3878.00,100.61
3877.00,100.59
3876.00,100.58
3875.00,100.59
3874.00,100.61
3873.00,100.64
3872.00,100.66
3871.00,100.65
3870.00,100.63
3869.00,100.61
3868.00,100.59
3867.00,100.60
3866.00,100.61
3865.00,100.61
3864.00,100.62
3863.00,100.62
3862.00,100.63
3861.00,100.63
3860.00,100.63
3859.00,100.63
3858.00,100.63
3857.00,100.63
3856.00,100.65
3855.00,100.68
3854.00,100.69
3853.00,100.69
3852.00,100.69
3851.00,100.69
3850.00,100.70
3849.00,100.69
3848.00,100.67
3847.00,100.65
3846.00,100.63
3845.00,100.61
3844.00,100.60
3843.00,100.59
3842.00,100.59
3841.00,100.60
3840.00,100.62
3839.00,100.62
3838.00,100.62
3837.00,100.62
3836.00,100.63
3835.00,100.65
3834.00,100.66
3833.00,100.65
3832.00,100.63
3831.00,100.63
3830.00,100.64
3829.00,100.67
3828.00,100.68
3827.00,100.66
3826.00,100.62
3825.00,100.59
3824.00,100.58
3823.00,100.57
3822.00,100.57
3821.00,100.56
3820.00,100.55
3819.00,100.56
3818.00,100.59
3817.00,100.62
3816.00,100.65
3815.00,100.67
3814.00,100.69
3813.00,100.69
3812.00,100.69
3811.00,100.66
3810.00,100.64
3809.00,100.62
3808.00,100.60
3807.00,100.58
3806.00,100.56
3805.00,100.55
3804.00,100.57
3803.00,100.60
3802.00,100.61
3801.00,100.61
3800.00,100.62
3799.00,100.64
3798.00,100.66
3797.00,100.67
3796.00,100.67
3795.00,100.66
3794.00,100.65
3793.00,100.64
3792.00,100.64
3791.00,100.64
3790.00,100.65
3789.00,100.65
3788.00,100.64
3787.00,100.63
3786.00,100.62
3785.00,100.59
3784.00,100.57
3783.00,100.55
3782.00,100.56
3781.00,100.57
3780.00,100.59
3779.00,100.59
3778.00,100.60
3777.00,100.60
3776.00,100.60
3775.00,100.60
3774.00,100.59
3773.00,100.60
3772.00,100.61
3771.00,100.63
3770.00,100.63
3769.00,100.61
3768.00,100.59
3767.00,100.57
3766.00,100.56
3765.00,100.55
3764.00,100.54
3763.00,100.52
3762.00,100.51
3761.00,100.51
3760.00,100.51
3759.00,100.52
3758.00,100.53
3757.00,100.54
3756.00,100.53
3755.00,100.53
3754.00,100.53
3753.00,100.54
3752.00,100.54
3751.00,100.52
3750.00,100.50
3749.00,100.48
3748.00,100.48
3747.00,100.48
3746.00,100.47
3745.00,100.44
3744.00,100.43
3743.00,100.45
3742.00,100.47
3741.00,100.48
3740.00,100.48
3739.00,100.48
3738.00,100.50
3737.00,100.54
3736.00,100.57
3735.00,100.56
3734.00,100.54
3733.00,100.52
3732.00,100.51
3731.00,100.51
3730.00,100.50
3729.00,100.50
3728.00,100.49
3727.00,100.48
3726.00,100.48
3725.00,100.49
3724.00,100.51
3723.00,100.53
3722.00,100.54
3721.00,100.55
3720.00,100.56
3719.00,100.56
3718.00,100.55
3717.00,100.54
3716.00,100.52
3715.00,100.51
3714.00,100.52
3713.00,100.53
3712.00,100.55
3711.00,100.54
3710.00,100.51
3709.00,100.49
3708.00,100.47
3707.00,100.46
3706.00,100.47
3705.00,100.48
3704.00,100.50
3703.00,100.52
3702.00,100.52
3701.00,100.51
3700.00,100.49
3699.00,100.48
3698.00,100.47
3697.00,100.47
3696.00,100.48
3695.00,100.48
3694.00,100.47
3693.00,100.44
3692.00,100.41
3691.00,100.39
3690.00,100.37
3689.00,100.38
3688.00,100.41
3687.00,100.45
3686.00,100.49
3685.00,100.51
3684.00,100.51
3683.00,100.50
3682.00,100.47
3681.00,100.44
3680.00,100.40
3679.00,100.35
3678.00,100.33
3677.00,100.34
3676.00,100.36
3675.00,100.38
3674.00,100.41
3673.00,100.44
3672.00,100.47
3671.00,100.47
3670.00,100.43
3669.00,100.38
3668.00,100.36
3667.00,100.37
3666.00,100.38
3665.00,100.40
3664.00,100.41
3663.00,100.42
3662.00,100.43
3661.00,100.42
3660.00,100.41
3659.00,100.39
3658.00,100.37
3657.00,100.35
3656.00,100.33
3655.00,100.31
3654.00,100.29
3653.00,100.26
3652.00,100.24
3651.00,100.22
3650.00,100.19
3649.00,100.15
3648.00,100.14
3647.00,100.15
3646.00,100.17
3645.00,100.18
3644.00,100.19
3643.00,100.19
3642.00,100.19
