Created as New Dataset,Shoemaker's thread
cm-1,%T
4000.00,99.87
3999.00,99.89
3998.00,99.89
3997.00,99.90
3996.00,99.89
3995.00,99.88
3994.00,99.86
3993.00,99.85
3992.00,99.84
3991.00,99.82
3990.00,99.82
3989.00,99.82
3988.00,99.82
3987.00,99.82
3986.00,99.82
3985.00,99.82
3984.00,99.83
3983.00,99.83
3982.00,99.82
3981.00,99.81
3980.00,99.80
3979.00,99.79
3978.00,99.78
3977.00,99.78
3976.00,99.78
3975.00,99.78
3974.00,99.79
3973.00,99.80
3972.00,99.82
3971.00,99.83
3970.00,99.84
3969.00,99.84
3968.00,99.84
3967.00,99.83
3966.00,99.83
3965.00,99.82
3964.00,99.82
3963.00,99.82
3962.00,99.82
3961.00,99.83
3960.00,99.85
3959.00,99.87
3958.00,99.89
3957.00,99.90
3956.00,99.90
3955.00,99.89
3954.00,99.87
3953.00,99.86
3952.00,99.86
3951.00,99.85
3950.00,99.84
3949.00,99.83
3948.00,99.82
3947.00,99.81
3946.00,99.81
3945.00,99.81
3944.00,99.81
3943.00,99.82
3942.00,99.83
3941.00,99.84
3940.00,99.85
3939.00,99.84
3938.00,99.83
3937.00,99.81
3936.00,99.81
3935.00,99.81
3934.00,99.82
3933.00,99.83
3932.00,99.83
3931.00,99.82
3930.00,99.80
3929.00,99.78
3928.00,99.77
3927.00,99.76
3926.00,99.76
3925.00,99.77
3924.00,99.79
3923.00,99.80
3922.00,99.81
3921.00,99.82
3920.00,99.83
3919.00,99.82
3918.00,99.81
3917.00,99.80
3916.00,99.78
3915.00,99.78
3914.00,99.78
3913.00,99.79
3912.00,99.80
3911.00,99.82
3910.00,99.83
3909.00,99.84
3908.00,99.84
3907.00,99.84
3906.00,99.84
3905.00,99.83
3904.00,99.82
3903.00,99.81
3902.00,99.80
3901.00,99.80
3900.00,99.81
3899.00,99.81
3898.00,99.81
3897.00,99.79
3896.00,99.78
3895.00,99.77
3894.00,99.76
3893.00,99.76
3892.00,99.78
3891.00,99.79
3890.00,99.78
3889.00,99.77
3888.00,99.75
3887.00,99.74
3886.00,99.75
3885.00,99.77
3884.00,99.78
3883.00,99.78
3882.00,99.78
3881.00,99.78
3880.00,99.77
3879.00,99.75
3878.00,99.74
3877.00,99.74
3876.00,99.74
3875.00,99.74
3874.00,99.74
3873.00,99.73
3872.00,99.73
3871.00,99.74
3870.00,99.76
3869.00,99.76
3868.00,99.74
3867.00,99.73
3866.00,99.73
3865.00,99.74
3864.00,99.75
3863.00,99.75
3862.00,99.74
3861.00,99.73
3860.00,99.73
3859.00,99.74
3858.00,99.73
3857.00,99.72
3856.00,99.70
3855.00,99.69
3854.00,99.70
3853.00,99.70
3852.00,99.70
3851.00,99.72
3850.00,99.75
3849.00,99.79
3848.00,99.82
3847.00,99.83
3846.00,99.83
3845.00,99.81
3844.00,99.80
3843.00,99.78
3842.00,99.74
3841.00,99.71
3840.00,99.68
3839.00,99.68
3838.00,99.69
3837.00,99.71
3836.00,99.71
3835.00,99.72
3834.00,99.72
3833.00,99.73
3832.00,99.74
3831.00,99.73
3830.00,99.72
3829.00,99.72
3828.00,99.74
3827.00,99.76
3826.00,99.78
3825.00,99.77
3824.00,99.74
3823.00,99.70
3822.00,99.67
3821.00,99.66
3820.00,99.64
3819.00,99.63
3818.00,99.63
3817.00,99.65
3816.00,99.68
3815.00,99.70
3814.00,99.71
3813.00,99.71
3812.00,99.72
3811.00,99.72
3810.00,99.69
3809.00,99.66
3808.00,99.65
3807.00,99.66
3806.00,99.66
3805.00,99.65
3804.00,99.62
3803.00,99.62
3802.00,99.64
3801.00,99.68
3800.00,99.69
3799.00,99.69
3798.00,99.69
3797.00,99.71
3796.00,99.72
3795.00,99.73
3794.00,99.73
3793.00,99.73
3792.00,99.73
3791.00,99.72
3790.00,99.71
3789.00,99.70
3788.00,99.69
3787.00,99.69
3786.00,99.69
3785.00,99.70
3784.00,99.70
3783.00,99.69
3782.00,99.66
3781.00,99.64
3780.00,99.63
3779.00,99.64
3778.00,99.66
3777.00,99.67
3776.00,99.67
3775.00,99.67
3774.00,99.66
3773.00,99.64
3772.00,99.61
3771.00,99.60
3770.00,99.60
3769.00,99.61
3768.00,99.61
3767.00,99.61
3766.00,99.62
3765.00,99.62
3764.00,99.63
3763.00,99.63
3762.00,99.63
3761.00,99.63
3760.00,99.63
3759.00,99.61
3758.00,99.60
3757.00,99.58
3756.00,99.56
3755.00,99.55
3754.00,99.54
3753.00,99.53
3752.00,99.51
3751.00,99.49
3750.00,99.49
3749.00,99.50
3748.00,99.51
3747.00,99.50
3746.00,99.50
3745.00,99.51
3744.00,99.53
3743.00,99.54
3742.00,99.54
3741.00,99.53
3740.00,99.53
3739.00,99.51
3738.00,99.51
3737.00,99.51
3736.00,99.52
3735.00,99.52
3734.00,99.51
3733.00,99.51
3732.00,99.52
3731.00,99.54
3730.00,99.56
3729.00,99.57
3728.00,99.58
3727.00,99.60
3726.00,99.60
3725.00,99.58
3724.00,99.55
3723.00,99.53
3722.00,99.51
3721.00,99.51
3720.00,99.51
3719.00,99.51
3718.00,99.51
3717.00,99.51
3716.00,99.50
3715.00,99.49
3714.00,99.47
3713.00,99.45
3712.00,99.45
3711.00,99.44
3710.00,99.44
3709.00,99.44
3708.00,99.44
3707.00,99.45
3706.00,99.45
3705.00,99.46
3704.00,99.46
3703.00,99.46
3702.00,99.45
3701.00,99.43
3700.00,99.42
3699.00,99.42
3698.00,99.44
3697.00,99.45
3696.00,99.45
3695.00,99.42
3694.00,99.40
3693.00,99.37
3692.00,99.36
3691.00,99.35
3690.00,99.36
3689.00,99.36
3688.00,99.35
3687.00,99.35
3686.00,99.35
3685.00,99.35
3684.00,99.37
3683.00,99.38
3682.00,99.38
3681.00,99.38
3680.00,99.38
3679.00,99.34
3678.00,99.29
3677.00,99.25
3676.00,99.24
3675.00,99.24
3674.00,99.24
3673.00,99.24
3672.00,99.25
3671.00,99.26
3670.00,99.28
3669.00,99.28
3668.00,99.27
3667.00,99.27
3666.00,99.27
3665.00,99.27
3664.00,99.26
3663.00,99.26
3662.00,99.25
3661.00,99.23
3660.00,99.21
3659.00,99.19
3658.00,99.17
3657.00,99.16
3656.00,99.16
3655.00,99.15
3654.00,99.13
3653.00,99.10
3652.00,99.06
3651.00,99.03
3650.00,99.01
3649.00,99.00
3648.00,99.00
3647.00,99.00
3646.00,99.02
3645.00,99.04
3644.00,99.05
3643.00,99.06
3642.00,99.05
3641.00,99.02
3640.00,99.00
3639.00,98.99
3638.00,98.99
3637.00,99.00
3636.00,99.01
3635.00,99.02
3634.00,99.02
3633.00,99.01
3632.00,98.98
3631.00,98.93
3630.00,98.88
3629.00,98.85
3628.00,98.84
3627.00,98.84
3626.00,98.86
3625.00,98.87
3624.00,98.88
3623.00,98.86
3622.00,98.83
3621.00,98.80
3620.00,98.78
3619.00,98.76
3618.00,98.74
3617.00,98.73
3616.00,98.72
3615.00,98.71
3614.00,98.71
3613.00,98.68
3612.00,98.65
3611.00,98.62
3610.00,98.60
3609.00,98.59
3608.00,98.57
3607.00,98.55
3606.00,98.53
3605.00,98.51
3604.00,98.49
3603.00,98.47
3602.00,98.46
3601.00,98.44
3600.00,98.43
3599.00,98.42
3598.00,98.40
3597.00,98.39
3596.00,98.38
3595.00,98.37
3594.00,98.37
3593.00,98.36
3592.00,98.34
3591.00,98.33
3590.00,98.32
3589.00,98.31
3588.00,98.31
3587.00,98.28
3586.00,98.25
3585.00,98.21
3584.00,98.18
3583.00,98.16
3582.00,98.15
3581.00,98.13
3580.00,98.10
3579.00,98.07
3578.00,98.04
3577.00,98.02
3576.00,98.01
3575.00,98.00
3574.00,97.98
3573.00,97.95
3572.00,97.92
3571.00,97.88
3570.00,97.85
3569.00,97.83
3568.00,97.81
3567.00,97.78
3566.00,97.75
3565.00,97.73
3564.00,97.71
3563.00,97.70
3562.00,97.70
3561.00,97.69
3560.00,97.67
3559.00,97.66
3558.00,97.64
3557.00,97.62
3556.00,97.59
3555.00,97.56
3554.00,97.53
3553.00,97.50
3552.00,97.48
3551.00,97.46
3550.00,97.44
3549.00,97.41
3548.00,97.39
3547.00,97.37
3546.00,97.34
3545.00,97.31
3544.00,97.27
3543.00,97.23
3542.00,97.20
3541.00,97.17
3540.00,97.15
3539.00,97.13
3538.00,97.10
3537.00,97.08
3536.00,97.06
3535.00,97.05
3534.00,97.04
3533.00,97.02
3532.00,96.99
3531.00,96.95
3530.00,96.91
3529.00,96.87
3528.00,96.85
3527.00,96.83
3526.00,96.81
3525.00,96.78
3524.00,96.75
3523.00,96.71
3522.00,96.68
3521.00,96.65
3520.00,96.62
3519.00,96.60
3518.00,96.58
3517.00,96.55
3516.00,96.53
3515.00,96.50
3514.00,96.47
3513.00,96.44
3512.00,96.40
3511.00,96.37
3510.00,96.33
3509.00,96.29
3508.00,96.25
3507.00,96.21
3506.00,96.15
3505.00,96.10
3504.00,96.06
3503.00,96.04
3502.00,96.03
3501.00,96.02
3500.00,95.99
3499.00,95.95
3498.00,95.91
3497.00,95.86
3496.00,95.82
3495.00,95.80
3494.00,95.78
3493.00,95.77
3492.00,95.75
3491.00,95.72
3490.00,95.66
3489.00,95.60
3488.00,95.55
3487.00,95.52
3486.00,95.49
3485.00,95.47
3484.00,95.44
3483.00,95.40
3482.00,95.36
3481.00,95.31
3480.00,95.27
3479.00,95.24
3478.00,95.21
3477.00,95.17
3476.00,95.13
3475.00,95.09
3474.00,95.05
3473.00,95.01
3472.00,94.97
3471.00,94.93
3470.00,94.89
3469.00,94.84
3468.00,94.79
3467.00,94.75
3466.00,94.72
3465.00,94.68
3464.00,94.63
3463.00,94.58
3462.00,94.53
3461.00,94.50
3460.00,94.47
3459.00,94.44
3458.00,94.40
3457.00,94.35
3456.00,94.29
3455.00,94.24
3454.00,94.18
3453.00,94.13
3452.00,94.08
3451.00,94.05
3450.00,94.03
3449.00,94.00
3448.00,93.96
3447.00,93.90
3446.00,93.84
3445.00,93.79
3444.00,93.75
3443.00,93.71
3442.00,93.67
3441.00,93.63
3440.00,93.58
3439.00,93.53
3438.00,93.48
3437.00,93.43
3436.00,93.38
3435.00,93.33
3434.00,93.29
3433.00,93.25
3432.00,93.21
3431.00,93.17
3430.00,93.13
3429.00,93.09
3428.00,93.05
3427.00,93.00
3426.00,92.95
3425.00,92.90
3424.00,92.84
3423.00,92.78
3422.00,92.72
3421.00,92.66
3420.00,92.59
3419.00,92.53
3418.00,92.47
3417.00,92.40
3416.00,92.34
3415.00,92.27
3414.00,92.21
3413.00,92.15
3412.00,92.11
3411.00,92.06
3410.00,92.01
3409.00,91.95
3408.00,91.90
3407.00,91.85
3406.00,91.81
3405.00,91.77
3404.00,91.74
3403.00,91.72
3402.00,91.70
3401.00,91.68
3400.00,91.65
3399.00,91.62
3398.00,91.58
3397.00,91.56
3396.00,91.53
3395.00,91.51
3394.00,91.49
3393.00,91.47
3392.00,91.45
3391.00,91.45
3390.00,91.45
3389.00,91.44
3388.00,91.40
3387.00,91.35
3386.00,91.29
3385.00,91.24
3384.00,91.20
3383.00,91.17
3382.00,91.15
3381.00,91.13
3380.00,91.09
3379.00,91.05
3378.00,91.00
3377.00,90.96
3376.00,90.92
3375.00,90.88
3374.00,90.84
3373.00,90.80
3372.00,90.76
3371.00,90.70
3370.00,90.65
3369.00,90.59
3368.00,90.53
3367.00,90.48
3366.00,90.44
3365.00,90.41
3364.00,90.38
3363.00,90.34
3362.00,90.30
3361.00,90.24
3360.00,90.17
3359.00,90.11
3358.00,90.05
3357.00,89.98
3356.00,89.91
3355.00,89.83
3354.00,89.76
3353.00,89.70
3352.00,89.63
3351.00,89.56
3350.00,89.49
3349.00,89.42
3348.00,89.36
3347.00,89.29
3346.00,89.23
3345.00,89.17
3344.00,89.12
3343.00,89.08
3342.00,89.06
3341.00,89.05
3340.00,89.03
3339.00,89.02
3338.00,89.02
3337.00,89.03
3336.00,89.04
3335.00,89.06
3334.00,89.07
3333.00,89.08
3332.00,89.10
3331.00,89.12
3330.00,89.16
3329.00,89.19
3328.00,89.23
3327.00,89.29
3326.00,89.35
3325.00,89.41
3324.00,89.45
3323.00,89.48
3322.00,89.52
3321.00,89.56
3320.00,89.61
3319.00,89.65
3318.00,89.67
3317.00,89.67
3316.00,89.67
3315.00,89.66
3314.00,89.66
3313.00,89.66
3312.00,89.66
3311.00,89.65
3310.00,89.64
3309.00,89.62
3308.00,89.60
3307.00,89.58
3306.00,89.56
3305.00,89.54
3304.00,89.52
3303.00,89.50
3302.00,89.48
3301.00,89.46
3300.00,89.46
3299.00,89.45
3298.00,89.45
3297.00,89.44
3296.00,89.43
3295.00,89.43
3294.00,89.44
3293.00,89.45
3292.00,89.45
3291.00,89.46
3290.00,89.46
3289.00,89.46
3288.00,89.47
3287.00,89.48
3286.00,89.49
3285.00,89.50
3284.00,89.51
3283.00,89.53
3282.00,89.56
3281.00,89.58
3280.00,89.61
3279.00,89.62
3278.00,89.64
3277.00,89.65
3276.00,89.67
3275.00,89.68
3274.00,89.71
3273.00,89.74
3272.00,89.78
3271.00,89.82
3270.00,89.86
3269.00,89.90
3268.00,89.95
3267.00,90.00
3266.00,90.06
3265.00,90.12
3264.00,90.19
3263.00,90.26
3262.00,90.32
3261.00,90.38
3260.00,90.43
3259.00,90.50
3258.00,90.57
3257.00,90.64
3256.00,90.71
3255.00,90.78
3254.00,90.85
3253.00,90.93
3252.00,91.02
3251.00,91.10
3250.00,91.18
3249.00,91.25
3248.00,91.32
3247.00,91.39
3246.00,91.46
3245.00,91.53
3244.00,91.59
3243.00,91.65
3242.00,91.70
3241.00,91.75
3240.00,91.80
3239.00,91.85
3238.00,91.90
3237.00,91.95
3236.00,92.01
