Created as New Dataset,4.3 Shoemaker's thread
cm-1,%T
4000.00,100.39
3999.00,100.39
3998.00,100.39
3997.00,100.41
3996.00,100.42
3995.00,100.42
3994.00,100.42
3993.00,100.41
3992.00,100.41
3991.00,100.40
3990.00,100.39
3989.00,100.37
3988.00,100.35
3987.00,100.33
3986.00,100.32
3985.00,100.32
3984.00,100.34
3983.00,100.37
3982.00,100.39
3981.00,100.40
3980.00,100.40
3979.00,100.40
3978.00,100.39
3977.00,100.39
3976.00,100.41
3975.00,100.42
3974.00,100.42
3973.00,100.41
3972.00,100.40
3971.00,100.38
3970.00,100.37
3969.00,100.37
3968.00,100.38
3967.00,100.38
3966.00,100.39
3965.00,100.39
3964.00,100.40
3963.00,100.40
3962.00,100.40
3961.00,100.39
3960.00,100.39
3959.00,100.39
3958.00,100.39
3957.00,100.41
3956.00,100.43
3955.00,100.44
3954.00,100.44
3953.00,100.42
3952.00,100.40
3951.00,100.37
3950.00,100.36
3949.00,100.36
3948.00,100.36
3947.00,100.36
3946.00,100.36
3945.00,100.35
3944.00,100.35
3943.00,100.35
3942.00,100.35
3941.00,100.35
3940.00,100.35
3939.00,100.35
3938.00,100.36
3937.00,100.36
3936.00,100.37
3935.00,100.37
3934.00,100.38
3933.00,100.38
3932.00,100.37
3931.00,100.36
3930.00,100.36
3929.00,100.37
3928.00,100.38
3927.00,100.39
3926.00,100.38
3925.00,100.36
3924.00,100.33
3923.00,100.31
3922.00,100.29
3921.00,100.28
3920.00,100.27
3919.00,100.27
3918.00,100.28
3917.00,100.31
3916.00,100.35
3915.00,100.37
3914.00,100.38
3913.00,100.37
3912.00,100.34
3911.00,100.32
3910.00,100.31
3909.00,100.30
3908.00,100.30
3907.00,100.30
3906.00,100.31
3905.00,100.31
3904.00,100.32
3903.00,100.33
3902.00,100.34
3901.00,100.34
3900.00,100.33
3899.00,100.33
3898.00,100.33
3897.00,100.34
3896.00,100.34
3895.00,100.35
3894.00,100.36
3893.00,100.37
3892.00,100.36
3891.00,100.36
3890.00,100.35
3889.00,100.33
3888.00,100.31
3887.00,100.29
3886.00,100.29
3885.00,100.31
3884.00,100.33
3883.00,100.34
3882.00,100.34
3881.00,100.32
3880.00,100.31
3879.00,100.32
3878.00,100.32
3877.00,100.33
3876.00,100.32
3875.00,100.32
3874.00,100.33
3873.00,100.34
3872.00,100.35
3871.00,100.35
3870.00,100.34
3869.00,100.34
3868.00,100.34
3867.00,100.33
3866.00,100.32
3865.00,100.32
3864.00,100.31
3863.00,100.31
3862.00,100.31
3861.00,100.32
3860.00,100.33
3859.00,100.34
3858.00,100.35
3857.00,100.35
3856.00,100.35
3855.00,100.35
3854.00,100.35
3853.00,100.35
3852.00,100.34
3851.00,100.34
3850.00,100.34
3849.00,100.34
3848.00,100.35
3847.00,100.37
3846.00,100.39
3845.00,100.40
3844.00,100.39
3843.00,100.38
3842.00,100.37
3841.00,100.37
3840.00,100.37
3839.00,100.37
3838.00,100.36
3837.00,100.35
3836.00,100.34
3835.00,100.33
3834.00,100.32
3833.00,100.31
3832.00,100.31
3831.00,100.30
3830.00,100.29
3829.00,100.27
3828.00,100.27
3827.00,100.27
3826.00,100.29
3825.00,100.31
3824.00,100.32
3823.00,100.33
3822.00,100.32
3821.00,100.31
3820.00,100.29
3819.00,100.27
3818.00,100.26
3817.00,100.28
3816.00,100.31
3815.00,100.34
3814.00,100.36
3813.00,100.35
3812.00,100.33
3811.00,100.30
3810.00,100.28
3809.00,100.27
3808.00,100.27
3807.00,100.29
3806.00,100.29
3805.00,100.28
3804.00,100.26
3803.00,100.23
3802.00,100.22
3801.00,100.22
3800.00,100.23
3799.00,100.26
3798.00,100.28
3797.00,100.29
3796.00,100.29
3795.00,100.28
3794.00,100.27
3793.00,100.28
3792.00,100.29
3791.00,100.31
3790.00,100.32
3789.00,100.32
3788.00,100.31
3787.00,100.30
3786.00,100.30
3785.00,100.31
3784.00,100.31
3783.00,100.29
3782.00,100.27
3781.00,100.24
3780.00,100.23
3779.00,100.22
3778.00,100.23
3777.00,100.24
3776.00,100.24
3775.00,100.24
3774.00,100.24
3773.00,100.24
3772.00,100.25
3771.00,100.26
3770.00,100.27
3769.00,100.27
3768.00,100.27
3767.00,100.27
3766.00,100.27
3765.00,100.28
3764.00,100.29
3763.00,100.29
3762.00,100.29
3761.00,100.28
3760.00,100.27
3759.00,100.25
3758.00,100.24
3757.00,100.23
3756.00,100.24
3755.00,100.25
3754.00,100.26
3753.00,100.27
3752.00,100.27
3751.00,100.25
3750.00,100.24
3749.00,100.23
3748.00,100.22
3747.00,100.21
3746.00,100.19
3745.00,100.20
3744.00,100.23
3743.00,100.26
3742.00,100.27
3741.00,100.26
3740.00,100.23
3739.00,100.20
3738.00,100.18
3737.00,100.18
3736.00,100.20
3735.00,100.21
3734.00,100.20
3733.00,100.20
3732.00,100.20
3731.00,100.22
3730.00,100.24
3729.00,100.25
3728.00,100.24
3727.00,100.24
3726.00,100.24
3725.00,100.25
3724.00,100.26
3723.00,100.25
3722.00,100.24
3721.00,100.21
3720.00,100.18
3719.00,100.16
3718.00,100.14
3717.00,100.14
3716.00,100.14
3715.00,100.14
3714.00,100.13
3713.00,100.12
3712.00,100.11
3711.00,100.12
3710.00,100.13
