Created as New Dataset,4.2 Hand spun thread
cm-1,%T
4000.00,101.91
3999.00,101.92
3998.00,101.93
3997.00,101.93
3996.00,101.91
3995.00,101.90
3994.00,101.89
3993.00,101.89
3992.00,101.87
3991.00,101.85
3990.00,101.83
3989.00,101.83
3988.00,101.84
3987.00,101.86
3986.00,101.88
3985.00,101.90
3984.00,101.91
3983.00,101.91
3982.00,101.91
3981.00,101.90
3980.00,101.89
3979.00,101.87
3978.00,101.87
3977.00,101.86
3976.00,101.86
3975.00,101.87
3974.00,101.88
3973.00,101.89
3972.00,101.90
3971.00,101.91
3970.00,101.93
3969.00,101.93
3968.00,101.93
3967.00,101.93
3966.00,101.92
3965.00,101.91
3964.00,101.91
3963.00,101.91
3962.00,101.91
3961.00,101.90
3960.00,101.90
3959.00,101.91
3958.00,101.92
3957.00,101.92
3956.00,101.91
3955.00,101.90
3954.00,101.89
3953.00,101.89
3952.00,101.91
3951.00,101.93
3950.00,101.95
3949.00,101.95
3948.00,101.95
3947.00,101.93
3946.00,101.91
3945.00,101.89
3944.00,101.87
3943.00,101.86
3942.00,101.86
3941.00,101.87
3940.00,101.88
3939.00,101.88
3938.00,101.88
3937.00,101.88
3936.00,101.87
3935.00,101.86
3934.00,101.86
3933.00,101.85
3932.00,101.85
3931.00,101.85
3930.00,101.84
3929.00,101.84
3928.00,101.83
3927.00,101.83
3926.00,101.83
3925.00,101.83
3924.00,101.83
3923.00,101.84
3922.00,101.84
3921.00,101.86
3920.00,101.87
3919.00,101.89
3918.00,101.90
3917.00,101.91
3916.00,101.91
3915.00,101.90
3914.00,101.89
3913.00,101.89
3912.00,101.89
3911.00,101.90
3910.00,101.90
3909.00,101.91
3908.00,101.91
3907.00,101.90
3906.00,101.89
3905.00,101.86
3904.00,101.82
3903.00,101.79
3902.00,101.78
3901.00,101.79
3900.00,101.82
3899.00,101.84
3898.00,101.86
3897.00,101.89
3896.00,101.91
3895.00,101.92
3894.00,101.91
3893.00,101.89
3892.00,101.87
3891.00,101.85
3890.00,101.86
3889.00,101.87
3888.00,101.88
3887.00,101.88
3886.00,101.87
3885.00,101.87
3884.00,101.87
3883.00,101.88
3882.00,101.88
3881.00,101.87
3880.00,101.86
3879.00,101.85
3878.00,101.85
3877.00,101.86
3876.00,101.88
3875.00,101.88
3874.00,101.87
3873.00,101.86
3872.00,101.85
3871.00,101.85
3870.00,101.85
3869.00,101.86
3868.00,101.86
3867.00,101.86
3866.00,101.85
3865.00,101.86
3864.00,101.87
3863.00,101.88
3862.00,101.89
3861.00,101.89
3860.00,101.89
3859.00,101.86
3858.00,101.81
3857.00,101.75
3856.00,101.71
3855.00,101.71
3854.00,101.71
3853.00,101.71
3852.00,101.72
3851.00,101.77
3850.00,101.82
3849.00,101.86
3848.00,101.88
3847.00,101.89
3846.00,101.90
3845.00,101.91
3844.00,101.92
3843.00,101.92
3842.00,101.89
3841.00,101.86
3840.00,101.82
3839.00,101.78
3838.00,101.75
3837.00,101.73
3836.00,101.74
3835.00,101.77
3834.00,101.81
3833.00,101.84
3832.00,101.85
3831.00,101.84
3830.00,101.83
3829.00,101.83
3828.00,101.84
3827.00,101.85
3826.00,101.84
3825.00,101.82
3824.00,101.80
3823.00,101.81
3822.00,101.83
3821.00,101.85
3820.00,101.85
3819.00,101.84
3818.00,101.83
3817.00,101.82
3816.00,101.80
3815.00,101.79
3814.00,101.77
3813.00,101.77
3812.00,101.77
3811.00,101.79
3810.00,101.79
3809.00,101.79
3808.00,101.78
3807.00,101.76
3806.00,101.74
3805.00,101.73
3804.00,101.72
3803.00,101.73
3802.00,101.76
3801.00,101.78
3800.00,101.80
3799.00,101.82
3798.00,101.83
3797.00,101.84
3796.00,101.83
3795.00,101.82
3794.00,101.81
3793.00,101.82
3792.00,101.83
3791.00,101.85
3790.00,101.85
3789.00,101.85
3788.00,101.84
3787.00,101.83
3786.00,101.83
3785.00,101.83
3784.00,101.83
3783.00,101.82
3782.00,101.81
3781.00,101.81
3780.00,101.81
3779.00,101.81
3778.00,101.81
3777.00,101.82
3776.00,101.82
3775.00,101.81
3774.00,101.80
3773.00,101.79
3772.00,101.79
3771.00,101.80
3770.00,101.80
3769.00,101.78
3768.00,101.76
3767.00,101.74
3766.00,101.73
3765.00,101.73
3764.00,101.73
3763.00,101.73
3762.00,101.73
3761.00,101.72
3760.00,101.71
3759.00,101.70
3758.00,101.69
3757.00,101.68
3756.00,101.68
3755.00,101.67
3754.00,101.66
3753.00,101.66
3752.00,101.66
3751.00,101.64
3750.00,101.63
3749.00,101.61
3748.00,101.61
3747.00,101.61
3746.00,101.62
3745.00,101.63
3744.00,101.63
3743.00,101.63
3742.00,101.66
3741.00,101.68
3740.00,101.69
3739.00,101.68
3738.00,101.68
3737.00,101.69
3736.00,101.70
3735.00,101.70
3734.00,101.68
3733.00,101.65
3732.00,101.63
3731.00,101.64
3730.00,101.68
3729.00,101.72
3728.00,101.75
3727.00,101.76
3726.00,101.74
3725.00,101.73
3724.00,101.72
3723.00,101.72
3722.00,101.73
3721.00,101.73
3720.00,101.72
3719.00,101.70
3718.00,101.68
3717.00,101.66
3716.00,101.65
3715.00,101.64
3714.00,101.66
3713.00,101.68
3712.00,101.71
3711.00,101.71
3710.00,101.70
3709.00,101.68
3708.00,101.65
3707.00,101.63
3706.00,101.61
3705.00,101.60
3704.00,101.59
3703.00,101.59
3702.00,101.60
3701.00,101.60
3700.00,101.60
3699.00,101.59
3698.00,101.57
3697.00,101.55
3696.00,101.56
3695.00,101.58
3694.00,101.62
3693.00,101.65
3692.00,101.66
3691.00,101.64
3690.00,101.59
3689.00,101.53
3688.00,101.50
3687.00,101.51
3686.00,101.55
3685.00,101.58
3684.00,101.60
3683.00,101.61
3682.00,101.61
3681.00,101.60
3680.00,101.58
3679.00,101.54
3678.00,101.50
3677.00,101.46
3676.00,101.43
3675.00,101.42
3674.00,101.42
3673.00,101.44
3672.00,101.46
3671.00,101.49
3670.00,101.50
3669.00,101.48
3668.00,101.44
3667.00,101.41
3666.00,101.39
3665.00,101.38
3664.00,101.39
3663.00,101.39
3662.00,101.39
3661.00,101.39
3660.00,101.38
3659.00,101.38
3658.00,101.37
3657.00,101.35
3656.00,101.31
3655.00,101.28
3654.00,101.25
3653.00,101.23
3652.00,101.20
3651.00,101.17
3650.00,101.14
3649.00,101.14
3648.00,101.16
3647.00,101.17
3646.00,101.16
3645.00,101.13
3644.00,101.11
3643.00,101.12
3642.00,101.13
3641.00,101.13
3640.00,101.12
3639.00,101.10
3638.00,101.08
3637.00,101.06
3636.00,101.02
3635.00,100.98
3634.00,100.93
3633.00,100.89
3632.00,100.85
3631.00,100.83
3630.00,100.82
3629.00,100.80
3628.00,100.77
3627.00,100.77
3626.00,100.79
3625.00,100.81
3624.00,100.83
3623.00,100.82
3622.00,100.79
3621.00,100.75
3620.00,100.72
3619.00,100.69
3618.00,100.65
3617.00,100.61
3616.00,100.57
3615.00,100.53
3614.00,100.48
3613.00,100.43
3612.00,100.38
3611.00,100.34
3610.00,100.32
3609.00,100.32
3608.00,100.33
3607.00,100.32
3606.00,100.30
3605.00,100.26
3604.00,100.23
3603.00,100.21
3602.00,100.20
3601.00,100.19
3600.00,100.18
3599.00,100.16
3598.00,100.13
3597.00,100.10
3596.00,100.08
3595.00,100.06
3594.00,100.05
3593.00,100.03
3592.00,99.98
3591.00,99.92
3590.00,99.87
3589.00,99.83
3588.00,99.82
3587.00,99.81
3586.00,99.81
3585.00,99.80
3584.00,99.77
3583.00,99.74
3582.00,99.69
3581.00,99.65
3580.00,99.62
3579.00,99.61
3578.00,99.60
3577.00,99.58
3576.00,99.56
3575.00,99.54
3574.00,99.52
3573.00,99.49
3572.00,99.45
3571.00,99.38
3570.00,99.30
3569.00,99.24
3568.00,99.20
3567.00,99.18
3566.00,99.17
3565.00,99.15
3564.00,99.12
3563.00,99.08
3562.00,99.05
3561.00,99.02
3560.00,99.00
3559.00,98.98
3558.00,98.96
3557.00,98.93
3556.00,98.89
3555.00,98.86
3554.00,98.83
3553.00,98.79
3552.00,98.75
3551.00,98.70
3550.00,98.65
3549.00,98.61
3548.00,98.58
3547.00,98.57
3546.00,98.55
3545.00,98.53
3544.00,98.49
3543.00,98.45
3542.00,98.41
3541.00,98.36
3540.00,98.32
3539.00,98.28
3538.00,98.24
3537.00,98.21
3536.00,98.19
3535.00,98.17
3534.00,98.15
3533.00,98.12
3532.00,98.08
3531.00,98.04
3530.00,98.01
3529.00,97.98
3528.00,97.95
3527.00,97.89
3526.00,97.83
3525.00,97.77
3524.00,97.72
3523.00,97.69
3522.00,97.67
3521.00,97.66
3520.00,97.63
3519.00,97.60
3518.00,97.57
3517.00,97.54
3516.00,97.51
3515.00,97.48
3514.00,97.45
3513.00,97.40
3512.00,97.35
3511.00,97.29
3510.00,97.23
3509.00,97.19
3508.00,97.16
3507.00,97.13
3506.00,97.10
3505.00,97.06
3504.00,97.03
3503.00,97.01
3502.00,97.00
3501.00,96.98
3500.00,96.94
3499.00,96.90
3498.00,96.85
3497.00,96.80
3496.00,96.75
3495.00,96.72
3494.00,96.68
3493.00,96.64
3492.00,96.59
3491.00,96.52
3490.00,96.46
3489.00,96.40
3488.00,96.35
3487.00,96.30
3486.00,96.25
3485.00,96.20
3484.00,96.15
3483.00,96.09
3482.00,96.05
3481.00,96.02
3480.00,96.01
3479.00,95.99
3478.00,95.96
3477.00,95.91
3476.00,95.85
3475.00,95.78
3474.00,95.72
3473.00,95.67
3472.00,95.62
3471.00,95.58
3470.00,95.52
3469.00,95.47
3468.00,95.42
3467.00,95.38
3466.00,95.35
3465.00,95.31
3464.00,95.26
3463.00,95.20
3462.00,95.13
3461.00,95.09
3460.00,95.05
3459.00,95.02
3458.00,94.99
3457.00,94.93
3456.00,94.86
3455.00,94.79
3454.00,94.74
3453.00,94.68
3452.00,94.62
3451.00,94.55
3450.00,94.48
3449.00,94.42
3448.00,94.38
3447.00,94.37
3446.00,94.36
3445.00,94.35
3444.00,94.32
3443.00,94.28
3442.00,94.24
3441.00,94.19
3440.00,94.13
3439.00,94.06
3438.00,93.99
3437.00,93.93
3436.00,93.88
3435.00,93.84
3434.00,93.81
3433.00,93.77
3432.00,93.71
3431.00,93.64
3430.00,93.57
3429.00,93.51
3428.00,93.46
3427.00,93.42
3426.00,93.38
3425.00,93.34
3424.00,93.29
3423.00,93.24
3422.00,93.19
3421.00,93.15
3420.00,93.10
3419.00,93.06
3418.00,93.03
3417.00,93.00
3416.00,92.95
3415.00,92.90
3414.00,92.85
3413.00,92.78
3412.00,92.72
3411.00,92.65
3410.00,92.60
3409.00,92.54
3408.00,92.48
3407.00,92.43
3406.00,92.39
3405.00,92.36
3404.00,92.33
3403.00,92.29
3402.00,92.24
3401.00,92.18
3400.00,92.12
3399.00,92.07
3398.00,92.04
3397.00,92.02
3396.00,92.00
3395.00,91.97
3394.00,91.93
3393.00,91.88
3392.00,91.83
3391.00,91.79
3390.00,91.74
3389.00,91.69
3388.00,91.65
3387.00,91.61
3386.00,91.58
3385.00,91.55
3384.00,91.52
3383.00,91.50
3382.00,91.46
3381.00,91.41
3380.00,91.35
3379.00,91.28
3378.00,91.22
3377.00,91.18
3376.00,91.13
3375.00,91.09
3374.00,91.05
3373.00,91.00
3372.00,90.95
3371.00,90.91
