Created as New Dataset,Bio-Couture 20/2 Linen (NC)
cm-1,%T
4000.00,100.72
3999.00,100.71
3998.00,100.71
3997.00,100.71
3996.00,100.71
3995.00,100.72
3994.00,100.73
3993.00,100.74
3992.00,100.73
3991.00,100.72
3990.00,100.70
3989.00,100.68
3988.00,100.67
3987.00,100.67
3986.00,100.66
3985.00,100.65
3984.00,100.65
3983.00,100.66
3982.00,100.67
3981.00,100.69
3980.00,100.69
3979.00,100.69
3978.00,100.68
3977.00,100.67
3976.00,100.67
3975.00,100.68
3974.00,100.70
3973.00,100.70
3972.00,100.70
3971.00,100.70
3970.00,100.71
3969.00,100.72
3968.00,100.74
3967.00,100.75
3966.00,100.74
3965.00,100.72
3964.00,100.70
3963.00,100.69
3962.00,100.69
3961.00,100.70
3960.00,100.71
3959.00,100.72
3958.00,100.72
3957.00,100.71
3956.00,100.70
3955.00,100.70
3954.00,100.70
3953.00,100.70
3952.00,100.72
3951.00,100.74
3950.00,100.77
3949.00,100.79
3948.00,100.79
3947.00,100.77
3946.00,100.74
3945.00,100.71
3944.00,100.68
3943.00,100.66
3942.00,100.65
3941.00,100.65
3940.00,100.67
3939.00,100.69
3938.00,100.70
3937.00,100.72
3936.00,100.73
3935.00,100.73
3934.00,100.73
3933.00,100.73
3932.00,100.73
3931.00,100.73
3930.00,100.74
3929.00,100.74
3928.00,100.75
3927.00,100.76
3926.00,100.75
3925.00,100.73
3924.00,100.69
3923.00,100.66
3922.00,100.64
3921.00,100.63
3920.00,100.65
3919.00,100.68
3918.00,100.71
3917.00,100.74
3916.00,100.74
3915.00,100.74
3914.00,100.73
3913.00,100.72
3912.00,100.72
3911.00,100.72
3910.00,100.72
3909.00,100.72
3908.00,100.72
3907.00,100.72
3906.00,100.70
3905.00,100.70
3904.00,100.70
3903.00,100.71
3902.00,100.72
3901.00,100.72
3900.00,100.71
3899.00,100.71
3898.00,100.72
3897.00,100.74
3896.00,100.77
3895.00,100.78
3894.00,100.77
3893.00,100.74
3892.00,100.71
3891.00,100.69
3890.00,100.68
3889.00,100.69
3888.00,100.69
3887.00,100.70
3886.00,100.69
3885.00,100.68
3884.00,100.67
3883.00,100.66
3882.00,100.66
3881.00,100.66
3880.00,100.66
3879.00,100.65
3878.00,100.65
3877.00,100.66
3876.00,100.67
3875.00,100.68
3874.00,100.69
3873.00,100.69
3872.00,100.68
3871.00,100.67
3870.00,100.66
3869.00,100.65
3868.00,100.66
3867.00,100.67
3866.00,100.68
3865.00,100.69
3864.00,100.69
3863.00,100.68
3862.00,100.67
3861.00,100.67
3860.00,100.67
3859.00,100.68
3858.00,100.69
3857.00,100.71
3856.00,100.73
3855.00,100.74
3854.00,100.74
3853.00,100.75
3852.00,100.76
3851.00,100.76
3850.00,100.76
3849.00,100.74
3848.00,100.73
3847.00,100.72
3846.00,100.73
3845.00,100.74
3844.00,100.76
3843.00,100.76
3842.00,100.76
3841.00,100.75
3840.00,100.75
3839.00,100.75
3838.00,100.74
3837.00,100.73
3836.00,100.72
3835.00,100.71
3834.00,100.70
3833.00,100.70
3832.00,100.69
3831.00,100.69
3830.00,100.68
3829.00,100.67
3828.00,100.65
3827.00,100.63
3826.00,100.63
3825.00,100.63
3824.00,100.64
3823.00,100.64
3822.00,100.63
3821.00,100.62
3820.00,100.62
3819.00,100.63
3818.00,100.65
3817.00,100.67
3816.00,100.70
3815.00,100.72
3814.00,100.71
3813.00,100.68
3812.00,100.64
3811.00,100.62
3810.00,100.61
3809.00,100.63
3808.00,100.65
3807.00,100.66
3806.00,100.67
3805.00,100.68
3804.00,100.69
3803.00,100.71
3802.00,100.72
3801.00,100.71
3800.00,100.69
3799.00,100.65
3798.00,100.62
3797.00,100.61
3796.00,100.61
3795.00,100.64
3794.00,100.67
3793.00,100.68
3792.00,100.68
3791.00,100.66
3790.00,100.64
3789.00,100.63
3788.00,100.63
3787.00,100.63
3786.00,100.63
3785.00,100.63
3784.00,100.62
3783.00,100.62
3782.00,100.62
3781.00,100.62
3780.00,100.62
3779.00,100.62
3778.00,100.62
3777.00,100.61
3776.00,100.60
3775.00,100.59
3774.00,100.59
3773.00,100.58
3772.00,100.59
3771.00,100.59
3770.00,100.58
3769.00,100.57
3768.00,100.54
3767.00,100.53
3766.00,100.53
3765.00,100.55
3764.00,100.58
3763.00,100.60
3762.00,100.60
3761.00,100.60
3760.00,100.61
3759.00,100.64
3758.00,100.66
3757.00,100.66
3756.00,100.63
3755.00,100.59
3754.00,100.55
3753.00,100.53
3752.00,100.52
3751.00,100.53
