Created as New Dataset,Linen/SS (NC)
cm-1,%T
4000.00,96.91
3999.00,96.90
3998.00,96.89
3997.00,96.86
3996.00,96.84
3995.00,96.84
3994.00,96.85
3993.00,96.87
3992.00,96.89
3991.00,96.90
3990.00,96.91
3989.00,96.91
3988.00,96.90
3987.00,96.89
3986.00,96.88
3985.00,96.87
3984.00,96.87
3983.00,96.88
3982.00,96.89
3981.00,96.89
3980.00,96.89
3979.00,96.88
3978.00,96.88
3977.00,96.87
3976.00,96.87
3975.00,96.87
3974.00,96.88
3973.00,96.89
3972.00,96.91
3971.00,96.92
3970.00,96.93
3969.00,96.94
3968.00,96.95
3967.00,96.95
3966.00,96.94
3965.00,96.93
3964.00,96.90
3963.00,96.88
3962.00,96.88
3961.00,96.88
3960.00,96.89
3959.00,96.89
3958.00,96.88
3957.00,96.88
3956.00,96.88
3955.00,96.89
3954.00,96.91
3953.00,96.92
3952.00,96.95
3951.00,96.97
3950.00,96.99
3949.00,97.00
3948.00,96.99
3947.00,96.96
3946.00,96.93
3945.00,96.92
3944.00,96.93
3943.00,96.94
3942.00,96.94
3941.00,96.93
3940.00,96.91
3939.00,96.91
3938.00,96.93
3937.00,96.94
3936.00,96.95
3935.00,96.94
3934.00,96.93
3933.00,96.91
3932.00,96.91
3931.00,96.91
3930.00,96.91
3929.00,96.91
3928.00,96.90
3927.00,96.89
3926.00,96.89
3925.00,96.90
3924.00,96.91
3923.00,96.93
3922.00,96.95
3921.00,96.96
3920.00,96.97
3919.00,96.96
3918.00,96.94
3917.00,96.92
3916.00,96.92
3915.00,96.93
3914.00,96.94
3913.00,96.95
3912.00,96.95
3911.00,96.95
3910.00,96.95
3909.00,96.95
3908.00,96.94
3907.00,96.93
3906.00,96.93
3905.00,96.93
3904.00,96.94
3903.00,96.96
3902.00,96.98
3901.00,96.98
3900.00,96.96
3899.00,96.94
3898.00,96.91
3897.00,96.90
3896.00,96.90
3895.00,96.93
3894.00,96.96
3893.00,97.00
3892.00,97.02
3891.00,97.01
3890.00,96.99
3889.00,96.96
3888.00,96.93
3887.00,96.93
3886.00,96.94
3885.00,96.94
3884.00,96.92
3883.00,96.91
3882.00,96.90
3881.00,96.92
3880.00,96.94
3879.00,96.95
3878.00,96.94
3877.00,96.93
3876.00,96.93
3875.00,96.94
3874.00,96.93
3873.00,96.91
3872.00,96.90
3871.00,96.90
3870.00,96.91
3869.00,96.91
3868.00,96.91
3867.00,96.91
3866.00,96.94
3865.00,96.97
3864.00,96.99
3863.00,96.97
3862.00,96.95
3861.00,96.93
3860.00,96.92
3859.00,96.93
3858.00,96.94
3857.00,96.95
3856.00,96.96
3855.00,96.96
3854.00,96.95
3853.00,96.91
3852.00,96.87
3851.00,96.87
3850.00,96.88
3849.00,96.90
3848.00,96.92
3847.00,96.93
3846.00,96.93
3845.00,96.93
3844.00,96.92
3843.00,96.90
3842.00,96.88
3841.00,96.87
3840.00,96.87
3839.00,96.90
3838.00,96.92
3837.00,96.94
3836.00,96.94
3835.00,96.94
3834.00,96.93
3833.00,96.91
3832.00,96.89
3831.00,96.87
3830.00,96.86
3829.00,96.86
3828.00,96.87
3827.00,96.88
3826.00,96.88
3825.00,96.87
3824.00,96.86
3823.00,96.88
3822.00,96.91
3821.00,96.93
3820.00,96.92
3819.00,96.89
3818.00,96.87
3817.00,96.87
3816.00,96.88
3815.00,96.87
3814.00,96.86
3813.00,96.84
3812.00,96.85
3811.00,96.86
3810.00,96.88
3809.00,96.90
3808.00,96.91
3807.00,96.91
3806.00,96.90
3805.00,96.88
3804.00,96.89
3803.00,96.91
3802.00,96.93
3801.00,96.93
3800.00,96.90
3799.00,96.90
3798.00,96.92
3797.00,96.94
3796.00,96.93
3795.00,96.90
3794.00,96.87
3793.00,96.86
3792.00,96.89
