Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
4000.00,99.92
3999.00,99.91
3998.00,99.89
3997.00,99.88
3996.00,99.86
3995.00,99.85
3994.00,99.84
3993.00,99.83
3992.00,99.84
3991.00,99.85
3990.00,99.86
3989.00,99.88
3988.00,99.90
3987.00,99.91
3986.00,99.92
3985.00,99.91
3984.00,99.90
3983.00,99.89
3982.00,99.90
3981.00,99.92
3980.00,99.94
3979.00,99.94
3978.00,99.93
3977.00,99.90
3976.00,99.87
3975.00,99.85
3974.00,99.85
3973.00,99.86
3972.00,99.87
3971.00,99.89
3970.00,99.90
3969.00,99.90
3968.00,99.90
3967.00,99.89
3966.00,99.90
3965.00,99.90
3964.00,99.91
3963.00,99.91
3962.00,99.90
3961.00,99.89
3960.00,99.89
3959.00,99.88
3958.00,99.88
3957.00,99.88
3956.00,99.88
3955.00,99.89
3954.00,99.90
3953.00,99.91
3952.00,99.91
3951.00,99.91
3950.00,99.90
3949.00,99.90
3948.00,99.89
3947.00,99.89
3946.00,99.88
3945.00,99.87
3944.00,99.86
3943.00,99.86
3942.00,99.86
3941.00,99.86
3940.00,99.87
3939.00,99.89
3938.00,99.90
3937.00,99.91
3936.00,99.92
3935.00,99.92
3934.00,99.91
3933.00,99.90
3932.00,99.89
3931.00,99.89
3930.00,99.89
3929.00,99.90
3928.00,99.90
3927.00,99.90
3926.00,99.89
3925.00,99.88
3924.00,99.88
3923.00,99.89
3922.00,99.89
3921.00,99.89
3920.00,99.89
3919.00,99.90
3918.00,99.91
3917.00,99.92
3916.00,99.93
3915.00,99.91
3914.00,99.90
3913.00,99.90
3912.00,99.91
3911.00,99.94
3910.00,99.96
3909.00,99.98
3908.00,100.01
3907.00,100.04
3906.00,100.06
3905.00,100.06
3904.00,100.03
3903.00,99.99
3902.00,99.96
3901.00,99.95
3900.00,99.96
3899.00,99.97
3898.00,99.96
3897.00,99.95
3896.00,99.94
3895.00,99.94
3894.00,99.95
3893.00,99.98
3892.00,100.00
3891.00,100.01
3890.00,100.01
3889.00,100.00
3888.00,99.97
3887.00,99.95
3886.00,99.94
3885.00,99.93
3884.00,99.92
3883.00,99.92
3882.00,99.91
3881.00,99.93
3880.00,99.95
3879.00,99.98
3878.00,100.00
3877.00,100.01
3876.00,100.00
3875.00,99.99
3874.00,99.97
3873.00,99.96
3872.00,99.96
3871.00,99.98
3870.00,100.01
3869.00,100.03
3868.00,100.05
3867.00,100.06
3866.00,100.05
3865.00,100.04
3864.00,100.02
3863.00,99.99
3862.00,99.98
3861.00,99.99
3860.00,100.01
3859.00,100.02
3858.00,100.03
3857.00,100.04
3856.00,100.07
3855.00,100.08
3854.00,100.07
3853.00,100.04
3852.00,100.03
3851.00,100.05
3850.00,100.07
3849.00,100.09
3848.00,100.09
3847.00,100.07
3846.00,100.04
3845.00,100.01
3844.00,99.97
3843.00,99.96
3842.00,99.97
3841.00,100.01
3840.00,100.06
3839.00,100.10
3838.00,100.11
3837.00,100.08
3836.00,100.06
3835.00,100.04
3834.00,100.02
3833.00,100.00
3832.00,99.97
3831.00,99.96
3830.00,99.96
3829.00,99.98
3828.00,99.99
3827.00,99.99
3826.00,99.99
3825.00,100.00
3824.00,100.00
3823.00,100.01
3822.00,100.02
3821.00,100.02
3820.00,100.01
3819.00,100.02
3818.00,100.04
3817.00,100.07
3816.00,100.08
3815.00,100.07
3814.00,100.05
3813.00,100.03
3812.00,100.00
3811.00,99.99
3810.00,99.98
3809.00,99.98
3808.00,99.99
3807.00,99.99
3806.00,99.98
3805.00,99.98
3804.00,99.99
3803.00,100.02
3802.00,100.05
3801.00,100.06
3800.00,100.06
3799.00,100.05
3798.00,100.02
3797.00,99.99
3796.00,99.95
3795.00,99.93
3794.00,99.92
3793.00,99.91
3792.00,99.90
3791.00,99.89
3790.00,99.88
3789.00,99.88
3788.00,99.91
3787.00,99.94
3786.00,99.96
3785.00,99.96
3784.00,99.94
3783.00,99.93
3782.00,99.91
3781.00,99.90
3780.00,99.88
3779.00,99.86
3778.00,99.85
3777.00,99.86
3776.00,99.87
3775.00,99.88
3774.00,99.88
3773.00,99.87
3772.00,99.86
3771.00,99.87
3770.00,99.90
3769.00,99.92
3768.00,99.94
3767.00,99.96
3766.00,99.96
3765.00,99.95
3764.00,99.93
3763.00,99.91
3762.00,99.90
3761.00,99.91
3760.00,99.91
3759.00,99.90
3758.00,99.89
3757.00,99.89
3756.00,99.89
3755.00,99.91
3754.00,99.93
3753.00,99.95
3752.00,99.98
3751.00,100.02
3750.00,100.04
3749.00,100.05
3748.00,100.05
3747.00,100.03
