Created as New Dataset,55 Courtaulds
cm-1,%T
4000.00,98.49
3999.00,98.46
3998.00,98.43
3997.00,98.40
3996.00,98.39
3995.00,98.39
3994.00,98.40
3993.00,98.42
3992.00,98.43
3991.00,98.43
3990.00,98.42
3989.00,98.41
3988.00,98.40
3987.00,98.40
3986.00,98.39
3985.00,98.39
3984.00,98.40
3983.00,98.40
3982.00,98.40
3981.00,98.41
3980.00,98.43
3979.00,98.44
3978.00,98.45
3977.00,98.45
3976.00,98.45
3975.00,98.44
3974.00,98.44
3973.00,98.45
3972.00,98.45
3971.00,98.45
3970.00,98.43
3969.00,98.40
3968.00,98.38
3967.00,98.37
3966.00,98.38
3965.00,98.39
3964.00,98.40
3963.00,98.40
3962.00,98.40
3961.00,98.39
3960.00,98.39
3959.00,98.39
3958.00,98.39
3957.00,98.39
3956.00,98.39
3955.00,98.39
3954.00,98.39
3953.00,98.39
3952.00,98.40
3951.00,98.41
3950.00,98.43
3949.00,98.45
3948.00,98.46
3947.00,98.47
3946.00,98.47
3945.00,98.46
3944.00,98.45
3943.00,98.45
3942.00,98.46
3941.00,98.47
3940.00,98.47
3939.00,98.45
3938.00,98.43
3937.00,98.40
3936.00,98.39
3935.00,98.38
3934.00,98.39
3933.00,98.40
3932.00,98.41
3931.00,98.42
3930.00,98.43
3929.00,98.45
3928.00,98.46
3927.00,98.47
3926.00,98.47
3925.00,98.47
3924.00,98.45
3923.00,98.44
3922.00,98.42
3921.00,98.41
3920.00,98.41
3919.00,98.42
3918.00,98.43
3917.00,98.44
3916.00,98.44
3915.00,98.44
3914.00,98.43
3913.00,98.42
3912.00,98.43
3911.00,98.45
3910.00,98.48
3909.00,98.51
3908.00,98.53
3907.00,98.52
3906.00,98.50
3905.00,98.49
3904.00,98.47
3903.00,98.47
3902.00,98.48
3901.00,98.48
3900.00,98.47
3899.00,98.46
3898.00,98.43
3897.00,98.41
3896.00,98.40
3895.00,98.41
3894.00,98.45
3893.00,98.47
3892.00,98.49
3891.00,98.49
3890.00,98.49
3889.00,98.48
3888.00,98.45
3887.00,98.42
3886.00,98.39
3885.00,98.38
3884.00,98.38
3883.00,98.38
3882.00,98.38
3881.00,98.40
3880.00,98.44
3879.00,98.50
3878.00,98.54
3877.00,98.54
3876.00,98.53
3875.00,98.50
3874.00,98.48
3873.00,98.47
3872.00,98.45
3871.00,98.42
3870.00,98.39
3869.00,98.39
3868.00,98.40
3867.00,98.40
3866.00,98.37
3865.00,98.36
3864.00,98.37
3863.00,98.41
3862.00,98.44
3861.00,98.46
3860.00,98.46
3859.00,98.45
3858.00,98.43
3857.00,98.41
3856.00,98.38
3855.00,98.35
3854.00,98.32
3853.00,98.31
3852.00,98.31
3851.00,98.31
3850.00,98.31
3849.00,98.32
3848.00,98.36
3847.00,98.42
3846.00,98.47
3845.00,98.50
3844.00,98.52
3843.00,98.53
3842.00,98.53
3841.00,98.53
3840.00,98.51
3839.00,98.49
3838.00,98.46
3837.00,98.44
3836.00,98.43
3835.00,98.42
3834.00,98.41
3833.00,98.42
3832.00,98.43
3831.00,98.44
3830.00,98.43
3829.00,98.42
3828.00,98.41
3827.00,98.41
3826.00,98.42
3825.00,98.44
3824.00,98.45
3823.00,98.42
3822.00,98.38
3821.00,98.36
3820.00,98.35
3819.00,98.36
3818.00,98.35
3817.00,98.32
3816.00,98.30
3815.00,98.30
3814.00,98.31
3813.00,98.33
3812.00,98.35
3811.00,98.38
3810.00,98.40
3809.00,98.39
3808.00,98.37
3807.00,98.35
3806.00,98.35
3805.00,98.37
3804.00,98.40
3803.00,98.40
3802.00,98.38
3801.00,98.36
3800.00,98.33
3799.00,98.32
3798.00,98.31
3797.00,98.32
3796.00,98.35
3795.00,98.37
3794.00,98.38
3793.00,98.38
3792.00,98.38
3791.00,98.38
3790.00,98.38
3789.00,98.39
3788.00,98.39
3787.00,98.40
3786.00,98.41
3785.00,98.42
3784.00,98.42
3783.00,98.42
3782.00,98.39
3781.00,98.36
3780.00,98.34
3779.00,98.34
3778.00,98.36
3777.00,98.38
3776.00,98.37
3775.00,98.36
3774.00,98.34
3773.00,98.34
3772.00,98.33
3771.00,98.31
3770.00,98.28
3769.00,98.27
3768.00,98.28
3767.00,98.31
3766.00,98.32
3765.00,98.32
3764.00,98.31
3763.00,98.28
3762.00,98.25
3761.00,98.23
3760.00,98.22
3759.00,98.22
3758.00,98.22
3757.00,98.22
3756.00,98.22
3755.00,98.23
3754.00,98.22
3753.00,98.20
3752.00,98.18
3751.00,98.16
3750.00,98.16
3749.00,98.16
3748.00,98.17
3747.00,98.16
3746.00,98.15
3745.00,98.14
3744.00,98.15
3743.00,98.18
3742.00,98.20
3741.00,98.21
3740.00,98.23
3739.00,98.26
3738.00,98.28
3737.00,98.30
3736.00,98.32
3735.00,98.33
3734.00,98.34
3733.00,98.33
3732.00,98.31
3731.00,98.28
3730.00,98.25
3729.00,98.22
3728.00,98.18
3727.00,98.15
3726.00,98.13
3725.00,98.12
3724.00,98.11
3723.00,98.11
3722.00,98.12
3721.00,98.14
3720.00,98.15
3719.00,98.15
3718.00,98.14
3717.00,98.13
3716.00,98.15
3715.00,98.17
3714.00,98.18
3713.00,98.17
3712.00,98.15
3711.00,98.12
3710.00,98.11
3709.00,98.11
3708.00,98.13
3707.00,98.13
3706.00,98.13
3705.00,98.12
3704.00,98.11
3703.00,98.12
3702.00,98.12
3701.00,98.13
3700.00,98.14
3699.00,98.15
3698.00,98.14
3697.00,98.14
3696.00,98.14
3695.00,98.14
3694.00,98.13
3693.00,98.11
3692.00,98.08
3691.00,98.05
3690.00,98.03
3689.00,98.03
3688.00,98.03
3687.00,98.04
3686.00,98.03
3685.00,98.03
3684.00,98.05
3683.00,98.07
3682.00,98.07
3681.00,98.06
3680.00,98.05
3679.00,98.05
3678.00,98.05
3677.00,98.04
3676.00,98.01
3675.00,97.98
3674.00,97.97
3673.00,97.96
3672.00,97.95
3671.00,97.93
3670.00,97.92
3669.00,97.92
3668.00,97.93
3667.00,97.93
3666.00,97.93
3665.00,97.92
3664.00,97.92
3663.00,97.92
3662.00,97.91
3661.00,97.89
3660.00,97.86
3659.00,97.81
3658.00,97.77
3657.00,97.74
3656.00,97.72
3655.00,97.72
3654.00,97.71
3653.00,97.69
3652.00,97.68
3651.00,97.69
3650.00,97.70
3649.00,97.70
3648.00,97.67
3647.00,97.63
3646.00,97.58
3645.00,97.56
3644.00,97.55
3643.00,97.55
3642.00,97.55
3641.00,97.54
3640.00,97.52
3639.00,97.51
3638.00,97.51
3637.00,97.50
3636.00,97.48
3635.00,97.44
3634.00,97.40
3633.00,97.39
3632.00,97.38
3631.00,97.37
3630.00,97.32
3629.00,97.25
3628.00,97.18
3627.00,97.15
3626.00,97.12
3625.00,97.12
3624.00,97.14
3623.00,97.16
3622.00,97.15
3621.00,97.10
3620.00,97.04
3619.00,96.98
3618.00,96.94
3617.00,96.92
3616.00,96.90
3615.00,96.86
3614.00,96.81
3613.00,96.75
3612.00,96.71
3611.00,96.68
3610.00,96.66
3609.00,96.63
3608.00,96.59
3607.00,96.55
3606.00,96.52
3605.00,96.50
3604.00,96.48
3603.00,96.45
3602.00,96.42
3601.00,96.39
3600.00,96.36
3599.00,96.32
3598.00,96.27
3597.00,96.22
3596.00,96.16
3595.00,96.12
3594.00,96.08
3593.00,96.05
3592.00,96.02
3591.00,95.99
3590.00,95.95
3589.00,95.91
3588.00,95.86
3587.00,95.82
3586.00,95.77
3585.00,95.72
3584.00,95.66
3583.00,95.61
3582.00,95.56
3581.00,95.53
3580.00,95.50
3579.00,95.47
3578.00,95.43
3577.00,95.38
3576.00,95.33
3575.00,95.27
3574.00,95.22
3573.00,95.17
3572.00,95.12
3571.00,95.08
3570.00,95.03
3569.00,94.99
3568.00,94.95
3567.00,94.91
3566.00,94.88
3565.00,94.83
3564.00,94.79
3563.00,94.75
3562.00,94.71
3561.00,94.66
3560.00,94.60
3559.00,94.53
3558.00,94.46
3557.00,94.40
3556.00,94.36
3555.00,94.33
3554.00,94.27
3553.00,94.20
3552.00,94.12
3551.00,94.05
3550.00,94.00
3549.00,93.95
3548.00,93.89
3547.00,93.82
3546.00,93.75
3545.00,93.70
3544.00,93.65
3543.00,93.61
3542.00,93.55
3541.00,93.49
3540.00,93.42
3539.00,93.36
3538.00,93.30
3537.00,93.24
3536.00,93.18
3535.00,93.13
3534.00,93.08
3533.00,93.02
3532.00,92.96
3531.00,92.89
3530.00,92.81
3529.00,92.75
3528.00,92.69
3527.00,92.64
3526.00,92.59
3525.00,92.52
3524.00,92.44
3523.00,92.34
3522.00,92.26
3521.00,92.19
3520.00,92.11
3519.00,92.03
3518.00,91.94
3517.00,91.85
3516.00,91.76
3515.00,91.68
3514.00,91.60
3513.00,91.53
3512.00,91.45
3511.00,91.37
3510.00,91.28
3509.00,91.18
3508.00,91.07
3507.00,90.96
3506.00,90.85
3505.00,90.75
3504.00,90.64
3503.00,90.51
3502.00,90.38
3501.00,90.25
3500.00,90.13
3499.00,90.04
3498.00,89.95
3497.00,89.85
3496.00,89.74
3495.00,89.62
3494.00,89.51
3493.00,89.40
3492.00,89.30
3491.00,89.20
3490.00,89.11
3489.00,89.04
3488.00,88.99
3487.00,88.95
3486.00,88.90
3485.00,88.85
3484.00,88.81
3483.00,88.76
3482.00,88.71
3481.00,88.67
3480.00,88.63
3479.00,88.59
3478.00,88.55
3477.00,88.51
3476.00,88.46
3475.00,88.40
3474.00,88.35
3473.00,88.28
3472.00,88.20
3471.00,88.12
3470.00,88.04
3469.00,87.98
3468.00,87.94
3467.00,87.89
3466.00,87.83
3465.00,87.75
3464.00,87.65
3463.00,87.54
3462.00,87.45
3461.00,87.37
3460.00,87.30
3459.00,87.23
3458.00,87.16
3457.00,87.08
3456.00,87.00
3455.00,86.92
3454.00,86.83
3453.00,86.74
3452.00,86.65
3451.00,86.57
3450.00,86.47
3449.00,86.37
3448.00,86.27
3447.00,86.16
3446.00,86.06
3445.00,85.96
3444.00,85.88
3443.00,85.82
3442.00,85.77
3441.00,85.74
3440.00,85.70
3439.00,85.68
3438.00,85.66
3437.00,85.65
3436.00,85.64
3435.00,85.63
3434.00,85.62
3433.00,85.61
3432.00,85.60
3431.00,85.59
3430.00,85.58
3429.00,85.58
3428.00,85.57
3427.00,85.55
3426.00,85.54
3425.00,85.52
3424.00,85.50
3423.00,85.47
3422.00,85.44
3421.00,85.41
3420.00,85.40
3419.00,85.38
3418.00,85.36
3417.00,85.33
3416.00,85.31
3415.00,85.28
3414.00,85.26
3413.00,85.24
3412.00,85.21
3411.00,85.19
3410.00,85.17
3409.00,85.15
3408.00,85.13
3407.00,85.10
3406.00,85.08
3405.00,85.05
3404.00,85.01
3403.00,84.96
3402.00,84.90
3401.00,84.85
3400.00,84.82
3399.00,84.79
3398.00,84.76
3397.00,84.73
3396.00,84.71
3395.00,84.69
3394.00,84.67
3393.00,84.65
3392.00,84.61
3391.00,84.59
3390.00,84.57
3389.00,84.55
3388.00,84.53
3387.00,84.50
3386.00,84.46
3385.00,84.43
3384.00,84.40
3383.00,84.38
3382.00,84.35
3381.00,84.32
3380.00,84.29
3379.00,84.27
3378.00,84.25
3377.00,84.24
3376.00,84.22
3375.00,84.20
3374.00,84.18
3373.00,84.17
3372.00,84.15
3371.00,84.14
3370.00,84.12
3369.00,84.10
3368.00,84.07
3367.00,84.04
3366.00,84.02
3365.00,84.00
3364.00,83.98
3363.00,83.97
3362.00,83.95
3361.00,83.93
3360.00,83.91
3359.00,83.89
3358.00,83.87
3357.00,83.86
3356.00,83.85
3355.00,83.84
3354.00,83.82
3353.00,83.80
3352.00,83.79
3351.00,83.79
3350.00,83.78
3349.00,83.77
3348.00,83.76
3347.00,83.76
3346.00,83.77
3345.00,83.77
3344.00,83.77
3343.00,83.76
3342.00,83.75
3341.00,83.74
3340.00,83.73
3339.00,83.72
3338.00,83.70
3337.00,83.68
3336.00,83.67
3335.00,83.68
3334.00,83.69
3333.00,83.69
3332.00,83.70
3331.00,83.71
3330.00,83.72
3329.00,83.73
3328.00,83.72
3327.00,83.72
3326.00,83.72
3325.00,83.73
3324.00,83.74
3323.00,83.75
3322.00,83.74
3321.00,83.74
3320.00,83.74
3319.00,83.75
3318.00,83.77
3317.00,83.79
3316.00,83.82
3315.00,83.84
3314.00,83.85
3313.00,83.86
3312.00,83.87
3311.00,83.88
3310.00,83.89
3309.00,83.90
3308.00,83.89
3307.00,83.89
3306.00,83.89
3305.00,83.90
3304.00,83.91
3303.00,83.91
3302.00,83.91
3301.00,83.92
3300.00,83.94
3299.00,83.97
3298.00,84.00
3297.00,84.04
3296.00,84.06
3295.00,84.07
3294.00,84.08
3293.00,84.08
3292.00,84.07
3291.00,84.06
3290.00,84.06
3289.00,84.08
3288.00,84.10
3287.00,84.13
3286.00,84.15
3285.00,84.17
3284.00,84.18
3283.00,84.19
3282.00,84.20
3281.00,84.21
3280.00,84.23
3279.00,84.26
3278.00,84.30
3277.00,84.34
3276.00,84.37
3275.00,84.40
3274.00,84.42
3273.00,84.44
3272.00,84.46
3271.00,84.48
3270.00,84.50
3269.00,84.53
3268.00,84.54
3267.00,84.55
3266.00,84.57
3265.00,84.61
3264.00,84.64
3263.00,84.67
3262.00,84.67
3261.00,84.67
3260.00,84.66
3259.00,84.67
3258.00,84.68
3257.00,84.71
3256.00,84.76
3255.00,84.81
3254.00,84.86
3253.00,84.90
3252.00,84.92
3251.00,84.94
3250.00,84.96
3249.00,84.98
3248.00,85.00
3247.00,85.03
3246.00,85.04
3245.00,85.05
3244.00,85.06
3243.00,85.09
3242.00,85.13
3241.00,85.18
3240.00,85.23
3239.00,85.27
3238.00,85.30
3237.00,85.32
3236.00,85.35
3235.00,85.37
3234.00,85.39
3233.00,85.41
3232.00,85.42
3231.00,85.45
3230.00,85.49
3229.00,85.55
3228.00,85.60
3227.00,85.63
3226.00,85.65
3225.00,85.67
3224.00,85.70
3223.00,85.74
3222.00,85.78
3221.00,85.82
3220.00,85.84
3219.00,85.87
3218.00,85.91
3217.00,85.95
3216.00,85.99
3215.00,86.03
3214.00,86.05
3213.00,86.08
3212.00,86.11
3211.00,86.14
3210.00,86.17
3209.00,86.20
3208.00,86.22
3207.00,86.24
3206.00,86.27
3205.00,86.31
3204.00,86.35
3203.00,86.40
3202.00,86.44
3201.00,86.48
3200.00,86.53
3199.00,86.57
3198.00,86.60
3197.00,86.62
3196.00,86.64
3195.00,86.65
3194.00,86.68
3193.00,86.72
3192.00,86.77
3191.00,86.82
3190.00,86.85
3189.00,86.87
3188.00,86.89
3187.00,86.93
3186.00,86.98
3185.00,87.04
3184.00,87.10
3183.00,87.14
3182.00,87.18
3181.00,87.20
3180.00,87.21
3179.00,87.22
3178.00,87.24
3177.00,87.27
3176.00,87.31
3175.00,87.35
3174.00,87.39
3173.00,87.43
3172.00,87.48
3171.00,87.51
3170.00,87.53
3169.00,87.56
3168.00,87.59
3167.00,87.64
3166.00,87.70
3165.00,87.76
3164.00,87.82
3163.00,87.86
3162.00,87.89
3161.00,87.90
3160.00,87.91
3159.00,87.93
3158.00,87.96
3157.00,88.00
3156.00,88.04
3155.00,88.08
3154.00,88.13
3153.00,88.19
3152.00,88.25
3151.00,88.30
3150.00,88.33
3149.00,88.36
3148.00,88.39
3147.00,88.43
3146.00,88.49
3145.00,88.56
3144.00,88.64
3143.00,88.71
3142.00,88.77
3141.00,88.80
3140.00,88.83
3139.00,88.87
3138.00,88.92
3137.00,88.98
3136.00,89.04
3135.00,89.09
3134.00,89.14
3133.00,89.20
3132.00,89.25
3131.00,89.29
3130.00,89.32
3129.00,89.36
3128.00,89.41
3127.00,89.47
3126.00,89.53
3125.00,89.60
3124.00,89.66
3123.00,89.72
3122.00,89.76
3121.00,89.81
3120.00,89.86
3119.00,89.92
3118.00,89.99
3117.00,90.05
3116.00,90.11
3115.00,90.16
3114.00,90.20
3113.00,90.24
3112.00,90.29
3111.00,90.35
3110.00,90.40
3109.00,90.45
3108.00,90.50
3107.00,90.55
3106.00,90.61
3105.00,90.65
3104.00,90.70
3103.00,90.75
3102.00,90.81
3101.00,90.88
3100.00,90.94
3099.00,90.99
3098.00,91.02
3097.00,91.06
3096.00,91.10
3095.00,91.16
3094.00,91.21
3093.00,91.27
3092.00,91.33
3091.00,91.40
3090.00,91.46
3089.00,91.52
3088.00,91.58
3087.00,91.63
3086.00,91.68
3085.00,91.73
3084.00,91.79
3083.00,91.84
3082.00,91.89
3081.00,91.94
3080.00,91.99
3079.00,92.03
3078.00,92.08
3077.00,92.13
3076.00,92.19
3075.00,92.23
3074.00,92.27
3073.00,92.30
3072.00,92.33
3071.00,92.38
3070.00,92.43
3069.00,92.48
3068.00,92.51
3067.00,92.54
3066.00,92.58
3065.00,92.62
3064.00,92.66
3063.00,92.71
3062.00,92.76
3061.00,92.80
3060.00,92.85
3059.00,92.90
3058.00,92.95
3057.00,92.99
3056.00,93.03
3055.00,93.05
3054.00,93.08
3053.00,93.11
3052.00,93.15
3051.00,93.20
3050.00,93.26
3049.00,93.30
3048.00,93.34
3047.00,93.37
3046.00,93.42
3045.00,93.46
3044.00,93.49
3043.00,93.53
3042.00,93.56
3041.00,93.61
3040.00,93.66
3039.00,93.70
3038.00,93.72
3037.00,93.74
3036.00,93.76
3035.00,93.79
3034.00,93.82
3033.00,93.86
3032.00,93.89
3031.00,93.93
3030.00,93.96
3029.00,93.99
3028.00,94.02
3027.00,94.05
3026.00,94.08
3025.00,94.11
3024.00,94.13
3023.00,94.16
3022.00,94.18
3021.00,94.19
3020.00,94.20
3019.00,94.21
3018.00,94.23
3017.00,94.26
3016.00,94.29
3015.00,94.31
3014.00,94.33
3013.00,94.35
3012.00,94.38
3011.00,94.40
3010.00,94.43
3009.00,94.45
3008.00,94.47
3007.00,94.49
3006.00,94.50
3005.00,94.51
3004.00,94.52
3003.00,94.53
3002.00,94.54
3001.00,94.56
3000.00,94.58
2999.00,94.60
2998.00,94.62
2997.00,94.63
2996.00,94.64
2995.00,94.64
2994.00,94.63
2993.00,94.63
2992.00,94.63
2991.00,94.61
2990.00,94.59
2989.00,94.55
2988.00,94.51
2987.00,94.48
2986.00,94.47
2985.00,94.46
2984.00,94.45
2983.00,94.43
2982.00,94.42
2981.00,94.41
2980.00,94.42
2979.00,94.43
2978.00,94.43
2977.00,94.40
2976.00,94.37
2975.00,94.32
2974.00,94.28
2973.00,94.25
2972.00,94.22
2971.00,94.19
2970.00,94.16
2969.00,94.12
2968.00,94.10
2967.00,94.08
2966.00,94.05
2965.00,94.02
2964.00,93.98
2963.00,93.94
2962.00,93.90
2961.00,93.85
2960.00,93.80
2959.00,93.75
2958.00,93.70
2957.00,93.64
2956.00,93.59
2955.00,93.54
2954.00,93.48
2953.00,93.44
2952.00,93.40
2951.00,93.36
2950.00,93.32
2949.00,93.26
2948.00,93.19
2947.00,93.12
2946.00,93.03
2945.00,92.94
2944.00,92.86
2943.00,92.77
2942.00,92.68
2941.00,92.59
2940.00,92.49
2939.00,92.40
2938.00,92.32
2937.00,92.24
2936.00,92.15
2935.00,92.06
2934.00,91.98
2933.00,91.90
2932.00,91.83
2931.00,91.78
2930.00,91.72
2929.00,91.67
2928.00,91.62
2927.00,91.58
2926.00,91.54
2925.00,91.50
2924.00,91.45
2923.00,91.39
2922.00,91.32
2921.00,91.25
2920.00,91.20
2919.00,91.16
2918.00,91.12
2917.00,91.07
2916.00,91.00
2915.00,90.91
2914.00,90.83
2913.00,90.75
2912.00,90.69
2911.00,90.62
2910.00,90.55
2909.00,90.46
2908.00,90.37
2907.00,90.28
2906.00,90.21
2905.00,90.16
2904.00,90.12
2903.00,90.09
2902.00,90.07
2901.00,90.05
2900.00,90.03
2899.00,90.02
2898.00,90.00
2897.00,89.97
