Created as New Dataset,56 Lenzing
cm-1,%T
4000.00,101.37
3999.00,101.35
3998.00,101.32
3997.00,101.30
3996.00,101.28
3995.00,101.29
3994.00,101.32
3993.00,101.35
3992.00,101.37
3991.00,101.37
3990.00,101.37
3989.00,101.36
3988.00,101.36
3987.00,101.36
3986.00,101.37
3985.00,101.37
3984.00,101.37
3983.00,101.37
3982.00,101.37
3981.00,101.37
3980.00,101.39
3979.00,101.40
3978.00,101.40
3977.00,101.39
3976.00,101.37
3975.00,101.36
3974.00,101.35
3973.00,101.36
3972.00,101.36
3971.00,101.37
3970.00,101.36
3969.00,101.35
3968.00,101.33
3967.00,101.32
3966.00,101.33
3965.00,101.34
3964.00,101.35
3963.00,101.36
3962.00,101.36
3961.00,101.36
3960.00,101.35
3959.00,101.34
3958.00,101.33
3957.00,101.32
3956.00,101.32
3955.00,101.32
3954.00,101.31
3953.00,101.31
3952.00,101.31
3951.00,101.31
3950.00,101.32
3949.00,101.34
3948.00,101.36
3947.00,101.37
3946.00,101.35
3945.00,101.33
3944.00,101.32
3943.00,101.34
3942.00,101.36
3941.00,101.39
3940.00,101.39
3939.00,101.38
3938.00,101.36
3937.00,101.34
3936.00,101.32
3935.00,101.32
3934.00,101.32
3933.00,101.33
3932.00,101.34
3931.00,101.34
3930.00,101.34
3929.00,101.33
3928.00,101.34
3927.00,101.35
3926.00,101.36
3925.00,101.36
3924.00,101.35
3923.00,101.34
3922.00,101.32
3921.00,101.30
3920.00,101.30
3919.00,101.31
3918.00,101.32
3917.00,101.32
3916.00,101.32
3915.00,101.31
3914.00,101.30
3913.00,101.30
3912.00,101.31
3911.00,101.33
3910.00,101.35
3909.00,101.37
3908.00,101.39
3907.00,101.40
3906.00,101.38
3905.00,101.36
3904.00,101.33
3903.00,101.30
3902.00,101.28
3901.00,101.28
3900.00,101.30
3899.00,101.33
3898.00,101.34
3897.00,101.33
3896.00,101.31
3895.00,101.31
3894.00,101.31
3893.00,101.31
3892.00,101.32
3891.00,101.32
3890.00,101.32
3889.00,101.31
3888.00,101.30
3887.00,101.29
3886.00,101.29
3885.00,101.29
3884.00,101.28
3883.00,101.26
3882.00,101.26
3881.00,101.28
3880.00,101.32
3879.00,101.35
3878.00,101.35
3877.00,101.34
3876.00,101.34
3875.00,101.36
3874.00,101.37
3873.00,101.36
3872.00,101.31
3871.00,101.26
3870.00,101.23
3869.00,101.22
3868.00,101.21
3867.00,101.20
3866.00,101.20
3865.00,101.23
3864.00,101.27
3863.00,101.31
3862.00,101.34
3861.00,101.34
3860.00,101.33
3859.00,101.31
3858.00,101.27
3857.00,101.23
3856.00,101.19
3855.00,101.15
3854.00,101.14
3853.00,101.15
3852.00,101.16
3851.00,101.15
3850.00,101.16
3849.00,101.20
3848.00,101.25
3847.00,101.28
3846.00,101.30
3845.00,101.30
3844.00,101.31
3843.00,101.31
3842.00,101.31
3841.00,101.30
3840.00,101.27
3839.00,101.26
3838.00,101.27
3837.00,101.29
3836.00,101.30
3835.00,101.30
3834.00,101.30
3833.00,101.30
3832.00,101.30
3831.00,101.31
3830.00,101.30
3829.00,101.29
3828.00,101.29
3827.00,101.31
3826.00,101.33
3825.00,101.35
3824.00,101.34
3823.00,101.32
3822.00,101.32
3821.00,101.33
3820.00,101.33
3819.00,101.29
3818.00,101.25
3817.00,101.23
3816.00,101.24
3815.00,101.24
3814.00,101.23
3813.00,101.23
3812.00,101.25
3811.00,101.29
3810.00,101.33
3809.00,101.35
3808.00,101.35
3807.00,101.34
3806.00,101.32
3805.00,101.30
3804.00,101.27
3803.00,101.28
3802.00,101.29
3801.00,101.29
3800.00,101.26
3799.00,101.21
3798.00,101.19
3797.00,101.21
3796.00,101.26
3795.00,101.30
3794.00,101.32
3793.00,101.33
3792.00,101.36
3791.00,101.38
3790.00,101.40
3789.00,101.39
3788.00,101.38
3787.00,101.36
3786.00,101.35
3785.00,101.34
3784.00,101.34
3783.00,101.33
3782.00,101.32
3781.00,101.32
3780.00,101.34
3779.00,101.35
3778.00,101.35
3777.00,101.33
3776.00,101.31
3775.00,101.30
3774.00,101.30
3773.00,101.30
3772.00,101.30
3771.00,101.29
3770.00,101.28
3769.00,101.27
3768.00,101.28
3767.00,101.30
3766.00,101.33
3765.00,101.35
3764.00,101.34
3763.00,101.30
3762.00,101.26
3761.00,101.23
3760.00,101.22
3759.00,101.22
3758.00,101.22
3757.00,101.22
3756.00,101.24
3755.00,101.24
3754.00,101.24
3753.00,101.23
3752.00,101.19
3751.00,101.15
3750.00,101.12
3749.00,101.12
3748.00,101.12
3747.00,101.11
3746.00,101.09
3745.00,101.09
3744.00,101.10
3743.00,101.11
3742.00,101.11
3741.00,101.13
3740.00,101.16
3739.00,101.20
3738.00,101.21
3737.00,101.21
3736.00,101.23
3735.00,101.26
3734.00,101.28
3733.00,101.28
3732.00,101.27
3731.00,101.26
3730.00,101.25
3729.00,101.23
3728.00,101.22
3727.00,101.21
3726.00,101.20
3725.00,101.19
3724.00,101.18
3723.00,101.19
3722.00,101.22
3721.00,101.24
3720.00,101.25
3719.00,101.25
3718.00,101.26
3717.00,101.27
3716.00,101.28
3715.00,101.27
3714.00,101.26
3713.00,101.25
3712.00,101.23
3711.00,101.21
3710.00,101.20
3709.00,101.21
3708.00,101.21
3707.00,101.21
3706.00,101.21
3705.00,101.21
3704.00,101.20
3703.00,101.20
3702.00,101.20
3701.00,101.21
3700.00,101.22
3699.00,101.24
3698.00,101.27
3697.00,101.30
3696.00,101.31
3695.00,101.30
3694.00,101.27
3693.00,101.23
3692.00,101.20
3691.00,101.18
3690.00,101.16
3689.00,101.15
3688.00,101.14
3687.00,101.15
3686.00,101.17
3685.00,101.19
3684.00,101.22
3683.00,101.24
3682.00,101.23
3681.00,101.20
3680.00,101.19
