Created as New Dataset,187 Cortaulds
cm-1,%T
4000.00,103.06
3999.00,103.06
3998.00,103.06
3997.00,103.07
3996.00,103.07
3995.00,103.06
3994.00,103.05
3993.00,103.04
3992.00,103.05
3991.00,103.06
3990.00,103.06
3989.00,103.05
3988.00,103.02
3987.00,102.99
3986.00,102.98
3985.00,102.98
3984.00,103.00
3983.00,103.02
3982.00,103.02
3981.00,103.02
3980.00,103.01
3979.00,103.01
3978.00,103.02
3977.00,103.03
3976.00,103.04
3975.00,103.04
3974.00,103.03
3973.00,103.02
3972.00,103.02
3971.00,103.01
3970.00,103.02
3969.00,103.03
3968.00,103.04
3967.00,103.05
3966.00,103.06
3965.00,103.06
3964.00,103.06
3963.00,103.06
3962.00,103.06
3961.00,103.04
3960.00,103.02
3959.00,103.00
3958.00,102.98
3957.00,102.97
3956.00,102.97
3955.00,103.00
3954.00,103.03
3953.00,103.06
3952.00,103.08
3951.00,103.08
3950.00,103.06
3949.00,103.05
3948.00,103.04
3947.00,103.04
3946.00,103.04
3945.00,103.04
3944.00,103.04
3943.00,103.02
3942.00,103.00
3941.00,102.99
3940.00,102.99
3939.00,103.00
3938.00,103.01
3937.00,103.01
3936.00,103.01
3935.00,103.00
3934.00,102.99
3933.00,103.00
3932.00,103.00
3931.00,103.01
3930.00,103.01
3929.00,103.00
3928.00,102.99
3927.00,102.98
3926.00,102.98
3925.00,102.98
3924.00,102.98
3923.00,102.99
3922.00,103.00
3921.00,102.99
3920.00,102.98
3919.00,102.96
3918.00,102.94
3917.00,102.95
3916.00,102.96
3915.00,102.99
3914.00,103.01
3913.00,103.02
3912.00,103.02
3911.00,103.00
3910.00,102.99
3909.00,102.98
3908.00,102.98
3907.00,102.99
3906.00,103.00
3905.00,103.02
3904.00,103.04
3903.00,103.05
3902.00,103.06
3901.00,103.06
3900.00,103.05
3899.00,103.05
3898.00,103.05
3897.00,103.05
3896.00,103.04
3895.00,103.03
3894.00,103.02
3893.00,103.02
3892.00,103.02
3891.00,103.03
3890.00,103.04
3889.00,103.06
3888.00,103.09
3887.00,103.11
3886.00,103.12
3885.00,103.11
3884.00,103.08
3883.00,103.07
3882.00,103.06
3881.00,103.06
3880.00,103.05
3879.00,103.03
3878.00,103.02
3877.00,103.03
3876.00,103.05
3875.00,103.07
3874.00,103.07
3873.00,103.07
3872.00,103.05
3871.00,103.04
3870.00,103.04
3869.00,103.04
3868.00,103.04
3867.00,103.05
3866.00,103.06
3865.00,103.06
3864.00,103.05
3863.00,103.05
3862.00,103.04
3861.00,103.04
3860.00,103.03
3859.00,103.03
3858.00,103.04
3857.00,103.04
3856.00,103.07
3855.00,103.10
3854.00,103.12
3853.00,103.13
3852.00,103.11
3851.00,103.08
3850.00,103.04
3849.00,103.01
3848.00,102.98
3847.00,102.96
3846.00,102.95
3845.00,102.97
3844.00,103.00
3843.00,103.03
3842.00,103.05
3841.00,103.05
3840.00,103.04
3839.00,103.04
3838.00,103.05
3837.00,103.07
3836.00,103.08
3835.00,103.10
3834.00,103.10
3833.00,103.10
3832.00,103.08
3831.00,103.06
3830.00,103.04
3829.00,103.02
3828.00,103.01
3827.00,103.02
3826.00,103.03
3825.00,103.05
3824.00,103.05
3823.00,103.05
3822.00,103.05
3821.00,103.06
3820.00,103.06
3819.00,103.05
3818.00,103.04
3817.00,103.02
3816.00,103.01
3815.00,103.00
3814.00,103.01
3813.00,103.02
3812.00,103.03
3811.00,103.03
3810.00,103.02
3809.00,103.00
3808.00,102.98
3807.00,102.97
3806.00,102.97
3805.00,102.98
3804.00,103.00
3803.00,103.01
3802.00,103.02
3801.00,103.04
3800.00,103.04
3799.00,103.04
3798.00,103.03
3797.00,103.02
3796.00,103.01
3795.00,103.02
3794.00,103.02
3793.00,103.01
3792.00,102.99
3791.00,102.96
3790.00,102.95
3789.00,102.94
3788.00,102.94
3787.00,102.94
3786.00,102.93
3785.00,102.93
3784.00,102.94
3783.00,102.97
3782.00,103.00
3781.00,103.02
3780.00,103.02
3779.00,103.01
3778.00,102.99
3777.00,102.98
3776.00,102.98
3775.00,103.00
3774.00,103.02
3773.00,103.04
3772.00,103.05
3771.00,103.03
3770.00,103.01
3769.00,102.99
3768.00,102.97
3767.00,102.96
3766.00,102.96
3765.00,102.96
3764.00,102.94
3763.00,102.94
3762.00,102.94
3761.00,102.97
3760.00,103.00
3759.00,103.02
3758.00,103.02
3757.00,103.00
3756.00,102.98
3755.00,102.96
3754.00,102.95
3753.00,102.94
3752.00,102.94
3751.00,102.95
3750.00,102.97
3749.00,102.99
3748.00,102.99
3747.00,102.99
3746.00,102.98
3745.00,102.97
3744.00,102.96
3743.00,102.97
3742.00,102.97
3741.00,102.97
3740.00,102.97
3739.00,102.97
3738.00,102.97
3737.00,102.97
3736.00,102.97
3735.00,102.96
3734.00,102.95
3733.00,102.93
3732.00,102.92
3731.00,102.92
3730.00,102.91
3729.00,102.91
3728.00,102.92
3727.00,102.94
3726.00,102.96
3725.00,102.97
3724.00,102.97
3723.00,102.96
3722.00,102.94
3721.00,102.93
3720.00,102.91
3719.00,102.90
3718.00,102.90
3717.00,102.91
3716.00,102.93
3715.00,102.95
3714.00,102.96
3713.00,102.95
3712.00,102.93
3711.00,102.91
3710.00,102.90
3709.00,102.92
3708.00,102.95
3707.00,102.97
3706.00,102.97
3705.00,102.96
3704.00,102.95
3703.00,102.95
3702.00,102.95
3701.00,102.94
3700.00,102.92
3699.00,102.91
3698.00,102.91
3697.00,102.91
3696.00,102.93
3695.00,102.94
3694.00,102.95
3693.00,102.97
3692.00,102.99
3691.00,103.01
3690.00,103.03
3689.00,103.04
3688.00,103.03
3687.00,103.00
3686.00,102.97
3685.00,102.94
3684.00,102.92
3683.00,102.92
3682.00,102.92
3681.00,102.92
3680.00,102.93
3679.00,102.94
3678.00,102.96
3677.00,102.98
3676.00,102.97
3675.00,102.96
3674.00,102.94
3673.00,102.93
3672.00,102.93
3671.00,102.93
3670.00,102.92
3669.00,102.91
3668.00,102.90
3667.00,102.87
3666.00,102.83
3665.00,102.80
3664.00,102.76
3663.00,102.74
3662.00,102.73
3661.00,102.73
3660.00,102.72
3659.00,102.72
3658.00,102.71
3657.00,102.71
3656.00,102.72
3655.00,102.72
3654.00,102.72
3653.00,102.73
3652.00,102.76
3651.00,102.80
3650.00,102.83
3649.00,102.82
3648.00,102.79
3647.00,102.76
3646.00,102.74
3645.00,102.74
3644.00,102.74
3643.00,102.74
3642.00,102.73
3641.00,102.70
3640.00,102.67
3639.00,102.65
3638.00,102.63
3637.00,102.62
3636.00,102.62
3635.00,102.61
3634.00,102.60
3633.00,102.59
3632.00,102.57
3631.00,102.56
3630.00,102.56
3629.00,102.58
3628.00,102.58
3627.00,102.58
3626.00,102.56
3625.00,102.55
3624.00,102.53
3623.00,102.51
3622.00,102.48
3621.00,102.45
3620.00,102.42
3619.00,102.40
3618.00,102.39
3617.00,102.40
3616.00,102.40
3615.00,102.41
3614.00,102.42
3613.00,102.41
3612.00,102.39
3611.00,102.36
3610.00,102.33
3609.00,102.31
3608.00,102.30
3607.00,102.29
3606.00,102.29
3605.00,102.28
3604.00,102.26
3603.00,102.23
3602.00,102.19
3601.00,102.15
3600.00,102.12
3599.00,102.10
3598.00,102.10
3597.00,102.10
3596.00,102.09
3595.00,102.08
3594.00,102.07
3593.00,102.06
3592.00,102.05
3591.00,102.03
3590.00,101.99
3589.00,101.96
3588.00,101.93
3587.00,101.91
3586.00,101.89
3585.00,101.86
3584.00,101.82
3583.00,101.80
3582.00,101.80
3581.00,101.80
3580.00,101.81
3579.00,101.79
3578.00,101.75
3577.00,101.71
3576.00,101.66
3575.00,101.63
3574.00,101.60
3573.00,101.57
3572.00,101.54
3571.00,101.51
3570.00,101.49
3569.00,101.46
3568.00,101.43
3567.00,101.41
3566.00,101.40
3565.00,101.40
3564.00,101.39
3563.00,101.38
3562.00,101.36
3561.00,101.34
3560.00,101.31
3559.00,101.28
3558.00,101.27
3557.00,101.26
3556.00,101.25
3555.00,101.22
3554.00,101.18
3553.00,101.13
