Created as New Dataset,57 Bayer
cm-1,%T
4000.00,99.88
3999.00,99.89
3998.00,99.90
3997.00,99.90
3996.00,99.91
3995.00,99.91
3994.00,99.90
3993.00,99.88
3992.00,99.86
3991.00,99.85
3990.00,99.83
3989.00,99.83
3988.00,99.84
3987.00,99.85
3986.00,99.85
3985.00,99.85
3984.00,99.85
3983.00,99.84
3982.00,99.83
3981.00,99.82
3980.00,99.80
3979.00,99.80
3978.00,99.80
3977.00,99.82
3976.00,99.84
3975.00,99.85
3974.00,99.85
3973.00,99.85
3972.00,99.85
3971.00,99.86
3970.00,99.88
3969.00,99.90
3968.00,99.91
3967.00,99.92
3966.00,99.92
3965.00,99.91
3964.00,99.90
3963.00,99.89
3962.00,99.90
3961.00,99.91
3960.00,99.92
3959.00,99.92
3958.00,99.90
3957.00,99.88
3956.00,99.87
3955.00,99.87
3954.00,99.86
3953.00,99.86
3952.00,99.86
3951.00,99.86
3950.00,99.88
3949.00,99.90
3948.00,99.91
3947.00,99.92
3946.00,99.91
3945.00,99.90
3944.00,99.88
3943.00,99.86
3942.00,99.86
3941.00,99.86
3940.00,99.87
3939.00,99.87
3938.00,99.87
3937.00,99.87
3936.00,99.88
3935.00,99.88
3934.00,99.88
3933.00,99.88
3932.00,99.87
3931.00,99.86
3930.00,99.85
3929.00,99.83
3928.00,99.81
3927.00,99.81
3926.00,99.82
3925.00,99.84
3924.00,99.85
3923.00,99.84
3922.00,99.83
3921.00,99.82
3920.00,99.82
3919.00,99.83
3918.00,99.84
3917.00,99.85
3916.00,99.85
3915.00,99.84
3914.00,99.83
3913.00,99.82
3912.00,99.82
3911.00,99.82
3910.00,99.84
3909.00,99.86
3908.00,99.86
3907.00,99.86
3906.00,99.84
3905.00,99.84
3904.00,99.86
3903.00,99.90
3902.00,99.94
3901.00,99.95
3900.00,99.93
3899.00,99.90
3898.00,99.87
3897.00,99.85
3896.00,99.84
3895.00,99.83
3894.00,99.83
3893.00,99.83
3892.00,99.84
3891.00,99.85
3890.00,99.85
3889.00,99.86
3888.00,99.85
3887.00,99.84
3886.00,99.82
3885.00,99.82
3884.00,99.84
3883.00,99.87
3882.00,99.88
3881.00,99.88
3880.00,99.86
3879.00,99.85
3878.00,99.85
3877.00,99.86
3876.00,99.87
3875.00,99.87
3874.00,99.85
3873.00,99.84
3872.00,99.83
3871.00,99.83
3870.00,99.83
3869.00,99.82
3868.00,99.82
3867.00,99.83
3866.00,99.83
3865.00,99.83
3864.00,99.83
3863.00,99.84
3862.00,99.85
3861.00,99.85
3860.00,99.85
3859.00,99.85
3858.00,99.85
3857.00,99.86
3856.00,99.86
