Created as New Dataset,70. Waxman
cm-1,%T
4000.00,100.19
3999.00,100.18
3998.00,100.17
3997.00,100.15
3996.00,100.14
3995.00,100.13
3994.00,100.13
3993.00,100.13
3992.00,100.15
3991.00,100.16
3990.00,100.16
3989.00,100.16
3988.00,100.15
3987.00,100.13
3986.00,100.12
3985.00,100.11
3984.00,100.11
3983.00,100.11
3982.00,100.11
3981.00,100.10
3980.00,100.09
3979.00,100.08
3978.00,100.09
3977.00,100.11
3976.00,100.13
3975.00,100.14
3974.00,100.14
3973.00,100.14
3972.00,100.14
3971.00,100.15
3970.00,100.14
3969.00,100.13
3968.00,100.12
3967.00,100.11
3966.00,100.12
3965.00,100.13
3964.00,100.15
3963.00,100.15
3962.00,100.14
3961.00,100.12
3960.00,100.11
3959.00,100.11
3958.00,100.12
3957.00,100.15
3956.00,100.17
3955.00,100.17
3954.00,100.17
3953.00,100.15
3952.00,100.13
3951.00,100.12
3950.00,100.10
3949.00,100.10
3948.00,100.11
3947.00,100.13
3946.00,100.15
3945.00,100.17
3944.00,100.17
3943.00,100.16
3942.00,100.15
3941.00,100.14
3940.00,100.14
3939.00,100.14
3938.00,100.14
3937.00,100.14
3936.00,100.12
3935.00,100.10
3934.00,100.09
3933.00,100.08
3932.00,100.09
3931.00,100.10
3930.00,100.12
3929.00,100.13
3928.00,100.14
3927.00,100.13
3926.00,100.12
3925.00,100.10
3924.00,100.08
3923.00,100.06
3922.00,100.05
3921.00,100.04
3920.00,100.05
3919.00,100.07
3918.00,100.08
3917.00,100.09
3916.00,100.08
3915.00,100.08
3914.00,100.08
3913.00,100.08
3912.00,100.08
3911.00,100.07
3910.00,100.07
3909.00,100.08
3908.00,100.09
3907.00,100.11
3906.00,100.12
3905.00,100.13
3904.00,100.12
3903.00,100.11
3902.00,100.10
3901.00,100.10
3900.00,100.10
3899.00,100.10
3898.00,100.11
3897.00,100.12
3896.00,100.13
3895.00,100.14
3894.00,100.15
3893.00,100.15
3892.00,100.14
3891.00,100.14
3890.00,100.14
3889.00,100.15
3888.00,100.14
3887.00,100.13
3886.00,100.12
3885.00,100.11
3884.00,100.12
3883.00,100.14
3882.00,100.14
3881.00,100.12
3880.00,100.09
3879.00,100.07
3878.00,100.05
3877.00,100.04
3876.00,100.03
3875.00,100.02
3874.00,100.02
3873.00,100.04
3872.00,100.08
3871.00,100.13
3870.00,100.15
3869.00,100.14
3868.00,100.13
3867.00,100.11
3866.00,100.09
3865.00,100.08
3864.00,100.07
3863.00,100.07
3862.00,100.07
3861.00,100.07
3860.00,100.08
3859.00,100.09
3858.00,100.12
3857.00,100.15
3856.00,100.17
3855.00,100.18
3854.00,100.18
3853.00,100.19
3852.00,100.20
3851.00,100.20
3850.00,100.17
3849.00,100.13
3848.00,100.10
3847.00,100.08
3846.00,100.08
3845.00,100.09
3844.00,100.09
3843.00,100.10
3842.00,100.10
3841.00,100.11
3840.00,100.11
3839.00,100.10
3838.00,100.10
3837.00,100.10
3836.00,100.09
3835.00,100.08
3834.00,100.06
3833.00,100.04
3832.00,100.03
3831.00,100.02
3830.00,100.02
3829.00,100.01
3828.00,100.01
3827.00,100.02
3826.00,100.04
3825.00,100.06
3824.00,100.08
3823.00,100.09
3822.00,100.08
3821.00,100.07
3820.00,100.09
3819.00,100.13
3818.00,100.16
3817.00,100.16
3816.00,100.13
3815.00,100.08
3814.00,100.04
3813.00,100.01
3812.00,99.99
3811.00,99.98
3810.00,99.99
3809.00,100.01
3808.00,100.03
3807.00,100.04
3806.00,100.04
3805.00,100.03
3804.00,100.01
3803.00,99.99
3802.00,99.98
3801.00,99.98
3800.00,100.02
3799.00,100.06
3798.00,100.09
3797.00,100.08
3796.00,100.04
3795.00,100.00
3794.00,99.97
3793.00,99.96
3792.00,99.97
3791.00,99.98
3790.00,99.98
3789.00,99.97
3788.00,99.97
3787.00,99.96
3786.00,99.96
3785.00,99.97
3784.00,99.97
3783.00,99.97
3782.00,99.96
3781.00,99.96
3780.00,99.94
3779.00,99.93
3778.00,99.91
3777.00,99.90
3776.00,99.89
3775.00,99.89
3774.00,99.90
3773.00,99.91
3772.00,99.92
3771.00,99.92
3770.00,99.90
3769.00,99.88
3768.00,99.88
3767.00,99.88
3766.00,99.88
3765.00,99.88
3764.00,99.88
3763.00,99.88
3762.00,99.89
3761.00,99.89
3760.00,99.88
3759.00,99.87
3758.00,99.87
3757.00,99.87
3756.00,99.88
3755.00,99.90
3754.00,99.93
3753.00,99.96
3752.00,99.97
3751.00,99.97
3750.00,99.99
3749.00,100.02
3748.00,100.04
3747.00,100.04
3746.00,100.03
3745.00,100.00
3744.00,99.98
3743.00,99.96
3742.00,99.95
3741.00,99.94
3740.00,99.92
3739.00,99.91
3738.00,99.92
3737.00,99.96
3736.00,99.99
3735.00,99.99
3734.00,99.97
3733.00,99.94
3732.00,99.92
3731.00,99.91
3730.00,99.89
3729.00,99.87
3728.00,99.83
3727.00,99.81
3726.00,99.80
3725.00,99.80
3724.00,99.82
3723.00,99.82
3722.00,99.82
3721.00,99.81
3720.00,99.80
3719.00,99.80
3718.00,99.80
3717.00,99.80
3716.00,99.80
3715.00,99.80
3714.00,99.80
3713.00,99.79
3712.00,99.79
3711.00,99.82
3710.00,99.86
3709.00,99.88
3708.00,99.86
3707.00,99.82
3706.00,99.78
3705.00,99.76
3704.00,99.76
3703.00,99.76
3702.00,99.76
3701.00,99.75
3700.00,99.74
3699.00,99.74
3698.00,99.75
3697.00,99.77
3696.00,99.78
3695.00,99.79
3694.00,99.79
3693.00,99.80
3692.00,99.82
3691.00,99.83
3690.00,99.84
3689.00,99.83
3688.00,99.83
3687.00,99.84
3686.00,99.84
3685.00,99.83
3684.00,99.81
3683.00,99.79
3682.00,99.77
3681.00,99.75
3680.00,99.73
3679.00,99.73
3678.00,99.73
3677.00,99.74
3676.00,99.75
3675.00,99.77
3674.00,99.81
3673.00,99.83
3672.00,99.82
3671.00,99.79
3670.00,99.74
3669.00,99.69
3668.00,99.65
3667.00,99.62
3666.00,99.59
3665.00,99.56
3664.00,99.53
3663.00,99.51
3662.00,99.50
3661.00,99.50
3660.00,99.52
3659.00,99.54
3658.00,99.55
3657.00,99.55
3656.00,99.54
3655.00,99.53
3654.00,99.53
3653.00,99.54
3652.00,99.56
3651.00,99.57
3650.00,99.57
3649.00,99.57
3648.00,99.58
3647.00,99.58
3646.00,99.57
3645.00,99.55
3644.00,99.53
3643.00,99.52
3642.00,99.51
3641.00,99.49
3640.00,99.48
3639.00,99.46
3638.00,99.45
3637.00,99.45
3636.00,99.45
3635.00,99.45
3634.00,99.46
3633.00,99.46
3632.00,99.47
3631.00,99.47
3630.00,99.46
3629.00,99.44
3628.00,99.43
3627.00,99.43
3626.00,99.45
3625.00,99.46
3624.00,99.47
3623.00,99.47
3622.00,99.48
3621.00,99.50
3620.00,99.52
3619.00,99.55
3618.00,99.57
3617.00,99.57
3616.00,99.56
3615.00,99.55
3614.00,99.54
3613.00,99.53
3612.00,99.53
3611.00,99.52
