Created as New Dataset,71 Waxman
cm-1,%T
4000.00,100.02
3999.00,100.02
3998.00,100.02
3997.00,100.03
3996.00,100.02
3995.00,100.00
3994.00,99.97
3993.00,99.96
3992.00,99.95
3991.00,99.97
3990.00,99.98
3989.00,99.99
3988.00,100.00
3987.00,100.00
3986.00,100.01
3985.00,100.01
3984.00,100.01
3983.00,100.01
3982.00,100.00
3981.00,99.98
3980.00,99.97
3979.00,99.95
3978.00,99.96
3977.00,99.97
3976.00,100.00
3975.00,100.02
3974.00,100.03
3973.00,100.04
3972.00,100.04
3971.00,100.03
3970.00,100.03
3969.00,100.02
3968.00,100.01
3967.00,100.00
3966.00,99.99
3965.00,100.00
3964.00,100.01
3963.00,100.01
3962.00,100.01
3961.00,100.00
3960.00,99.99
3959.00,99.99
3958.00,99.99
3957.00,100.01
3956.00,100.03
3955.00,100.05
3954.00,100.06
3953.00,100.06
3952.00,100.03
3951.00,100.00
3950.00,99.98
3949.00,99.98
3948.00,99.99
3947.00,100.01
3946.00,100.02
3945.00,100.04
3944.00,100.04
3943.00,100.04
3942.00,100.04
3941.00,100.02
3940.00,100.01
3939.00,100.00
3938.00,100.00
3937.00,99.99
3936.00,99.98
3935.00,99.98
3934.00,99.97
3933.00,99.97
3932.00,99.98
3931.00,99.98
3930.00,99.99
3929.00,99.98
3928.00,99.96
3927.00,99.94
3926.00,99.93
3925.00,99.92
3924.00,99.92
3923.00,99.93
3922.00,99.93
3921.00,99.93
3920.00,99.93
3919.00,99.93
3918.00,99.93
3917.00,99.94
3916.00,99.94
3915.00,99.94
3914.00,99.95
3913.00,99.97
3912.00,99.98
3911.00,99.98
3910.00,99.97
3909.00,99.96
3908.00,99.95
3907.00,99.93
3906.00,99.91
3905.00,99.88
3904.00,99.86
3903.00,99.85
3902.00,99.85
3901.00,99.87
3900.00,99.89
3899.00,99.91
3898.00,99.93
3897.00,99.94
3896.00,99.96
3895.00,99.97
3894.00,99.98
3893.00,100.00
3892.00,100.01
3891.00,100.01
3890.00,100.01
