Created as New Dataset,63. Modacrylic Solutia Dyed
cm-1,%T
4000.00,98.07
3999.00,98.07
3998.00,98.07
3997.00,98.06
3996.00,98.04
3995.00,98.02
3994.00,98.01
3993.00,98.01
3992.00,98.03
3991.00,98.04
3990.00,98.05
3989.00,98.06
3988.00,98.07
3987.00,98.07
3986.00,98.07
3985.00,98.06
3984.00,98.05
3983.00,98.05
3982.00,98.05
3981.00,98.07
3980.00,98.09
3979.00,98.10
3978.00,98.11
3977.00,98.10
3976.00,98.08
3975.00,98.06
3974.00,98.05
3973.00,98.05
3972.00,98.06
3971.00,98.07
3970.00,98.07
3969.00,98.06
3968.00,98.05
3967.00,98.05
3966.00,98.07
3965.00,98.08
3964.00,98.09
3963.00,98.08
3962.00,98.07
3961.00,98.06
3960.00,98.06
3959.00,98.07
3958.00,98.07
3957.00,98.07
3956.00,98.07
3955.00,98.06
3954.00,98.06
3953.00,98.06
3952.00,98.05
3951.00,98.04
3950.00,98.02
3949.00,98.02
3948.00,98.02
3947.00,98.03
3946.00,98.04
3945.00,98.05
3944.00,98.05
3943.00,98.06
3942.00,98.06
3941.00,98.06
3940.00,98.07
3939.00,98.06
3938.00,98.06
3937.00,98.06
3936.00,98.06
3935.00,98.05
3934.00,98.04
3933.00,98.03
3932.00,98.03
3931.00,98.03
3930.00,98.03
3929.00,98.02
3928.00,98.01
3927.00,98.00
3926.00,97.99
3925.00,98.00
3924.00,98.02
3923.00,98.04
3922.00,98.05
3921.00,98.05
3920.00,98.04
3919.00,98.04
3918.00,98.04
3917.00,98.05
3916.00,98.06
3915.00,98.06
3914.00,98.07
3913.00,98.06
3912.00,98.05
3911.00,98.04
3910.00,98.04
3909.00,98.04
3908.00,98.06
3907.00,98.09
3906.00,98.11
3905.00,98.13
3904.00,98.13
3903.00,98.12
3902.00,98.11
3901.00,98.08
3900.00,98.04
3899.00,98.02
3898.00,98.00
3897.00,98.01
3896.00,98.01
3895.00,98.01
3894.00,98.03
3893.00,98.04
3892.00,98.05
3891.00,98.05
3890.00,98.05
3889.00,98.05
3888.00,98.04
3887.00,98.02
3886.00,98.00
3885.00,98.00
3884.00,98.03
3883.00,98.04
3882.00,98.03
3881.00,97.99
3880.00,97.97
3879.00,97.97
3878.00,97.98
3877.00,97.98
3876.00,97.97
3875.00,97.96
3874.00,97.97
3873.00,98.00
3872.00,98.02
3871.00,98.02
3870.00,98.01
3869.00,98.02
3868.00,98.05
3867.00,98.06
3866.00,98.04
3865.00,98.02
3864.00,98.01
3863.00,98.03
3862.00,98.04
3861.00,98.03
3860.00,98.01
3859.00,98.01
3858.00,98.03
3857.00,98.05
3856.00,98.08
3855.00,98.08
3854.00,98.04
3853.00,97.99
3852.00,97.98
3851.00,97.98
3850.00,97.94
3849.00,97.89
3848.00,97.87
3847.00,97.88
3846.00,97.90
3845.00,97.92
3844.00,97.94
3843.00,97.98
3842.00,98.02
3841.00,98.06
3840.00,98.08
3839.00,98.06
3838.00,98.03
3837.00,97.98
3836.00,97.95
3835.00,97.94
3834.00,97.94
3833.00,97.94
3832.00,97.94
3831.00,97.94
3830.00,97.95
3829.00,97.95
3828.00,97.95
3827.00,97.95
3826.00,97.95
3825.00,97.96
3824.00,97.97
3823.00,97.97
3822.00,97.95
3821.00,97.93
3820.00,97.94
3819.00,97.98
3818.00,98.00
3817.00,97.98
3816.00,97.93
3815.00,97.90
3814.00,97.90
3813.00,97.91
3812.00,97.91
3811.00,97.91
3810.00,97.93
3809.00,97.94
3808.00,97.94
3807.00,97.92
3806.00,97.90
3805.00,97.90
3804.00,97.92
3803.00,97.92
3802.00,97.90
3801.00,97.88
3800.00,97.89
3799.00,97.90
3798.00,97.89
3797.00,97.87
3796.00,97.86
3795.00,97.88
3794.00,97.91
3793.00,97.94
3792.00,97.95
3791.00,97.96
3790.00,97.97
3789.00,97.98
3788.00,97.97
3787.00,97.96
3786.00,97.93
3785.00,97.91
3784.00,97.89
3783.00,97.88
3782.00,97.87
3781.00,97.87
3780.00,97.86
3779.00,97.86
3778.00,97.85
3777.00,97.85
3776.00,97.84
3775.00,97.83
3774.00,97.84
3773.00,97.86
3772.00,97.88
3771.00,97.89
3770.00,97.88
3769.00,97.88
3768.00,97.89
3767.00,97.90
3766.00,97.89
3765.00,97.87
3764.00,97.86
3763.00,97.86
3762.00,97.85
3761.00,97.85
3760.00,97.85
3759.00,97.85
3758.00,97.85
3757.00,97.84
3756.00,97.83
3755.00,97.83
3754.00,97.84
3753.00,97.84
3752.00,97.84
3751.00,97.83
3750.00,97.82
3749.00,97.81
3748.00,97.81
3747.00,97.80
3746.00,97.76
3745.00,97.70
3744.00,97.68
3743.00,97.72
3742.00,97.79
3741.00,97.82
3740.00,97.82
3739.00,97.83
3738.00,97.85
3737.00,97.85
3736.00,97.83
3735.00,97.81
3734.00,97.80
3733.00,97.81
3732.00,97.80
3731.00,97.80
3730.00,97.80
3729.00,97.81
3728.00,97.80
3727.00,97.80
3726.00,97.81
3725.00,97.82
3724.00,97.82
3723.00,97.81
3722.00,97.80
3721.00,97.80
3720.00,97.80
3719.00,97.79
3718.00,97.78
3717.00,97.76
3716.00,97.75
3715.00,97.74
3714.00,97.74
3713.00,97.75
3712.00,97.76
3711.00,97.76
3710.00,97.76
3709.00,97.75
3708.00,97.75
3707.00,97.76
3706.00,97.76
3705.00,97.77
3704.00,97.76
3703.00,97.75
3702.00,97.73
3701.00,97.73
3700.00,97.73
3699.00,97.73
3698.00,97.73
3697.00,97.73
3696.00,97.74
3695.00,97.75
3694.00,97.75
3693.00,97.73
3692.00,97.70
3691.00,97.69
3690.00,97.68
3689.00,97.68
3688.00,97.68
3687.00,97.68
3686.00,97.67
3685.00,97.65
3684.00,97.62
3683.00,97.62
3682.00,97.64
3681.00,97.67
3680.00,97.69
3679.00,97.71
3678.00,97.73
3677.00,97.74
3676.00,97.74
3675.00,97.73
3674.00,97.73
3673.00,97.73
3672.00,97.69
3671.00,97.62
3670.00,97.57
3669.00,97.55
3668.00,97.56
3667.00,97.56
3666.00,97.56
3665.00,97.55
3664.00,97.56
3663.00,97.56
3662.00,97.57
3661.00,97.57
3660.00,97.58
3659.00,97.58
3658.00,97.58
3657.00,97.57
3656.00,97.56
3655.00,97.57
3654.00,97.59
3653.00,97.62
3652.00,97.64
3651.00,97.66
3650.00,97.67
3649.00,97.64
3648.00,97.59
3647.00,97.53
3646.00,97.49
3645.00,97.47
3644.00,97.47
3643.00,97.47
3642.00,97.48
3641.00,97.48
3640.00,97.48
3639.00,97.47
3638.00,97.46
3637.00,97.45
3636.00,97.45
3635.00,97.45
3634.00,97.47
3633.00,97.48
3632.00,97.51
3631.00,97.53
3630.00,97.54
3629.00,97.53
3628.00,97.53
3627.00,97.53
3626.00,97.53
3625.00,97.50
3624.00,97.47
3623.00,97.45
3622.00,97.45
3621.00,97.45
3620.00,97.44
3619.00,97.43
3618.00,97.44
3617.00,97.45
3616.00,97.48
3615.00,97.49
3614.00,97.49
3613.00,97.48
3612.00,97.46
3611.00,97.45
3610.00,97.44
3609.00,97.44
3608.00,97.45
3607.00,97.46
3606.00,97.45
3605.00,97.45
3604.00,97.45
3603.00,97.45
3602.00,97.45
3601.00,97.43
3600.00,97.42
3599.00,97.41
3598.00,97.42
3597.00,97.44
3596.00,97.45
3595.00,97.45
3594.00,97.44
3593.00,97.41
3592.00,97.40
3591.00,97.41
3590.00,97.42
3589.00,97.44
3588.00,97.45
3587.00,97.46
3586.00,97.47
3585.00,97.48
3584.00,97.46
3583.00,97.45
3582.00,97.44
3581.00,97.44
3580.00,97.46
3579.00,97.48
3578.00,97.50
3577.00,97.51
3576.00,97.51
3575.00,97.51
3574.00,97.51
3573.00,97.50
3572.00,97.49
3571.00,97.48
3570.00,97.48
3569.00,97.48
3568.00,97.50
3567.00,97.49
3566.00,97.48
3565.00,97.45
3564.00,97.41
3563.00,97.38
3562.00,97.37
3561.00,97.37
3560.00,97.39
3559.00,97.41
3558.00,97.43
3557.00,97.44
3556.00,97.43
3555.00,97.43
3554.00,97.43
3553.00,97.44
3552.00,97.45
3551.00,97.44
3550.00,97.42
3549.00,97.39
3548.00,97.36
3547.00,97.35
3546.00,97.36
3545.00,97.37
3544.00,97.36
3543.00,97.35
3542.00,97.34
3541.00,97.34
3540.00,97.35
3539.00,97.37
3538.00,97.39
3537.00,97.40
3536.00,97.40
3535.00,97.40
3534.00,97.41
3533.00,97.43
3532.00,97.44
3531.00,97.44
3530.00,97.43
3529.00,97.42
3528.00,97.41
3527.00,97.41
3526.00,97.40
3525.00,97.38
3524.00,97.36
3523.00,97.35
3522.00,97.35
3521.00,97.36
3520.00,97.37
3519.00,97.37
3518.00,97.38
3517.00,97.40
3516.00,97.41
3515.00,97.42
3514.00,97.42
3513.00,97.41
3512.00,97.40
3511.00,97.38
3510.00,97.36
3509.00,97.34
3508.00,97.33
3507.00,97.32
3506.00,97.32
3505.00,97.32
3504.00,97.34
3503.00,97.35
3502.00,97.37
3501.00,97.39
3500.00,97.39
3499.00,97.38
3498.00,97.36
3497.00,97.33
3496.00,97.32
3495.00,97.32
3494.00,97.33
3493.00,97.34
3492.00,97.33
3491.00,97.33
3490.00,97.33
3489.00,97.34
3488.00,97.36
3487.00,97.37
3486.00,97.37
3485.00,97.38
3484.00,97.38
3483.00,97.38
3482.00,97.38
3481.00,97.36
3480.00,97.35
3479.00,97.35
3478.00,97.37
3477.00,97.39
3476.00,97.42
3475.00,97.43
3474.00,97.43
3473.00,97.42
3472.00,97.41
3471.00,97.39
3470.00,97.37
3469.00,97.35
3468.00,97.34
3467.00,97.33
3466.00,97.33
3465.00,97.35
3464.00,97.37
3463.00,97.39
3462.00,97.40
3461.00,97.41
3460.00,97.40
3459.00,97.39
3458.00,97.37
3457.00,97.35
3456.00,97.34
3455.00,97.34
3454.00,97.35
3453.00,97.36
3452.00,97.37
3451.00,97.35
3450.00,97.32
3449.00,97.29
3448.00,97.28
3447.00,97.28
3446.00,97.29
3445.00,97.31
3444.00,97.32
3443.00,97.32
3442.00,97.30
3441.00,97.29
3440.00,97.28
3439.00,97.29
3438.00,97.31
3437.00,97.34
3436.00,97.37
3435.00,97.38
3434.00,97.38
3433.00,97.37
3432.00,97.36
3431.00,97.37
3430.00,97.38
3429.00,97.38
3428.00,97.37
3427.00,97.36
3426.00,97.35
3425.00,97.35
3424.00,97.35
3423.00,97.35
3422.00,97.34
3421.00,97.34
3420.00,97.34
3419.00,97.34
3418.00,97.33
3417.00,97.31
3416.00,97.29
3415.00,97.28
3414.00,97.29
3413.00,97.30
3412.00,97.31
3411.00,97.31
3410.00,97.29
3409.00,97.29
3408.00,97.29
3407.00,97.31
3406.00,97.31
3405.00,97.31
3404.00,97.29
3403.00,97.28
3402.00,97.29
3401.00,97.30
3400.00,97.32
3399.00,97.33
3398.00,97.34
3397.00,97.34
3396.00,97.34
3395.00,97.32
3394.00,97.31
3393.00,97.30
3392.00,97.31
3391.00,97.33
3390.00,97.35
3389.00,97.35
3388.00,97.35
3387.00,97.35
3386.00,97.34
3385.00,97.34
3384.00,97.34
3383.00,97.33
3382.00,97.32
3381.00,97.33
3380.00,97.33
3379.00,97.33
3378.00,97.32
3377.00,97.30
3376.00,97.28
3375.00,97.27
3374.00,97.27
3373.00,97.29
3372.00,97.30
3371.00,97.30
3370.00,97.29
3369.00,97.26
3368.00,97.25
3367.00,97.24
3366.00,97.26
3365.00,97.28
3364.00,97.30
3363.00,97.32
3362.00,97.32
3361.00,97.32
3360.00,97.30
3359.00,97.27
3358.00,97.25
3357.00,97.23
3356.00,97.22
3355.00,97.22
3354.00,97.22
3353.00,97.23
3352.00,97.23
3351.00,97.23
3350.00,97.24
3349.00,97.24
3348.00,97.26
3347.00,97.26
3346.00,97.27
3345.00,97.27
3344.00,97.27
3343.00,97.27
3342.00,97.27
3341.00,97.25
3340.00,97.23
3339.00,97.22
3338.00,97.22
3337.00,97.23
3336.00,97.23
3335.00,97.23
3334.00,97.23
3333.00,97.23
3332.00,97.25
3331.00,97.27
3330.00,97.28
3329.00,97.28
3328.00,97.26
3327.00,97.23
3326.00,97.21
3325.00,97.20
3324.00,97.22
3323.00,97.25
3322.00,97.26
3321.00,97.25
3320.00,97.23
3319.00,97.21
3318.00,97.22
3317.00,97.22
3316.00,97.22
3315.00,97.22
3314.00,97.22
3313.00,97.23
3312.00,97.24
3311.00,97.24
3310.00,97.24
3309.00,97.23
3308.00,97.22
3307.00,97.23
3306.00,97.24
3305.00,97.25
3304.00,97.25
3303.00,97.23
3302.00,97.22
3301.00,97.22
3300.00,97.22
3299.00,97.24
3298.00,97.25
3297.00,97.25
3296.00,97.25
3295.00,97.23
3294.00,97.21
3293.00,97.19
3292.00,97.18
3291.00,97.20
3290.00,97.22
3289.00,97.24
3288.00,97.25
3287.00,97.25
3286.00,97.24
3285.00,97.21
3284.00,97.20
3283.00,97.19
3282.00,97.20
3281.00,97.22
3280.00,97.23
3279.00,97.25
3278.00,97.27
3277.00,97.28
3276.00,97.30
3275.00,97.29
3274.00,97.28
3273.00,97.26
3272.00,97.24
3271.00,97.23
3270.00,97.21
3269.00,97.19
3268.00,97.18
3267.00,97.17
3266.00,97.17
3265.00,97.17
3264.00,97.18
3263.00,97.19
3262.00,97.19
3261.00,97.19
3260.00,97.19
3259.00,97.19
3258.00,97.19
3257.00,97.19
3256.00,97.19
3255.00,97.19
3254.00,97.20
3253.00,97.21
3252.00,97.22
3251.00,97.22
3250.00,97.21
3249.00,97.20
3248.00,97.19
3247.00,97.18
3246.00,97.17
3245.00,97.17
3244.00,97.17
3243.00,97.19
3242.00,97.21
3241.00,97.23
3240.00,97.23
3239.00,97.22
3238.00,97.19
3237.00,97.17
3236.00,97.16
3235.00,97.16
3234.00,97.18
3233.00,97.20
3232.00,97.22
3231.00,97.23
3230.00,97.21
3229.00,97.19
3228.00,97.18
3227.00,97.18
3226.00,97.18
3225.00,97.18
3224.00,97.17
3223.00,97.15
3222.00,97.14
3221.00,97.13
3220.00,97.14
3219.00,97.15
3218.00,97.15
3217.00,97.16
3216.00,97.16
3215.00,97.18
3214.00,97.19
3213.00,97.19
3212.00,97.19
3211.00,97.18
3210.00,97.19
3209.00,97.20
3208.00,97.20
3207.00,97.20
3206.00,97.18
3205.00,97.16
3204.00,97.16
3203.00,97.15
3202.00,97.16
3201.00,97.18
3200.00,97.21
3199.00,97.23
3198.00,97.24
3197.00,97.23
3196.00,97.21
3195.00,97.20
3194.00,97.19
3193.00,97.19
3192.00,97.18
3191.00,97.17
3190.00,97.17
3189.00,97.16
3188.00,97.17
3187.00,97.16
3186.00,97.16
3185.00,97.15
3184.00,97.14
3183.00,97.14
3182.00,97.14
3181.00,97.15
3180.00,97.15
3179.00,97.17
3178.00,97.19
3177.00,97.20
3176.00,97.20
3175.00,97.20
3174.00,97.20
3173.00,97.20
3172.00,97.21
3171.00,97.23
3170.00,97.24
3169.00,97.24
3168.00,97.23
3167.00,97.20
3166.00,97.18
3165.00,97.16
3164.00,97.15
3163.00,97.14
3162.00,97.15
3161.00,97.16
3160.00,97.18
3159.00,97.20
3158.00,97.21
3157.00,97.21
3156.00,97.21
3155.00,97.20
3154.00,97.19
3153.00,97.20
3152.00,97.21
3151.00,97.22
3150.00,97.23
3149.00,97.22
3148.00,97.21
3147.00,97.21
3146.00,97.22
3145.00,97.23
3144.00,97.23
3143.00,97.22
3142.00,97.20
3141.00,97.17
3140.00,97.16
3139.00,97.15
3138.00,97.17
3137.00,97.19
3136.00,97.21
3135.00,97.21
3134.00,97.21
3133.00,97.20
3132.00,97.18
3131.00,97.17
3130.00,97.17
3129.00,97.19
3128.00,97.22
3127.00,97.25
3126.00,97.25
3125.00,97.24
3124.00,97.22
3123.00,97.21
3122.00,97.21
3121.00,97.22
3120.00,97.22
3119.00,97.22
3118.00,97.22
3117.00,97.22
3116.00,97.23
3115.00,97.23
3114.00,97.22
3113.00,97.22
3112.00,97.22
3111.00,97.23
3110.00,97.24
3109.00,97.25
3108.00,97.25
3107.00,97.25
3106.00,97.24
3105.00,97.23
3104.00,97.22
3103.00,97.21
3102.00,97.20
3101.00,97.18
3100.00,97.18
3099.00,97.19
3098.00,97.20
3097.00,97.22
3096.00,97.23
3095.00,97.23
3094.00,97.21
3093.00,97.19
3092.00,97.18
3091.00,97.17
3090.00,97.17
3089.00,97.17
3088.00,97.17
3087.00,97.17
3086.00,97.17
3085.00,97.18
3084.00,97.19
3083.00,97.19
3082.00,97.17
3081.00,97.15
3080.00,97.14
3079.00,97.14
3078.00,97.14
3077.00,97.14
3076.00,97.15
3075.00,97.17
3074.00,97.19
3073.00,97.21
3072.00,97.21
3071.00,97.20
3070.00,97.18
3069.00,97.17
3068.00,97.16
3067.00,97.16
3066.00,97.16
3065.00,97.17
3064.00,97.17
3063.00,97.18
3062.00,97.18
3061.00,97.18
3060.00,97.19
3059.00,97.19
3058.00,97.20
3057.00,97.20
3056.00,97.20
3055.00,97.19
3054.00,97.18
3053.00,97.18
3052.00,97.19
3051.00,97.19
3050.00,97.19
3049.00,97.18
3048.00,97.17
3047.00,97.17
3046.00,97.18
3045.00,97.19
3044.00,97.19
3043.00,97.20
3042.00,97.20
3041.00,97.19
3040.00,97.17
3039.00,97.15
3038.00,97.15
3037.00,97.15
3036.00,97.17
3035.00,97.17
3034.00,97.18
3033.00,97.17
3032.00,97.16
3031.00,97.15
3030.00,97.15
3029.00,97.16
3028.00,97.16
3027.00,97.16
3026.00,97.16
3025.00,97.16
3024.00,97.15
3023.00,97.14
3022.00,97.13
3021.00,97.13
3020.00,97.13
3019.00,97.14
3018.00,97.16
3017.00,97.17
3016.00,97.18
3015.00,97.18
3014.00,97.17
3013.00,97.16
3012.00,97.15
3011.00,97.15
3010.00,97.15
3009.00,97.14
3008.00,97.13
3007.00,97.12
3006.00,97.11
3005.00,97.11
3004.00,97.11
3003.00,97.11
3002.00,97.09
3001.00,97.07
3000.00,97.05
2999.00,97.03
2998.00,97.01
2997.00,96.99
2996.00,96.97
2995.00,96.96
2994.00,96.95
2993.00,96.95
2992.00,96.94
2991.00,96.93
2990.00,96.92
2989.00,96.92
2988.00,96.92
2987.00,96.92
2986.00,96.92
2985.00,96.90
2984.00,96.89
2983.00,96.88
2982.00,96.87
2981.00,96.85
2980.00,96.83
2979.00,96.81
2978.00,96.80
2977.00,96.81
2976.00,96.81
2975.00,96.80
2974.00,96.79
2973.00,96.78
2972.00,96.78
2971.00,96.79
2970.00,96.78
2969.00,96.76
2968.00,96.74
2967.00,96.74
2966.00,96.74
2965.00,96.74
2964.00,96.74
2963.00,96.73
2962.00,96.73
2961.00,96.72
2960.00,96.71
2959.00,96.70
2958.00,96.69
2957.00,96.67
2956.00,96.65
2955.00,96.62
2954.00,96.61
2953.00,96.59
2952.00,96.57
2951.00,96.55
2950.00,96.52
2949.00,96.49
2948.00,96.46
2947.00,96.43
2946.00,96.40
2945.00,96.37
2944.00,96.33
2943.00,96.30
2942.00,96.27
2941.00,96.25
2940.00,96.23
2939.00,96.20
2938.00,96.18
2937.00,96.15
2936.00,96.13
2935.00,96.11
2934.00,96.09
2933.00,96.06
2932.00,96.04
2931.00,96.02
2930.00,96.00
2929.00,95.98
2928.00,95.95
2927.00,95.92
2926.00,95.88
2925.00,95.85
2924.00,95.83
2923.00,95.81
2922.00,95.79
2921.00,95.77
2920.00,95.76
2919.00,95.75
2918.00,95.77
2917.00,95.81
2916.00,95.87
2915.00,95.93
2914.00,96.01
2913.00,96.08
2912.00,96.15
2911.00,96.21
2910.00,96.27
2909.00,96.32
2908.00,96.36
2907.00,96.38
2906.00,96.41
2905.00,96.44
2904.00,96.47
2903.00,96.50
2902.00,96.53
2901.00,96.55
2900.00,96.58
2899.00,96.60
2898.00,96.62
2897.00,96.63
2896.00,96.64
2895.00,96.65
2894.00,96.67
2893.00,96.69
2892.00,96.70
2891.00,96.71
2890.00,96.72
2889.00,96.73
2888.00,96.76
2887.00,96.78
2886.00,96.80
2885.00,96.80
2884.00,96.80
2883.00,96.79
2882.00,96.79
2881.00,96.79
2880.00,96.79
2879.00,96.81
2878.00,96.82
2877.00,96.83
2876.00,96.83
2875.00,96.81
2874.00,96.79
2873.00,96.77
2872.00,96.76
2871.00,96.76
2870.00,96.75
2869.00,96.74
