Created as New Dataset,64. Modacrylic Toray Dyed
cm-1,%T
4000.00,96.18
3999.00,96.18
3998.00,96.17
3997.00,96.17
3996.00,96.18
3995.00,96.19
3994.00,96.21
3993.00,96.22
3992.00,96.23
3991.00,96.22
3990.00,96.20
3989.00,96.19
3988.00,96.17
3987.00,96.16
3986.00,96.16
3985.00,96.15
3984.00,96.14
3983.00,96.14
3982.00,96.14
3981.00,96.15
3980.00,96.17
3979.00,96.18
3978.00,96.19
3977.00,96.19
3976.00,96.18
3975.00,96.17
3974.00,96.17
3973.00,96.18
3972.00,96.19
3971.00,96.20
3970.00,96.20
3969.00,96.20
3968.00,96.19
3967.00,96.19
3966.00,96.19
3965.00,96.19
3964.00,96.19
3963.00,96.19
3962.00,96.18
3961.00,96.17
3960.00,96.16
3959.00,96.17
3958.00,96.18
3957.00,96.20
3956.00,96.22
3955.00,96.25
3954.00,96.27
3953.00,96.28
3952.00,96.29
3951.00,96.28
3950.00,96.29
3949.00,96.29
3948.00,96.30
3947.00,96.29
3946.00,96.27
3945.00,96.24
3944.00,96.22
3943.00,96.23
3942.00,96.24
3941.00,96.25
3940.00,96.26
3939.00,96.25
3938.00,96.23
3937.00,96.22
3936.00,96.22
3935.00,96.22
3934.00,96.22
3933.00,96.22
3932.00,96.22
3931.00,96.22
3930.00,96.23
3929.00,96.23
3928.00,96.23
3927.00,96.21
3926.00,96.20
3925.00,96.18
3924.00,96.17
3923.00,96.16
3922.00,96.17
3921.00,96.17
3920.00,96.18
3919.00,96.19
3918.00,96.20
3917.00,96.20
3916.00,96.20
3915.00,96.20
3914.00,96.19
3913.00,96.18
3912.00,96.17
3911.00,96.17
3910.00,96.18
3909.00,96.21
3908.00,96.26
3907.00,96.30
3906.00,96.33
3905.00,96.34
3904.00,96.34
3903.00,96.33
3902.00,96.33
3901.00,96.33
3900.00,96.32
3899.00,96.29
3898.00,96.26
3897.00,96.24
3896.00,96.22
3895.00,96.20
3894.00,96.19
3893.00,96.19
3892.00,96.19
3891.00,96.19
3890.00,96.22
3889.00,96.24
3888.00,96.26
3887.00,96.26
3886.00,96.25
3885.00,96.24
3884.00,96.25
3883.00,96.27
3882.00,96.28
3881.00,96.26
3880.00,96.25
3879.00,96.26
3878.00,96.29
3877.00,96.31
3876.00,96.30
3875.00,96.27
3874.00,96.25
3873.00,96.23
3872.00,96.23
3871.00,96.23
3870.00,96.21
3869.00,96.21
3868.00,96.22
3867.00,96.25
3866.00,96.26
3865.00,96.26
3864.00,96.25
3863.00,96.24
3862.00,96.24
3861.00,96.24
3860.00,96.25
3859.00,96.27
3858.00,96.30
3857.00,96.35
3856.00,96.41
3855.00,96.46
3854.00,96.47
3853.00,96.46
3852.00,96.44
3851.00,96.42
3850.00,96.36
3849.00,96.29
3848.00,96.23
3847.00,96.21
3846.00,96.20
3845.00,96.21
3844.00,96.22
3843.00,96.22
3842.00,96.23
3841.00,96.25
3840.00,96.28
3839.00,96.30
3838.00,96.29
3837.00,96.27
3836.00,96.24
