Created as New Dataset,65. Modacrylic Toray
cm-1,%T
4000.00,95.34
3999.00,95.35
3998.00,95.35
3997.00,95.35
3996.00,95.34
3995.00,95.33
3994.00,95.32
3993.00,95.33
3992.00,95.34
3991.00,95.35
3990.00,95.36
3989.00,95.36
3988.00,95.35
3987.00,95.34
3986.00,95.33
3985.00,95.33
3984.00,95.34
3983.00,95.35
3982.00,95.36
3981.00,95.36
3980.00,95.36
3979.00,95.36
3978.00,95.35
3977.00,95.35
3976.00,95.34
3975.00,95.34
3974.00,95.32
3973.00,95.31
3972.00,95.31
3971.00,95.32
3970.00,95.33
3969.00,95.33
3968.00,95.33
3967.00,95.32
3966.00,95.33
3965.00,95.35
3964.00,95.36
3963.00,95.36
3962.00,95.36
3961.00,95.35
3960.00,95.35
3959.00,95.35
3958.00,95.35
3957.00,95.35
3956.00,95.33
3955.00,95.33
3954.00,95.33
3953.00,95.36
3952.00,95.39
3951.00,95.41
3950.00,95.42
3949.00,95.41
3948.00,95.38
3947.00,95.36
3946.00,95.35
3945.00,95.35
3944.00,95.36
3943.00,95.37
3942.00,95.37
3941.00,95.37
3940.00,95.36
3939.00,95.36
3938.00,95.36
3937.00,95.35
3936.00,95.35
3935.00,95.35
3934.00,95.36
3933.00,95.37
3932.00,95.37
3931.00,95.38
3930.00,95.38
3929.00,95.37
3928.00,95.36
3927.00,95.35
3926.00,95.33
3925.00,95.30
3924.00,95.29
3923.00,95.28
3922.00,95.28
3921.00,95.29
3920.00,95.30
3919.00,95.31
3918.00,95.32
3917.00,95.32
3916.00,95.31
3915.00,95.30
3914.00,95.29
3913.00,95.29
3912.00,95.28
3911.00,95.29
3910.00,95.29
3909.00,95.29
3908.00,95.28
3907.00,95.27
3906.00,95.25
3905.00,95.24
3904.00,95.22
3903.00,95.21
3902.00,95.21
3901.00,95.22
3900.00,95.23
3899.00,95.25
3898.00,95.27
3897.00,95.28
3896.00,95.27
3895.00,95.26
3894.00,95.26
3893.00,95.27
3892.00,95.27
3891.00,95.26
3890.00,95.24
3889.00,95.21
3888.00,95.19
3887.00,95.19
3886.00,95.18
3885.00,95.15
3884.00,95.12
3883.00,95.10
3882.00,95.12
3881.00,95.16
3880.00,95.19
3879.00,95.22
3878.00,95.22
3877.00,95.22
3876.00,95.22
3875.00,95.21
3874.00,95.19
3873.00,95.18
3872.00,95.17
3871.00,95.19
3870.00,95.22
3869.00,95.24
3868.00,95.25
3867.00,95.25
3866.00,95.27
3865.00,95.28
3864.00,95.27
3863.00,95.25
3862.00,95.23
3861.00,95.22
3860.00,95.21
3859.00,95.19
3858.00,95.17
3857.00,95.15
3856.00,95.14
3855.00,95.15
3854.00,95.16
3853.00,95.16
3852.00,95.17
3851.00,95.19
3850.00,95.21
3849.00,95.25
3848.00,95.28
3847.00,95.29
3846.00,95.28
3845.00,95.26
3844.00,95.24
3843.00,95.22
3842.00,95.21
3841.00,95.21
3840.00,95.22
3839.00,95.21
3838.00,95.19
3837.00,95.15
3836.00,95.12
3835.00,95.11
3834.00,95.13
3833.00,95.16
3832.00,95.21
3831.00,95.25
3830.00,95.28
3829.00,95.28
3828.00,95.26
3827.00,95.23
3826.00,95.19
3825.00,95.16
3824.00,95.14
3823.00,95.14
3822.00,95.14
3821.00,95.13
3820.00,95.11
3819.00,95.10
3818.00,95.11
3817.00,95.13
3816.00,95.15
3815.00,95.15
3814.00,95.15
3813.00,95.16
3812.00,95.17
3811.00,95.18
3810.00,95.17
3809.00,95.16
3808.00,95.17
3807.00,95.17
3806.00,95.17
3805.00,95.15
3804.00,95.14
3803.00,95.14
3802.00,95.13
3801.00,95.12
3800.00,95.09
3799.00,95.08
3798.00,95.09
3797.00,95.12
3796.00,95.15
3795.00,95.17
3794.00,95.17
3793.00,95.18
3792.00,95.20
3791.00,95.21
3790.00,95.22
3789.00,95.21
3788.00,95.19
3787.00,95.17
3786.00,95.16
3785.00,95.16
3784.00,95.17
3783.00,95.16
3782.00,95.14
3781.00,95.12
3780.00,95.11
3779.00,95.11
3778.00,95.12
3777.00,95.13
3776.00,95.15
3775.00,95.17
3774.00,95.16
3773.00,95.15
3772.00,95.13
3771.00,95.12
3770.00,95.13
3769.00,95.14
3768.00,95.15
3767.00,95.13
3766.00,95.11
3765.00,95.08
3764.00,95.05
3763.00,95.05
3762.00,95.07
3761.00,95.10
3760.00,95.13
3759.00,95.12
3758.00,95.10
3757.00,95.06
3756.00,95.03
3755.00,94.99
3754.00,94.96
3753.00,94.92
3752.00,94.88
3751.00,94.86
3750.00,94.86
3749.00,94.87
3748.00,94.85
3747.00,94.83
3746.00,94.82
3745.00,94.82
3744.00,94.83
3743.00,94.84
3742.00,94.86
3741.00,94.89
3740.00,94.91
3739.00,94.92
3738.00,94.93
3737.00,94.94
3736.00,94.95
3735.00,94.96
3734.00,94.96
3733.00,94.95
3732.00,94.95
3731.00,94.95
3730.00,94.95
3729.00,94.97
3728.00,94.98
3727.00,94.99
3726.00,95.00
3725.00,95.01
3724.00,95.02
3723.00,95.01
3722.00,94.99
3721.00,94.96
3720.00,94.94
3719.00,94.94
3718.00,94.94
3717.00,94.93
3716.00,94.91
3715.00,94.89
3714.00,94.90
3713.00,94.92
3712.00,94.93
3711.00,94.94
3710.00,94.94
3709.00,94.95
3708.00,94.97
3707.00,94.98
3706.00,94.98
3705.00,94.98
3704.00,94.97
3703.00,94.97
3702.00,94.96
3701.00,94.95
3700.00,94.95
3699.00,94.97
3698.00,94.98
3697.00,94.99
3696.00,94.99
3695.00,94.97
3694.00,94.94
3693.00,94.91
3692.00,94.88
3691.00,94.85
3690.00,94.82
3689.00,94.79
3688.00,94.77
3687.00,94.79
3686.00,94.83
3685.00,94.87
3684.00,94.91
3683.00,94.92
3682.00,94.91
3681.00,94.87
3680.00,94.82
3679.00,94.76
3678.00,94.72
3677.00,94.70
3676.00,94.69
3675.00,94.68
3674.00,94.66
3673.00,94.64
3672.00,94.62
3671.00,94.63
3670.00,94.64
3669.00,94.65
3668.00,94.67
3667.00,94.69
3666.00,94.71
3665.00,94.73
3664.00,94.74
3663.00,94.74
3662.00,94.71
3661.00,94.67
3660.00,94.61
3659.00,94.57
3658.00,94.55
3657.00,94.55
3656.00,94.54
3655.00,94.51
3654.00,94.47
3653.00,94.44
3652.00,94.45
3651.00,94.49
3650.00,94.50
3649.00,94.47
3648.00,94.42
3647.00,94.38
3646.00,94.38
3645.00,94.41
3644.00,94.46
3643.00,94.50
3642.00,94.52
3641.00,94.51
3640.00,94.50
3639.00,94.50
3638.00,94.49
3637.00,94.47
3636.00,94.44
3635.00,94.41
3634.00,94.38
3633.00,94.37
3632.00,94.37
3631.00,94.38
3630.00,94.40
3629.00,94.38
3628.00,94.34
3627.00,94.30
3626.00,94.29
3625.00,94.31
3624.00,94.34
3623.00,94.36
3622.00,94.37
3621.00,94.37
3620.00,94.37
3619.00,94.35
3618.00,94.33
3617.00,94.31
3616.00,94.30
3615.00,94.31
3614.00,94.32
3613.00,94.33
3612.00,94.33
3611.00,94.33
3610.00,94.32
3609.00,94.32
3608.00,94.33
3607.00,94.35
3606.00,94.38
3605.00,94.42
3604.00,94.45
3603.00,94.45
3602.00,94.44
3601.00,94.42
3600.00,94.39
3599.00,94.37
3598.00,94.35
3597.00,94.34
3596.00,94.34
3595.00,94.36
3594.00,94.40
3593.00,94.43
3592.00,94.44
3591.00,94.43
3590.00,94.42
3589.00,94.42
3588.00,94.42
3587.00,94.43
3586.00,94.43
3585.00,94.43
3584.00,94.44
3583.00,94.45
3582.00,94.46
3581.00,94.47
3580.00,94.47
3579.00,94.47
3578.00,94.47
3577.00,94.47
3576.00,94.47
3575.00,94.47
3574.00,94.46
3573.00,94.45
3572.00,94.44
3571.00,94.43
3570.00,94.42
3569.00,94.43
3568.00,94.42
3567.00,94.41
3566.00,94.40
3565.00,94.40
3564.00,94.41
3563.00,94.44
3562.00,94.45
3561.00,94.46
3560.00,94.46
3559.00,94.47
3558.00,94.47
3557.00,94.47
3556.00,94.46
3555.00,94.45
3554.00,94.44
3553.00,94.43
3552.00,94.41
3551.00,94.40
3550.00,94.38
3549.00,94.37
3548.00,94.37
3547.00,94.37
3546.00,94.37
3545.00,94.36
3544.00,94.35
3543.00,94.35
3542.00,94.35
3541.00,94.35
3540.00,94.35
3539.00,94.35
3538.00,94.38
3537.00,94.41
3536.00,94.44
3535.00,94.45
3534.00,94.45
3533.00,94.43
3532.00,94.40
3531.00,94.38
3530.00,94.38
3529.00,94.39
3528.00,94.41
3527.00,94.42
3526.00,94.43
3525.00,94.45
3524.00,94.46
3523.00,94.47
3522.00,94.48
3521.00,94.48
3520.00,94.49
3519.00,94.49
3518.00,94.49
3517.00,94.48
3516.00,94.47
3515.00,94.45
3514.00,94.44
3513.00,94.43
3512.00,94.42
3511.00,94.42
3510.00,94.43
3509.00,94.44
3508.00,94.46
3507.00,94.48
3506.00,94.49
3505.00,94.50
3504.00,94.49
3503.00,94.48
3502.00,94.45
3501.00,94.43
3500.00,94.42
3499.00,94.42
3498.00,94.43
3497.00,94.44
3496.00,94.43
3495.00,94.42
3494.00,94.41
3493.00,94.41
3492.00,94.42
3491.00,94.43
3490.00,94.44
