Created as New Dataset,67. Modacrylic Waxman Dyed
cm-1,%T
4000.00,99.56
3999.00,99.54
3998.00,99.52
3997.00,99.51
3996.00,99.51
3995.00,99.51
3994.00,99.52
3993.00,99.53
3992.00,99.54
3991.00,99.55
3990.00,99.55
3989.00,99.56
3988.00,99.57
3987.00,99.57
3986.00,99.57
3985.00,99.57
3984.00,99.56
3983.00,99.56
3982.00,99.56
3981.00,99.56
3980.00,99.55
3979.00,99.54
3978.00,99.53
3977.00,99.51
3976.00,99.49
3975.00,99.49
3974.00,99.50
3973.00,99.52
3972.00,99.53
3971.00,99.54
3970.00,99.54
3969.00,99.55
3968.00,99.56
3967.00,99.57
3966.00,99.57
3965.00,99.56
3964.00,99.55
3963.00,99.55
3962.00,99.55
3961.00,99.57
3960.00,99.58
3959.00,99.59
3958.00,99.58
3957.00,99.57
3956.00,99.56
3955.00,99.56
3954.00,99.56
3953.00,99.57
3952.00,99.57
3951.00,99.56
3950.00,99.55
3949.00,99.54
3948.00,99.53
3947.00,99.52
3946.00,99.51
3945.00,99.50
3944.00,99.51
3943.00,99.52
3942.00,99.53
3941.00,99.54
3940.00,99.54
3939.00,99.54
3938.00,99.53
3937.00,99.53
3936.00,99.53
3935.00,99.53
3934.00,99.52
3933.00,99.51
3932.00,99.50
3931.00,99.50
3930.00,99.51
3929.00,99.52
3928.00,99.54
3927.00,99.55
3926.00,99.55
3925.00,99.55
3924.00,99.54
3923.00,99.53
3922.00,99.53
3921.00,99.53
3920.00,99.53
3919.00,99.53
3918.00,99.52
3917.00,99.51
3916.00,99.51
3915.00,99.51
3914.00,99.51
3913.00,99.51
3912.00,99.52
3911.00,99.53
3910.00,99.55
3909.00,99.56
3908.00,99.57
3907.00,99.57
3906.00,99.55
3905.00,99.53
3904.00,99.50
3903.00,99.48
3902.00,99.46
3901.00,99.46
3900.00,99.47
3899.00,99.48
3898.00,99.49
3897.00,99.50
3896.00,99.51
3895.00,99.52
3894.00,99.53
3893.00,99.54
3892.00,99.55
3891.00,99.56
3890.00,99.55
3889.00,99.52
3888.00,99.50
3887.00,99.49
3886.00,99.48
3885.00,99.48
3884.00,99.49
3883.00,99.50
3882.00,99.52
3881.00,99.54
3880.00,99.56
3879.00,99.57
3878.00,99.56
3877.00,99.53
3876.00,99.51
3875.00,99.49
3874.00,99.47
3873.00,99.48
3872.00,99.49
3871.00,99.51
3870.00,99.52
3869.00,99.54
3868.00,99.56
3867.00,99.59
3866.00,99.60
3865.00,99.59
3864.00,99.58
3863.00,99.56
3862.00,99.56
3861.00,99.57
3860.00,99.57
3859.00,99.57
3858.00,99.56
3857.00,99.56
3856.00,99.57
3855.00,99.60
3854.00,99.62
3853.00,99.64
3852.00,99.65
3851.00,99.65
3850.00,99.64
3849.00,99.62
3848.00,99.59
3847.00,99.57
3846.00,99.55
3845.00,99.54
3844.00,99.54
3843.00,99.54
3842.00,99.55
3841.00,99.56
3840.00,99.59
3839.00,99.62
3838.00,99.65
3837.00,99.66
3836.00,99.66
3835.00,99.64
3834.00,99.62
3833.00,99.60
3832.00,99.59
3831.00,99.58
3830.00,99.57
3829.00,99.55
3828.00,99.54
3827.00,99.54
3826.00,99.53
3825.00,99.53
3824.00,99.53
3823.00,99.54
3822.00,99.55
3821.00,99.57
3820.00,99.58
