Created as New Dataset,72 Waxman Fibers
cm-1,%T
4000.00,100.63
3999.00,100.63
3998.00,100.64
3997.00,100.64
3996.00,100.63
3995.00,100.61
3994.00,100.59
3993.00,100.58
3992.00,100.57
3991.00,100.57
3990.00,100.57
3989.00,100.56
3988.00,100.55
3987.00,100.55
3986.00,100.57
3985.00,100.59
3984.00,100.61
3983.00,100.63
3982.00,100.63
3981.00,100.63
3980.00,100.63
3979.00,100.64
3978.00,100.64
3977.00,100.63
3976.00,100.62
3975.00,100.61
3974.00,100.60
3973.00,100.60
3972.00,100.61
3971.00,100.62
3970.00,100.63
3969.00,100.64
3968.00,100.63
3967.00,100.62
3966.00,100.59
3965.00,100.57
3964.00,100.56
3963.00,100.57
3962.00,100.58
3961.00,100.60
3960.00,100.60
3959.00,100.61
3958.00,100.62
3957.00,100.63
3956.00,100.64
3955.00,100.63
3954.00,100.62
3953.00,100.60
3952.00,100.59
3951.00,100.58
3950.00,100.59
3949.00,100.60
3948.00,100.62
3947.00,100.63
3946.00,100.63
3945.00,100.63
3944.00,100.63
3943.00,100.62
3942.00,100.61
3941.00,100.60
3940.00,100.59
3939.00,100.59
3938.00,100.58
3937.00,100.58
3936.00,100.58
3935.00,100.56
3934.00,100.54
3933.00,100.51
3932.00,100.50
3931.00,100.50
3930.00,100.51
3929.00,100.51
3928.00,100.51
3927.00,100.50
3926.00,100.50
3925.00,100.51
3924.00,100.52
3923.00,100.53
3922.00,100.54
3921.00,100.54
3920.00,100.55
3919.00,100.56
3918.00,100.57
3917.00,100.58
3916.00,100.58
3915.00,100.58
3914.00,100.56
3913.00,100.55
3912.00,100.55
3911.00,100.54
3910.00,100.54
3909.00,100.53
3908.00,100.53
3907.00,100.53
3906.00,100.54
3905.00,100.57
3904.00,100.59
3903.00,100.60
3902.00,100.60
3901.00,100.62
3900.00,100.64
3899.00,100.66
3898.00,100.67
3897.00,100.65
3896.00,100.62
3895.00,100.60
3894.00,100.58
3893.00,100.57
3892.00,100.59
3891.00,100.61
3890.00,100.62
3889.00,100.61
3888.00,100.59
3887.00,100.59
3886.00,100.59
3885.00,100.58
3884.00,100.55
3883.00,100.52
3882.00,100.50
3881.00,100.50
3880.00,100.52
3879.00,100.53
3878.00,100.53
3877.00,100.51
3876.00,100.51
3875.00,100.53
3874.00,100.53
3873.00,100.51
3872.00,100.48
3871.00,100.47
3870.00,100.49
3869.00,100.51
3868.00,100.50
3867.00,100.49
3866.00,100.49
3865.00,100.52
3864.00,100.55
3863.00,100.56
3862.00,100.55
3861.00,100.53
3860.00,100.51
3859.00,100.50
3858.00,100.52
3857.00,100.54
3856.00,100.56
3855.00,100.59
3854.00,100.60
3853.00,100.58
3852.00,100.55
3851.00,100.52
3850.00,100.52
3849.00,100.52
3848.00,100.53
3847.00,100.53
3846.00,100.53
3845.00,100.54
3844.00,100.57
3843.00,100.61
3842.00,100.64
3841.00,100.65
3840.00,100.64
3839.00,100.61
3838.00,100.56
3837.00,100.53
3836.00,100.51
3835.00,100.50
3834.00,100.51
3833.00,100.52
3832.00,100.53
3831.00,100.52
3830.00,100.49
3829.00,100.46
3828.00,100.45
3827.00,100.46
3826.00,100.47
3825.00,100.47
3824.00,100.45
3823.00,100.45
3822.00,100.47
3821.00,100.50
3820.00,100.50
3819.00,100.48
3818.00,100.47
3817.00,100.48
3816.00,100.48
3815.00,100.45
3814.00,100.42
3813.00,100.39
3812.00,100.39
3811.00,100.39
3810.00,100.39
3809.00,100.41
3808.00,100.44
3807.00,100.49
3806.00,100.51
3805.00,100.51
3804.00,100.50
3803.00,100.51
3802.00,100.53
3801.00,100.53
3800.00,100.49
3799.00,100.45
3798.00,100.42
3797.00,100.41
3796.00,100.41
3795.00,100.41
3794.00,100.40
3793.00,100.39
3792.00,100.38
3791.00,100.39
3790.00,100.40
3789.00,100.42
3788.00,100.42
3787.00,100.41
3786.00,100.40
3785.00,100.39
3784.00,100.39
3783.00,100.38
3782.00,100.37
3781.00,100.37
3780.00,100.39
3779.00,100.40
3778.00,100.41
3777.00,100.40
3776.00,100.39
3775.00,100.36
3774.00,100.33
3773.00,100.31
3772.00,100.30
3771.00,100.32
3770.00,100.35
3769.00,100.37
3768.00,100.37
3767.00,100.36
3766.00,100.35
3765.00,100.33
3764.00,100.30
3763.00,100.28
3762.00,100.27
3761.00,100.28
3760.00,100.30
3759.00,100.31
3758.00,100.32
3757.00,100.34
3756.00,100.35
3755.00,100.36
3754.00,100.38
3753.00,100.40
3752.00,100.41
3751.00,100.41
3750.00,100.41
3749.00,100.41
3748.00,100.38
3747.00,100.33
3746.00,100.31
3745.00,100.32
3744.00,100.33
3743.00,100.33
3742.00,100.32
3741.00,100.32
3740.00,100.33
3739.00,100.34
3738.00,100.36
3737.00,100.38
3736.00,100.40
3735.00,100.38
3734.00,100.36
3733.00,100.35
3732.00,100.36
3731.00,100.37
3730.00,100.36
3729.00,100.35
3728.00,100.34
3727.00,100.33
3726.00,100.31
3725.00,100.27
3724.00,100.23
3723.00,100.20
3722.00,100.19
3721.00,100.20
3720.00,100.22
3719.00,100.25
3718.00,100.27
3717.00,100.29
3716.00,100.30
3715.00,100.30
3714.00,100.31
3713.00,100.33
3712.00,100.32
3711.00,100.30
3710.00,100.26
3709.00,100.24
3708.00,100.23
3707.00,100.23
3706.00,100.22
3705.00,100.20
3704.00,100.19
3703.00,100.18
3702.00,100.18
