Created as New Dataset,68 Waxman (Black)
cm-1,%T
4000.00,95.80
3999.00,95.81
3998.00,95.81
3997.00,95.81
3996.00,95.81
3995.00,95.79
3994.00,95.77
3993.00,95.76
3992.00,95.75
3991.00,95.74
3990.00,95.74
3989.00,95.73
3988.00,95.72
3987.00,95.71
3986.00,95.71
3985.00,95.71
3984.00,95.72
3983.00,95.72
3982.00,95.72
3981.00,95.73
3980.00,95.74
3979.00,95.75
3978.00,95.75
3977.00,95.76
3976.00,95.76
3975.00,95.76
3974.00,95.75
3973.00,95.75
3972.00,95.75
3971.00,95.75
3970.00,95.76
3969.00,95.76
3968.00,95.75
3967.00,95.73
3966.00,95.72
3965.00,95.72
3964.00,95.74
3963.00,95.76
3962.00,95.79
3961.00,95.80
3960.00,95.81
3959.00,95.82
3958.00,95.83
3957.00,95.84
3956.00,95.83
3955.00,95.82
3954.00,95.80
3953.00,95.78
3952.00,95.77
3951.00,95.76
3950.00,95.75
3949.00,95.75
3948.00,95.74
3947.00,95.74
3946.00,95.74
3945.00,95.74
3944.00,95.74
3943.00,95.74
3942.00,95.75
3941.00,95.76
3940.00,95.77
3939.00,95.78
3938.00,95.79
3937.00,95.79
3936.00,95.79
3935.00,95.77
3934.00,95.75
3933.00,95.72
3932.00,95.71
3931.00,95.71
3930.00,95.72
3929.00,95.73
3928.00,95.73
3927.00,95.73
3926.00,95.72
3925.00,95.71
3924.00,95.69
3923.00,95.67
3922.00,95.65
3921.00,95.65
3920.00,95.66
3919.00,95.68
3918.00,95.70
3917.00,95.72
3916.00,95.73
3915.00,95.72
3914.00,95.72
3913.00,95.73
3912.00,95.74
3911.00,95.75
3910.00,95.76
3909.00,95.75
3908.00,95.75
3907.00,95.74
3906.00,95.74
3905.00,95.75
3904.00,95.76
3903.00,95.76
3902.00,95.75
3901.00,95.74
3900.00,95.75
3899.00,95.76
3898.00,95.76
3897.00,95.75
3896.00,95.74
3895.00,95.72
3894.00,95.71
3893.00,95.71
3892.00,95.72
3891.00,95.73
3890.00,95.74
3889.00,95.74
3888.00,95.74
3887.00,95.75
3886.00,95.76
3885.00,95.77
3884.00,95.75
3883.00,95.73
3882.00,95.71
3881.00,95.71
3880.00,95.71
3879.00,95.71
3878.00,95.71
3877.00,95.70
3876.00,95.71
3875.00,95.72
3874.00,95.72
3873.00,95.70
3872.00,95.67
3871.00,95.66
3870.00,95.68
3869.00,95.68
3868.00,95.67
3867.00,95.66
3866.00,95.66
3865.00,95.68
3864.00,95.70
3863.00,95.71
3862.00,95.72
3861.00,95.72
3860.00,95.71
3859.00,95.71
3858.00,95.72
3857.00,95.73
3856.00,95.76
3855.00,95.80
3854.00,95.81
3853.00,95.79
3852.00,95.75
3851.00,95.71
3850.00,95.68
3849.00,95.67
3848.00,95.66
3847.00,95.65
3846.00,95.66
3845.00,95.68
3844.00,95.72
3843.00,95.76
3842.00,95.79
3841.00,95.80
3840.00,95.79
3839.00,95.75
3838.00,95.71
3837.00,95.67
3836.00,95.65
3835.00,95.64
3834.00,95.64
3833.00,95.64
3832.00,95.63
3831.00,95.63
3830.00,95.64
3829.00,95.65
3828.00,95.66
3827.00,95.67
3826.00,95.68
3825.00,95.68
3824.00,95.68
3823.00,95.68
3822.00,95.69
3821.00,95.70
3820.00,95.69
3819.00,95.67
3818.00,95.65
3817.00,95.64
3816.00,95.63
3815.00,95.61
3814.00,95.59
3813.00,95.58
3812.00,95.59
3811.00,95.59
3810.00,95.60
3809.00,95.61
3808.00,95.63
3807.00,95.66
3806.00,95.67
3805.00,95.67
3804.00,95.66
3803.00,95.68
3802.00,95.69
3801.00,95.68
3800.00,95.64
3799.00,95.60
3798.00,95.58
3797.00,95.58
3796.00,95.59
3795.00,95.58
3794.00,95.56
3793.00,95.54
3792.00,95.53
3791.00,95.53
3790.00,95.54
3789.00,95.54
3788.00,95.53
3787.00,95.52
3786.00,95.51
3785.00,95.50
3784.00,95.51
