Created as New Dataset,61 Monsanto
cm-1,%T
4000.00,100.85
3999.00,100.85
3998.00,100.84
3997.00,100.83
3996.00,100.80
3995.00,100.78
3994.00,100.77
3993.00,100.76
3992.00,100.76
3991.00,100.76
3990.00,100.76
3989.00,100.78
3988.00,100.79
3987.00,100.80
3986.00,100.81
3985.00,100.81
3984.00,100.79
3983.00,100.78
3982.00,100.77
3981.00,100.76
3980.00,100.75
3979.00,100.74
3978.00,100.73
3977.00,100.74
3976.00,100.76
3975.00,100.77
3974.00,100.77
3973.00,100.78
3972.00,100.78
3971.00,100.80
3970.00,100.82
3969.00,100.83
3968.00,100.84
3967.00,100.84
3966.00,100.85
3965.00,100.84
3964.00,100.81
3963.00,100.78
3962.00,100.77
3961.00,100.77
3960.00,100.79
3959.00,100.81
3958.00,100.81
3957.00,100.80
3956.00,100.80
3955.00,100.81
3954.00,100.82
3953.00,100.83
3952.00,100.84
3951.00,100.83
3950.00,100.82
3949.00,100.80
3948.00,100.78
3947.00,100.77
3946.00,100.78
3945.00,100.79
3944.00,100.79
3943.00,100.79
3942.00,100.78
3941.00,100.77
3940.00,100.76
3939.00,100.76
3938.00,100.77
3937.00,100.79
3936.00,100.80
3935.00,100.80
3934.00,100.81
3933.00,100.80
3932.00,100.79
3931.00,100.78
3930.00,100.76
3929.00,100.76
3928.00,100.76
3927.00,100.77
3926.00,100.77
3925.00,100.76
3924.00,100.75
3923.00,100.73
3922.00,100.71
3921.00,100.69
3920.00,100.69
3919.00,100.69
3918.00,100.71
3917.00,100.73
3916.00,100.76
3915.00,100.78
3914.00,100.79
3913.00,100.79
3912.00,100.79
3911.00,100.79
3910.00,100.79
3909.00,100.77
3908.00,100.76
3907.00,100.74
3906.00,100.72
3905.00,100.72
3904.00,100.73
3903.00,100.75
3902.00,100.75
3901.00,100.74
3900.00,100.72
3899.00,100.72
3898.00,100.74
3897.00,100.76
3896.00,100.78
3895.00,100.80
3894.00,100.80
3893.00,100.81
3892.00,100.81
3891.00,100.81
3890.00,100.81
3889.00,100.79
3888.00,100.76
3887.00,100.74
3886.00,100.73
3885.00,100.74
3884.00,100.74
3883.00,100.73
3882.00,100.71
3881.00,100.70
3880.00,100.69
3879.00,100.69
3878.00,100.68
3877.00,100.68
3876.00,100.68
3875.00,100.70
3874.00,100.72
3873.00,100.73
3872.00,100.73
3871.00,100.72
3870.00,100.72
3869.00,100.72
3868.00,100.71
3867.00,100.70
3866.00,100.69
3865.00,100.69
3864.00,100.71
3863.00,100.73
3862.00,100.75
3861.00,100.77
3860.00,100.79
3859.00,100.80
3858.00,100.79
3857.00,100.77
3856.00,100.73
3855.00,100.69
3854.00,100.67
3853.00,100.67
3852.00,100.67
3851.00,100.66
3850.00,100.66
3849.00,100.68
3848.00,100.71
3847.00,100.73
3846.00,100.74
3845.00,100.76
3844.00,100.77
3843.00,100.78
3842.00,100.78
3841.00,100.75
3840.00,100.71
3839.00,100.66
3838.00,100.63
3837.00,100.61
3836.00,100.61
3835.00,100.61
3834.00,100.63
3833.00,100.65
3832.00,100.68
3831.00,100.71
3830.00,100.74
3829.00,100.75
3828.00,100.75
3827.00,100.75
3826.00,100.75
3825.00,100.75
3824.00,100.73
3823.00,100.69
3822.00,100.66
3821.00,100.64
3820.00,100.62
3819.00,100.60
3818.00,100.58
3817.00,100.58
3816.00,100.61
3815.00,100.63
3814.00,100.65
3813.00,100.65
3812.00,100.67
3811.00,100.70
3810.00,100.71
3809.00,100.71
