Created as New Dataset,66 Union Carbide Chemicals
cm-1,%T
4000.00,98.19
3999.00,98.18
3998.00,98.17
3997.00,98.16
3996.00,98.15
3995.00,98.14
3994.00,98.14
3993.00,98.13
3992.00,98.11
3991.00,98.10
3990.00,98.08
3989.00,98.07
3988.00,98.07
3987.00,98.08
3986.00,98.08
3985.00,98.08
3984.00,98.08
3983.00,98.08
3982.00,98.08
3981.00,98.08
3980.00,98.09
3979.00,98.10
3978.00,98.11
3977.00,98.12
3976.00,98.12
3975.00,98.13
3974.00,98.14
3973.00,98.15
3972.00,98.15
3971.00,98.15
3970.00,98.14
3969.00,98.14
3968.00,98.14
3967.00,98.14
3966.00,98.13
3965.00,98.12
3964.00,98.10
3963.00,98.10
3962.00,98.10
3961.00,98.12
3960.00,98.15
3959.00,98.17
3958.00,98.17
3957.00,98.16
3956.00,98.15
3955.00,98.14
3954.00,98.14
3953.00,98.15
3952.00,98.16
3951.00,98.17
3950.00,98.16
3949.00,98.16
3948.00,98.16
3947.00,98.16
3946.00,98.16
3945.00,98.16
3944.00,98.14
3943.00,98.12
3942.00,98.11
3941.00,98.12
3940.00,98.14
3939.00,98.16
3938.00,98.17
3937.00,98.16
3936.00,98.16
3935.00,98.15
3934.00,98.14
3933.00,98.14
3932.00,98.15
3931.00,98.17
3930.00,98.19
3929.00,98.21
3928.00,98.22
3927.00,98.20
3926.00,98.18
3925.00,98.15
3924.00,98.14
3923.00,98.15
3922.00,98.16
3921.00,98.18
3920.00,98.18
3919.00,98.18
3918.00,98.18
3917.00,98.17
3916.00,98.15
3915.00,98.14
3914.00,98.12
3913.00,98.10
3912.00,98.09
3911.00,98.09
3910.00,98.10
3909.00,98.10
3908.00,98.11
3907.00,98.12
3906.00,98.14
3905.00,98.15
3904.00,98.16
3903.00,98.19
3902.00,98.23
3901.00,98.27
3900.00,98.29
3899.00,98.29
3898.00,98.27
3897.00,98.22
3896.00,98.17
3895.00,98.13
3894.00,98.10
3893.00,98.10
3892.00,98.11
3891.00,98.15
3890.00,98.19
3889.00,98.23
3888.00,98.23
3887.00,98.20
3886.00,98.16
3885.00,98.13
3884.00,98.14
3883.00,98.17
3882.00,98.18
3881.00,98.18
3880.00,98.16
3879.00,98.16
3878.00,98.16
3877.00,98.17
3876.00,98.17
3875.00,98.17
3874.00,98.18
3873.00,98.20
3872.00,98.21
3871.00,98.21
3870.00,98.20
3869.00,98.20
3868.00,98.22
3867.00,98.24
3866.00,98.23
3865.00,98.21
3864.00,98.18
3863.00,98.17
3862.00,98.17
3861.00,98.17
3860.00,98.18
3859.00,98.19
3858.00,98.21
3857.00,98.26
3856.00,98.32
3855.00,98.38
3854.00,98.40
3853.00,98.40
3852.00,98.42
3851.00,98.42
3850.00,98.38
3849.00,98.29
3848.00,98.21
3847.00,98.15
3846.00,98.13
3845.00,98.12
3844.00,98.13
3843.00,98.14
3842.00,98.15
3841.00,98.17
3840.00,98.19
3839.00,98.21
3838.00,98.21
3837.00,98.21
3836.00,98.20
3835.00,98.18
3834.00,98.15
3833.00,98.12
3832.00,98.09
3831.00,98.08
3830.00,98.09
3829.00,98.10
3828.00,98.10
3827.00,98.08
3826.00,98.06
3825.00,98.06
3824.00,98.07
3823.00,98.08
3822.00,98.09
3821.00,98.10
3820.00,98.12
3819.00,98.15
3818.00,98.15
3817.00,98.14
3816.00,98.12
3815.00,98.12
3814.00,98.12
3813.00,98.11
3812.00,98.09
3811.00,98.07
3810.00,98.07
3809.00,98.07
3808.00,98.06
3807.00,98.04
3806.00,98.04
3805.00,98.05
3804.00,98.06
3803.00,98.07
3802.00,98.07
3801.00,98.08
3800.00,98.11
3799.00,98.12
3798.00,98.10
3797.00,98.06
3796.00,98.03
3795.00,98.01
3794.00,98.01
3793.00,98.01
3792.00,97.99
3791.00,97.97
3790.00,97.96
3789.00,97.95
3788.00,97.95
3787.00,97.93
3786.00,97.91
3785.00,97.89
3784.00,97.89
3783.00,97.91
3782.00,97.93
3781.00,97.95
3780.00,97.96
3779.00,97.95
3778.00,97.94
3777.00,97.93
3776.00,97.92
3775.00,97.91
3774.00,97.92
3773.00,97.94
3772.00,97.96
3771.00,97.95
3770.00,97.93
3769.00,97.91
3768.00,97.91
3767.00,97.91
3766.00,97.91
3765.00,97.92
3764.00,97.93
3763.00,97.93
3762.00,97.92
3761.00,97.88
3760.00,97.85
3759.00,97.83
3758.00,97.83
3757.00,97.86
3756.00,97.90
3755.00,97.94
3754.00,98.00
3753.00,98.04
3752.00,98.06
3751.00,98.07
3750.00,98.10
3749.00,98.16
3748.00,98.23
3747.00,98.26
3746.00,98.23
3745.00,98.14
3744.00,98.05
3743.00,98.01
3742.00,98.01
3741.00,98.00
3740.00,97.99
3739.00,98.00
3738.00,98.04
3737.00,98.07
3736.00,98.08
3735.00,98.07
3734.00,98.05
3733.00,98.03
3732.00,98.01
3731.00,97.99
3730.00,97.96
3729.00,97.94
3728.00,97.91
3727.00,97.90
3726.00,97.90
3725.00,97.90
3724.00,97.90
3723.00,97.88
3722.00,97.86
3721.00,97.85
3720.00,97.84
3719.00,97.82
3718.00,97.79
3717.00,97.77
3716.00,97.76
3715.00,97.79
3714.00,97.84
3713.00,97.89
3712.00,97.91
3711.00,97.91
3710.00,97.91
3709.00,97.90
3708.00,97.88
3707.00,97.85
3706.00,97.81
3705.00,97.79
3704.00,97.76
3703.00,97.74
3702.00,97.72
3701.00,97.71
3700.00,97.71
3699.00,97.73
3698.00,97.74
3697.00,97.74
3696.00,97.75
3695.00,97.78
3694.00,97.82
3693.00,97.86
3692.00,97.90
3691.00,97.91
3690.00,97.91
3689.00,97.89
3688.00,97.87
3687.00,97.85
3686.00,97.83
3685.00,97.79
3684.00,97.75
3683.00,97.72
3682.00,97.71
3681.00,97.72
3680.00,97.74
3679.00,97.77
3678.00,97.81
3677.00,97.83
3676.00,97.82
3675.00,97.81
3674.00,97.82
3673.00,97.84
3672.00,97.83
3671.00,97.79
3670.00,97.74
3669.00,97.71
3668.00,97.69
3667.00,97.67
3666.00,97.64
3665.00,97.59
3664.00,97.56
3663.00,97.55
3662.00,97.55
3661.00,97.55
3660.00,97.57
3659.00,97.58
3658.00,97.59
3657.00,97.58
3656.00,97.57
3655.00,97.58
3654.00,97.60
3653.00,97.63
3652.00,97.66
3651.00,97.68
3650.00,97.65
3649.00,97.61
3648.00,97.57
3647.00,97.55
3646.00,97.53
3645.00,97.52
3644.00,97.50
3643.00,97.48
3642.00,97.46
3641.00,97.43
3640.00,97.41
3639.00,97.39
3638.00,97.39
3637.00,97.41
3636.00,97.43
3635.00,97.46
3634.00,97.48
3633.00,97.51
3632.00,97.56
3631.00,97.61
3630.00,97.65
3629.00,97.66
3628.00,97.67
3627.00,97.69
3626.00,97.70
3625.00,97.68
3624.00,97.65
3623.00,97.61
3622.00,97.58
3621.00,97.56
3620.00,97.53
3619.00,97.52
3618.00,97.53
3617.00,97.56
3616.00,97.60
3615.00,97.63
3614.00,97.63
3613.00,97.59
3612.00,97.55
3611.00,97.52
3610.00,97.51
3609.00,97.51
3608.00,97.52
3607.00,97.53
3606.00,97.56
3605.00,97.58
3604.00,97.59
3603.00,97.59
3602.00,97.60
3601.00,97.61
3600.00,97.63
3599.00,97.63
3598.00,97.62
3597.00,97.61
3596.00,97.60
3595.00,97.61
3594.00,97.62
3593.00,97.63
3592.00,97.65
3591.00,97.67
3590.00,97.69
3589.00,97.70
3588.00,97.69
3587.00,97.67
3586.00,97.67
3585.00,97.68
3584.00,97.66
3583.00,97.63
3582.00,97.59
3581.00,97.55
3580.00,97.54
3579.00,97.55
3578.00,97.57
3577.00,97.59
3576.00,97.58
3575.00,97.56
3574.00,97.53
3573.00,97.52
3572.00,97.52
3571.00,97.55
3570.00,97.58
3569.00,97.61
3568.00,97.62
3567.00,97.61
3566.00,97.61
3565.00,97.60
3564.00,97.59
3563.00,97.56
3562.00,97.55
3561.00,97.54
3560.00,97.55
3559.00,97.55
3558.00,97.55
3557.00,97.54
3556.00,97.55
3555.00,97.56
3554.00,97.57
3553.00,97.57
3552.00,97.57
3551.00,97.57
3550.00,97.58
3549.00,97.57
3548.00,97.56
3547.00,97.53
3546.00,97.51
3545.00,97.50
3544.00,97.50
3543.00,97.50
3542.00,97.50
3541.00,97.48
3540.00,97.45
3539.00,97.42
3538.00,97.39
3537.00,97.37
3536.00,97.38
3535.00,97.41
3534.00,97.44
3533.00,97.46
3532.00,97.47
3531.00,97.47
3530.00,97.46
3529.00,97.45
3528.00,97.44
3527.00,97.44
3526.00,97.43
3525.00,97.44
3524.00,97.44
3523.00,97.45
3522.00,97.45
3521.00,97.45
3520.00,97.46
3519.00,97.48
3518.00,97.50
3517.00,97.53
3516.00,97.55
3515.00,97.54
3514.00,97.52
3513.00,97.49
3512.00,97.47
3511.00,97.46
3510.00,97.46
3509.00,97.46
3508.00,97.46
3507.00,97.47
3506.00,97.47
3505.00,97.47
3504.00,97.46
3503.00,97.44
3502.00,97.43
3501.00,97.42
3500.00,97.43
3499.00,97.44
3498.00,97.46
3497.00,97.47
3496.00,97.46
3495.00,97.45
3494.00,97.44
3493.00,97.44
3492.00,97.45
3491.00,97.48
3490.00,97.50
3489.00,97.51
3488.00,97.51
3487.00,97.50
3486.00,97.49
3485.00,97.46
3484.00,97.44
3483.00,97.43
3482.00,97.45
3481.00,97.47
3480.00,97.50
3479.00,97.52
3478.00,97.53
3477.00,97.52
3476.00,97.51
3475.00,97.48
3474.00,97.47
3473.00,97.47
3472.00,97.49
3471.00,97.52
3470.00,97.53
3469.00,97.52
3468.00,97.50
3467.00,97.48
3466.00,97.47
3465.00,97.47
3464.00,97.48
3463.00,97.48
3462.00,97.50
3461.00,97.51
3460.00,97.51
3459.00,97.51
3458.00,97.49
3457.00,97.48
3456.00,97.46
3455.00,97.45
3454.00,97.44
3453.00,97.43
3452.00,97.43
3451.00,97.43
3450.00,97.46
3449.00,97.49
3448.00,97.51
3447.00,97.50
3446.00,97.48
3445.00,97.45
3444.00,97.43
3443.00,97.43
3442.00,97.44
3441.00,97.45
3440.00,97.47
3439.00,97.49
3438.00,97.50
3437.00,97.51
3436.00,97.51
3435.00,97.49
3434.00,97.49
