Created as New Dataset,58 Eastman Fibres
cm-1,%T
4000.00,99.93
3999.00,99.95
3998.00,99.97
3997.00,99.99
3996.00,100.00
3995.00,100.02
3994.00,100.02
3993.00,100.01
3992.00,100.00
3991.00,99.98
3990.00,99.98
3989.00,99.98
3988.00,99.98
3987.00,99.96
3986.00,99.94
3985.00,99.93
3984.00,99.92
3983.00,99.91
3982.00,99.91
3981.00,99.90
3980.00,99.90
3979.00,99.90
3978.00,99.91
3977.00,99.93
3976.00,99.94
3975.00,99.94
3974.00,99.94
3973.00,99.94
3972.00,99.95
3971.00,99.97
3970.00,99.98
3969.00,99.98
3968.00,99.98
3967.00,99.97
3966.00,99.97
3965.00,99.96
3964.00,99.96
3963.00,99.96
3962.00,99.97
3961.00,99.97
3960.00,99.97
3959.00,99.97
3958.00,99.97
3957.00,99.97
3956.00,99.97
3955.00,99.98
3954.00,99.98
3953.00,99.99
3952.00,99.99
3951.00,99.99
3950.00,99.99
3949.00,100.00
3948.00,100.01
3947.00,100.02
3946.00,100.03
3945.00,100.02
3944.00,99.99
3943.00,99.96
3942.00,99.92
3941.00,99.90
3940.00,99.89
3939.00,99.90
3938.00,99.92
3937.00,99.96
3936.00,99.99
3935.00,100.01
3934.00,100.01
3933.00,99.99
3932.00,99.96
3931.00,99.94
3930.00,99.92
3929.00,99.93
3928.00,99.95
3927.00,99.97
3926.00,99.98
3925.00,99.99
3924.00,100.00
3923.00,100.02
3922.00,100.03
3921.00,100.03
3920.00,100.02
3919.00,99.99
3918.00,99.97
3917.00,99.96
3916.00,99.95
3915.00,99.94
3914.00,99.92
3913.00,99.92
3912.00,99.92
3911.00,99.93
3910.00,99.94
3909.00,99.94
3908.00,99.95
3907.00,99.95
3906.00,99.95
3905.00,99.96
3904.00,99.97
3903.00,99.98
3902.00,99.99
3901.00,100.00
3900.00,100.00
3899.00,100.00
3898.00,100.00
3897.00,100.00
3896.00,100.00
3895.00,100.02
3894.00,100.04
3893.00,100.06
3892.00,100.07
3891.00,100.07
3890.00,100.07
3889.00,100.08
3888.00,100.08
3887.00,100.07
3886.00,100.06
3885.00,100.05
3884.00,100.03
3883.00,100.02
3882.00,100.01
3881.00,100.01
3880.00,100.01
3879.00,100.01
3878.00,100.01
3877.00,100.00
3876.00,100.00
3875.00,99.99
3874.00,99.98
3873.00,99.97
3872.00,99.96
3871.00,99.97
3870.00,100.00
3869.00,100.02
3868.00,100.03
3867.00,100.03
3866.00,100.02
3865.00,100.03
3864.00,100.02
3863.00,100.00
3862.00,99.99
3861.00,99.99
3860.00,100.00
3859.00,100.02
3858.00,100.05
3857.00,100.10
3856.00,100.16
3855.00,100.22
3854.00,100.24
3853.00,100.25
3852.00,100.26
3851.00,100.25
3850.00,100.23
3849.00,100.20
3848.00,100.16
3847.00,100.13
3846.00,100.10
3845.00,100.09
3844.00,100.08
3843.00,100.08
3842.00,100.08
3841.00,100.07
3840.00,100.06
3839.00,100.06
3838.00,100.06
3837.00,100.07
3836.00,100.09
3835.00,100.09
3834.00,100.09
3833.00,100.07
3832.00,100.06
3831.00,100.06
3830.00,100.05
3829.00,100.05
3828.00,100.03
3827.00,100.01
3826.00,99.99
3825.00,99.98
3824.00,100.00
