Created as New Dataset,61 Modacrylic Monsanto Elura USA Brown. PAN +VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
cm-1,%T
4000.00,97.92
3999.00,97.90
3998.00,97.89
3997.00,97.88
3996.00,97.88
3995.00,97.89
3994.00,97.91
3993.00,97.93
3992.00,97.94
3991.00,97.94
3990.00,97.94
3989.00,97.93
3988.00,97.92
3987.00,97.91
3986.00,97.90
3985.00,97.90
3984.00,97.90
3983.00,97.90
3982.00,97.90
3981.00,97.91
3980.00,97.91
3979.00,97.92
3978.00,97.93
3977.00,97.95
3976.00,97.97
3975.00,97.98
3974.00,97.97
3973.00,97.96
3972.00,97.94
3971.00,97.93
3970.00,97.91
3969.00,97.91
3968.00,97.92
3967.00,97.94
3966.00,97.95
3965.00,97.96
3964.00,97.94
3963.00,97.91
3962.00,97.89
3961.00,97.87
3960.00,97.87
3959.00,97.88
3958.00,97.90
3957.00,97.92
3956.00,97.92
3955.00,97.92
3954.00,97.91
3953.00,97.90
3952.00,97.88
3951.00,97.87
3950.00,97.85
3949.00,97.84
3948.00,97.84
3947.00,97.85
3946.00,97.86
3945.00,97.86
3944.00,97.86
3943.00,97.86
3942.00,97.87
3941.00,97.87
3940.00,97.87
3939.00,97.88
3938.00,97.90
3937.00,97.90
3936.00,97.91
3935.00,97.90
3934.00,97.88
3933.00,97.87
3932.00,97.86
3931.00,97.87
3930.00,97.88
3929.00,97.90
3928.00,97.92
3927.00,97.93
3926.00,97.93
3925.00,97.94
3924.00,97.95
3923.00,97.95
3922.00,97.94
3921.00,97.94
3920.00,97.92
3919.00,97.91
3918.00,97.90
3917.00,97.89
3916.00,97.89
3915.00,97.90
3914.00,97.91
3913.00,97.92
3912.00,97.94
3911.00,97.95
3910.00,97.95
3909.00,97.94
3908.00,97.92
3907.00,97.90
3906.00,97.88
3905.00,97.88
3904.00,97.86
3903.00,97.82
3902.00,97.76
3901.00,97.74
3900.00,97.76
3899.00,97.81
3898.00,97.85
3897.00,97.88
3896.00,97.89
3895.00,97.89
3894.00,97.88
3893.00,97.88
3892.00,97.89
3891.00,97.90
3890.00,97.89
3889.00,97.86
3888.00,97.82
3887.00,97.82
3886.00,97.85
3885.00,97.88
3884.00,97.87
3883.00,97.84
3882.00,97.83
3881.00,97.84
3880.00,97.86
3879.00,97.87
3878.00,97.86
3877.00,97.85
3876.00,97.85
3875.00,97.88
3874.00,97.89
3873.00,97.87
3872.00,97.84
3871.00,97.83
3870.00,97.85
3869.00,97.84
3868.00,97.80
3867.00,97.76
3866.00,97.75
3865.00,97.78
3864.00,97.80
3863.00,97.81
3862.00,97.81
3861.00,97.82
3860.00,97.85
3859.00,97.88
3858.00,97.90
3857.00,97.89
3856.00,97.86
3855.00,97.86
3854.00,97.87
3853.00,97.87
3852.00,97.83
3851.00,97.80
3850.00,97.79
3849.00,97.80
3848.00,97.80
3847.00,97.80
3846.00,97.80
3845.00,97.81
3844.00,97.84
3843.00,97.88
3842.00,97.91
3841.00,97.92
3840.00,97.92
3839.00,97.90
3838.00,97.88
3837.00,97.85
3836.00,97.82
3835.00,97.80
3834.00,97.78
3833.00,97.77
3832.00,97.77
3831.00,97.78
3830.00,97.79
3829.00,97.80
3828.00,97.82
3827.00,97.85
3826.00,97.87
3825.00,97.87
3824.00,97.85
3823.00,97.84
3822.00,97.84
3821.00,97.84
3820.00,97.82
3819.00,97.78
3818.00,97.74
3817.00,97.75
3816.00,97.77
3815.00,97.78
3814.00,97.77
3813.00,97.78
3812.00,97.81
3811.00,97.84
3810.00,97.84
3809.00,97.84
3808.00,97.84
3807.00,97.87
3806.00,97.88
3805.00,97.86
3804.00,97.83
3803.00,97.82
3802.00,97.84
3801.00,97.86
3800.00,97.83
3799.00,97.79
3798.00,97.76
3797.00,97.76
3796.00,97.77
3795.00,97.78
3794.00,97.77
3793.00,97.78
3792.00,97.80
3791.00,97.82
3790.00,97.83
3789.00,97.82
3788.00,97.80
3787.00,97.79
3786.00,97.78
3785.00,97.79
3784.00,97.80
3783.00,97.80
3782.00,97.80
3781.00,97.78
3780.00,97.77
3779.00,97.76
3778.00,97.74
3777.00,97.72
3776.00,97.74
3775.00,97.77
3774.00,97.80
3773.00,97.81
3772.00,97.80
3771.00,97.79
3770.00,97.78
3769.00,97.76
3768.00,97.74
3767.00,97.72
3766.00,97.72
3765.00,97.73
3764.00,97.73
3763.00,97.71
3762.00,97.69
3761.00,97.69
3760.00,97.70
3759.00,97.72
3758.00,97.74
3757.00,97.76
3756.00,97.78
3755.00,97.78
3754.00,97.77
3753.00,97.76
3752.00,97.74
3751.00,97.73
3750.00,97.74
3749.00,97.75
3748.00,97.75
3747.00,97.73
3746.00,97.73
3745.00,97.77
3744.00,97.79
3743.00,97.77
3742.00,97.73
3741.00,97.72
3740.00,97.73
3739.00,97.73
3738.00,97.71
3737.00,97.70
3736.00,97.69
3735.00,97.68
3734.00,97.67
3733.00,97.67
3732.00,97.68
3731.00,97.69
3730.00,97.67
3729.00,97.65
3728.00,97.64
3727.00,97.64
3726.00,97.63
3725.00,97.60
3724.00,97.58
3723.00,97.57
3722.00,97.59
3721.00,97.61
3720.00,97.64
3719.00,97.66
3718.00,97.67
3717.00,97.68
3716.00,97.67
3715.00,97.66
3714.00,97.66
3713.00,97.69
3712.00,97.72
3711.00,97.73
3710.00,97.72
3709.00,97.72
3708.00,97.72
3707.00,97.73
3706.00,97.73
3705.00,97.72
3704.00,97.70
3703.00,97.70
3702.00,97.69
3701.00,97.69
