Created as New Dataset,62 Modacrylic Snia Velicren FR Italy
cm-1,%T
4000.00,100.30
3999.00,100.29
3998.00,100.27
3997.00,100.25
3996.00,100.25
3995.00,100.25
3994.00,100.26
3993.00,100.26
3992.00,100.25
3991.00,100.24
3990.00,100.24
3989.00,100.24
3988.00,100.26
3987.00,100.27
3986.00,100.28
3985.00,100.27
3984.00,100.26
3983.00,100.25
3982.00,100.24
3981.00,100.25
3980.00,100.26
3979.00,100.28
3978.00,100.29
3977.00,100.29
3976.00,100.28
3975.00,100.27
3974.00,100.26
3973.00,100.26
3972.00,100.28
3971.00,100.29
3970.00,100.31
3969.00,100.31
3968.00,100.30
3967.00,100.28
3966.00,100.27
3965.00,100.26
3964.00,100.27
3963.00,100.28
3962.00,100.29
3961.00,100.29
3960.00,100.29
3959.00,100.29
3958.00,100.29
3957.00,100.28
3956.00,100.27
3955.00,100.27
3954.00,100.27
3953.00,100.27
3952.00,100.28
3951.00,100.28
3950.00,100.27
3949.00,100.27
3948.00,100.27
3947.00,100.26
3946.00,100.25
3945.00,100.25
3944.00,100.26
3943.00,100.28
3942.00,100.29
3941.00,100.29
3940.00,100.27
3939.00,100.25
3938.00,100.24
3937.00,100.24
3936.00,100.24
3935.00,100.24
3934.00,100.25
3933.00,100.27
3932.00,100.29
3931.00,100.30
3930.00,100.29
3929.00,100.27
3928.00,100.25
3927.00,100.23
3926.00,100.23
3925.00,100.23
3924.00,100.24
3923.00,100.25
3922.00,100.25
3921.00,100.27
3920.00,100.28
3919.00,100.28
3918.00,100.28
3917.00,100.28
3916.00,100.28
3915.00,100.27
3914.00,100.25
3913.00,100.22
3912.00,100.19
3911.00,100.19
3910.00,100.20
3909.00,100.21
3908.00,100.23
3907.00,100.24
3906.00,100.23
3905.00,100.23
3904.00,100.24
3903.00,100.25
3902.00,100.24
3901.00,100.24
3900.00,100.24
3899.00,100.24
3898.00,100.24
3897.00,100.23
3896.00,100.21
3895.00,100.18
3894.00,100.17
3893.00,100.17
3892.00,100.19
3891.00,100.23
3890.00,100.25
3889.00,100.23
3888.00,100.20
3887.00,100.18
3886.00,100.20
3885.00,100.20
3884.00,100.18
3883.00,100.14
3882.00,100.14
3881.00,100.18
3880.00,100.23
3879.00,100.24
3878.00,100.20
3877.00,100.15
3876.00,100.13
3875.00,100.14
3874.00,100.16
3873.00,100.14
3872.00,100.11
3871.00,100.10
3870.00,100.13
3869.00,100.17
3868.00,100.17
3867.00,100.16
3866.00,100.18
3865.00,100.22
3864.00,100.25
3863.00,100.24
3862.00,100.23
3861.00,100.23
3860.00,100.23
3859.00,100.23
3858.00,100.22
3857.00,100.19
3856.00,100.14
3855.00,100.11
3854.00,100.10
3853.00,100.09
3852.00,100.07
3851.00,100.07
3850.00,100.10
3849.00,100.15
3848.00,100.21
3847.00,100.24
3846.00,100.24
3845.00,100.23
3844.00,100.21
3843.00,100.19
3842.00,100.15
3841.00,100.12
3840.00,100.11
3839.00,100.13
3838.00,100.16
3837.00,100.17
3836.00,100.15
3835.00,100.13
3834.00,100.11
3833.00,100.12
3832.00,100.15
3831.00,100.17
3830.00,100.17
3829.00,100.17
3828.00,100.17
3827.00,100.20
3826.00,100.23
3825.00,100.22
3824.00,100.19
3823.00,100.15
3822.00,100.14
3821.00,100.15
3820.00,100.11
3819.00,100.04
3818.00,99.99
3817.00,100.03
3816.00,100.12
3815.00,100.19
3814.00,100.20
3813.00,100.19
3812.00,100.19
3811.00,100.21
3810.00,100.21
3809.00,100.20
3808.00,100.20
3807.00,100.22
3806.00,100.20
3805.00,100.13
3804.00,100.05
3803.00,100.03
3802.00,100.08
3801.00,100.14
3800.00,100.14
3799.00,100.11
3798.00,100.09
3797.00,100.11
3796.00,100.14
3795.00,100.16
3794.00,100.16
3793.00,100.16
3792.00,100.17
3791.00,100.18
3790.00,100.17
3789.00,100.16
3788.00,100.15
3787.00,100.15
3786.00,100.17
3785.00,100.19
3784.00,100.20
3783.00,100.19
3782.00,100.16
3781.00,100.13
3780.00,100.13
3779.00,100.15
3778.00,100.17
3777.00,100.17
3776.00,100.18
3775.00,100.20
3774.00,100.20
3773.00,100.18
3772.00,100.15
3771.00,100.14
3770.00,100.14
3769.00,100.12
3768.00,100.08
3767.00,100.05
3766.00,100.06
3765.00,100.09
3764.00,100.11
3763.00,100.11
3762.00,100.09
3761.00,100.09
3760.00,100.10
3759.00,100.10
3758.00,100.09
3757.00,100.09
3756.00,100.09
3755.00,100.09
3754.00,100.10
3753.00,100.12
3752.00,100.11
3751.00,100.07
3750.00,100.03
3749.00,100.00
3748.00,99.97
3747.00,99.93
3746.00,99.92
3745.00,99.97
3744.00,100.04
3743.00,100.04
3742.00,100.01
3741.00,99.99
3740.00,99.98
3739.00,99.97
3738.00,99.96
3737.00,99.95
3736.00,99.96
3735.00,99.95
3734.00,99.93
3733.00,99.93
3732.00,99.94
3731.00,99.97
3730.00,99.98
3729.00,100.00
3728.00,100.03
3727.00,100.06
3726.00,100.07
3725.00,100.05
3724.00,100.02
3723.00,100.00
3722.00,99.99
3721.00,99.99
3720.00,100.00
3719.00,100.01
3718.00,100.04
3717.00,100.06
3716.00,100.07
3715.00,100.05
3714.00,100.04
3713.00,100.03
3712.00,100.00
3711.00,99.96
3710.00,99.92
3709.00,99.90
3708.00,99.93
3707.00,99.97
3706.00,100.01
3705.00,100.01
3704.00,99.99
3703.00,99.97
3702.00,99.96
3701.00,99.97
3700.00,99.98
3699.00,99.98
3698.00,99.99
3697.00,100.01
3696.00,100.03
3695.00,100.04
3694.00,100.04
