Created as New Dataset,57 Modacrylic Bayer Dralon C Germany PAN + VDC(37%) (DMF solvent). No ester, aliphatic sulphonate dye site. Obsolete.
cm-1,%T
4000.00,102.18
3999.00,102.17
3998.00,102.18
3997.00,102.19
3996.00,102.20
3995.00,102.20
3994.00,102.21
3993.00,102.21
3992.00,102.21
3991.00,102.21
3990.00,102.20
3989.00,102.19
3988.00,102.17
3987.00,102.17
3986.00,102.17
3985.00,102.17
3984.00,102.16
3983.00,102.15
3982.00,102.14
3981.00,102.14
3980.00,102.15
3979.00,102.17
3978.00,102.19
3977.00,102.20
3976.00,102.20
3975.00,102.20
3974.00,102.19
3973.00,102.19
3972.00,102.21
3971.00,102.22
3970.00,102.23
3969.00,102.23
3968.00,102.23
3967.00,102.23
3966.00,102.22
3965.00,102.20
3964.00,102.19
3963.00,102.18
3962.00,102.19
3961.00,102.19
3960.00,102.21
3959.00,102.21
3958.00,102.21
3957.00,102.21
3956.00,102.19
3955.00,102.18
3954.00,102.18
3953.00,102.17
3952.00,102.18
3951.00,102.18
3950.00,102.18
3949.00,102.18
3948.00,102.18
3947.00,102.19
3946.00,102.19
3945.00,102.19
3944.00,102.19
3943.00,102.18
3942.00,102.18
3941.00,102.19
3940.00,102.20
3939.00,102.20
3938.00,102.19
3937.00,102.19
3936.00,102.19
3935.00,102.21
3934.00,102.22
3933.00,102.22
3932.00,102.21
3931.00,102.20
3930.00,102.20
3929.00,102.21
3928.00,102.21
3927.00,102.22
3926.00,102.22
3925.00,102.22
3924.00,102.22
3923.00,102.22
3922.00,102.23
3921.00,102.24
3920.00,102.24
3919.00,102.24
3918.00,102.23
3917.00,102.22
3916.00,102.22
3915.00,102.22
3914.00,102.23
3913.00,102.22
3912.00,102.20
3911.00,102.18
3910.00,102.16
3909.00,102.18
3908.00,102.22
3907.00,102.28
3906.00,102.34
3905.00,102.37
3904.00,102.38
3903.00,102.37
3902.00,102.38
3901.00,102.38
3900.00,102.37
3899.00,102.33
3898.00,102.29
3897.00,102.25
3896.00,102.22
3895.00,102.20
3894.00,102.19
3893.00,102.20
3892.00,102.19
3891.00,102.19
3890.00,102.22
3889.00,102.28
3888.00,102.33
3887.00,102.35
3886.00,102.33
3885.00,102.29
3884.00,102.27
3883.00,102.27
3882.00,102.26
3881.00,102.22
3880.00,102.19
3879.00,102.18
3878.00,102.22
3877.00,102.26
3876.00,102.27
3875.00,102.26
3874.00,102.26
3873.00,102.28
